#Energy      Mg  Total
          0.1000          5.48300258E+02          5.48300258E+02
          0.2000          2.81879896E+02          2.81879896E+02
          0.3000          1.91946205E+02          1.91946205E+02
          0.4000          1.46545148E+02          1.46545148E+02
          0.5000          1.19084221E+02          1.19084221E+02
          0.6000          1.00647558E+02          1.00647558E+02
          0.7000          8.73951603E+01          8.73951603E+01
          0.8000          7.73985980E+01          7.73985980E+01
          0.9000          6.95822488E+01          6.95822488E+01
          1.0000          6.32983637E+01          6.32983637E+01
          2.0000          3.45183945E+01          3.45183945E+01
          3.0000          2.46194728E+01          2.46194728E+01
          4.0000          1.95657055E+01          1.95657055E+01
          5.0000          1.64878424E+01          1.64878424E+01
          6.0000          1.44137534E+01          1.44137534E+01
          7.0000          1.29211303E+01          1.29211303E+01
          8.0000          1.17963167E+01          1.17963167E+01
          9.0000          1.09193611E+01          1.09193611E+01
         10.0000          1.02176038E+01          1.02176038E+01
         11.0000          9.64440130E+00          9.64440130E+00
         12.0000          9.16840569E+00          9.16840569E+00
         13.0000          8.76775098E+00          8.76775098E+00
         14.0000          8.42670835E+00          8.42670835E+00
         15.0000          8.13366688E+00          8.13366688E+00
         16.0000          7.87986397E+00          7.87986397E+00
         17.0000          7.65855919E+00          7.65855919E+00
         18.0000          7.46448063E+00          7.46448063E+00
         19.0000          7.29344408E+00          7.29344408E+00
         20.0000          7.14208523E+00          7.14208523E+00
         21.0000          7.00766741E+00          7.00766741E+00
         22.0000          6.88794119E+00          6.88794119E+00
         23.0000          6.78104018E+00          6.78104018E+00
         24.0000          6.68540244E+00          6.68540244E+00
         25.0000          6.59971065E+00          6.59971065E+00
         26.0000          6.52284581E+00          6.52284581E+00
         27.0000          6.45385118E+00          6.45385118E+00
         28.0000          6.39190371E+00          6.39190371E+00
         29.0000          6.33629147E+00          6.33629147E+00
         30.0000          6.28639540E+00          6.28639540E+00
         31.0000          6.24167458E+00          6.24167458E+00
         32.0000          6.20165429E+00          6.20165429E+00
         33.0000          6.16591609E+00          6.16591609E+00
         34.0000          6.13408974E+00          6.13408974E+00
         35.0000          6.10584638E+00          6.10584638E+00
         36.0000          6.08089296E+00          6.08089296E+00
         37.0000          6.05896741E+00          6.05896741E+00
         38.0000          6.03983470E+00          6.03983470E+00
         39.0000          6.02328338E+00          6.02328338E+00
         40.0000          6.00912273E+00          6.00912273E+00
         41.0000          5.99718024E+00          5.99718024E+00
         42.0000          5.98729952E+00          5.98729952E+00
         43.0000          5.97933842E+00          5.97933842E+00
         44.0000          5.97316746E+00          5.97316746E+00
         45.0000          5.96866845E+00          5.96866845E+00
         46.0000          5.96573329E+00          5.96573329E+00
         47.0000          5.96426288E+00          5.96426288E+00
         48.0000          5.96416625E+00          5.96416625E+00
         49.0000          5.96535970E+00          5.96535970E+00
         50.0000          5.96776612E+00          5.96776612E+00
         51.0000          5.97131432E+00          5.97131432E+00
         52.0000          5.97593852E+00          5.97593852E+00
         53.0000          5.98157779E+00          5.98157779E+00
         53.9990          5.98816859E+00          5.98816859E+00
         54.0000          5.98817565E+00          5.98817565E+00
         54.0010          5.98818271E+00          5.98818271E+00
         55.0000          5.99567967E+00          5.99567967E+00
         56.0000          6.00404109E+00          6.00404109E+00
         57.0000          6.01321452E+00          6.01321452E+00
         58.0000          6.02315766E+00          6.02315766E+00
         59.0000          6.03383102E+00          6.03383102E+00
         60.0000          6.04519773E+00          6.04519773E+00
         61.0000          6.05722328E+00          6.05722328E+00
         62.0000          6.06987536E+00          6.06987536E+00
         63.0000          6.08312370E+00          6.08312370E+00
         64.0000          6.09693988E+00          6.09693988E+00
         65.0000          6.11129721E+00          6.11129721E+00
         66.0000          6.12617060E+00          6.12617060E+00
         67.0000          6.14153644E+00          6.14153644E+00
         68.0000          6.15737251E+00          6.15737251E+00
         69.0000          6.17365784E+00          6.17365784E+00
         70.0000          6.19037266E+00          6.19037266E+00
         71.0000          6.20749829E+00          6.20749829E+00
         72.0000          6.22501710E+00          6.22501710E+00
         73.0000          6.24291240E+00          6.24291240E+00
         74.0000          6.26116840E+00          6.26116840E+00
         75.0000          6.27977015E+00          6.27977015E+00
         76.0000          6.29870347E+00          6.29870347E+00
         77.0000          6.31795493E+00          6.31795493E+00
         78.0000          6.33751177E+00          6.33751177E+00
         79.0000          6.35736188E+00          6.35736188E+00
         80.0000          6.37749374E+00          6.37749374E+00
         81.0000          6.39789642E+00          6.39789642E+00
         82.0000          6.41855950E+00          6.41855950E+00
         83.0000          6.43947306E+00          6.43947306E+00
         84.0000          6.46062768E+00          6.46062768E+00
         85.0000          6.48201435E+00          6.48201435E+00
         86.0000          6.50362449E+00          6.50362449E+00
         87.0000          6.52544992E+00          6.52544992E+00
         88.0000          6.54748282E+00          6.54748282E+00
         89.0000          6.56971573E+00          6.56971573E+00
         90.0000          6.59214153E+00          6.59214153E+00
         91.0000          6.61475339E+00          6.61475339E+00
         91.9990          6.63752193E+00          6.63752193E+00
         92.0000          6.63754481E+00          6.63754481E+00
         92.0010          6.63756769E+00          6.63756769E+00
         93.0000          6.66050954E+00          6.66050954E+00
         94.0000          6.68364161E+00          6.68364161E+00
         95.0000          6.70693530E+00          6.70693530E+00
         96.0000          6.73038514E+00          6.73038514E+00
         97.0000          6.75398588E+00          6.75398588E+00
         98.0000          6.77773248E+00          6.77773248E+00
         99.0000          6.80162010E+00          6.80162010E+00
        100.0000          6.82564412E+00          6.82564412E+00
        110.0000          7.07248794E+00          7.07248794E+00
        120.0000          7.32901100E+00          7.32901100E+00
        130.0000          7.59269412E+00          7.59269412E+00
        140.0000          7.86175358E+00          7.86175358E+00
        150.0000          8.13489571E+00          8.13489571E+00
        160.0000          8.41116308E+00          8.41116308E+00
        170.0000          8.68983472E+00          8.68983472E+00
        180.0000          8.97035970E+00          8.97035970E+00
        190.0000          9.25231156E+00          9.25231156E+00
        200.0000          9.53535654E+00          9.53535654E+00
        210.0000          9.81923092E+00          9.81923092E+00
        220.0000          1.01037246E+01          1.01037246E+01
        230.0000          1.03886689E+01          1.03886689E+01
        240.0000          1.06739276E+01          1.06739276E+01
        250.0000          1.09593903E+01          1.09593903E+01
        260.0000          1.12449668E+01          1.12449668E+01
        270.0000          1.15305834E+01          1.15305834E+01
        280.0000          1.18161795E+01          1.18161795E+01
        290.0000          1.21017054E+01          1.21017054E+01
        300.0000          1.23871202E+01          1.23871202E+01
        310.0000          1.26723902E+01          1.26723902E+01
        320.0000          1.29574876E+01          1.29574876E+01
        330.0000          1.32423896E+01          1.32423896E+01
        340.0000          1.35270776E+01          1.35270776E+01
        350.0000          1.38115364E+01          1.38115364E+01
        360.0000          1.40957537E+01          1.40957537E+01
        370.0000          1.43797195E+01          1.43797195E+01
        380.0000          1.46634260E+01          1.46634260E+01
        390.0000          1.49468671E+01          1.49468671E+01
        400.0000          1.52300382E+01          1.52300382E+01
        410.0000          1.55129358E+01          1.55129358E+01
        420.0000          1.57955574E+01          1.57955574E+01
        430.0000          1.60779017E+01          1.60779017E+01
        440.0000          1.63599678E+01          1.63599678E+01
        450.0000          1.66417557E+01          1.66417557E+01
        460.0000          1.69232658E+01          1.69232658E+01
        470.0000          1.72044989E+01          1.72044989E+01
        480.0000          1.74854564E+01          1.74854564E+01
        490.0000          1.77661397E+01          1.77661397E+01
        500.0000          1.80465509E+01          1.80465509E+01
        510.0000          1.83266920E+01          1.83266920E+01
        520.0000          1.86065653E+01          1.86065653E+01
        530.0000          1.88861731E+01          1.88861731E+01
        540.0000          1.91655182E+01          1.91655182E+01
        550.0000          1.94446031E+01          1.94446031E+01
        560.0000          1.97234307E+01          1.97234307E+01
        570.0000          2.00020036E+01          2.00020036E+01
        580.0000          2.02803249E+01          2.02803249E+01
        590.0000          2.05583973E+01          2.05583973E+01
        600.0000          2.08362239E+01          2.08362239E+01
        610.0000          2.11138075E+01          2.11138075E+01
        620.0000          2.13911511E+01          2.13911511E+01
        630.0000          2.16682576E+01          2.16682576E+01
        640.0000          2.19451300E+01          2.19451300E+01
        650.0000          2.22217711E+01          2.22217711E+01
        660.0000          2.24981838E+01          2.24981838E+01
        670.0000          2.27743710E+01          2.27743710E+01
        680.0000          2.30503356E+01          2.30503356E+01
        690.0000          2.33260803E+01          2.33260803E+01
        700.0000          2.36016079E+01          2.36016079E+01
        710.0000          2.38769211E+01          2.38769211E+01
        720.0000          2.41520227E+01          2.41520227E+01
        730.0000          2.44269153E+01          2.44269153E+01
        740.0000          2.47016015E+01          2.47016015E+01
        750.0000          2.49760839E+01          2.49760839E+01
        760.0000          2.52503651E+01          2.52503651E+01
        770.0000          2.55244475E+01          2.55244475E+01
        780.0000          2.57983337E+01          2.57983337E+01
        790.0000          2.60720260E+01          2.60720260E+01
        800.0000          2.63455268E+01          2.63455268E+01
        810.0000          2.66188385E+01          2.66188385E+01
        820.0000          2.68919634E+01          2.68919634E+01
        830.0000          2.71649037E+01          2.71649037E+01
        840.0000          2.74376617E+01          2.74376617E+01
        850.0000          2.77102395E+01          2.77102395E+01
        860.0000          2.79826392E+01          2.79826392E+01
        870.0000          2.82548631E+01          2.82548631E+01
        880.0000          2.85269132E+01          2.85269132E+01
        890.0000          2.87987914E+01          2.87987914E+01
        900.0000          2.90704998E+01          2.90704998E+01
        910.0000          2.93420403E+01          2.93420403E+01
        920.0000          2.96134150E+01          2.96134150E+01
        930.0000          2.98846255E+01          2.98846255E+01
        940.0000          3.01556739E+01          3.01556739E+01
        950.0000          3.04265619E+01          3.04265619E+01
        960.0000          3.06972914E+01          3.06972914E+01
        970.0000          3.09678640E+01          3.09678640E+01
        980.0000          3.12382815E+01          3.12382815E+01
        990.0000          3.15085456E+01          3.15085456E+01
       1000.0000          3.17786579E+01          3.17786579E+01
       1100.0000          3.44717809E+01          3.44717809E+01
       1200.0000          3.71513560E+01          3.71513560E+01
       1300.0000          3.98186331E+01          3.98186331E+01
       1307.9990          4.00314902E+01          4.00314902E+01
       1308.0010          4.00315434E+01          4.00315434E+01
       1400.0000          4.24746702E+01          4.24746702E+01
       1500.0000          4.51203705E+01          4.51203705E+01
       1600.0000          4.77565107E+01          4.77565107E+01
       1700.0000          5.03837639E+01          5.03837639E+01
       1800.0000          5.30027173E+01          5.30027173E+01
       1900.0000          5.56138868E+01          5.56138868E+01
       2000.0000          5.82177279E+01          5.82177279E+01
       2100.0000          6.08146455E+01          6.08146455E+01
       2200.0000          6.34050010E+01          6.34050010E+01
       2300.0000          6.59891188E+01          6.59891188E+01
       2400.0000          6.85672911E+01          6.85672911E+01
       2500.0000          7.11397822E+01          7.11397822E+01
       2600.0000          7.37068324E+01          7.37068324E+01
       2700.0000          7.62686604E+01          7.62686604E+01
       2800.0000          7.88254665E+01          7.88254665E+01
       2900.0000          8.13774341E+01          8.13774341E+01
       3000.0000          8.39247321E+01          8.39247321E+01
       3100.0000          8.64675163E+01          8.64675163E+01
       3200.0000          8.90059307E+01          8.90059307E+01
       3300.0000          9.15401087E+01          9.15401087E+01
       3400.0000          9.40701745E+01          9.40701745E+01
       3500.0000          9.65962434E+01          9.65962434E+01
       3600.0000          9.91184233E+01          9.91184233E+01
       3700.0000          1.01636815E+02          1.01636815E+02
       3800.0000          1.04151512E+02          1.04151512E+02
       3900.0000          1.06662604E+02          1.06662604E+02
       4000.0000          1.09170173E+02          1.09170173E+02
       4100.0000          1.11674298E+02          1.11674298E+02
       4200.0000          1.14175052E+02          1.14175052E+02
       4300.0000          1.16672505E+02          1.16672505E+02
       4400.0000          1.19166722E+02          1.19166722E+02
       4500.0000          1.21657767E+02          1.21657767E+02
       4600.0000          1.24145697E+02          1.24145697E+02
       4700.0000          1.26630569E+02          1.26630569E+02
       4800.0000          1.29112436E+02          1.29112436E+02
       4900.0000          1.31591349E+02          1.31591349E+02
       5000.0000          1.34067355E+02          1.34067355E+02
       5100.0000          1.36540500E+02          1.36540500E+02
       5200.0000          1.39010828E+02          1.39010828E+02
       5300.0000          1.41478380E+02          1.41478380E+02
       5400.0000          1.43943197E+02          1.43943197E+02
       5500.0000          1.46405317E+02          1.46405317E+02
       5600.0000          1.48864776E+02          1.48864776E+02
       5700.0000          1.51321608E+02          1.51321608E+02
       5800.0000          1.53775848E+02          1.53775848E+02
       5900.0000          1.56227528E+02          1.56227528E+02
       6000.0000          1.58676679E+02          1.58676679E+02
       6100.0000          1.61123329E+02          1.61123329E+02
       6200.0000          1.63567508E+02          1.63567508E+02
       6300.0000          1.66009243E+02          1.66009243E+02
       6400.0000          1.68448561E+02          1.68448561E+02
       6500.0000          1.70885487E+02          1.70885487E+02
       6600.0000          1.73320046E+02          1.73320046E+02
       6700.0000          1.75752260E+02          1.75752260E+02
       6800.0000          1.78182154E+02          1.78182154E+02
       6900.0000          1.80609749E+02          1.80609749E+02
       7000.0000          1.83035066E+02          1.83035066E+02
       7100.0000          1.85458126E+02          1.85458126E+02
       7200.0000          1.87878949E+02          1.87878949E+02
       7300.0000          1.90297555E+02          1.90297555E+02
       7400.0000          1.92713962E+02          1.92713962E+02
       7500.0000          1.95128188E+02          1.95128188E+02
       7600.0000          1.97540250E+02          1.97540250E+02
       7700.0000          1.99950166E+02          1.99950166E+02
       7800.0000          2.02357953E+02          2.02357953E+02
       7900.0000          2.04763625E+02          2.04763625E+02
       8000.0000          2.07167200E+02          2.07167200E+02
       8100.0000          2.09568691E+02          2.09568691E+02
       8200.0000          2.11968114E+02          2.11968114E+02
       8300.0000          2.14365483E+02          2.14365483E+02
       8400.0000          2.16760811E+02          2.16760811E+02
       8500.0000          2.19154113E+02          2.19154113E+02
       8600.0000          2.21545401E+02          2.21545401E+02
       8700.0000          2.23934689E+02          2.23934689E+02
       8800.0000          2.26321988E+02          2.26321988E+02
       8900.0000          2.28707311E+02          2.28707311E+02
       9000.0000          2.31090670E+02          2.31090670E+02
       9100.0000          2.33472076E+02          2.33472076E+02
       9200.0000          2.35851540E+02          2.35851540E+02
       9300.0000          2.38229075E+02          2.38229075E+02
       9400.0000          2.40604689E+02          2.40604689E+02
       9500.0000          2.42978394E+02          2.42978394E+02
       9600.0000          2.45350200E+02          2.45350200E+02
       9700.0000          2.47720117E+02          2.47720117E+02
       9800.0000          2.50088155E+02          2.50088155E+02
       9900.0000          2.52454323E+02          2.52454323E+02
      10000.0000          2.54818631E+02          2.54818631E+02
      11000.0000          2.78361300E+02          2.78361300E+02
      12000.0000          3.01726862E+02          3.01726862E+02
      13000.0000          3.24922041E+02          3.24922041E+02
      14000.0000          3.47952481E+02          3.47952481E+02
      15000.0000          3.70823007E+02          3.70823007E+02
      16000.0000          3.93537810E+02          3.93537810E+02
      17000.0000          4.16100581E+02          4.16100581E+02
      18000.0000          4.38514609E+02          4.38514609E+02
      19000.0000          4.60782855E+02          4.60782855E+02
      20000.0000          4.82908012E+02          4.82908012E+02
      21000.0000          5.04892548E+02          5.04892548E+02
      22000.0000          5.26738742E+02          5.26738742E+02
      23000.0000          5.48448711E+02          5.48448711E+02
      24000.0000          5.70024437E+02          5.70024437E+02
      25000.0000          5.91467778E+02          5.91467778E+02
      26000.0000          6.12780493E+02          6.12780493E+02
      27000.0000          6.33964246E+02          6.33964246E+02
      28000.0000          6.55020622E+02          6.55020622E+02
      29000.0000          6.75951135E+02          6.75951135E+02
      30000.0000          6.96757233E+02          6.96757233E+02
      31000.0000          7.17440309E+02          7.17440309E+02
      32000.0000          7.38001704E+02          7.38001704E+02
      33000.0000          7.58442709E+02          7.58442709E+02
      34000.0000          7.78764577E+02          7.78764577E+02
      35000.0000          7.98968517E+02          7.98968517E+02
      36000.0000          8.19055707E+02          8.19055707E+02
      37000.0000          8.39027287E+02          8.39027287E+02
      38000.0000          8.58884371E+02          8.58884371E+02
      39000.0000          8.78628040E+02          8.78628040E+02
      40000.0000          8.98259353E+02          8.98259353E+02
      41000.0000          9.17779342E+02          9.17779342E+02
      42000.0000          9.37189015E+02          9.37189015E+02
      43000.0000          9.56489361E+02          9.56489361E+02
      44000.0000          9.75681346E+02          9.75681346E+02
      45000.0000          9.94765917E+02          9.94765917E+02
      46000.0000          1.01374401E+03          1.01374401E+03
      47000.0000          1.03261652E+03          1.03261652E+03
      48000.0000          1.05138436E+03          1.05138436E+03
      49000.0000          1.07004841E+03          1.07004841E+03
      50000.0000          1.08860952E+03          1.08860952E+03
