#Energy      Sr  Total
        450.0000          4.45491658E+01          4.45491658E+01
        460.0000          4.45912420E+01          4.45912420E+01
        470.0000          4.46433363E+01          4.46433363E+01
        480.0000          4.47047608E+01          4.47047608E+01
        490.0000          4.47748853E+01          4.47748853E+01
        500.0000          4.48531314E+01          4.48531314E+01
        510.0000          4.49389675E+01          4.49389675E+01
        520.0000          4.50319040E+01          4.50319040E+01
        530.0000          4.51314895E+01          4.51314895E+01
        540.0000          4.52373073E+01          4.52373073E+01
        550.0000          4.53489718E+01          4.53489718E+01
        560.0000          4.54661262E+01          4.54661262E+01
        570.0000          4.55884395E+01          4.55884395E+01
        580.0000          4.57156046E+01          4.57156046E+01
        590.0000          4.58473359E+01          4.58473359E+01
        600.0000          4.59833678E+01          4.59833678E+01
        610.0000          4.61234529E+01          4.61234529E+01
        620.0000          4.62673603E+01          4.62673603E+01
        630.0000          4.64148747E+01          4.64148747E+01
        640.0000          4.65657947E+01          4.65657947E+01
        650.0000          4.67199322E+01          4.67199322E+01
        660.0000          4.68771108E+01          4.68771108E+01
        670.0000          4.70371654E+01          4.70371654E+01
        680.0000          4.71999412E+01          4.71999412E+01
        690.0000          4.73652927E+01          4.73652927E+01
        700.0000          4.75330833E+01          4.75330833E+01
        710.0000          4.77031846E+01          4.77031846E+01
        720.0000          4.78754760E+01          4.78754760E+01
        730.0000          4.80498434E+01          4.80498434E+01
        740.0000          4.82261799E+01          4.82261799E+01
        750.0000          4.84043843E+01          4.84043843E+01
        760.0000          4.85843613E+01          4.85843613E+01
        770.0000          4.87660208E+01          4.87660208E+01
        780.0000          4.89492778E+01          4.89492778E+01
        790.0000          4.91340517E+01          4.91340517E+01
        800.0000          4.93202667E+01          4.93202667E+01
        810.0000          4.95078505E+01          4.95078505E+01
        820.0000          4.96967352E+01          4.96967352E+01
        830.0000          4.98868559E+01          4.98868559E+01
        840.0000          5.00781516E+01          5.00781516E+01
        850.0000          5.02705640E+01          5.02705640E+01
        860.0000          5.04640380E+01          5.04640380E+01
        870.0000          5.06585212E+01          5.06585212E+01
        880.0000          5.08539640E+01          5.08539640E+01
        890.0000          5.10503189E+01          5.10503189E+01
        900.0000          5.12475411E+01          5.12475411E+01
        910.0000          5.14455878E+01          5.14455878E+01
        920.0000          5.16444183E+01          5.16444183E+01
        930.0000          5.18439938E+01          5.18439938E+01
        940.0000          5.20442774E+01          5.20442774E+01
        950.0000          5.22452339E+01          5.22452339E+01
        960.0000          5.24468299E+01          5.24468299E+01
        970.0000          5.26490333E+01          5.26490333E+01
        980.0000          5.28518137E+01          5.28518137E+01
        990.0000          5.30551419E+01          5.30551419E+01
       1000.0000          5.32589901E+01          5.32589901E+01
       1100.0000          5.53207817E+01          5.53207817E+01
       1200.0000          5.74116240E+01          5.74116240E+01
       1300.0000          5.95177122E+01          5.95177122E+01
       1400.0000          6.16298958E+01          6.16298958E+01
       1500.0000          6.37420139E+01          6.37420139E+01
       1600.0000          6.58498788E+01          6.58498788E+01
       1700.0000          6.79506341E+01          6.79506341E+01
       1800.0000          7.00423387E+01          7.00423387E+01
       1900.0000          7.21236901E+01          7.21236901E+01
       1942.9990          7.30152429E+01          7.30152429E+01
