#Energy      C   H  Total
          0.1000          5.30582765E+01          2.21981252E+00          2.13067109E+00
          0.2000          2.93108608E+01          2.04510857E+00          1.91172188E+00
          0.3000          2.10401933E+01          1.98906848E+00          1.81726994E+00
          0.4000          1.67696356E+01          1.96958797E+00          1.76257423E+00
          0.5000          1.41395536E+01          1.96684313E+00          1.72666080E+00
          0.6000          1.23469330E+01          1.97335874E+00          1.70142680E+00
          0.7000          1.10416037E+01          1.98561555E+00          1.68296699E+00
          0.8000          1.00457992E+01          2.00171408E+00          1.66912601E+00
          0.9000          9.25940211E+00          2.02052852E+00          1.65859939E+00
          1.0000          8.62158734E+00          2.04134437E+00          1.65054314E+00
          2.0000          5.62092983E+00          2.29888093E+00          1.63158550E+00
          3.0000          4.55772863E+00          2.58786473E+00          1.65063761E+00
          4.0000          4.01772381E+00          2.88643508E+00          1.67969758E+00
          5.0000          3.69859532E+00          3.18929696E+00          1.71255855E+00
          6.0000          3.49468360E+00          3.49446798E+00          1.74728789E+00
          7.0000          3.35895408E+00          3.80102564E+00          1.78317133E+00
          8.0000          3.26712441E+00          4.10847910E+00          1.81990698E+00
          9.0000          3.20532432E+00          4.41654209E+00          1.85734688E+00
         10.0000          3.16502471E+00          4.72503612E+00          1.89540441E+00
         11.0000          3.14067722E+00          5.03384408E+00          1.93401899E+00
         12.0000          3.12850858E+00          5.34288595E+00          1.97314202E+00
         13.0000          3.12585870E+00          5.65210526E+00          2.01273125E+00
         14.0000          3.13079566E+00          5.96146109E+00          2.05274851E+00
         15.0000          3.14188084E+00          6.27092310E+00          2.09315877E+00
         16.0000          3.15801987E+00          6.58046838E+00          2.13392976E+00
         17.0000          3.17836480E+00          6.89007932E+00          2.17503174E+00
         18.0000          3.20224798E+00          7.19974222E+00          2.21643739E+00
         19.0000          3.22913627E+00          7.50944627E+00          2.25812161E+00
         20.0000          3.25859857E+00          7.81918288E+00          2.30006146E+00
         21.0000          3.29028243E+00          8.12894512E+00          2.34223595E+00
         22.0000          3.32389671E+00          8.43872737E+00          2.38462591E+00
         23.0000          3.35919883E+00          8.74852506E+00          2.42721385E+00
         24.0000          3.39598494E+00          9.05833441E+00          2.46998382E+00
         25.0000          3.43408248E+00          9.36815230E+00          2.51292124E+00
         26.0000          3.47334437E+00          9.67797616E+00          2.55601283E+00
         27.0000          3.51364446E+00          9.98780381E+00          2.59924645E+00
         28.0000          3.55487392E+00          1.02976334E+01          2.64261102E+00
         29.0000          3.59693837E+00          1.06074635E+01          2.68609638E+00
