#Energy      Fe   C   Cr   Ni   Mn  Total
          0.1000          1.00000000E+20          1.29782974E+02          1.15787999E+04          1.93786049E+04          1.32699255E+04          1.26286586E+02
          0.2000          1.00000000E+20          7.16957076E+01          5.83091532E+03          9.74041577E+03          6.67882859E+03          6.95810556E+01
          0.3000          1.00000000E+20          5.14652764E+01          3.90866001E+03          6.51990593E+03          4.47513840E+03          4.98423683E+01
          0.4000          1.00000000E+20          4.10192966E+01          2.94509891E+03          4.90664150E+03          3.37071876E+03          3.96529648E+01
          0.5000          1.00000000E+20          3.45859955E+01          2.36572319E+03          3.93714977E+03          2.70675590E+03          3.33783079E+01
          0.6000          1.00000000E+20          3.02011636E+01          1.97874223E+03          3.28991771E+03          2.26334096E+03          2.91015234E+01
          0.7000          1.00000000E+20          2.70082682E+01          1.70185476E+03          2.82702391E+03          1.94611590E+03          2.59869413E+01
          0.8000          1.00000000E+20          2.45724848E+01          1.49386317E+03          2.47944964E+03          1.70785203E+03          2.36104225E+01
          0.9000          1.00000000E+20          2.26489215E+01          1.33185611E+03          2.20882175E+03          1.52228603E+03          2.17331390E+01
          1.0000          1.00000000E+20          2.10887974E+01          1.20207352E+03          1.99209997E+03          1.37364587E+03          2.02100188E+01
          2.0000          1.00000000E+20          1.37490517E+01          6.15116332E+02          1.01320416E+03          7.01655199E+02          1.30258933E+01
          3.0000          1.00000000E+20          1.11484129E+01          4.17610757E+02          6.84594066E+02          4.75692910E+02          1.04540883E+01
          4.0000          1.00000000E+20          9.82753642E+00          3.18173535E+02          5.19429169E+02          3.61984379E+02          9.12528813E+00
          5.0000          1.00000000E+20          9.04693351E+00          2.58179249E+02          4.19909762E+02          2.93405630E+02          8.31962786E+00
          6.0000          1.00000000E+20          8.54815611E+00          2.17997343E+02          3.53326019E+02          2.47488070E+02          7.78559402E+00
          7.0000          1.00000000E+20          8.21615549E+00          1.89182475E+02          3.05619465E+02          2.14568161E+02          7.41125608E+00
          8.0000          1.00000000E+20          7.99153590E+00          1.67497698E+02          2.69743154E+02          1.89799020E+02          7.13884998E+00
          9.0000          1.00000000E+20          7.84037006E+00          1.50581965E+02          2.41773193E+02          1.70480319E+02          6.93540005E+00
         10.0000          1.00000000E+20          7.74179537E+00          1.37014678E+02          2.19350312E+02          1.54987660E+02          6.78064770E+00
         11.0000          1.00000000E+20          7.68224029E+00          1.25889472E+02          2.00970236E+02          1.42284842E+02          6.66143279E+00
         12.0000          1.00000000E+20          7.65247523E+00          1.16600634E+02          1.85628289E+02          1.31679511E+02          6.56882355E+00
         13.0000          1.00000000E+20          7.64599351E+00          1.08727867E+02          1.72627730E+02          1.22691327E+02          6.49654078E+00
         14.0000          1.00000000E+20          7.65806954E+00          1.01970309E+02          1.61470078E+02          1.14976503E+02          6.44004098E+00
         15.0000          1.00000000E+20          7.68518441E+00          9.61068768E+01          1.51789218E+02          1.08282448E+02          6.39595702E+00
         16.0000          1.00000000E+20          7.72466122E+00          9.09714319E+01          1.43310156E+02          1.02419376E+02          6.36174292E+00
         17.0000          1.00000000E+20          7.77442584E+00          8.64366913E+01          1.35822308E+02          9.72419040E+01          6.33544069E+00
         18.0000          1.00000000E+20          7.83284518E+00          8.24034799E+01          1.29161663E+02          9.26367683E+01          6.31552255E+00
         19.0000          1.00000000E+20          7.89861517E+00          7.87933674E+01          1.23198574E+02          8.85144083E+01          6.30078162E+00
         20.0000          1.00000000E+20          7.97068132E+00          7.55435058E+01          1.17829190E+02          8.48030652E+01          6.29025438E+00
         21.0000          1.00000000E+20          8.04818147E+00          7.26029377E+01          1.12969341E+02          8.14445629E+01          6.28316457E+00
         22.0000          1.00000000E+20          8.13040355E+00          6.99299066E+01          1.08550081E+02          7.83912348E+01          6.27888191E+00
         23.0000          1.00000000E+20          8.21675415E+00          6.74898670E+01          1.04514390E+02          7.56036501E+01          6.27689129E+00
         24.0000          1.00000000E+20          8.30673466E+00          6.52539899E+01          1.00814701E+02          7.30489059E+01          6.27676932E+00
         25.0000          1.00000000E+20          8.39992299E+00          6.31980255E+01          9.74110121E+01          7.06993283E+01          6.27816639E+00
         26.0000          1.00000000E+20          8.49595938E+00          6.13014269E+01          9.42694442E+01          6.85314714E+01          6.28079268E+00
         27.0000          1.00000000E+20          8.59453525E+00          5.95466690E+01          9.13611071E+01          6.65253389E+01          6.28440720E+00
         28.0000          1.00000000E+20          8.69538440E+00          5.79187107E+01          8.86612142E+01          6.46637706E+01          6.28880909E+00
         29.0000          1.00000000E+20          8.79827594E+00          5.64045703E+01          8.61483774E+01          6.29319567E+01          6.29383068E+00
         30.0000          1.00000000E+20          8.90300866E+00          5.49929831E+01          8.38040436E+01          6.13170475E+01          6.29933184E+00
         31.0000          1.00000000E+20          9.00940633E+00          5.36741268E+01          8.16120394E+01          5.98078393E+01          6.30519546E+00
         32.0000          1.00000000E+20          9.11731398E+00          5.24393973E+01          7.95582004E+01          5.83945187E+01          6.31132368E+00
         33.0000          1.00000000E+20          9.22659481E+00          5.12812249E+01          7.76300689E+01          5.70684528E+01          6.31763487E+00
         34.0000          1.00000000E+20          9.33712756E+00          5.01929234E+01          7.58166437E+01          5.58220168E+01          6.32406105E+00
         35.0000          1.00000000E+20          9.44880436E+00          4.91685649E+01          7.41081729E+01          5.46484508E+01          6.33054580E+00
         36.0000          1.00000000E+20          9.56152900E+00          4.82028743E+01          7.24959816E+01          5.35417403E+01          6.33704248E+00
         37.0000          1.00000000E+20          9.67521534E+00          4.72911426E+01          7.09723265E+01          5.24965160E+01          6.34351275E+00
         38.0000          1.00000000E+20          9.78978603E+00          4.64291521E+01          6.95302744E+01          5.15079695E+01          6.34992535E+00
         39.0000          1.00000000E+20          9.90517147E+00          4.56131143E+01          6.81635987E+01          5.05717817E+01          6.35625499E+00
