#Energy      C   F  Total
         36.0000          7.14847032E+00          3.79520419E+00          2.47904892E+00
         37.0000          7.23346544E+00          3.80906023E+00          2.49514526E+00
         38.0000          7.31912175E+00          3.82389356E+00          2.51166688E+00
         39.0000          7.40538717E+00          3.83962975E+00          2.52858178E+00
         40.0000          7.49221475E+00          3.85620165E+00          2.54586101E+00
         41.0000          7.57956197E+00          3.87354848E+00          2.56347836E+00
         42.0000          7.66739027E+00          3.89161513E+00          2.58140999E+00
         43.0000          7.75566462E+00          3.91035145E+00          2.59963421E+00
         44.0000          7.84435308E+00          3.92971179E+00          2.61813122E+00
         45.0000          7.93342652E+00          3.94965444E+00          2.63688292E+00
         46.0000          8.02285828E+00          3.97014123E+00          2.65587274E+00
         47.0000          8.11262396E+00          3.99113718E+00          2.67508543E+00
         48.0000          8.20270113E+00          4.01261017E+00          2.69450701E+00
         49.0000          8.29306918E+00          4.03453063E+00          2.71412458E+00
         50.0000          8.38370915E+00          4.05687131E+00          2.73392622E+00
         51.0000          8.47460354E+00          4.07960709E+00          2.75390096E+00
         52.0000          8.56573617E+00          4.10271470E+00          2.77403860E+00
         53.0000          8.65709210E+00          4.12617262E+00          2.79432971E+00
         54.0000          8.74865748E+00          4.14996091E+00          2.81476554E+00
         55.0000          8.84041946E+00          4.17406102E+00          2.83533794E+00
         56.0000          8.93236612E+00          4.19845573E+00          2.85603934E+00
         57.0000          9.02448638E+00          4.22312902E+00          2.87686268E+00
         58.0000          9.11676990E+00          4.24806593E+00          2.89780137E+00
         59.0000          9.20920709E+00          4.27325253E+00          2.91884927E+00
         60.0000          9.30178896E+00          4.29867578E+00          2.94000063E+00
         61.0000          9.39450713E+00          4.32432352E+00          2.96125006E+00
         62.0000          9.48735380E+00          4.35018432E+00          2.98259252E+00
         63.0000          9.58032161E+00          4.37624752E+00          3.00402329E+00
         64.0000          9.67340373E+00          4.40250308E+00          3.02553791E+00
         65.0000          9.76659371E+00          4.42894159E+00          3.04713223E+00
         66.0000          9.85988553E+00          4.45555421E+00          3.06880231E+00
         67.0000          9.95327352E+00          4.48233263E+00          3.09054446E+00
         68.0000          1.00467524E+01          4.50926899E+00          3.11235521E+00
         69.0000          1.01403171E+01          4.53635593E+00          3.13423127E+00
         70.0000          1.02339629E+01          4.56358649E+00          3.15616955E+00
         71.0000          1.03276854E+01          4.59095409E+00          3.17816712E+00
         72.0000          1.04214805E+01          4.61845253E+00          3.20022123E+00
         73.0000          1.05153441E+01          4.64607595E+00          3.22232925E+00
         74.0000          1.06092726E+01          4.67381880E+00          3.24448873E+00
         75.0000          1.07032625E+01          4.70167583E+00          3.26669731E+00
         76.0000          1.07973103E+01          4.72964207E+00          3.28895277E+00
         77.0000          1.08914131E+01          4.75771280E+00          3.31125303E+00
         78.0000          1.09855678E+01          4.78588356E+00          3.33359607E+00
         79.0000          1.10797715E+01          4.81415010E+00          3.35598001E+00
         80.0000          1.11740218E+01          4.84250839E+00          3.37840304E+00
         81.0000          1.12683159E+01          4.87095461E+00          3.40086346E+00
         82.0000          1.13626516E+01          4.89948511E+00          3.42335963E+00
         83.0000          1.14570266E+01          4.92809643E+00          3.44589001E+00
         84.0000          1.15514386E+01          4.95678529E+00          3.46845314E+00
         85.0000          1.16458857E+01          4.98554853E+00          3.49104759E+00
         86.0000          1.17403660E+01          5.01438318E+00          3.51367204E+00
         87.0000          1.18348775E+01          5.04328638E+00          3.53632521E+00
         88.0000          1.19294185E+01          5.07225541E+00          3.55900589E+00
         89.0000          1.20239874E+01          5.10128768E+00          3.58171291E+00
         90.0000          1.21185826E+01          5.13038071E+00          3.60444516E+00
         91.0000          1.22132025E+01          5.15953215E+00          3.62720160E+00
         92.0000          1.23078457E+01          5.18873972E+00          3.64998120E+00
         93.0000          1.24025109E+01          5.21800128E+00          3.67278301E+00
         94.0000          1.24971967E+01          5.24731475E+00          3.69560609E+00
         95.0000          1.25919019E+01          5.27667816E+00          3.71844956E+00
         96.0000          1.26866253E+01          5.30608961E+00          3.74131258E+00
         97.0000          1.27813657E+01          5.33554730E+00          3.76419434E+00
         98.0000          1.28761222E+01          5.36504949E+00          3.78709405E+00
         99.0000          1.29708936E+01          5.39459451E+00          3.81001098E+00
        100.0000          1.30656790E+01          5.42418078E+00          3.83294442E+00
        110.0000          1.40141133E+01          5.72200411E+00          4.06304909E+00
        120.0000          1.49631307E+01          6.02259986E+00          4.29420118E+00
        130.0000          1.59122440E+01          6.32511886E+00          4.52602385E+00
        140.0000          1.68611334E+01          6.62896912E+00          4.75825648E+00
        150.0000          1.78095876E+01          6.93372883E+00          4.99071543E+00
        160.0000          1.87574671E+01          7.23909210E+00          5.22326939E+00
        170.0000          1.97046808E+01          7.54483387E+00          5.45582352E+00
        180.0000          2.06511709E+01          7.85078657E+00          5.68830879E+00
        190.0000          2.15969024E+01          8.15682435E+00          5.92067477E+00
        200.0000          2.25418567E+01          8.46285197E+00          6.15288466E+00
        210.0000          2.34860266E+01          8.76879707E+00          6.38491171E+00
        220.0000          2.44294129E+01          9.07460451E+00          6.61673666E+00
