#Energy      C-K-shell   F-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          1.89205791E+03          1.89205791E+03
          0.2000          1.00000000E+30          1.00000000E+30          1.18839780E+03          1.18839780E+03
          0.3000          1.00000000E+30          1.00000000E+30          8.61531874E+02          8.61531874E+02
          0.4000          1.00000000E+30          1.00000000E+30          6.79793709E+02          6.79793709E+02
          0.5000          1.00000000E+30          1.00000000E+30          5.61836666E+02          5.61836666E+02
          0.6000          1.00000000E+30          1.00000000E+30          4.79467717E+02          4.79467717E+02
          0.7000          1.00000000E+30          1.00000000E+30          4.18813323E+02          4.18813323E+02
          0.8000          1.00000000E+30          1.00000000E+30          3.72330567E+02          3.72330567E+02
          0.9000          1.00000000E+30          1.00000000E+30          3.35683442E+02          3.35683442E+02
          1.0000          1.00000000E+30          1.00000000E+30          3.05961608E+02          3.05961608E+02
          2.0000          1.00000000E+30          1.00000000E+30          1.68245716E+02          1.68245716E+02
          3.0000          1.00000000E+30          1.00000000E+30          1.20465597E+02          1.20465597E+02
          4.0000          1.00000000E+30          1.00000000E+30          9.59222153E+01          9.59222153E+01
          5.0000          1.00000000E+30          1.00000000E+30          8.08197909E+01          8.08197909E+01
          6.0000          1.00000000E+30          1.00000000E+30          7.04946393E+01          7.04946393E+01
          7.0000          1.00000000E+30          1.00000000E+30          6.29361887E+01          6.29361887E+01
          8.0000          1.00000000E+30          1.00000000E+30          5.71279434E+01          5.71279434E+01
          9.0000          1.00000000E+30          1.00000000E+30          5.25005594E+01          5.25005594E+01
         10.0000          1.00000000E+30          1.00000000E+30          4.87086186E+01          4.87086186E+01
         11.0000          1.00000000E+30          1.00000000E+30          4.55312123E+01          4.55312123E+01
         12.0000          1.00000000E+30          1.00000000E+30          4.28197084E+01          4.28197084E+01
         13.0000          1.00000000E+30          1.00000000E+30          4.04707518E+01          4.04707518E+01
         14.0000          1.00000000E+30          1.00000000E+30          3.84091908E+01          3.84091908E+01
         15.0000          1.00000000E+30          1.00000000E+30          3.65796501E+01          3.65796501E+01
         16.0000          1.00000000E+30          1.00000000E+30          3.49404740E+01          3.49404740E+01
         17.0000          1.00000000E+30          1.00000000E+30          3.34592624E+01          3.34592624E+01
         18.0000          1.00000000E+30          1.00000000E+30          3.21107836E+01          3.21107836E+01
         19.0000          1.00000000E+30          1.00000000E+30          3.08749151E+01          3.08749151E+01
         20.0000          1.00000000E+30          1.00000000E+30          2.97354019E+01          2.97354019E+01
         21.0000          1.00000000E+30          1.00000000E+30          2.86789689E+01          2.86789689E+01
         22.0000          1.00000000E+30          1.00000000E+30          2.76947451E+01          2.76947451E+01
         23.0000          1.00000000E+30          1.00000000E+30          2.67736600E+01          2.67736600E+01
         24.0000          1.00000000E+30          1.00000000E+30          2.59080685E+01          2.59080685E+01
         25.0000          1.00000000E+30          1.00000000E+30          2.50915266E+01          2.50915266E+01
         26.0000          1.00000000E+30          1.00000000E+30          2.43185428E+01          2.43185428E+01
         27.0000          1.00000000E+30          1.00000000E+30          2.35844097E+01          2.35844097E+01
         28.0000          1.00000000E+30          1.00000000E+30          2.28850740E+01          2.28850740E+01
         29.0000          1.00000000E+30          1.00000000E+30          2.22170129E+01          2.22170129E+01
         30.0000          1.00000000E+30          1.00000000E+30          2.15771645E+01          2.15771645E+01
         31.0000          1.00000000E+30          1.00000000E+30          2.09628430E+01          2.09628430E+01
         32.0000          1.00000000E+30          1.00000000E+30          2.03716990E+01          2.03716990E+01
         33.0000          1.00000000E+30          1.00000000E+30          1.98016533E+01          1.98016533E+01
         34.0000          1.00000000E+30          1.00000000E+30          1.92508716E+01          1.92508716E+01
         35.0000          1.00000000E+30          1.00000000E+30          1.87177281E+01          1.87177281E+01
         36.0000          1.00000000E+30          1.00000000E+30          1.82007807E+01          1.82007807E+01
         37.0000          1.00000000E+30          1.00000000E+30          1.76987483E+01          1.76987483E+01
         38.0000          1.00000000E+30          1.00000000E+30          1.72104935E+01          1.72104935E+01
         39.0000          1.00000000E+30          1.00000000E+30          1.67350072E+01          1.67350072E+01
         40.0000          1.00000000E+30          1.00000000E+30          1.62713978E+01          1.62713978E+01
         41.0000          1.00000000E+30          1.00000000E+30          1.58188794E+01          1.58188794E+01
         42.0000          1.00000000E+30          1.00000000E+30          1.53767657E+01          1.53767657E+01
         43.0000          1.00000000E+30          1.00000000E+30          1.49444635E+01          1.49444635E+01
         44.0000          1.00000000E+30          1.00000000E+30          1.45214691E+01          1.45214691E+01
         45.0000          1.00000000E+30          1.00000000E+30          1.41073638E+01          1.41073638E+01
         46.0000          1.00000000E+30          1.00000000E+30          1.37018134E+01          1.37018134E+01
         47.0000          1.00000000E+30          1.00000000E+30          1.33045673E+01          1.33045673E+01
         48.0000          1.00000000E+30          1.00000000E+30          1.29154584E+01          1.29154584E+01
         49.0000          1.00000000E+30          1.00000000E+30          1.25344040E+01          1.25344040E+01
         50.0000          1.00000000E+30          1.00000000E+30          1.21614060E+01          1.21614060E+01
         51.0000          1.00000000E+30          1.00000000E+30          1.17965518E+01          1.17965518E+01
         52.0000          1.00000000E+30          1.00000000E+30          1.14400131E+01          1.14400131E+01
         53.0000          1.00000000E+30          1.00000000E+30          1.10920438E+01          1.10920438E+01
         54.0000          1.00000000E+30          1.00000000E+30          1.07529751E+01          1.07529751E+01
         55.0000          1.00000000E+30          1.00000000E+30          1.04232068E+01          1.04232068E+01
         56.0000          1.00000000E+30          1.00000000E+30          1.01031957E+01          1.01031957E+01
         57.0000          1.00000000E+30          1.00000000E+30          9.79343871E+00          9.79343871E+00
         58.0000          1.00000000E+30          1.00000000E+30          9.49445109E+00          9.49445109E+00
         59.0000          1.00000000E+30          1.00000000E+30          9.20674233E+00          9.20674233E+00
         60.0000          1.00000000E+30          1.00000000E+30          8.93079011E+00          8.93079011E+00
         61.0000          1.00000000E+30          1.00000000E+30          8.66701180E+00          8.66701180E+00
         62.0000          1.00000000E+30          1.00000000E+30          8.41574079E+00          8.41574079E+00
         63.0000          1.00000000E+30          1.00000000E+30          8.17720621E+00          8.17720621E+00
         64.0000          1.00000000E+30          1.00000000E+30          7.95151931E+00          7.95151931E+00
         65.0000          1.00000000E+30          1.00000000E+30          7.73866750E+00          7.73866750E+00
         66.0000          1.00000000E+30          1.00000000E+30          7.53851602E+00          7.53851602E+00
         67.0000          1.00000000E+30          1.00000000E+30          7.35081635E+00          7.35081635E+00
         68.0000          1.00000000E+30          1.00000000E+30          7.17521996E+00          7.17521996E+00
         69.0000          1.00000000E+30          1.00000000E+30          7.01129540E+00          7.01129540E+00
         70.0000          1.00000000E+30          1.00000000E+30          6.85854690E+00          6.85854690E+00
         71.0000          1.00000000E+30          1.00000000E+30          6.71643298E+00          6.71643298E+00
         72.0000          1.00000000E+30          1.00000000E+30          6.58438361E+00          6.58438361E+00
         73.0000          1.00000000E+30          1.00000000E+30          6.46181550E+00          6.46181550E+00
         74.0000          1.00000000E+30          1.00000000E+30          6.34814470E+00          6.34814470E+00
         75.0000          1.00000000E+30          1.00000000E+30          6.24279679E+00          6.24279679E+00
         76.0000          1.00000000E+30          1.00000000E+30          6.14521472E+00          6.14521472E+00
         77.0000          1.00000000E+30          1.00000000E+30          6.05486419E+00          6.05486419E+00
         78.0000          1.00000000E+30          1.00000000E+30          5.97123753E+00          5.97123753E+00
         79.0000          1.00000000E+30          1.00000000E+30          5.89385590E+00          5.89385590E+00
         80.0000          1.00000000E+30          1.00000000E+30          5.82227030E+00          5.82227030E+00
         81.0000          1.00000000E+30          1.00000000E+30          5.75606175E+00          5.75606175E+00
         82.0000          1.00000000E+30          1.00000000E+30          5.69484077E+00          5.69484077E+00
         83.0000          1.00000000E+30          1.00000000E+30          5.63824633E+00          5.63824633E+00
         84.0000          1.00000000E+30          1.00000000E+30          5.58594458E+00          5.58594458E+00
         85.0000          1.00000000E+30          1.00000000E+30          5.53762729E+00          5.53762729E+00
         86.0000          1.00000000E+30          1.00000000E+30          5.49301031E+00          5.49301031E+00
         87.0000          1.00000000E+30          1.00000000E+30          5.45183185E+00          5.45183185E+00
         88.0000          1.00000000E+30          1.00000000E+30          5.41385088E+00          5.41385088E+00
         89.0000          1.00000000E+30          1.00000000E+30          5.37884555E+00          5.37884555E+00
         90.0000          1.00000000E+30          1.00000000E+30          5.34661164E+00          5.34661164E+00
         91.0000          1.00000000E+30          1.00000000E+30          5.31696117E+00          5.31696117E+00
         92.0000          1.00000000E+30          1.00000000E+30          5.28972103E+00          5.28972103E+00
         93.0000          1.00000000E+30          1.00000000E+30          5.26473173E+00          5.26473173E+00
         94.0000          1.00000000E+30          1.00000000E+30          5.24184627E+00          5.24184627E+00
         95.0000          1.00000000E+30          1.00000000E+30          5.22092908E+00          5.22092908E+00
         96.0000          1.00000000E+30          1.00000000E+30          5.20185500E+00          5.20185500E+00
         97.0000          1.00000000E+30          1.00000000E+30          5.18450844E+00          5.18450844E+00
         98.0000          1.00000000E+30          1.00000000E+30          5.16878255E+00          5.16878255E+00
         99.0000          1.00000000E+30          1.00000000E+30          5.15457848E+00          5.15457848E+00
        100.0000          1.00000000E+30          1.00000000E+30          5.14180466E+00          5.14180466E+00
        110.0000          1.00000000E+30          1.00000000E+30          5.07673959E+00          5.07673959E+00
        120.0000          1.00000000E+30          1.00000000E+30          5.09031274E+00          5.09031274E+00
        130.0000          1.00000000E+30          1.00000000E+30          5.15149702E+00          5.15149702E+00
        140.0000          1.00000000E+30          1.00000000E+30          5.24320345E+00          5.24320345E+00
        150.0000          1.00000000E+30          1.00000000E+30          5.35536107E+00          5.35536107E+00
        160.0000          1.00000000E+30          1.00000000E+30          5.48169929E+00          5.48169929E+00
        170.0000          1.00000000E+30          1.00000000E+30          5.61813493E+00          5.61813493E+00
        180.0000          1.00000000E+30          1.00000000E+30          5.76190948E+00          5.76190948E+00
        190.0000          1.00000000E+30          1.00000000E+30          5.90545562E+00          5.90545562E+00
        200.0000          1.00000000E+30          1.00000000E+30          6.06028843E+00          6.06028843E+00
        210.0000          1.00000000E+30          1.00000000E+30          6.21607790E+00          6.21607790E+00
        220.0000          1.00000000E+30          1.00000000E+30          6.37260097E+00          6.37260097E+00
        230.0000          1.00000000E+30          1.00000000E+30          6.53636759E+00          6.53636759E+00
        240.0000          1.00000000E+30          1.00000000E+30          6.69989529E+00          6.69989529E+00
        250.0000          1.00000000E+30          1.00000000E+30          6.86314309E+00          6.86314309E+00
        260.0000          1.00000000E+30          1.00000000E+30          7.02608279E+00          7.02608279E+00
        270.0000          1.00000000E+30          1.00000000E+30          7.18869553E+00          7.18869553E+00
        280.0000          1.00000000E+30          1.00000000E+30          7.35096930E+00          7.35096930E+00
        287.9990          1.00000000E+30          1.00000000E+30          7.48157827E+00          7.48157827E+00
        288.0010          2.13314608E+11          1.00000000E+30          7.48161486E+00          7.48161486E+00
        290.0000          9.89333352E+06          1.00000000E+30          7.51817043E+00          7.51816472E+00
        300.0000          6.63469856E+05          1.00000000E+30          7.67954033E+00          7.67945144E+00
        310.0000          2.61862976E+05          1.00000000E+30          7.84550552E+00          7.84527048E+00
        320.0000          1.46725675E+05          1.00000000E+30          8.01081322E+00          8.01037588E+00
        330.0000          9.62501051E+04          1.00000000E+30          8.17548396E+00          8.17478959E+00
        340.0000          6.91203585E+04          1.00000000E+30          8.33953808E+00          8.33853202E+00
        350.0000          5.26616693E+04          1.00000000E+30          8.50299555E+00          8.50162283E+00
        360.0000          4.18350193E+04          1.00000000E+30          8.66587573E+00          8.66408102E+00
        370.0000          3.42869745E+04          1.00000000E+30          8.82819742E+00          8.82592493E+00
        380.0000          2.87895618E+04          1.00000000E+30          8.99415523E+00          8.99134624E+00
        390.0000          2.46455385E+04          1.00000000E+30          9.15530778E+00          9.15190804E+00
        400.0000          2.14350412E+04          1.00000000E+30          9.31595687E+00          9.31190979E+00
        410.0000          1.88906531E+04          1.00000000E+30          9.48003648E+00          9.47528143E+00
        420.0000          1.68355445E+04          1.00000000E+30          9.63962647E+00          9.63411021E+00
        430.0000          1.51490885E+04          1.00000000E+30          9.80253170E+00          9.79619287E+00
        440.0000          1.37457947E+04          1.00000000E+30          9.96485164E+00          9.95763298E+00
        450.0000          1.25642217E+04          1.00000000E+30          1.01266034E+01          1.01184480E+01
        460.0000          1.15588048E+04          1.00000000E+30          1.02841768E+01          1.02750348E+01
        470.0000          1.06955017E+04          1.00000000E+30          1.04448877E+01          1.04346975E+01
        480.0000          9.94812762E+03          1.00000000E+30          1.06050769E+01          1.05937835E+01
        490.0000          9.29644004E+03          1.00000000E+30          1.07647588E+01          1.07523083E+01
        500.0000          8.72447964E+03          1.00000000E+30          1.09239472E+01          1.09102864E+01
        510.0000          8.21956976E+03          1.00000000E+30          1.10826553E+01          1.10677324E+01
        520.0000          7.77148701E+03          1.00000000E+30          1.12408958E+01          1.12246601E+01
        530.0000          7.37195008E+03          1.00000000E+30          1.13986809E+01          1.13810832E+01
        540.0000          7.01415266E+03          1.00000000E+30          1.15560225E+01          1.15370149E+01
        550.0000          6.69246281E+03          1.00000000E+30          1.17129317E+01          1.16924679E+01
        560.0000          6.40218973E+03          1.00000000E+30          1.18725860E+01          1.18506096E+01
        570.0000          6.13940624E+03          1.00000000E+30          1.20286187E+01          1.20050978E+01
        580.0000          5.90077906E+03          1.00000000E+30          1.21842507E+01          1.21591439E+01
        590.0000          5.68347115E+03          1.00000000E+30          1.23394915E+01          1.23127591E+01
        600.0000          5.48507711E+03          1.00000000E+30          1.24973801E+01          1.24689704E+01
        610.0000          5.30350988E+03          1.00000000E+30          1.26518240E+01          1.26217142E+01
        620.0000          5.13697244E+03          1.00000000E+30          1.28059039E+01          1.27740595E+01
        630.0000          4.98390547E+03          1.00000000E+30          1.29625642E+01          1.29289375E+01
        640.0000          4.84294923E+03          1.00000000E+30          1.31158993E+01          1.30804742E+01
        650.0000          4.71290900E+03          1.00000000E+30          1.32717814E+01          1.32345123E+01
        660.0000          4.59274099E+03          1.00000000E+30          1.34244025E+01          1.33852779E+01
        670.0000          4.48152076E+03          1.00000000E+30          1.35795381E+01          1.35385148E+01
        680.0000          4.37843141E+03          1.00000000E+30          1.37314752E+01          1.36885457E+01
        690.0000          4.28274428E+03          1.00000000E+30          1.38858926E+01          1.38410161E+01
        693.9990          4.24640502E+03          1.00000000E+30          1.39458679E+01          1.39002174E+01
