#Energy      Zn  Total
         81.0000          1.30225443E+01          1.30225443E+01
         82.0000          1.29284835E+01          1.29284835E+01
         83.0000          1.28369337E+01          1.28369337E+01
         84.0000          1.27478055E+01          1.27478055E+01
         85.0000          1.26610136E+01          1.26610136E+01
         86.0000          1.25764767E+01          1.25764767E+01
         87.0000          1.24941172E+01          1.24941172E+01
         88.0000          1.24138609E+01          1.24138609E+01
         89.0000          1.23356371E+01          1.23356371E+01
         90.0000          1.22593780E+01          1.22593780E+01
         90.9990          1.21850925E+01          1.21850925E+01
         91.0000          1.21850191E+01          1.21850191E+01
         91.0010          1.21849456E+01          1.21849456E+01
         92.0000          1.21124983E+01          1.21124983E+01
         93.0000          1.20417564E+01          1.20417564E+01
         93.9990          1.19728049E+01          1.19728049E+01
         94.0000          1.19727367E+01          1.19727367E+01
         94.0010          1.19726685E+01          1.19726685E+01
         95.0000          1.19053848E+01          1.19053848E+01
         96.0000          1.18396486E+01          1.18396486E+01
         97.0000          1.17754781E+01          1.17754781E+01
         98.0000          1.17128253E+01          1.17128253E+01
         99.0000          1.16516443E+01          1.16516443E+01
        100.0000          1.15918908E+01          1.15918908E+01
        110.0000          1.10642940E+01          1.10642940E+01
        120.0000          1.06415507E+01          1.06415507E+01
        130.0000          1.02993677E+01          1.02993677E+01
        140.0000          1.00203731E+01          1.00203731E+01
        140.9990          9.99545152E+00          9.99545152E+00
        141.0010          9.99540212E+00          9.99540212E+00
        150.0000          9.79181684E+00          9.79181684E+00
        160.0000          9.60413176E+00          9.60413176E+00
        170.0000          9.44999997E+00          9.44999997E+00
        180.0000          9.32373004E+00          9.32373004E+00
        190.0000          9.22082995E+00          9.22082995E+00
        200.0000          9.13770794E+00          9.13770794E+00
        210.0000          9.07145851E+00          9.07145851E+00
        220.0000          9.01970664E+00          9.01970664E+00
        230.0000          8.98049263E+00          8.98049263E+00
        240.0000          8.95218553E+00          8.95218553E+00
        250.0000          8.93341743E+00          8.93341743E+00
        260.0000          8.92303283E+00          8.92303283E+00
        270.0000          8.92004923E+00          8.92004923E+00
        280.0000          8.92362620E+00          8.92362620E+00
        290.0000          8.93304084E+00          8.93304084E+00
        300.0000          8.94766808E+00          8.94766808E+00
        310.0000          8.96696490E+00          8.96696490E+00
        320.0000          8.99045738E+00          8.99045738E+00
        330.0000          9.01773025E+00          9.01773025E+00
        340.0000          9.04841816E+00          9.04841816E+00
        350.0000          9.08219852E+00          9.08219852E+00
        360.0000          9.11878549E+00          9.11878549E+00
        370.0000          9.15792504E+00          9.15792504E+00
        380.0000          9.19939063E+00          9.19939063E+00
        390.0000          9.24297973E+00          9.24297973E+00
        400.0000          9.28851073E+00          9.28851073E+00
        410.0000          9.33582041E+00          9.33582041E+00
        420.0000          9.38476165E+00          9.38476165E+00
        430.0000          9.43520162E+00          9.43520162E+00
        440.0000          9.48702007E+00          9.48702007E+00
        450.0000          9.54010791E+00          9.54010791E+00
        460.0000          9.59436601E+00          9.59436601E+00
        470.0000          9.64970411E+00          9.64970411E+00
