#Energy      Ru  Total
          0.1000          2.26887813E+04          2.26887813E+04
          0.2000          1.13686672E+04          1.13686672E+04
          0.3000          7.59157259E+03          7.59157259E+03
          0.4000          5.70158364E+03          5.70158364E+03
          0.5000          4.56685513E+03          4.56685513E+03
          0.6000          3.80993541E+03          3.80993541E+03
          0.7000          3.26899727E+03          3.26899727E+03
          0.8000          2.86309938E+03          2.86309938E+03
          0.9000          2.54726024E+03          2.54726024E+03
          1.0000          2.29448313E+03          2.29448313E+03
          2.0000          1.15522093E+03          1.15522093E+03
          3.0000          7.74339745E+02          7.74339745E+02
          4.0000          5.83473974E+02          5.83473974E+02
          5.0000          4.68743378E+02          4.68743378E+02
          6.0000          3.92135025E+02          3.92135025E+02
          7.0000          3.37338395E+02          3.37338395E+02
          8.0000          2.96189684E+02          2.96189684E+02
          9.0000          2.64149126E+02          2.64149126E+02
         10.0000          2.38490474E+02          2.38490474E+02
         11.0000          2.17477423E+02          2.17477423E+02
         12.0000          1.99951549E+02          1.99951549E+02
         13.0000          1.85110282E+02          1.85110282E+02
         14.0000          1.72379966E+02          1.72379966E+02
         15.0000          1.61339641E+02          1.61339641E+02
         16.0000          1.51673389E+02          1.51673389E+02
         17.0000          1.43139479E+02          1.43139479E+02
         18.0000          1.35549792E+02          1.35549792E+02
         19.0000          1.28755728E+02          1.28755728E+02
         20.0000          1.22638341E+02          1.22638341E+02
         21.0000          1.17101295E+02          1.17101295E+02
         22.0000          1.12065728E+02          1.12065728E+02
         23.0000          1.07466460E+02          1.07466460E+02
         24.0000          1.03249150E+02          1.03249150E+02
         25.0000          9.93681311E+01          9.93681311E+01
         26.0000          9.57847426E+01          9.57847426E+01
         27.0000          9.24660382E+01          9.24660382E+01
         28.0000          8.93837661E+01          8.93837661E+01
         29.0000          8.65135610E+01          8.65135610E+01
         30.0000          8.38342977E+01          8.38342977E+01
         31.0000          8.13275696E+01          8.13275696E+01
         32.0000          7.89772647E+01          7.89772647E+01
         33.0000          7.67692184E+01          7.67692184E+01
         34.0000          7.46909283E+01          7.46909283E+01
         35.0000          7.27313164E+01          7.27313164E+01
         36.0000          7.08805324E+01          7.08805324E+01
         37.0000          6.91297877E+01          6.91297877E+01
         38.0000          6.74712162E+01          6.74712162E+01
         39.0000          6.58977561E+01          6.58977561E+01
         40.0000          6.44030499E+01          6.44030499E+01
         41.0000          6.29813583E+01          6.29813583E+01
         42.0000          6.16274871E+01          6.16274871E+01
         43.0000          6.03367238E+01          6.03367238E+01
         44.0000          5.91047829E+01          5.91047829E+01
         45.0000          5.79277589E+01          5.79277589E+01
         46.0000          5.68020847E+01          5.68020847E+01
         47.0000          5.57244958E+01          5.57244958E+01
         48.0000          5.46919990E+01          5.46919990E+01
         48.9990          5.37028145E+01          5.37028145E+01
         49.0000          5.37018446E+01          5.37018446E+01
         49.0010          5.37008748E+01          5.37008748E+01
         50.0000          5.27515024E+01          5.27515024E+01
         51.0000          5.18386397E+01          5.18386397E+01
         52.0000          5.09611029E+01          5.09611029E+01
         52.9990          5.01177286E+01          5.01177286E+01
         53.0000          5.01169004E+01          5.01169004E+01
         53.0010          5.01160722E+01          5.01160722E+01
         54.0000          4.93041875E+01          4.93041875E+01
