#Energy      C  Total
          0.1000          2.37403077E+01          2.37403077E+01
          0.2000          1.31148032E+01          1.31148032E+01
          0.3000          9.41418942E+00          9.41418942E+00
          0.4000          7.50337811E+00          7.50337811E+00
          0.5000          6.32657854E+00          6.32657854E+00
          0.6000          5.52449136E+00          5.52449136E+00
          0.7000          4.94043695E+00          4.94043695E+00
          0.8000          4.49487583E+00          4.49487583E+00
          0.9000          4.14301161E+00          4.14301161E+00
          1.0000          3.85762882E+00          3.85762882E+00
          2.0000          2.51501957E+00          2.51501957E+00
          3.0000          2.03930258E+00          2.03930258E+00
          4.0000          1.79768372E+00          1.79768372E+00
          5.0000          1.65489339E+00          1.65489339E+00
          6.0000          1.56365547E+00          1.56365547E+00
          7.0000          1.50292488E+00          1.50292488E+00
          8.0000          1.46183676E+00          1.46183676E+00
          9.0000          1.43418503E+00          1.43418503E+00
         10.0000          1.41615344E+00          1.41615344E+00
         11.0000          1.40525944E+00          1.40525944E+00
         12.0000          1.39981472E+00          1.39981472E+00
         13.0000          1.39862906E+00          1.39862906E+00
         14.0000          1.40083805E+00          1.40083805E+00
         15.0000          1.40579798E+00          1.40579798E+00
         16.0000          1.41301920E+00          1.41301920E+00
         17.0000          1.42212230E+00          1.42212230E+00
         18.0000          1.43280855E+00          1.43280855E+00
         19.0000          1.44483941E+00          1.44483941E+00
         20.0000          1.45802197E+00          1.45802197E+00
         21.0000          1.47219854E+00          1.47219854E+00
         22.0000          1.48723886E+00          1.48723886E+00
         23.0000          1.50303438E+00          1.50303438E+00
         24.0000          1.51949390E+00          1.51949390E+00
         25.0000          1.53654020E+00          1.53654020E+00
         26.0000          1.55410748E+00          1.55410748E+00
         27.0000          1.57213928E+00          1.57213928E+00
         28.0000          1.59058693E+00          1.59058693E+00
         29.0000          1.60940817E+00          1.60940817E+00
         30.0000          1.62856621E+00          1.62856621E+00
         31.0000          1.64802880E+00          1.64802880E+00
         32.0000          1.66776761E+00          1.66776761E+00
         33.0000          1.68775760E+00          1.68775760E+00
         34.0000          1.70797659E+00          1.70797659E+00
         35.0000          1.72840487E+00          1.72840487E+00
         36.0000          1.74902481E+00          1.74902481E+00
         37.0000          1.76982067E+00          1.76982067E+00
         38.0000          1.79077830E+00          1.79077830E+00
         39.0000          1.81188496E+00          1.81188496E+00
         40.0000          1.83312917E+00          1.83312917E+00
         41.0000          1.85450052E+00          1.85450052E+00
         42.0000          1.87598958E+00          1.87598958E+00
         43.0000          1.89758777E+00          1.89758777E+00
         44.0000          1.91928728E+00          1.91928728E+00
