#Energy      Zn   O  Total
         88.0000          2.32541903E+01          6.90710589E+00          5.32533992E+00
         89.0000          2.31076580E+01          6.95189281E+00          5.34412382E+00
         90.0000          2.29648062E+01          6.99673372E+00          5.36282962E+00
         90.9990          2.28256513E+01          7.04158146E+00          5.38143872E+00
         91.0000          2.28255137E+01          7.04162638E+00          5.38145731E+00
         91.0010          2.28253762E+01          7.04167129E+00          5.38147590E+00
         92.0000          2.26896646E+01          7.08656863E+00          5.40000692E+00
         93.0000          2.25571478E+01          7.13155844E+00          5.41847855E+00
         93.9990          2.24279848E+01          7.17654878E+00          5.43685400E+00
         94.0000          2.24278571E+01          7.17659384E+00          5.43687236E+00
         94.0010          2.24277294E+01          7.17663889E+00          5.43689071E+00
         95.0000          2.23016905E+01          7.22167295E+00          5.45518858E+00
         96.0000          2.21785506E+01          7.26679398E+00          5.47342747E+00
         97.0000          2.20583435E+01          7.31195522E+00          5.49158936E+00
         98.0000          2.19409796E+01          7.35715502E+00          5.50967460E+00
         99.0000          2.18263726E+01          7.40239182E+00          5.52768361E+00
        100.0000          2.17144398E+01          7.44766410E+00          5.54561682E+00
        110.0000          2.07261223E+01          7.90204873E+00          5.72089737E+00
        120.0000          1.99342208E+01          8.35871128E+00          5.88925870E+00
        130.0000          1.92932287E+01          8.81686058E+00          6.05141114E+00
        140.0000          1.87706036E+01          9.27595101E+00          6.20807803E+00
        140.9990          1.87239195E+01          9.32185001E+00          6.22345445E+00
        141.0010          1.87238269E+01          9.32194191E+00          6.22348519E+00
        150.0000          1.83424620E+01          9.73559878E+00          6.35994246E+00
        160.0000          1.79908821E+01          1.01955297E+01          6.50762408E+00
        170.0000          1.77021557E+01          1.06555454E+01          6.65167188E+00
        180.0000          1.74656213E+01          1.11155013E+01          6.79256511E+00
        190.0000          1.72728643E+01          1.15752915E+01          6.93071824E+00
        200.0000          1.71171565E+01          1.20348382E+01          7.06648759E+00
        210.0000          1.69930551E+01          1.24940843E+01          7.20017835E+00
        220.0000          1.68961113E+01          1.29529882E+01          7.33205133E+00
        230.0000          1.68226538E+01          1.34115201E+01          7.46232923E+00
        240.0000          1.67696277E+01          1.38696589E+01          7.59120210E+00
        250.0000          1.67344705E+01          1.43273905E+01          7.71883223E+00
        260.0000          1.67150176E+01          1.47847056E+01          7.84535830E+00
        270.0000          1.67094286E+01          1.52415993E+01          7.97089896E+00
        280.0000          1.67161291E+01          1.56980693E+01          8.09555586E+00
        290.0000          1.67337651E+01          1.61541161E+01          8.21941621E+00
        300.0000          1.67611655E+01          1.66097417E+01          8.34255500E+00
        310.0000          1.67973131E+01          1.70649495E+01          8.46503683E+00
        320.0000          1.68413203E+01          1.75197442E+01          8.58691742E+00
        330.0000          1.68924090E+01          1.79741310E+01          8.70824500E+00
        340.0000          1.69498949E+01          1.84281160E+01          8.82906137E+00
        350.0000          1.70131738E+01          1.88817053E+01          8.94940286E+00
        360.0000          1.70817101E+01          1.93349056E+01          9.06930110E+00
        370.0000          1.71550280E+01          1.97877238E+01          9.18878373E+00
        380.0000          1.72327032E+01          2.02401669E+01          9.30787495E+00
        390.0000          1.73143562E+01          2.06922417E+01          9.42659599E+00
        400.0000          1.73996469E+01          2.11439552E+01          9.54496557E+00
        410.0000          1.74882695E+01          2.15953145E+01          9.66300019E+00
        420.0000          1.75799484E+01          2.20463264E+01          9.78071448E+00
        430.0000          1.76744347E+01          2.24969976E+01          9.89812144E+00
        440.0000          1.77715033E+01          2.29473349E+01          1.00152327E+01
        450.0000          1.78709498E+01          2.33973447E+01          1.01320585E+01
        460.0000          1.79725885E+01          2.38470335E+01          1.02486082E+01
        470.0000          1.80762502E+01          2.42964075E+01          1.03648901E+01
        480.0000          1.81817808E+01          2.47454729E+01          1.04809119E+01
        490.0000          1.82890393E+01          2.51942356E+01          1.05966804E+01
        500.0000          1.83978967E+01          2.56427014E+01          1.07122017E+01
        510.0000          1.85082346E+01          2.60908760E+01          1.08274817E+01
        520.0000          1.86199446E+01          2.65387649E+01          1.09425255E+01
        530.0000          1.87329267E+01          2.69863734E+01          1.10573380E+01
        537.9990          1.88241548E+01          2.73442171E+01          1.11490130E+01
        538.0010          1.88241777E+01          2.73443066E+01          1.11490359E+01
        540.0000          1.88470890E+01          2.74337068E+01          1.11719236E+01
        550.0000          1.89623468E+01          2.78807700E+01          1.12862864E+01
        560.0000          1.90786219E+01          2.83275681E+01          1.14004302E+01
        570.0000          1.91958420E+01          2.87741058E+01          1.15143588E+01
        580.0000          1.93139401E+01          2.92203878E+01          1.16280753E+01
        590.0000          1.94328543E+01          2.96664186E+01          1.17415830E+01
        600.0000          1.95525271E+01          3.01122025E+01          1.18548849E+01
        610.0000          1.96729052E+01          3.05577438E+01          1.19679839E+01
        620.0000          1.97939390E+01          3.10030467E+01          1.20808825E+01
        630.0000          1.99155824E+01          3.14481153E+01          1.21935834E+01
        640.0000          2.00377926E+01          3.18929533E+01          1.23060890E+01
        650.0000          2.01605294E+01          3.23375647E+01          1.24184018E+01
        660.0000          2.02837557E+01          3.27819530E+01          1.25305238E+01
        670.0000          2.04074366E+01          3.32261220E+01          1.26424574E+01
        680.0000          2.05315397E+01          3.36700751E+01          1.27542046E+01
        690.0000          2.06560345E+01          3.41138157E+01          1.28657674E+01
        700.0000          2.07808926E+01          3.45573472E+01          1.29771479E+01
        710.0000          2.09060874E+01          3.50006727E+01          1.30883478E+01
