#Energy      C  Total
          0.1000          2.35711308E+01          2.35711308E+01
          0.2000          1.30213452E+01          1.30213452E+01
          0.3000          9.34710251E+00          9.34710251E+00
          0.4000          7.44990793E+00          7.44990793E+00
          0.5000          6.28149441E+00          6.28149441E+00
          0.6000          5.48512302E+00          5.48512302E+00
          0.7000          4.90523066E+00          4.90523066E+00
          0.8000          4.46284468E+00          4.46284468E+00
          0.9000          4.11348790E+00          4.11348790E+00
          1.0000          3.83013879E+00          3.83013879E+00
          2.0000          2.49709717E+00          2.49709717E+00
          3.0000          2.02477021E+00          2.02477021E+00
          4.0000          1.78487316E+00          1.78487316E+00
          5.0000          1.64310038E+00          1.64310038E+00
          6.0000          1.55251263E+00          1.55251263E+00
          7.0000          1.49221481E+00          1.49221481E+00
          8.0000          1.45141949E+00          1.45141949E+00
          9.0000          1.42396481E+00          1.42396481E+00
         10.0000          1.40606172E+00          1.40606172E+00
         11.0000          1.39524535E+00          1.39524535E+00
         12.0000          1.38983943E+00          1.38983943E+00
         13.0000          1.38866222E+00          1.38866222E+00
         14.0000          1.39085547E+00          1.39085547E+00
         15.0000          1.39578006E+00          1.39578006E+00
         16.0000          1.40294982E+00          1.40294982E+00
         17.0000          1.41198805E+00          1.41198805E+00
         18.0000          1.42259815E+00          1.42259815E+00
         19.0000          1.43454327E+00          1.43454327E+00
         20.0000          1.44763189E+00          1.44763189E+00
         21.0000          1.46170744E+00          1.46170744E+00
         22.0000          1.47664058E+00          1.47664058E+00
         23.0000          1.49232354E+00          1.49232354E+00
         24.0000          1.50866576E+00          1.50866576E+00
         25.0000          1.52559059E+00          1.52559059E+00
         26.0000          1.54303268E+00          1.54303268E+00
         27.0000          1.56093599E+00          1.56093599E+00
         28.0000          1.57925217E+00          1.57925217E+00
         29.0000          1.59793929E+00          1.59793929E+00
         30.0000          1.61696080E+00          1.61696080E+00
         31.0000          1.63628470E+00          1.63628470E+00
         32.0000          1.65588285E+00          1.65588285E+00
         33.0000          1.67573039E+00          1.67573039E+00
         34.0000          1.69580530E+00          1.69580530E+00
         35.0000          1.71608800E+00          1.71608800E+00
         36.0000          1.73656100E+00          1.73656100E+00
         37.0000          1.75720867E+00          1.75720867E+00
         38.0000          1.77801695E+00          1.77801695E+00
         39.0000          1.79897320E+00          1.79897320E+00
         40.0000          1.82006602E+00          1.82006602E+00
         41.0000          1.84128508E+00          1.84128508E+00
         42.0000          1.86262100E+00          1.86262100E+00
         43.0000          1.88406528E+00          1.88406528E+00
         44.0000          1.90561015E+00          1.90561015E+00
         45.0000          1.92724855E+00          1.92724855E+00
