#Energy      Pb   I  Total
          0.1000          1.90833860E+06          2.21756889E+05          1.98670545E+05
          0.2000          9.54757344E+05          1.11042013E+05          9.94729227E+04
          0.3000          6.36806285E+05          7.41119195E+04          6.63858878E+04
          0.4000          4.77795625E+05          5.56371374E+04          4.98341735E+04
          0.5000          3.82371300E+05          4.45473022E+04          3.98989638E+04
          0.6000          3.18744487E+05          3.71511458E+04          3.32730211E+04
          0.7000          2.73289894E+05          3.18662762E+04          2.85386045E+04
          0.8000          2.39194197E+05          2.79013103E+04          2.49866858E+04
          0.9000          2.12671875E+05          2.48164957E+04          2.22232805E+04
          1.0000          1.91451426E+05          2.23479283E+04          2.00119535E+04
          2.0000          9.59160172E+04          1.12274177E+04          1.00509116E+04
          3.0000          6.40430062E+04          7.51292921E+03          6.72411826E+03
          4.0000          4.80958712E+04          5.65278718E+03          5.05827926E+03
          5.0000          3.85222519E+04          4.53525700E+03          4.05755737E+03
          6.0000          3.21367356E+04          3.78940309E+03          3.38970592E+03
          7.0000          2.75736735E+04          3.25612275E+03          2.91222377E+03
          8.0000          2.41500312E+04          2.85580675E+03          2.55381160E+03
          9.0000          2.14862392E+04          2.54419851E+03          2.27483405E+03
         10.0000          1.93544968E+04          2.29472789E+03          2.05149626E+03
         11.0000          1.76098050E+04          2.09047697E+03          1.86864796E+03
         12.0000          1.61554756E+04          1.92016113E+03          1.71618388E+03
         13.0000          1.49245565E+04          1.77596398E+03          1.58710471E+03
         14.0000          1.38692148E+04          1.65229969E+03          1.47640872E+03
         15.0000          1.29543662E+04          1.54507012E+03          1.38042636E+03
         16.0000          1.21536925E+04          1.45120030E+03          1.29640435E+03
         17.0000          1.14470644E+04          1.36833780E+03          1.22223639E+03
         18.0000          1.08188231E+04          1.29465222E+03          1.15628364E+03
         19.0000          1.02566042E+04          1.22869791E+03          1.09725178E+03
         20.0000          9.75051471E+03          1.16931794E+03          1.04410499E+03
         21.0000          9.29254464E+03          1.11557540E+03          9.96004478E+02
         22.0000          8.87613941E+03          1.06670344E+03          9.52263711E+02
         23.0000          8.49588356E+03          1.02206837E+03          9.12315376E+02
         24.0000          8.14726354E+03          9.81141949E+02          8.75686563E+02
         24.9990          7.82679541E+03          9.43516445E+02          8.42012269E+02
         25.0000          7.82648743E+03          9.43480284E+02          8.41979905E+02
         25.0010          7.82617948E+03          9.43444126E+02          8.41947544E+02
         26.0000          7.53034627E+03          9.08707671E+02          8.10859069E+02
         26.9990          7.25637021E+03          8.76534978E+02          7.82065222E+02
         27.0000          7.25610610E+03          8.76503963E+02          7.82037464E+02
         27.0010          7.25584201E+03          8.76472950E+02          7.82009709E+02
         28.0000          7.00142323E+03          8.46594666E+02          7.55269374E+02
         29.0000          6.76427698E+03          8.18743078E+02          7.30342912E+02
         30.0000          6.54291588E+03          7.92743996E+02          7.07074397E+02
         31.0000          6.33581427E+03          7.68418649E+02          6.85303803E+02
         32.0000          6.14163701E+03          7.45610564E+02          6.64891074E+02
         33.0000          5.95921070E+03          7.24182202E+02          6.45713097E+02
         34.0000          5.78749982E+03          7.04012171E+02          6.27661216E+02
         35.0000          5.62558714E+03          6.84992925E+02          6.10639173E+02
         36.0000          5.47265721E+03          6.67028843E+02          5.94561379E+02
         37.0000          5.32798269E+03          6.50034622E+02          5.79351486E+02
         38.0000          5.19091271E+03          6.33933918E+02          5.64941164E+02
         39.0000          5.06086310E+03          6.18658201E+02          5.51269076E+02
         40.0000          4.93730807E+03          6.04145780E+02          5.38280011E+02
         41.0000          4.81977306E+03          5.90340971E+02          5.25924129E+02
         42.0000          4.70782866E+03          5.77193379E+02          5.14156329E+02
         43.0000          4.60108537E+03          5.64657290E+02          5.02935699E+02
