#Energy      Al   Si  Total
          0.1000          1.08635986E+03          1.04013585E+03          5.31372733E+02
          0.2000          5.56275796E+02          5.30909396E+02          2.71648335E+02
          0.3000          3.77657962E+02          3.59565789E+02          1.84194938E+02
          0.4000          2.87607598E+02          2.73276264E+02          1.40129419E+02
          0.5000          2.33200977E+02          2.21188796E+02          1.13518055E+02
          0.6000          1.96708685E+02          1.86279325E+02          9.56760006E+01
          0.7000          1.70500142E+02          1.61224972E+02          8.28664440E+01
          0.8000          1.50745679E+02          1.42352329E+02          7.32144126E+01
          0.9000          1.35310413E+02          1.27614547E+02          6.56749253E+01
          1.0000          1.22909363E+02          1.15780143E+02          5.96191424E+01
          2.0000          6.62399721E+01          6.18005048E+01          3.19716375E+01
          3.0000          4.68203831E+01          4.33606081E+01          2.25120644E+01
          4.0000          3.69267020E+01          3.39836381E+01          1.76970478E+01
          5.0000          3.09081409E+01          2.82858943E+01          1.47694680E+01
          6.0000          2.68542485E+01          2.44504166E+01          1.27980090E+01
          7.0000          2.39365428E+01          2.16904005E+01          1.13790923E+01
          8.0000          2.17365007E+01          1.96088682E+01          1.03089702E+01
          9.0000          2.00194619E+01          1.79834829E+01          9.47346718E+00
         10.0000          1.86434496E+01          1.66798553E+01          8.80353757E+00
         11.0000          1.75174194E+01          1.56118832E+01          8.25492494E+00
         12.0000          1.65802422E+01          1.47218029E+01          7.79792685E+00
         13.0000          1.57893165E+01          1.39693884E+01          7.41185128E+00
         14.0000          1.51140233E+01          1.33257482E+01          7.08183146E+00
         15.0000          1.45317769E+01          1.27695846E+01          6.79690478E+00
         16.0000          1.40255446E+01          1.22848458E+01          6.54880637E+00
         17.0000          1.35822328E+01          1.18591995E+01          6.33118476E+00
         18.0000          1.31916071E+01          1.14830114E+01          6.13907666E+00
         19.0000          1.28455495E+01          1.11486431E+01          5.96854618E+00
         20.0000          1.25375361E+01          1.08499593E+01          5.81643114E+00
         21.0000          1.22622630E+01          1.05819742E+01          5.68016125E+00
         22.0000          1.20153727E+01          1.03405933E+01          5.55762532E+00
         23.0000          1.17932513E+01          1.01224223E+01          5.44707281E+00
         24.0000          1.15928759E+01          9.92462272E+00          5.34703971E+00
         25.0000          1.14116979E+01          9.74480276E+00          5.25629200E+00
         26.0000          1.12475534E+01          9.58093202E+00          5.17378207E+00
         27.0000          1.10985927E+01          9.43127571E+00          5.09861464E+00
         28.0000          1.09632254E+01          9.29434251E+00          5.03002000E+00
         29.0000          1.08400761E+01          9.16884318E+00          4.96733264E+00
         30.0000          1.07279493E+01          9.05365734E+00          4.90997414E+00
         31.0000          1.06258007E+01          8.94780662E+00          4.85743933E+00
         32.0000          1.05327140E+01          8.85043279E+00          4.80928502E+00
         33.0000          1.04478818E+01          8.76077979E+00          4.76512074E+00
         34.0000          1.03705898E+01          8.67817892E+00          4.72460111E+00
         35.0000          1.03002039E+01          8.60203656E+00          4.68741949E+00
         36.0000          1.02361588E+01          8.53182390E+00          4.65330268E+00
         37.0000          1.01779495E+01          8.46706826E+00          4.62200648E+00
         38.0000          1.01251228E+01          8.40734586E+00          4.59331193E+00
         39.0000          1.00772714E+01          8.35227562E+00          4.56702209E+00
         40.0000          1.00340278E+01          8.30151389E+00          4.54295938E+00
         41.0000          9.99505963E+00          8.25474999E+00          4.52096324E+00
         42.0000          9.96006571E+00          8.21170230E+00          4.50088810E+00
         43.0000          9.92877227E+00          8.17211495E+00          4.48260173E+00
         44.0000          9.90093001E+00          8.13575495E+00          4.46598366E+00
         45.0000          9.87631139E+00          8.10240965E+00          4.45092399E+00
         46.0000          9.85470828E+00          8.07188460E+00          4.43732217E+00
         47.0000          9.83592997E+00          8.04400162E+00          4.42508609E+00
         48.0000          9.81980134E+00          8.01859712E+00          4.41413117E+00
         49.0000          9.80616133E+00          7.99552067E+00          4.40437963E+00
         50.0000          9.79486156E+00          7.97463367E+00          4.39575980E+00
         51.0000          9.78576507E+00          7.95580822E+00          4.38820554E+00
         52.0000          9.77874526E+00          7.93892609E+00          4.38165571E+00
         53.0000          9.77368495E+00          7.92387787E+00          4.37605373E+00
         54.0000          9.77047547E+00          7.91056208E+00          4.37134713E+00
         55.0000          9.76901595E+00          7.89888456E+00          4.36748720E+00
         56.0000          9.76921262E+00          7.88875775E+00          4.36442865E+00
         57.0000          9.77097816E+00          7.88010014E+00          4.36212933E+00
         58.0000          9.77423120E+00          7.87283578E+00          4.36054996E+00
         59.0000          9.77889582E+00          7.86689378E+00          4.35965386E+00
         60.0000          9.78490107E+00          7.86220792E+00          4.35940679E+00
         61.0000          9.79218059E+00          7.85871626E+00          4.35977670E+00
         62.0000          9.80067224E+00          7.85636080E+00          4.36073360E+00
         63.0000          9.81031779E+00          7.85508717E+00          4.36224936E+00
         64.0000          9.82106258E+00          7.85484438E+00          4.36429759E+00
         65.0000          9.83285529E+00          7.85558451E+00          4.36685352E+00
         66.0000          9.84564765E+00          7.85726252E+00          4.36989385E+00
         67.0000          9.85939428E+00          7.85983603E+00          4.37339665E+00
         68.0000          9.87405238E+00          7.86326513E+00          4.37734126E+00
         69.0000          9.88958165E+00          7.86751217E+00          4.38170822E+00
         70.0000          9.90594406E+00          7.87254166E+00          4.38647917E+00
         71.0000          9.92310367E+00          7.87832008E+00          4.39163676E+00
         72.0000          9.94102657E+00          7.88481573E+00          4.39716460E+00
         73.0000          9.95968064E+00          7.89199867E+00          4.40304718E+00
         74.0000          9.97903550E+00          7.89984052E+00          4.40926985E+00
         75.0000          9.99906239E+00          7.90831444E+00          4.41581870E+00
         76.0000          1.00197340E+01          7.91739496E+00          4.42268056E+00
         76.9990          1.00410030E+01          7.92704799E+00          4.42983563E+00
         77.0000          1.00410246E+01          7.92705793E+00          4.42984294E+00
         77.0010          1.00410462E+01          7.92706788E+00          4.42985025E+00
         78.0000          1.00629094E+01          7.93728044E+00          4.43729399E+00
         79.0000          1.00853653E+01          7.94804072E+00          4.44502243E+00
         80.0000          1.01083701E+01          7.95931809E+00          4.45301757E+00
         81.0000          1.01319027E+01          7.97109286E+00          4.46126924E+00
         82.0000          1.01559430E+01          7.98334632E+00          4.46976774E+00
         83.0000          1.01804720E+01          7.99606065E+00          4.47850386E+00
         84.0000          1.02054716E+01          8.00921887E+00          4.48746882E+00
         85.0000          1.02309242E+01          8.02280479E+00          4.49665424E+00
         86.0000          1.02568135E+01          8.03680298E+00          4.50605213E+00
         87.0000          1.02831237E+01          8.05119872E+00          4.51565488E+00
         88.0000          1.03098398E+01          8.06597793E+00          4.52545521E+00
         89.0000          1.03369472E+01          8.08112719E+00          4.53544618E+00
         90.0000          1.03644324E+01          8.09663365E+00          4.54562115E+00
         91.0000          1.03922822E+01          8.11248506E+00          4.55597376E+00
         92.0000          1.04204840E+01          8.12866965E+00          4.56649794E+00
         93.0000          1.04490257E+01          8.14517620E+00          4.57718788E+00
         94.0000          1.04778960E+01          8.16199395E+00          4.58803801E+00
         95.0000          1.05070837E+01          8.17911258E+00          4.59904301E+00
         96.0000          1.05365782E+01          8.19652222E+00          4.61019776E+00
         97.0000          1.05663696E+01          8.21421340E+00          4.62149736E+00
         98.0000          1.05964480E+01          8.23217703E+00          4.63293711E+00
         99.0000          1.06268041E+01          8.25040439E+00          4.64451252E+00
        100.0000          1.06574290E+01          8.26888712E+00          4.65621924E+00
        103.9990          1.07824177E+01          8.34519612E+00          4.70426637E+00
        104.0010          1.07824812E+01          8.34523520E+00          4.70429087E+00
        110.0000          1.09767264E+01          8.46613687E+00          4.77966988E+00
        120.0000          1.13152500E+01          8.68176026E+00          4.91254876E+00
        120.9990          1.13499231E+01          8.70412142E+00          4.92624362E+00
        121.0010          1.13499927E+01          8.70416632E+00          4.92627110E+00
        130.0000          1.16681227E+01          8.91118468E+00          5.05249251E+00
        140.0000          1.20318826E+01          9.15115851E+00          5.19782142E+00
        150.0000          1.24040116E+01          9.39931167E+00          5.34731195E+00
        153.9990          1.25547331E+01          9.50042675E+00          5.40804614E+00
        154.0010          1.25548087E+01          9.50047756E+00          5.40807663E+00
        160.0000          1.27826402E+01          9.65388016E+00          5.50005415E+00
        170.0000          1.31663555E+01          9.91352732E+00          5.65535908E+00
        180.0000          1.35540732E+01          1.01772244E+01          5.81269711E+00
        190.0000          1.39449506E+01          1.04441691E+01          5.97165556E+00
        200.0000          1.43383247E+01          1.07137279E+01          6.13190909E+00
        210.0000          1.47336687E+01          1.09853955E+01          6.29319857E+00
        220.0000          1.51305604E+01          1.12587654E+01          6.45531572E+00
        230.0000          1.55286589E+01          1.15335072E+01          6.61809178E+00
        240.0000          1.59276866E+01          1.18093511E+01          6.78138904E+00
        250.0000          1.63274165E+01          1.20860750E+01          6.94509440E+00
        260.0000          1.67276619E+01          1.23634951E+01          7.10911449E+00
        270.0000          1.71282684E+01          1.26414583E+01          7.27337181E+00
        280.0000          1.75291081E+01          1.29198368E+01          7.43780177E+00
        290.0000          1.79300743E+01          1.31985234E+01          7.60235034E+00
        300.0000          1.83310780E+01          1.34774278E+01          7.76697220E+00
        310.0000          1.87320450E+01          1.37564736E+01          7.93162920E+00
        320.0000          1.91329129E+01          1.40355963E+01          8.09628917E+00
        330.0000          1.95336294E+01          1.43147411E+01          8.26092494E+00
        340.0000          1.99341508E+01          1.45938614E+01          8.42551354E+00
        350.0000          2.03344404E+01          1.48729176E+01          8.59003553E+00
        360.0000          2.07344674E+01          1.51518758E+01          8.75447447E+00
        370.0000          2.11342062E+01          1.54307075E+01          8.91881645E+00
        380.0000          2.15336354E+01          1.57093879E+01          9.08304971E+00
        390.0000          2.19327373E+01          1.59878965E+01          9.24716436E+00
        400.0000          2.23314973E+01          1.62662153E+01          9.41115207E+00
        410.0000          2.27299034E+01          1.65443295E+01          9.57500588E+00
        420.0000          2.31279460E+01          1.68222263E+01          9.73871999E+00
        430.0000          2.35256174E+01          1.70998951E+01          9.90228958E+00
        440.0000          2.39229116E+01          1.73773268E+01          1.00657107E+01
        450.0000          2.43198240E+01          1.76545142E+01          1.02289803E+01
        460.0000          2.47163513E+01          1.79314509E+01          1.03920957E+01
        470.0000          2.51124912E+01          1.82081322E+01          1.05550549E+01
        480.0000          2.55082424E+01          1.84845538E+01          1.07178566E+01
        490.0000          2.59036043E+01          1.87607128E+01          1.08804995E+01
        500.0000          2.62985771E+01          1.90366067E+01          1.10429831E+01
        510.0000          2.66931615E+01          1.93122338E+01          1.12053069E+01
        520.0000          2.70873587E+01          1.95875929E+01          1.13674709E+01
        530.0000          2.74811704E+01          1.98626833E+01          1.15294751E+01
        540.0000          2.78745987E+01          2.01375048E+01          1.16913200E+01
        550.0000          2.82676457E+01          2.04120577E+01          1.18530060E+01
        560.0000          2.86603143E+01          2.06863423E+01          1.20145338E+01
        570.0000          2.90526072E+01          2.09603594E+01          1.21759042E+01
        580.0000          2.94445275E+01          2.12341101E+01          1.23371181E+01
        590.0000          2.98360783E+01          2.15075955E+01          1.24981766E+01
        600.0000          3.02272630E+01          2.17808172E+01          1.26590808E+01
        610.0000          3.06180850E+01          2.20537767E+01          1.28198318E+01
        620.0000          3.10085478E+01          2.23264757E+01          1.29804309E+01
        630.0000          3.13986551E+01          2.25989161E+01          1.31408794E+01
        640.0000          3.17884104E+01          2.28710999E+01          1.33011786E+01
        650.0000          3.21778175E+01          2.31430290E+01          1.34613299E+01
        660.0000          3.25668801E+01          2.34147057E+01          1.36213346E+01
        670.0000          3.29556018E+01          2.36861319E+01          1.37811942E+01
        680.0000          3.33439865E+01          2.39573101E+01          1.39409101E+01
        690.0000          3.37320378E+01          2.42282424E+01          1.41004837E+01
        700.0000          3.41197595E+01          2.44989311E+01          1.42599166E+01
        710.0000          3.45071552E+01          2.47693786E+01          1.44192101E+01
        720.0000          3.48942287E+01          2.50395872E+01          1.45783656E+01
        730.0000          3.52809837E+01          2.53095592E+01          1.47373848E+01
        740.0000          3.56674236E+01          2.55792969E+01          1.48962689E+01
        750.0000          3.60535522E+01          2.58488028E+01          1.50550195E+01
