#Energy      C   N  Total
        180.0000          3.22611615E+00          6.13516712E+02          3.20924068E+00
        190.0000          3.37385788E+00          6.40293446E+02          3.35617341E+00
        200.0000          3.52147821E+00          6.67049569E+02          3.50298530E+00
        210.0000          3.66897599E+00          6.93783716E+02          3.64967520E+00
        220.0000          3.81635134E+00          7.20495015E+02          3.79624322E+00
        230.0000          3.96360526E+00          7.47182952E+02          3.94269034E+00
        240.0000          4.11073936E+00          7.73847285E+02          4.08901816E+00
        250.0000          4.25775567E+00          8.00487968E+02          4.23522870E+00
        260.0000          4.40465652E+00          8.27105101E+02          4.38132426E+00
        270.0000          4.55144439E+00          8.53698894E+02          4.52730732E+00
        280.0000          4.69812190E+00          8.80269634E+02          4.67318048E+00
        287.9990          4.81537157E+00          9.01507205E+02          4.78978707E+00
        288.0010          4.81540087E+00          9.01512513E+02          4.78981622E+00
        290.0000          4.84469169E+00          9.06817667E+02          4.81894637E+00
        300.0000          4.99115643E+00          9.33343377E+02          4.96460765E+00
        310.0000          5.13751878E+00          9.59847177E+02          5.11016694E+00
        320.0000          5.28378133E+00          9.86329496E+02          5.25562686E+00
        330.0000          5.42994666E+00          1.01279078E+03          5.40098995E+00
        340.0000          5.57601724E+00          1.03923146E+03          5.54625868E+00
        350.0000          5.72199552E+00          1.06565200E+03          5.69143548E+00
        360.0000          5.86788383E+00          1.09205283E+03          5.83652268E+00
        370.0000          6.01368446E+00          1.11843438E+03          5.98152254E+00
        380.0000          6.15939959E+00          1.14479710E+03          6.12643727E+00
        390.0000          6.30503136E+00          1.17114139E+03          6.27126895E+00
        400.0000          6.45058180E+00          1.19746767E+03          6.41601964E+00
        402.9990          6.49421682E+00          1.20535947E+03          6.45941488E+00
        403.0010          6.49424591E+00          1.20536473E+03          6.45944382E+00
        410.0000          6.59605287E+00          1.22377634E+03          6.56069129E+00
        420.0000          6.74144649E+00          1.25006778E+03          6.70528579E+00
        430.0000          6.88676447E+00          1.27634238E+03          6.84980496E+00
        440.0000          7.03200857E+00          1.30260050E+03          6.99425054E+00
        450.0000          7.17718048E+00          1.32884250E+03          7.13862422E+00
        460.0000          7.32228183E+00          1.35506872E+03          7.28292763E+00
        470.0000          7.46731418E+00          1.38127950E+03          7.42716231E+00
        480.0000          7.61227905E+00          1.40747516E+03          7.57132978E+00
        490.0000          7.75717789E+00          1.43365601E+03          7.71543149E+00
        500.0000          7.90201209E+00          1.45982236E+03          7.85946881E+00
        510.0000          8.04678300E+00          1.48597449E+03          8.00344311E+00
        520.0000          8.19149192E+00          1.51211271E+03          8.14735567E+00
        530.0000          8.33614011E+00          1.53823727E+03          8.29120773E+00
        540.0000          8.48072878E+00          1.56434844E+03          8.43500050E+00
        550.0000          8.62525907E+00          1.59044648E+03          8.57873515E+00
