#Energy      Ga  Total
       4500.0000          5.26914083E+01          5.26914083E+01
       4600.0000          5.35414446E+01          5.35414446E+01
       4700.0000          5.43885493E+01          5.43885493E+01
       4800.0000          5.52327934E+01          5.52327934E+01
       4900.0000          5.60742446E+01          5.60742446E+01
       5000.0000          5.69129681E+01          5.69129681E+01
       5100.0000          5.77490260E+01          5.77490260E+01
       5200.0000          5.85824781E+01          5.85824781E+01
       5300.0000          5.94133817E+01          5.94133817E+01
       5400.0000          6.02417918E+01          6.02417918E+01
       5500.0000          6.10677613E+01          6.10677613E+01
       5600.0000          6.18913409E+01          6.18913409E+01
       5700.0000          6.27125793E+01          6.27125793E+01
       5800.0000          6.35315237E+01          6.35315237E+01
       5900.0000          6.43482192E+01          6.43482192E+01
       6000.0000          6.51627094E+01          6.51627094E+01
       6100.0000          6.59750362E+01          6.59750362E+01
       6200.0000          6.67852400E+01          6.67852400E+01
       6300.0000          6.75933599E+01          6.75933599E+01
       6400.0000          6.83994336E+01          6.83994336E+01
       6500.0000          6.92034973E+01          6.92034973E+01
       6600.0000          7.00055862E+01          7.00055862E+01
       6700.0000          7.08057342E+01          7.08057342E+01
       6800.0000          7.16039741E+01          7.16039741E+01
       6900.0000          7.24003377E+01          7.24003377E+01
       7000.0000          7.31948555E+01          7.31948555E+01
       7100.0000          7.39875575E+01          7.39875575E+01
       7200.0000          7.47784722E+01          7.47784722E+01
       7300.0000          7.55676276E+01          7.55676276E+01
       7400.0000          7.63550506E+01          7.63550506E+01
       7500.0000          7.71407676E+01          7.71407676E+01
       7600.0000          7.79248038E+01          7.79248038E+01
       7700.0000          7.87071839E+01          7.87071839E+01
       7800.0000          7.94879318E+01          7.94879318E+01
       7900.0000          8.02670707E+01          8.02670707E+01
       8000.0000          8.10446233E+01          8.10446233E+01
       8100.0000          8.18206113E+01          8.18206113E+01
       8200.0000          8.25950562E+01          8.25950562E+01
       8300.0000          8.33679785E+01          8.33679785E+01
       8400.0000          8.41393984E+01          8.41393984E+01
       8500.0000          8.49093355E+01          8.49093355E+01
       8600.0000          8.56778089E+01          8.56778089E+01
       8700.0000          8.64448371E+01          8.64448371E+01
