#Energy      Cd   O  Total
          0.1000          6.73278246E+04          1.80173285E+02          1.79692418E+02
          0.2000          3.37244528E+04          9.56302618E+01          9.53598560E+01
          0.3000          2.25140351E+04          6.66866433E+01          6.64897006E+01
          0.4000          1.69052269E+04          5.19223420E+01          5.17633572E+01
          0.5000          1.35381064E+04          4.29161246E+01          4.27805094E+01
          0.6000          1.12922754E+04          3.68257576E+01          3.67060538E+01
          0.7000          9.68740811E+03          3.24202835E+01          3.23121463E+01
          0.8000          8.48327224E+03          2.90784962E+01          2.89791630E+01
          0.9000          7.54637038E+03          2.64523788E+01          2.63599789E+01
          1.0000          6.79658451E+03          2.43315082E+01          2.42447130E+01
          2.0000          3.41813452E+03          1.44713473E+01          1.44103383E+01
          3.0000          2.28916331E+03          1.10059936E+01          1.09533314E+01
          4.0000          1.72361140E+03          9.22319543E+00          9.17410400E+00
          5.0000          1.38374967E+03          8.13863743E+00          8.09104926E+00
          6.0000          1.15686971E+03          7.41366391E+00          7.36645683E+00
          7.0000          9.94619777E+02          6.89933868E+00          6.85181000E+00
          8.0000          8.72802638E+02          6.51952825E+00          6.47119073E+00
          9.0000          7.77964595E+02          6.23110550E+00          6.18159403E+00
         10.0000          7.02027449E+02          6.00773981E+00          5.95676362E+00
         11.0000          6.39846980E+02          5.83240907E+00          5.77972504E+00
         12.0000          5.87991485E+02          5.69360050E+00          5.63899733E+00
         13.0000          5.44083709E+02          5.58323723E+00          5.52652555E+00
         14.0000          5.06424626E+02          5.49547881E+00          5.43648467E+00
         15.0000          4.73767591E+02          5.42599303E+00          5.36455356E+00
         16.0000          4.45177122E+02          5.37149589E+00          5.30745626E+00
         17.0000          4.19937485E+02          5.32945093E+00          5.26266218E+00
         18.0000          3.97491727E+02          5.29786672E+00          5.22818421E+00
         19.0000          3.77399937E+02          5.27515718E+00          5.20243940E+00
         20.0000          3.59310028E+02          5.26004282E+00          5.18415055E+00
         21.0000          3.42936848E+02          5.25147970E+00          5.17227532E+00
         22.0000          3.28046995E+02          5.24860731E+00          5.16595431E+00
         23.0000          3.14447574E+02          5.25070976E+00          5.16447234E+00
         24.0000          3.01977777E+02          5.25718649E+00          5.16722925E+00
         25.0000          2.90502473E+02          5.26752982E+00          5.17371750E+00
         26.0000          2.79907273E+02          5.28130758E+00          5.18350489E+00
         27.0000          2.70094702E+02          5.29814951E+00          5.19622099E+00
         28.0000          2.60981178E+02          5.31773653E+00          5.21154638E+00
         29.0000          2.52494622E+02          5.33979211E+00          5.22920416E+00
         30.0000          2.44572544E+02          5.36407545E+00          5.24895304E+00
         31.0000          2.37160499E+02          5.39037580E+00          5.27058175E+00
         32.0000          2.30210832E+02          5.41850795E+00          5.29390450E+00
         33.0000          2.23681652E+02          5.44830845E+00          5.31875723E+00
         34.0000          2.17535981E+02          5.47963248E+00          5.34499450E+00
         35.0000          2.11741062E+02          5.51235129E+00          5.37248690E+00
         36.0000          2.06267764E+02          5.54635002E+00          5.40111891E+00
         37.0000          2.01090101E+02          5.58152586E+00          5.43078707E+00
         38.0000          1.96184815E+02          5.61778652E+00          5.46139842E+00
         39.0000          1.91531025E+02          5.65504892E+00          5.49286922E+00
         40.0000          1.87109937E+02          5.69323805E+00          5.52512381E+00
         41.0000          1.82904581E+02          5.73228606E+00          5.55809369E+00
         42.0000          1.78899604E+02          5.77213137E+00          5.59171664E+00
         43.0000          1.75081074E+02          5.81271799E+00          5.62593606E+00
         44.0000          1.71436324E+02          5.85399490E+00          5.66070033E+00
         45.0000          1.67953809E+02          5.89591551E+00          5.69596225E+00
         46.0000          1.64622987E+02          5.93843721E+00          5.73167863E+00
         47.0000          1.61434207E+02          5.98152090E+00          5.76780984E+00
         48.0000          1.58378625E+02          6.02513070E+00          5.80431945E+00
         49.0000          1.55448114E+02          6.06923360E+00          5.84117391E+00
         50.0000          1.52635196E+02          6.11379917E+00          5.87834230E+00
         51.0000          1.49932977E+02          6.15879932E+00          5.91579607E+00
         52.0000          1.47335095E+02          6.20420809E+00          5.95350878E+00
