#Energy      C   Si  Total
          0.1000          5.70607154E+02          8.48503054E+03          5.34652477E+02
          0.2000          3.15219188E+02          4.33095584E+03          2.93833180E+02
          0.3000          2.26273555E+02          2.93320021E+03          2.10068413E+02
          0.4000          1.80346492E+02          2.22928327E+03          1.66848627E+02
          0.5000          1.52061676E+02          1.80437362E+03          1.40242857E+02
          0.6000          1.32783211E+02          1.51959550E+03          1.22112908E+02
          0.7000          1.18745245E+02          1.31521167E+03          1.08912012E+02
          0.8000          1.08036017E+02          1.16125587E+03          9.88405115E+01
          0.9000          9.95788297E+01          1.04103068E+03          9.08852819E+01
          1.0000          9.27195479E+01          9.44490138E+02          8.44310459E+01
          2.0000          6.04494338E+01          5.04144887E+02          5.39772928E+01
          3.0000          4.90153983E+01          3.53719261E+02          4.30499091E+01
          4.0000          4.32079988E+01          2.77225525E+02          3.73817322E+01
          5.0000          3.97759800E+01          2.30745510E+02          3.39275405E+01
          6.0000          3.75830425E+01          1.99457150E+02          3.16242004E+01
          7.0000          3.61233601E+01          1.76941993E+02          2.99989615E+01
          8.0000          3.51357918E+01          1.59961649E+02          2.88080621E+01
          9.0000          3.44711722E+01          1.46702377E+02          2.79124791E+01
         10.0000          3.40377762E+01          1.36067881E+02          2.72268904E+01
         11.0000          3.37759348E+01          1.27355774E+02          2.66959269E+01
         12.0000          3.36450690E+01          1.20094839E+02          2.62820448E+01
         13.0000          3.36165713E+01          1.13956929E+02          2.59588695E+01
         14.0000          3.36696651E+01          1.08706358E+02          2.57073248E+01
         15.0000          3.37888790E+01          1.04169388E+02          2.55132724E+01
         16.0000          3.39624437E+01          1.00215074E+02          2.53660142E+01
         17.0000          3.41812402E+01          9.67428148E+01          2.52573096E+01
         18.0000          3.44380881E+01          9.36740157E+01          2.51807122E+01
         19.0000          3.47272541E+01          9.09463671E+01          2.51311100E+01
         20.0000          3.50441021E+01          8.85098193E+01          2.51044006E+01
         21.0000          3.53848412E+01          8.63236993E+01          2.50972560E+01
         22.0000          3.57463409E+01          8.43546063E+01          2.51069503E+01
         23.0000          3.61259922E+01          8.25748501E+01          2.51312319E+01
         24.0000          3.65216028E+01          8.09612772E+01          2.51682254E+01
         25.0000          3.69313170E+01          7.94943747E+01          2.52163583E+01
         26.0000          3.73535531E+01          7.81575799E+01          2.52743024E+01
         27.0000          3.77869542E+01          7.69367409E+01          2.53409298E+01
         28.0000          3.82303502E+01          7.58196922E+01          2.54152767E+01
         29.0000          3.86827258E+01          7.47959166E+01          2.54965152E+01
         30.0000          3.91431964E+01          7.38562746E+01          2.55839309E+01
         31.0000          3.96109871E+01          7.29927850E+01          2.56769042E+01
         32.0000          4.00854167E+01          7.21984465E+01          2.57748952E+01
         33.0000          4.05658836E+01          7.14670915E+01          2.58774322E+01
         34.0000          4.10518546E+01          7.07932652E+01          2.59841005E+01
         35.0000          4.15428558E+01          7.01721250E+01          2.60945349E+01
         36.0000          4.20384638E+01          6.95993570E+01          2.62084124E+01
         37.0000          4.25383001E+01          6.90711052E+01          2.63254462E+01
         38.0000          4.30420245E+01          6.85839127E+01          2.64453811E+01
         39.0000          4.35493311E+01          6.81346707E+01          2.65679890E+01
         40.0000          4.40599435E+01          6.77205760E+01          2.66930657E+01
         41.0000          4.45736119E+01          6.73390939E+01          2.68204277E+01
         42.0000          4.50901094E+01          6.69879273E+01          2.69499097E+01
         43.0000          4.56092299E+01          6.66649889E+01          2.70813624E+01
         44.0000          4.61307858E+01          6.63683779E+01          2.72146505E+01
         45.0000          4.66546056E+01          6.60963597E+01          2.73496514E+01
         46.0000          4.71805327E+01          6.58473480E+01          2.74862533E+01
         47.0000          4.77084234E+01          6.56198893E+01          2.76243543E+01
         48.0000          4.82381459E+01          6.54126492E+01          2.77638613E+01
         49.0000          4.87695791E+01          6.52244003E+01          2.79046891E+01
         50.0000          4.93026114E+01          6.50540122E+01          2.80467592E+01
         51.0000          4.98371397E+01          6.49004413E+01          2.81899996E+01
         52.0000          5.03730692E+01          6.47627234E+01          2.83343439E+01
         53.0000          5.09103118E+01          6.46399657E+01          2.84797309E+01
         54.0000          5.14487862E+01          6.45313406E+01          2.86261038E+01
         55.0000          5.19884167E+01          6.44360799E+01          2.87734100E+01
         56.0000          5.25291333E+01          6.43534692E+01          2.89216007E+01
         57.0000          5.30708707E+01          6.42828438E+01          2.90706307E+01
         58.0000          5.36135683E+01          6.42235839E+01          2.92204575E+01
         59.0000          5.41571695E+01          6.41751113E+01          2.93710419E+01
         60.0000          5.47016216E+01          6.41368859E+01          2.95223471E+01
         61.0000          5.52468753E+01          6.41084022E+01          2.96743385E+01
         62.0000          5.57928846E+01          6.40891873E+01          2.98269839E+01
         63.0000          5.63396063E+01          6.40787975E+01          2.99802531E+01
         64.0000          5.68870002E+01          6.40768169E+01          3.01341177E+01
