#Energy      Si   Al  Total
        470.0000          2.32242245E+01          2.40229804E+01          1.18084253E+01
        480.0000          2.35767966E+01          2.44015618E+01          1.19910451E+01
        490.0000          2.39290336E+01          2.47797708E+01          1.21734864E+01
        500.0000          2.42809325E+01          2.51576077E+01          1.23557486E+01
        510.0000          2.46324911E+01          2.55350729E+01          1.25378313E+01
        520.0000          2.49837079E+01          2.59121678E+01          1.27197346E+01
        530.0000          2.53345820E+01          2.62888939E+01          1.29014586E+01
        540.0000          2.56851131E+01          2.66652532E+01          1.30830038E+01
        550.0000          2.60353015E+01          2.70412478E+01          1.32643710E+01
        560.0000          2.63851478E+01          2.74168804E+01          1.34455608E+01
        570.0000          2.67346529E+01          2.77921536E+01          1.36265743E+01
        580.0000          2.70838181E+01          2.81670703E+01          1.38074125E+01
        590.0000          2.74326451E+01          2.85416336E+01          1.39880767E+01
        600.0000          2.77811356E+01          2.89158466E+01          1.41685682E+01
        610.0000          2.81292917E+01          2.92897127E+01          1.43488882E+01
        620.0000          2.84771156E+01          2.96632353E+01          1.45290382E+01
        630.0000          2.88246097E+01          3.00364176E+01          1.47090198E+01
        640.0000          2.91717764E+01          3.04092634E+01          1.48888343E+01
        650.0000          2.95186183E+01          3.07817760E+01          1.50684835E+01
        660.0000          2.98651381E+01          3.11539590E+01          1.52479688E+01
        670.0000          3.02113386E+01          3.15258159E+01          1.54272918E+01
        680.0000          3.05572227E+01          3.18973504E+01          1.56064543E+01
        690.0000          3.09027932E+01          3.22685660E+01          1.57854578E+01
        700.0000          3.12480529E+01          3.26394663E+01          1.59643039E+01
        710.0000          3.15930050E+01          3.30100548E+01          1.61429943E+01
        720.0000          3.19376524E+01          3.33803351E+01          1.63215307E+01
        730.0000          3.22819979E+01          3.37503105E+01          1.64999147E+01
        740.0000          3.26260448E+01          3.41199847E+01          1.66781479E+01
        750.0000          3.29697958E+01          3.44893611E+01          1.68562319E+01
        760.0000          3.33132542E+01          3.48584430E+01          1.70341684E+01
        770.0000          3.36564227E+01          3.52272338E+01          1.72119590E+01
        780.0000          3.39993045E+01          3.55957369E+01          1.73896053E+01
        790.0000          3.43419024E+01          3.59639556E+01          1.75671087E+01
        800.0000          3.46842194E+01          3.63318931E+01          1.77444710E+01
        810.0000          3.50262585E+01          3.66995526E+01          1.79216937E+01
        820.0000          3.53680225E+01          3.70669374E+01          1.80987782E+01
        830.0000          3.57095143E+01          3.74340504E+01          1.82757261E+01
        840.0000          3.60507367E+01          3.78008949E+01          1.84525390E+01
        850.0000          3.63916926E+01          3.81674738E+01          1.86292181E+01
        860.0000          3.67323848E+01          3.85337902E+01          1.88057651E+01
        870.0000          3.70728160E+01          3.88998469E+01          1.89821814E+01
        880.0000          3.74129890E+01          3.92656469E+01          1.91584683E+01
        890.0000          3.77529063E+01          3.96311931E+01          1.93346273E+01
        900.0000          3.80925708E+01          3.99964882E+01          1.95106597E+01
        910.0000          3.84319850E+01          4.03615351E+01          1.96865670E+01
        920.0000          3.87711515E+01          4.07263364E+01          1.98623504E+01
        930.0000          3.91100729E+01          4.10908948E+01          2.00380112E+01
        940.0000          3.94487517E+01          4.14552130E+01          2.02135509E+01
        950.0000          3.97871904E+01          4.18192936E+01          2.03889705E+01
        960.0000          4.01253914E+01          4.21831391E+01          2.05642715E+01
        970.0000          4.04633572E+01          4.25467521E+01          2.07394550E+01
        980.0000          4.08010901E+01          4.29101349E+01          2.09145223E+01
        990.0000          4.11385926E+01          4.32732901E+01          2.10894746E+01
       1000.0000          4.14758669E+01          4.36362201E+01          2.12643130E+01
       1100.0000          4.48365474E+01          4.72536288E+01          2.30066838E+01
       1200.0000          4.81767249E+01          5.08508704E+01          2.47388456E+01
       1300.0000          5.14982178E+01          5.44297762E+01          2.64617158E+01
       1400.0000          5.48025929E+01          5.79919093E+01          2.81760807E+01
       1500.0000          5.80912052E+01          6.15386112E+01          2.98826179E+01
       1563.9990          6.01881620E+01          6.38009090E+01          3.09709510E+01
       1564.0010          6.01882274E+01          6.38009796E+01          3.09709850E+01
       1600.0000          6.13652316E+01          6.50710416E+01          3.15819142E+01
       1700.0000          6.46257007E+01          6.85902088E+01          3.32744814E+01
       1800.0000          6.78735156E+01          7.20969956E+01          3.49607679E+01
       1843.9990          6.92987219E+01          7.36362284E+01          3.57008311E+01
       1844.0010          6.92987867E+01          7.36362983E+01          3.57008647E+01
       1900.0000          7.11094741E+01          7.55921791E+01          3.66411692E+01
       2000.0000          7.43342841E+01          7.90764475E+01          3.83160360E+01
       2100.0000          7.75485770E+01          8.25504129E+01          3.99856805E+01
       2200.0000          8.07529186E+01          8.60146233E+01          4.16503823E+01
       2300.0000          8.39478178E+01          8.94695706E+01          4.33103928E+01
