#Energy      H   O  Total
         84.0000          2.01730733E+01          8.10881505E+00          5.78390376E+00
         85.0000          2.03989536E+01          8.16249929E+00          5.82976100E+00
         86.0000          2.06248296E+01          8.21626082E+00          5.87560931E+00
         87.0000          2.08507013E+01          8.27009636E+00          5.92144868E+00
         88.0000          2.10765688E+01          8.32400278E+00          5.96727913E+00
         89.0000          2.13024322E+01          8.37797711E+00          6.01310068E+00
         90.0000          2.15282914E+01          8.43201651E+00          6.05891331E+00
         91.0000          2.17541464E+01          8.48611827E+00          6.10471705E+00
         92.0000          2.19799974E+01          8.54027981E+00          6.15051190E+00
         93.0000          2.22058443E+01          8.59449865E+00          6.19629786E+00
         94.0000          2.24316872E+01          8.64877244E+00          6.24207493E+00
         95.0000          2.26575261E+01          8.70309890E+00          6.28784313E+00
         96.0000          2.28833610E+01          8.75747589E+00          6.33360246E+00
         97.0000          2.31091920E+01          8.81190133E+00          6.37935291E+00
         98.0000          2.33350191E+01          8.86637324E+00          6.42509450E+00
         99.0000          2.35608423E+01          8.92088974E+00          6.47082723E+00
        100.0000          2.37866616E+01          8.97544900E+00          6.51655111E+00
        110.0000          2.60446484E+01          9.52304433E+00          6.97330420E+00
        120.0000          2.83022768E+01          1.00733849E+01          7.42918075E+00
        130.0000          3.05595686E+01          1.06255171E+01          7.88419433E+00
        140.0000          3.28165421E+01          1.11787836E+01          8.33836360E+00
        150.0000          3.50732136E+01          1.17327217E+01          8.79171097E+00
        160.0000          3.73295968E+01          1.22870010E+01          9.24426128E+00
        170.0000          3.95857042E+01          1.28413826E+01          9.69604079E+00
        180.0000          4.18415464E+01          1.33956921E+01          1.01470763E+01
        190.0000          4.40971330E+01          1.39498019E+01          1.05973945E+01
        200.0000          4.63524724E+01          1.45036182E+01          1.10470218E+01
        210.0000          4.86075721E+01          1.50570722E+01          1.14959838E+01
        220.0000          5.08624389E+01          1.56101139E+01          1.19443053E+01
        230.0000          5.31170790E+01          1.61627072E+01          1.23920099E+01
        240.0000          5.53714978E+01          1.67148269E+01          1.28391204E+01
        250.0000          5.76257004E+01          1.72664558E+01          1.32856584E+01
        260.0000          5.98796913E+01          1.78175828E+01          1.37316446E+01
        270.0000          6.21334748E+01          1.83682018E+01          1.41770986E+01
        280.0000          6.43870545E+01          1.89183103E+01          1.46220388E+01
        290.0000          6.66404341E+01          1.94679088E+01          1.50664831E+01
        300.0000          6.88936168E+01          2.00169996E+01          1.55104481E+01
        310.0000          7.11466055E+01          2.05655870E+01          1.59539497E+01
        320.0000          7.33994031E+01          2.11136765E+01          1.63970030E+01
        330.0000          7.56520121E+01          2.16612745E+01          1.68396224E+01
        340.0000          7.79044350E+01          2.22083881E+01          1.72818214E+01
