#Energy      O-K-shell   Valence  Total
          0.1000          1.00000000E+30          7.08467900E+02          7.08467900E+02
          0.2000          1.00000000E+30          4.46446718E+02          4.46446718E+02
          0.3000          1.00000000E+30          3.24687405E+02          3.24687405E+02
          0.4000          1.00000000E+30          2.56977365E+02          2.56977365E+02
          0.5000          1.00000000E+30          2.13006033E+02          2.13006033E+02
          0.6000          1.00000000E+30          1.82284024E+02          1.82284024E+02
          0.7000          1.00000000E+30          1.59648325E+02          1.59648325E+02
          0.8000          1.00000000E+30          1.42291543E+02          1.42291543E+02
          0.9000          1.00000000E+30          1.28596716E+02          1.28596716E+02
          1.0000          1.00000000E+30          1.17483883E+02          1.17483883E+02
          2.0000          1.00000000E+30          6.58209895E+01          6.58209895E+01
          3.0000          1.00000000E+30          4.77459552E+01          4.77459552E+01
          4.0000          1.00000000E+30          3.83852802E+01          3.83852802E+01
          5.0000          1.00000000E+30          3.25835396E+01          3.25835396E+01
          6.0000          1.00000000E+30          2.85927093E+01          2.85927093E+01
          7.0000          1.00000000E+30          2.56555904E+01          2.56555904E+01
          8.0000          1.00000000E+30          2.33880861E+01          2.33880861E+01
          9.0000          1.00000000E+30          2.15742017E+01          2.15742017E+01
         10.0000          1.00000000E+30          2.00825537E+01          2.00825537E+01
         11.0000          1.00000000E+30          1.88287224E+01          1.88287224E+01
         12.0000          1.00000000E+30          1.77557624E+01          1.77557624E+01
         13.0000          1.00000000E+30          1.68238954E+01          1.68238954E+01
         14.0000          1.00000000E+30          1.60042590E+01          1.60042590E+01
         15.0000          1.00000000E+30          1.52755194E+01          1.52755194E+01
         16.0000          1.00000000E+30          1.46215743E+01          1.46215743E+01
         17.0000          1.00000000E+30          1.40299449E+01          1.40299449E+01
         18.0000          1.00000000E+30          1.34908861E+01          1.34908861E+01
         19.0000          1.00000000E+30          1.29966426E+01          1.29966426E+01
         20.0000          1.00000000E+30          1.25409681E+01          1.25409681E+01
         21.0000          1.00000000E+30          1.21187798E+01          1.21187798E+01
         22.0000          1.00000000E+30          1.17259201E+01          1.17259201E+01
         23.0000          1.00000000E+30          1.13589436E+01          1.13589436E+01
         24.0000          1.00000000E+30          1.10149730E+01          1.10149730E+01
         25.0000          1.00000000E+30          1.06916006E+01          1.06916006E+01
         26.0000          1.00000000E+30          1.03867971E+01          1.03867971E+01
         27.0000          1.00000000E+30          1.00988453E+01          1.00988453E+01
         28.0000          1.00000000E+30          9.82628840E+00          9.82628840E+00
         29.0000          1.00000000E+30          9.56788357E+00          9.56788357E+00
         30.0000          1.00000000E+30          9.32257117E+00          9.32257117E+00
         31.0000          1.00000000E+30          9.08944324E+00          9.08944324E+00
         32.0000          1.00000000E+30          8.86772311E+00          8.86772311E+00
         33.0000          1.00000000E+30          8.65674178E+00          8.65674178E+00
         34.0000          1.00000000E+30          8.45592333E+00          8.45592333E+00
         35.0000          1.00000000E+30          8.26476933E+00          8.26476933E+00
         36.0000          1.00000000E+30          8.08284624E+00          8.08284624E+00
         37.0000          1.00000000E+30          7.90977400E+00          7.90977400E+00
         38.0000          1.00000000E+30          7.74521603E+00          7.74521603E+00
         39.0000          1.00000000E+30          7.58887033E+00          7.58887033E+00
         40.0000          1.00000000E+30          7.44046196E+00          7.44046196E+00
         41.0000          1.00000000E+30          7.29973582E+00          7.29973582E+00
         42.0000          1.00000000E+30          7.16645107E+00          7.16645107E+00
         43.0000          1.00000000E+30          7.04037626E+00          7.04037626E+00
         44.0000          1.00000000E+30          6.92128546E+00          6.92128546E+00
         45.0000          1.00000000E+30          6.80895488E+00          6.80895488E+00
         46.0000          1.00000000E+30          6.70316097E+00          6.70316097E+00
         47.0000          1.00000000E+30          6.60367889E+00          6.60367889E+00
         48.0000          1.00000000E+30          6.51028180E+00          6.51028180E+00
         49.0000          1.00000000E+30          6.42274072E+00          6.42274072E+00
         50.0000          1.00000000E+30          6.34082486E+00          6.34082486E+00
         51.0000          1.00000000E+30          6.26430233E+00          6.26430233E+00
         52.0000          1.00000000E+30          6.19294107E+00          6.19294107E+00
         53.0000          1.00000000E+30          6.12651002E+00          6.12651002E+00
         54.0000          1.00000000E+30          6.06478023E+00          6.06478023E+00
         55.0000          1.00000000E+30          6.00752604E+00          6.00752604E+00
         56.0000          1.00000000E+30          5.95452614E+00          5.95452614E+00
         57.0000          1.00000000E+30          5.90556483E+00          5.90556483E+00
         58.0000          1.00000000E+30          5.86043233E+00          5.86043233E+00
         59.0000          1.00000000E+30          5.81892581E+00          5.81892581E+00
         60.0000          1.00000000E+30          5.78085023E+00          5.78085023E+00
         61.0000          1.00000000E+30          5.74601811E+00          5.74601811E+00
         62.0000          1.00000000E+30          5.71425025E+00          5.71425025E+00
         63.0000          1.00000000E+30          5.68537579E+00          5.68537579E+00
         64.0000          1.00000000E+30          5.65923217E+00          5.65923217E+00
         65.0000          1.00000000E+30          5.63566518E+00          5.63566518E+00
         66.0000          1.00000000E+30          5.61452875E+00          5.61452875E+00
         67.0000          1.00000000E+30          5.59568480E+00          5.59568480E+00
         68.0000          1.00000000E+30          5.57900301E+00          5.57900301E+00
         69.0000          1.00000000E+30          5.56436050E+00          5.56436050E+00
         70.0000          1.00000000E+30          5.55164157E+00          5.55164157E+00
         71.0000          1.00000000E+30          5.54073736E+00          5.54073736E+00
         72.0000          1.00000000E+30          5.53154552E+00          5.53154552E+00
         73.0000          1.00000000E+30          5.52396988E+00          5.52396988E+00
         74.0000          1.00000000E+30          5.51792012E+00          5.51792012E+00
         75.0000          1.00000000E+30          5.51331140E+00          5.51331140E+00
         76.0000          1.00000000E+30          5.51006417E+00          5.51006417E+00
         77.0000          1.00000000E+30          5.50810369E+00          5.50810369E+00
         78.0000          1.00000000E+30          5.50735983E+00          5.50735983E+00
         79.0000          1.00000000E+30          5.50776676E+00          5.50776676E+00
         80.0000          1.00000000E+30          5.50926271E+00          5.50926271E+00
         81.0000          1.00000000E+30          5.51178967E+00          5.51178967E+00
         82.0000          1.00000000E+30          5.51529316E+00          5.51529316E+00
         83.0000          1.00000000E+30          5.51972203E+00          5.51972203E+00
         84.0000          1.00000000E+30          5.52502820E+00          5.52502820E+00
         85.0000          1.00000000E+30          5.53116649E+00          5.53116649E+00
         86.0000          1.00000000E+30          5.53809441E+00          5.53809441E+00
         87.0000          1.00000000E+30          5.54577202E+00          5.54577202E+00
         88.0000          1.00000000E+30          5.55416171E+00          5.55416171E+00
         89.0000          1.00000000E+30          5.56322809E+00          5.56322809E+00
         90.0000          1.00000000E+30          5.57293783E+00          5.57293783E+00
         91.0000          1.00000000E+30          5.58325950E+00          5.58325950E+00
         92.0000          1.00000000E+30          5.59416352E+00          5.59416352E+00
         93.0000          1.00000000E+30          5.60562195E+00          5.60562195E+00
         94.0000          1.00000000E+30          5.61760845E+00          5.61760845E+00
         95.0000          1.00000000E+30          5.63009813E+00          5.63009813E+00
         96.0000          1.00000000E+30          5.64306752E+00          5.64306752E+00
         97.0000          1.00000000E+30          5.65649440E+00          5.65649440E+00
         98.0000          1.00000000E+30          5.67035779E+00          5.67035779E+00
         99.0000          1.00000000E+30          5.68463783E+00          5.68463783E+00
