#Energy      Ga   As  Total
         80.0000          4.85270749E+01          5.66677512E+01          2.61412116E+01
         81.0000          4.81553749E+01          5.62041347E+01          2.59346866E+01
         82.0000          4.77935762E+01          5.57526429E+01          2.57336116E+01
         83.0000          4.74413217E+01          5.53128388E+01          2.55377901E+01
         84.0000          4.70982713E+01          5.48843062E+01          2.53470348E+01
         85.0000          4.67641012E+01          5.44666483E+01          2.51611676E+01
         86.0000          4.64385020E+01          5.40594867E+01          2.49800181E+01
         87.0000          4.61211789E+01          5.36624602E+01          2.48034242E+01
         88.0000          4.58118503E+01          5.32752242E+01          2.46312308E+01
         89.0000          4.55102471E+01          5.28974493E+01          2.44632897E+01
         90.0000          4.52161122E+01          5.25288208E+01          2.42994597E+01
         91.0000          4.49291998E+01          5.21690376E+01          2.41396052E+01
         92.0000          4.46492745E+01          5.18178118E+01          2.39835968E+01
         93.0000          4.43761113E+01          5.14748677E+01          2.38313107E+01
         94.0000          4.41094944E+01          5.11399415E+01          2.36826280E+01
         95.0000          4.38492173E+01          5.08127801E+01          2.35374353E+01
         96.0000          4.35950819E+01          5.04931412E+01          2.33956233E+01
         97.0000          4.33468983E+01          5.01807924E+01          2.32570877E+01
         98.0000          4.31044845E+01          4.98755106E+01          2.31217282E+01
         99.0000          4.28676653E+01          4.95770818E+01          2.29894485E+01
        100.0000          4.26362731E+01          4.92853005E+01          2.28601562E+01
        106.9990          4.11558848E+01          4.74135531E+01          2.20318292E+01
        107.0010          4.11554939E+01          4.74130577E+01          2.20316102E+01
        110.0000          4.05882393E+01          4.66932101E+01          2.17136081E+01
        110.9990          4.04073250E+01          4.64632775E+01          2.16121070E+01
        111.0010          4.04069667E+01          4.64628220E+01          2.16119059E+01
        120.0000          3.89388827E+01          4.45896073E+01          2.07865542E+01
        130.0000          3.75959005E+01          4.28615234E+01          2.00282024E+01
        140.0000          3.64932860E+01          4.14281746E+01          1.94022316E+01
        144.9990          3.60165474E+01          4.08029789E+01          1.91303240E+01
        145.0010          3.60163656E+01          4.08027397E+01          1.91302201E+01
        150.0000          3.55825939E+01          4.02302679E+01          1.88819846E+01
        150.9990          3.55006787E+01          4.01217192E+01          1.88350053E+01
        151.0010          3.55005163E+01          4.01215038E+01          1.88349121E+01
        160.0000          3.48274699E+01          3.92233061E+01          1.84474571E+01
        161.9990          3.46926116E+01          3.90417730E+01          1.83694632E+01
        162.0010          3.46924792E+01          3.90415944E+01          1.83693866E+01
        170.0000          3.42001056E+01          3.83732482E+01          1.80833470E+01
        180.0000          3.36788708E+01          3.76536136E+01          1.77777516E+01
        190.0000          3.32466925E+01          3.70434965E+01          1.75212751E+01
        200.0000          3.28899174E+01          3.65261760E+01          1.73064034E+01
        207.9990          3.26513206E+01          3.61699945E+01          1.71603534E+01
        208.0010          3.26512657E+01          3.61699113E+01          1.71603195E+01
        210.0000          3.25974996E+01          3.60881214E+01          1.71270567E+01
        220.0000          3.23604084E+01          3.57182679E+01          1.69782640E+01
        230.0000          3.21711912E+01          3.54074818E+01          1.68559224E+01
        240.0000          3.20236446E+01          3.51481582E+01          1.67566163E+01
        250.0000          3.19125646E+01          3.49339155E+01          1.66774800E+01
        260.0000          3.18335544E+01          3.47593600E+01          1.66160918E+01
        270.0000          3.17828746E+01          3.46199030E+01          1.65703917E+01
        280.0000          3.17573260E+01          3.45116173E+01          1.65386171E+01
        290.0000          3.17541558E+01          3.44311221E+01          1.65192510E+01
        300.0000          3.17709836E+01          3.43754926E+01          1.65109810E+01
        310.0000          3.18057404E+01          3.43421861E+01          1.65126666E+01
        320.0000          3.18566204E+01          3.43289817E+01          1.65233118E+01
        330.0000          3.19220405E+01          3.43339319E+01          1.65420433E+01
        340.0000          3.20006077E+01          3.43553219E+01          1.65680925E+01
        350.0000          3.20910915E+01          3.43916364E+01          1.66007802E+01
        360.0000          3.21924015E+01          3.44415316E+01          1.66395043E+01
        370.0000          3.23035678E+01          3.45038120E+01          1.66837292E+01
        380.0000          3.24237257E+01          3.45774108E+01          1.67329771E+01
        390.0000          3.25521016E+01          3.46613729E+01          1.67868205E+01
