#Energy      Mo   Si  Total
          0.1000          6.02243795E+04          7.72725647E+02          7.62936577E+02
          0.2000          3.01829056E+04          3.94417043E+02          3.89329455E+02
          0.3000          2.01582417E+04          2.67124440E+02          2.63630967E+02
          0.4000          1.51417131E+04          2.03019228E+02          2.00333173E+02
          0.5000          1.21296560E+04          1.64323012E+02          1.62126648E+02
          0.6000          1.01203547E+04          1.38388473E+02          1.36521639E+02
          0.7000          8.68432112E+03          1.19775384E+02          1.18145899E+02
          0.8000          7.60673055E+03          1.05754739E+02          1.04304614E+02
          0.9000          6.76819492E+03          9.48059175E+01          9.34962627E+01
          1.0000          6.09705860E+03          8.60140395E+01          8.48174799E+01
          2.0000          3.07181095E+03          4.59121133E+01          4.52360039E+01
          3.0000          2.06011881E+03          3.22129594E+01          3.17170176E+01
          4.0000          1.55303822E+03          2.52467298E+01          2.48428753E+01
          5.0000          1.24817756E+03          2.10138281E+01          2.06659050E+01
          6.0000          1.04458581E+03          1.81644196E+01          1.78539551E+01
          7.0000          8.98942232E+02          1.61139804E+01          1.58302160E+01
          8.0000          7.89561567E+02          1.45675926E+01          1.43036863E+01
          9.0000          7.04383905E+02          1.33600802E+01          1.31113958E+01
         10.0000          6.36166350E+02          1.23916044E+01          1.21548455E+01
         11.0000          5.80295660E+02          1.15981990E+01          1.13709315E+01
         12.0000          5.33693758E+02          1.09369509E+01          1.07173215E+01
         13.0000          4.94227975E+02          1.03779758E+01          1.01645372E+01
         14.0000          4.60373828E+02          9.89981008E+00          9.69140750E+00
         15.0000          4.31012560E+02          9.48663147E+00          9.28232650E+00
         16.0000          4.05304526E+02          9.12651495E+00          8.92553272E+00
         17.0000          3.82607223E+02          8.81029876E+00          8.61199041E+00
         18.0000          3.62420608E+02          8.53082544E+00          8.33464077E+00
         19.0000          3.44349671E+02          8.28242044E+00          8.08788769E+00
         20.0000          3.28078216E+02          8.06052577E+00          7.86723631E+00
         21.0000          3.13350131E+02          7.86143740E+00          7.66903399E+00
         22.0000          2.99955752E+02          7.68211350E+00          7.49028124E+00
         23.0000          2.87721787E+02          7.52003239E+00          7.32849147E+00
         24.0000          2.76503752E+02          7.37308545E+00          7.18158554E+00
         25.0000          2.66180217E+02          7.23949570E+00          7.04781128E+00
         26.0000          2.56648384E+02          7.11775475E+00          6.92568145E+00
         27.0000          2.47820644E+02          7.00657382E+00          6.81392534E+00
         28.0000          2.39621867E+02          6.90484500E+00          6.71145060E+00
         29.0000          2.31987257E+02          6.81161049E+00          6.61731293E+00
         30.0000          2.24860632E+02          6.72603797E+00          6.53069172E+00
         31.0000          2.18193039E+02          6.64740058E+00          6.45087039E+00
         32.0000          2.11941626E+02          6.57506075E+00          6.37722037E+00
         33.0000          2.06068718E+02          6.50845678E+00          6.30918792E+00
         34.0000          2.00541061E+02          6.44709190E+00          6.24628333E+00
         35.0000          1.95329189E+02          6.39052511E+00          6.18807186E+00
         36.0000          1.90406901E+02          6.33836353E+00          6.13416623E+00
         37.0000          1.85750817E+02          6.29025602E+00          6.08422030E+00
         38.0000          1.81340014E+02          6.24588775E+00          6.03792375E+00
         39.0000          1.77155704E+02          6.20497560E+00          5.99499753E+00
         40.0000          1.73180975E+02          6.16726429E+00          5.95519001E+00
         41.0000          1.69400559E+02          6.13252300E+00          5.91827371E+00
         41.9990          1.65804150E+02          6.10057317E+00          5.88407538E+00
         42.0000          1.65800636E+02          6.10054250E+00          5.88404243E+00
         42.0010          1.65797122E+02          6.10051184E+00          5.88400947E+00
         43.0000          1.62368669E+02          6.07113273E+00          5.85230884E+00
         44.0000          1.59093256E+02          6.04412058E+00          5.82290238E+00
         44.9990          1.55967065E+02          6.01937178E+00          5.79569357E+00
         45.0000          1.55964005E+02          6.01934808E+00          5.79566737E+00
         45.0010          1.55960946E+02          6.01932438E+00          5.79564118E+00
         46.0000          1.52971426E+02          5.99667077E+00          5.77046148E+00
         47.0000          1.50106832E+02          5.97595626E+00          5.74715427E+00
         48.0000          1.47362259E+02          5.95708305E+00          5.72562603E+00
         49.0000          1.44730391E+02          5.93993936E+00          5.70576665E+00
         50.0000          1.42204494E+02          5.92442224E+00          5.68747472E+00
         51.0000          1.39778361E+02          5.91043665E+00          5.67065664E+00
         52.0000          1.37446261E+02          5.89789478E+00          5.65522592E+00
         53.0000          1.35202895E+02          5.88671532E+00          5.64110250E+00
         54.0000          1.33043352E+02          5.87682292E+00          5.62821218E+00
         55.0000          1.30963081E+02          5.86814759E+00          5.61648606E+00
         56.0000          1.28957852E+02          5.86062429E+00          5.60586012E+00
         57.0000          1.27023732E+02          5.85419249E+00          5.59627478E+00
         58.0000          1.25157058E+02          5.84879573E+00          5.58767449E+00
         59.0000          1.23354414E+02          5.84438137E+00          5.58000744E+00
         60.0000          1.21612613E+02          5.84090020E+00          5.57322523E+00
         61.0000          1.19928673E+02          5.83830622E+00          5.56728262E+00
         62.0000          1.18299807E+02          5.83655632E+00          5.56213722E+00
         63.0000          1.16723401E+02          5.83561014E+00          5.55774933E+00
         64.0000          1.15197008E+02          5.83542977E+00          5.55408171E+00
         65.0000          1.13718326E+02          5.83597962E+00          5.55109939E+00
         66.0000          1.12285197E+02          5.83722622E+00          5.54876948E+00
         67.0000          1.10895587E+02          5.83913811E+00          5.54706106E+00
         67.9990          1.09548912E+02          5.84168276E+00          5.54594585E+00
         68.0000          1.09547584E+02          5.84168561E+00          5.54594502E+00
         68.0010          1.09546257E+02          5.84168847E+00          5.54594419E+00
         69.0000          1.08239387E+02          5.84484078E+00          5.54539392E+00
         70.0000          1.06969295E+02          5.84857723E+00          5.54538186E+00
         71.0000          1.05735703E+02          5.85287006E+00          5.54588443E+00
         72.0000          1.04537097E+02          5.85769574E+00          5.54687855E+00
         73.0000          1.03372044E+02          5.86303200E+00          5.54834238E+00
         74.0000          1.02239188E+02          5.86885778E+00          5.55025530E+00
         75.0000          1.01137246E+02          5.87515312E+00          5.55259775E+00
         76.0000          1.00065002E+02          5.88189912E+00          5.55535122E+00
         77.0000          9.90213016E+01          5.88907782E+00          5.55849816E+00
         78.0000          9.80050516E+01          5.89667221E+00          5.56202191E+00
         79.0000          9.70152126E+01          5.90466611E+00          5.56590666E+00
         80.0000          9.60507973E+01          5.91304416E+00          5.57013739E+00
         81.0000          9.51108670E+01          5.92179174E+00          5.57469984E+00
         82.0000          9.41945287E+01          5.93089494E+00          5.57958042E+00
         83.0000          9.33009320E+01          5.94034052E+00          5.58476622E+00
         84.0000          9.24292672E+01          5.95011587E+00          5.59024495E+00
         85.0000          9.15787625E+01          5.96020896E+00          5.59600489E+00
         86.0000          9.07486816E+01          5.97060834E+00          5.60203487E+00
         87.0000          8.99383223E+01          5.98130305E+00          5.60832426E+00
         88.0000          8.91470139E+01          5.99228265E+00          5.61486288E+00
         89.0000          8.83741161E+01          6.00353716E+00          5.62164105E+00
         90.0000          8.76190165E+01          6.01505705E+00          5.62864951E+00
         91.0000          8.68811300E+01          6.02683319E+00          5.63587942E+00
         92.0000          8.61598965E+01          6.03885686E+00          5.64332231E+00
         93.0000          8.54547801E+01          6.05111971E+00          5.65097011E+00
         94.0000          8.47652675E+01          6.06361376E+00          5.65881507E+00
         95.0000          8.40908670E+01          6.07633133E+00          5.66684980E+00
         96.0000          8.34311074E+01          6.08926510E+00          5.67506721E+00
         97.0000          8.27855368E+01          6.10240802E+00          5.68346051E+00
         98.0000          8.21537216E+01          6.11575335E+00          5.69202319E+00
         99.0000          8.15352458E+01          6.12929462E+00          5.70074902E+00
        100.0000          8.09297099E+01          6.14302559E+00          5.70963203E+00
        103.9990          7.86300637E+01          6.19971619E+00          5.74661492E+00
        104.0010          7.86289600E+01          6.19974522E+00          5.74663397E+00
        110.0000          7.55085159E+01          6.28956409E+00          5.80595107E+00
        120.0000          7.10387631E+01          6.44975251E+00          5.91290770E+00
        130.0000          6.73009634E+01          6.62019384E+00          6.02730585E+00
        140.0000          6.41381858E+01          6.79847240E+00          6.14691610E+00
        150.0000          6.14352534E+01          6.98282747E+00          6.27015212E+00
        153.9990          6.04629575E+01          7.05794671E+00          6.32018094E+00
        154.0010          6.04624854E+01          7.05798446E+00          6.32020605E+00
        160.0000          5.91057253E+01          7.17194854E+00          6.39586750E+00
        170.0000          5.70834644E+01          7.36484259E+00          6.52322380E+00
        180.0000          5.53170093E+01          7.56074540E+00          6.65160239E+00
        190.0000          5.37657207E+01          7.75906082E+00          6.78054414E+00
        200.0000          5.23970814E+01          7.95931829E+00          6.90970718E+00
        210.0000          5.11847655E+01          8.16114248E+00          7.03883685E+00
        220.0000          5.01072341E+01          8.36423121E+00          7.16774394E+00
        230.0000          4.91466963E+01          8.56833922E+00          7.29628877E+00
        233.9990          4.87919205E+01          8.65020115E+00          7.34756855E+00
        234.0010          4.87917470E+01          8.65024212E+00          7.34759418E+00
        236.9990          4.85359765E+01          8.71169191E+00          7.38598594E+00
        237.0010          4.85358087E+01          8.71173293E+00          7.38601154E+00
        240.0000          4.82883290E+01          8.77326600E+00          7.42436932E+00
        250.0000          4.75196846E+01          8.97884652E+00          7.55191234E+00
        260.0000          4.68302342E+01          9.18494419E+00          7.67886669E+00
        270.0000          4.62110127E+01          9.39144538E+00          7.80519813E+00
        280.0000          4.56543399E+01          9.59825513E+00          7.93088545E+00
        290.0000          4.51535985E+01          9.80529375E+00          8.05591742E+00
        300.0000          4.47030577E+01          1.00124941E+01          8.18029040E+00
        310.0000          4.42977295E+01          1.02197996E+01          8.30400656E+00
        320.0000          4.39332531E+01          1.04271622E+01          8.42707243E+00
        330.0000          4.36057994E+01          1.06345412E+01          8.54949778E+00
        340.0000          4.33119929E+01          1.08419020E+01          8.67129474E+00
        350.0000          4.30488470E+01          1.10492152E+01          8.79247713E+00
        360.0000          4.28137096E+01          1.12564556E+01          8.91305992E+00
        370.0000          4.26042180E+01          1.14636020E+01          9.03305882E+00
        380.0000          4.24182604E+01          1.16706361E+01          9.15248992E+00
        390.0000          4.22539443E+01          1.18775424E+01          9.27136949E+00
        398.9990          4.21231672E+01          1.20636172E+01          9.37789115E+00
        399.0010          4.21231399E+01          1.20636586E+01          9.37791478E+00
        400.0000          4.21095684E+01          1.20843078E+01          9.38971376E+00
        410.0000          4.19835993E+01          1.22909211E+01          9.50753878E+00
        415.9990          4.19162820E+01          1.24147915E+01          9.57797939E+00
        416.0010          4.19162605E+01          1.24148328E+01          9.57800284E+00
        420.0000          4.18746518E+01          1.24973730E+01          9.62486030E+00
        430.0000          4.17814712E+01          1.27036554E+01          9.74169369E+00
        440.0000          4.17029187E+01          1.29097618E+01          9.85805390E+00
        450.0000          4.16379581E+01          1.31156866E+01          9.97395540E+00
        460.0000          4.15856450E+01          1.33214253E+01          1.00894122E+01
        470.0000          4.15451168E+01          1.35269741E+01          1.02044377E+01
        480.0000          4.15155838E+01          1.37323301E+01          1.03190448E+01
        490.0000          4.14963225E+01          1.39374909E+01          1.04332461E+01
        500.0000          4.14866681E+01          1.41424548E+01          1.05470534E+01
        510.0000          4.14860093E+01          1.43472204E+01          1.06604781E+01
        510.9990          4.14864156E+01          1.43676656E+01          1.06717886E+01
        511.0010          4.14864165E+01          1.43677065E+01          1.06718112E+01
        520.0000          4.14937826E+01          1.45517870E+01          1.07735311E+01
        530.0000          4.15094683E+01          1.47561540E+01          1.08862229E+01
        540.0000          4.15325860E+01          1.49603212E+01          1.09985635E+01
        550.0000          4.15626913E+01          1.51642888E+01          1.11105625E+01
        560.0000          4.15993721E+01          1.53680572E+01          1.12222288E+01
        570.0000          4.16422463E+01          1.55716268E+01          1.13335714E+01
        580.0000          4.16909588E+01          1.57749984E+01          1.14445985E+01
        590.0000          4.17451792E+01          1.59781731E+01          1.15553181E+01
        600.0000          4.18046001E+01          1.61811518E+01          1.16657378E+01
        610.0000          4.18689347E+01          1.63839357E+01          1.17758649E+01
        620.0000          4.19379154E+01          1.65865261E+01          1.18857064E+01
        630.0000          4.20112920E+01          1.67889243E+01          1.19952688E+01
        640.0000          4.20888308E+01          1.69911319E+01          1.21045587E+01
        650.0000          4.21703129E+01          1.71931504E+01          1.22135821E+01
        660.0000          4.22555331E+01          1.73949812E+01          1.23223448E+01
        670.0000          4.23442991E+01          1.75966261E+01          1.24308525E+01
        680.0000          4.24364301E+01          1.77980866E+01          1.25391105E+01
        690.0000          4.25317566E+01          1.79993645E+01          1.26471239E+01
        700.0000          4.26301189E+01          1.82004614E+01          1.27548978E+01
        710.0000          4.27313670E+01          1.84013791E+01          1.28624368E+01
        720.0000          4.28353593E+01          1.86021193E+01          1.29697455E+01
        730.0000          4.29419625E+01          1.88026838E+01          1.30768284E+01
        740.0000          4.30510510E+01          1.90030742E+01          1.31836895E+01
        750.0000          4.31625059E+01          1.92032924E+01          1.32903329E+01
        760.0000          4.32762153E+01          1.94033400E+01          1.33967626E+01
        770.0000          4.33920730E+01          1.96032189E+01          1.35029822E+01
        780.0000          4.35099790E+01          1.98029308E+01          1.36089955E+01
        790.0000          4.36298383E+01          2.00024773E+01          1.37148058E+01
        800.0000          4.37515610E+01          2.02018602E+01          1.38204165E+01
        810.0000          4.38750620E+01          2.04010812E+01          1.39258309E+01
        820.0000          4.40002606E+01          2.06001420E+01          1.40310521E+01
        830.0000          4.41270802E+01          2.07990443E+01          1.41360832E+01
        840.0000          4.42554481E+01          2.09977897E+01          1.42409269E+01
        850.0000          4.43852952E+01          2.11963798E+01          1.43455862E+01
        860.0000          4.45165560E+01          2.13948163E+01          1.44500638E+01
        870.0000          4.46491679E+01          2.15931008E+01          1.45543624E+01
        880.0000          4.47830717E+01          2.17912349E+01          1.46584844E+01
        890.0000          4.49182109E+01          2.19892201E+01          1.47624324E+01
        900.0000          4.50545317E+01          2.21870581E+01          1.48662088E+01
        910.0000          4.51919829E+01          2.23847502E+01          1.49698158E+01
        920.0000          4.53305156E+01          2.25822981E+01          1.50732559E+01
        930.0000          4.54700833E+01          2.27797032E+01          1.51765310E+01
        940.0000          4.56106415E+01          2.29769671E+01          1.52796435E+01
        950.0000          4.57521479E+01          2.31740910E+01          1.53825953E+01
        960.0000          4.58945621E+01          2.33710766E+01          1.54853885E+01
        970.0000          4.60378454E+01          2.35679251E+01          1.55880250E+01
        980.0000          4.61819608E+01          2.37646380E+01          1.56905068E+01
