#Energy      Os  Total
        240.0000          7.79938698E+01          7.79938698E+01
        250.0000          7.54647688E+01          7.54647688E+01
        260.0000          7.31379320E+01          7.31379320E+01
        270.0000          7.09908348E+01          7.09908348E+01
        279.9990          6.90043601E+01          6.90043601E+01
        280.0000          6.90041689E+01          6.90041689E+01
        280.0010          6.90039777E+01          6.90039777E+01
        290.0000          6.71612888E+01          6.71612888E+01
        294.9990          6.62893550E+01          6.62893550E+01
        295.0010          6.62890124E+01          6.62890124E+01
        300.0000          6.54477680E+01          6.54477680E+01
        310.0000          6.38510412E+01          6.38510412E+01
        320.0000          6.23601141E+01          6.23601141E+01
        330.0000          6.09653252E+01          6.09653252E+01
        340.0000          5.96581501E+01          5.96581501E+01
        350.0000          5.84310390E+01          5.84310390E+01
        360.0000          5.72772813E+01          5.72772813E+01
        370.0000          5.61908925E+01          5.61908925E+01
        380.0000          5.51665187E+01          5.51665187E+01
        390.0000          5.41993554E+01          5.41993554E+01
        400.0000          5.32850794E+01          5.32850794E+01
        410.0000          5.24197896E+01          5.24197896E+01
        420.0000          5.15999571E+01          5.15999571E+01
        430.0000          5.08223816E+01          5.08223816E+01
        440.0000          5.00841544E+01          5.00841544E+01
        450.0000          4.93826260E+01          4.93826260E+01
        460.0000          4.87153774E+01          4.87153774E+01
        470.0000          4.80801962E+01          4.80801962E+01
        472.9990          4.78956485E+01          4.78956485E+01
        473.0010          4.78955263E+01          4.78955263E+01
        480.0000          4.74750548E+01          4.74750548E+01
        490.0000          4.68980916E+01          4.68980916E+01
        500.0000          4.63475940E+01          4.63475940E+01
        510.0000          4.58219846E+01          4.58219846E+01
        520.0000          4.53198075E+01          4.53198075E+01
        530.0000          4.48397169E+01          4.48397169E+01
        540.0000          4.43804673E+01          4.43804673E+01
        550.0000          4.39409040E+01          4.39409040E+01
        550.9990          4.38980313E+01          4.38980313E+01
        551.0010          4.38979457E+01          4.38979457E+01
        560.0000          4.35199551E+01          4.35199551E+01
        570.0000          4.31166244E+01          4.31166244E+01
        580.0000          4.27299843E+01          4.27299843E+01
        590.0000          4.23591709E+01          4.23591709E+01
        600.0000          4.20033777E+01          4.20033777E+01
        610.0000          4.16618516E+01          4.16618516E+01
        620.0000          4.13338884E+01          4.13338884E+01
        630.0000          4.10188287E+01          4.10188287E+01
        640.0000          4.07160545E+01          4.07160545E+01
        650.0000          4.04249863E+01          4.04249863E+01
        659.9990          4.01451071E+01          4.01451071E+01
        660.0000          4.01450797E+01          4.01450797E+01
        660.0010          4.01450522E+01          4.01450522E+01
        670.0000          3.98758230E+01          3.98758230E+01
        680.0000          3.96167351E+01          3.96167351E+01
        690.0000          3.93673626E+01          3.93673626E+01
        700.0000          3.91272784E+01          3.91272784E+01
        710.0000          3.88960797E+01          3.88960797E+01
        720.0000          3.86733860E+01          3.86733860E+01
        730.0000          3.84588380E+01          3.84588380E+01
        740.0000          3.82520960E+01          3.82520960E+01
        750.0000          3.80528384E+01          3.80528384E+01
        760.0000          3.78607609E+01          3.78607609E+01
        770.0000          3.76755749E+01          3.76755749E+01
        780.0000          3.74970069E+01          3.74970069E+01
        790.0000          3.73247974E+01          3.73247974E+01
        800.0000          3.71586998E+01          3.71586998E+01
        810.0000          3.69984800E+01          3.69984800E+01
        820.0000          3.68439153E+01          3.68439153E+01
        830.0000          3.66947941E+01          3.66947941E+01
        840.0000          3.65509146E+01          3.65509146E+01
        850.0000          3.64120848E+01          3.64120848E+01
        860.0000          3.62781218E+01          3.62781218E+01
        870.0000          3.61488511E+01          3.61488511E+01
        880.0000          3.60241063E+01          3.60241063E+01
        890.0000          3.59037284E+01          3.59037284E+01
        900.0000          3.57875658E+01          3.57875658E+01
