#Energy      C  Total
         40.0000          1.75003660E+00          1.75003660E+00
         41.0000          1.77043923E+00          1.77043923E+00
         42.0000          1.79095422E+00          1.79095422E+00
         43.0000          1.81157340E+00          1.81157340E+00
         44.0000          1.83228931E+00          1.83228931E+00
         45.0000          1.85309515E+00          1.85309515E+00
         46.0000          1.87398468E+00          1.87398468E+00
         47.0000          1.89495221E+00          1.89495221E+00
         48.0000          1.91599249E+00          1.91599249E+00
         49.0000          1.93710073E+00          1.93710073E+00
         50.0000          1.95827247E+00          1.95827247E+00
         51.0000          1.97950364E+00          1.97950364E+00
         52.0000          2.00079047E+00          2.00079047E+00
         53.0000          2.02212945E+00          2.02212945E+00
         54.0000          2.04351735E+00          2.04351735E+00
         55.0000          2.06495118E+00          2.06495118E+00
         56.0000          2.08642814E+00          2.08642814E+00
         57.0000          2.10794565E+00          2.10794565E+00
         58.0000          2.12950130E+00          2.12950130E+00
         59.0000          2.15109284E+00          2.15109284E+00
         60.0000          2.17271818E+00          2.17271818E+00
         61.0000          2.19437535E+00          2.19437535E+00
         62.0000          2.21606254E+00          2.21606254E+00
         63.0000          2.23777802E+00          2.23777802E+00
         64.0000          2.25952021E+00          2.25952021E+00
         65.0000          2.28128759E+00          2.28128759E+00
         66.0000          2.30307875E+00          2.30307875E+00
         67.0000          2.32489238E+00          2.32489238E+00
         68.0000          2.34672723E+00          2.34672723E+00
         69.0000          2.36858214E+00          2.36858214E+00
         70.0000          2.39045600E+00          2.39045600E+00
         71.0000          2.41234777E+00          2.41234777E+00
         72.0000          2.43425648E+00          2.43425648E+00
         73.0000          2.45618121E+00          2.45618121E+00
         74.0000          2.47812109E+00          2.47812109E+00
         75.0000          2.50007531E+00          2.50007531E+00
         76.0000          2.52204307E+00          2.52204307E+00
         77.0000          2.54402366E+00          2.54402366E+00
         78.0000          2.56601637E+00          2.56601637E+00
         79.0000          2.58802056E+00          2.58802056E+00
         80.0000          2.61003559E+00          2.61003559E+00
         81.0000          2.63206088E+00          2.63206088E+00
         82.0000          2.65409587E+00          2.65409587E+00
         83.0000          2.67614004E+00          2.67614004E+00
         84.0000          2.69819287E+00          2.69819287E+00
         85.0000          2.72025389E+00          2.72025389E+00
         86.0000          2.74232265E+00          2.74232265E+00
         87.0000          2.76439871E+00          2.76439871E+00
         88.0000          2.78648167E+00          2.78648167E+00
         89.0000          2.80857114E+00          2.80857114E+00
         90.0000          2.83066674E+00          2.83066674E+00
         91.0000          2.85276812E+00          2.85276812E+00
         92.0000          2.87487495E+00          2.87487495E+00
         93.0000          2.89698691E+00          2.89698691E+00
         94.0000          2.91910368E+00          2.91910368E+00
         95.0000          2.94122498E+00          2.94122498E+00
         96.0000          2.96335054E+00          2.96335054E+00
         97.0000          2.98548008E+00          2.98548008E+00
         98.0000          3.00761336E+00          3.00761336E+00
         99.0000          3.02975013E+00          3.02975013E+00
        100.0000          3.05189016E+00          3.05189016E+00
        110.0000          3.27342609E+00          3.27342609E+00
        120.0000          3.49509823E+00          3.49509823E+00
        130.0000          3.71679274E+00          3.71679274E+00
        140.0000          3.93843497E+00          3.93843497E+00
        150.0000          4.15997555E+00          4.15997555E+00
        160.0000          4.38138190E+00          4.38138190E+00
        170.0000          4.60263272E+00          4.60263272E+00
        180.0000          4.82371450E+00          4.82371450E+00
        190.0000          5.04461911E+00          5.04461911E+00
        200.0000          5.26534219E+00          5.26534219E+00
        210.0000          5.48588204E+00          5.48588204E+00
        220.0000          5.70623883E+00          5.70623883E+00
        230.0000          5.92641406E+00          5.92641406E+00
        240.0000          6.14641014E+00          6.14641014E+00
        250.0000          6.36623010E+00          6.36623010E+00
        260.0000          6.58587741E+00          6.58587741E+00
        270.0000          6.80535581E+00          6.80535581E+00
        280.0000          7.02466918E+00          7.02466918E+00
        287.9990          7.19998181E+00          7.19998181E+00
        288.0010          7.20002564E+00          7.20002564E+00
        290.0000          7.24382150E+00          7.24382150E+00
        300.0000          7.46281674E+00          7.46281674E+00
        310.0000          7.68165888E+00          7.68165888E+00
        320.0000          7.90035182E+00          7.90035182E+00
        330.0000          8.11889937E+00          8.11889937E+00
        340.0000          8.33730527E+00          8.33730527E+00
        350.0000          8.55557315E+00          8.55557315E+00
        360.0000          8.77370651E+00          8.77370651E+00
        370.0000          8.99170877E+00          8.99170877E+00
        380.0000          9.20958320E+00          9.20958320E+00
        390.0000          9.42733297E+00          9.42733297E+00
        400.0000          9.64496114E+00          9.64496114E+00
        410.0000          9.86247065E+00          9.86247065E+00
        420.0000          1.00798643E+01          1.00798643E+01
        430.0000          1.02971449E+01          1.02971449E+01
        440.0000          1.05143151E+01          1.05143151E+01
        450.0000          1.07313773E+01          1.07313773E+01
        460.0000          1.09483340E+01          1.09483340E+01
        470.0000          1.11651875E+01          1.11651875E+01
        480.0000          1.13819401E+01          1.13819401E+01
        490.0000          1.15985940E+01          1.15985940E+01
        500.0000          1.18151512E+01          1.18151512E+01
        510.0000          1.20316139E+01          1.20316139E+01
        520.0000          1.22479838E+01          1.22479838E+01
        530.0000          1.24642629E+01          1.24642629E+01
        540.0000          1.26804530E+01          1.26804530E+01
        550.0000          1.28965559E+01          1.28965559E+01
        560.0000          1.31125731E+01          1.31125731E+01
        570.0000          1.33285064E+01          1.33285064E+01
        580.0000          1.35443573E+01          1.35443573E+01
        590.0000          1.37601273E+01          1.37601273E+01
        600.0000          1.39758179E+01          1.39758179E+01
        610.0000          1.41914305E+01          1.41914305E+01
        620.0000          1.44069664E+01          1.44069664E+01
        630.0000          1.46224270E+01          1.46224270E+01
        640.0000          1.48378136E+01          1.48378136E+01
        650.0000          1.50531273E+01          1.50531273E+01
        660.0000          1.52683694E+01          1.52683694E+01
        670.0000          1.54835411E+01          1.54835411E+01
        680.0000          1.56986434E+01          1.56986434E+01
        690.0000          1.59136775E+01          1.59136775E+01
        700.0000          1.61286444E+01          1.61286444E+01
        710.0000          1.63435451E+01          1.63435451E+01
        720.0000          1.65583807E+01          1.65583807E+01
        730.0000          1.67731521E+01          1.67731521E+01
        740.0000          1.69878602E+01          1.69878602E+01
        750.0000          1.72025059E+01          1.72025059E+01
        760.0000          1.74170902E+01          1.74170902E+01
        770.0000          1.76316139E+01          1.76316139E+01
        780.0000          1.78460778E+01          1.78460778E+01
        790.0000          1.80604827E+01          1.80604827E+01
        800.0000          1.82748294E+01          1.82748294E+01
        810.0000          1.84891188E+01          1.84891188E+01
        820.0000          1.87033514E+01          1.87033514E+01
        830.0000          1.89175282E+01          1.89175282E+01
        840.0000          1.91316497E+01          1.91316497E+01
        850.0000          1.93457166E+01          1.93457166E+01
        860.0000          1.95597297E+01          1.95597297E+01
        870.0000          1.97736896E+01          1.97736896E+01
        880.0000          1.99875968E+01          1.99875968E+01
        890.0000          2.02014522E+01          2.02014522E+01
        900.0000          2.04152561E+01          2.04152561E+01
        910.0000          2.06290094E+01          2.06290094E+01
        920.0000          2.08427124E+01          2.08427124E+01
        930.0000          2.10563658E+01          2.10563658E+01
        940.0000          2.12699702E+01          2.12699702E+01
        950.0000          2.14835260E+01          2.14835260E+01
        960.0000          2.16970338E+01          2.16970338E+01
        970.0000          2.19104941E+01          2.19104941E+01
        980.0000          2.21239073E+01          2.21239073E+01
        990.0000          2.23372741E+01          2.23372741E+01
       1000.0000          2.25505949E+01          2.25505949E+01
       1100.0000          2.46813678E+01          2.46813678E+01
       1200.0000          2.68079908E+01          2.68079908E+01
       1300.0000          2.89308012E+01          2.89308012E+01
       1400.0000          3.10500768E+01          3.10500768E+01
       1500.0000          3.31660500E+01          3.31660500E+01
       1600.0000          3.52789171E+01          3.52789171E+01
       1700.0000          3.73888462E+01          3.73888462E+01
