#Energy      C-K-shell   Valence  Total
          0.1000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.2000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.3000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.4000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.5000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.6000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.7000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.8000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.9000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          1.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          2.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          3.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          4.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          5.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          6.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          7.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          8.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          9.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         10.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         11.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         12.0000          1.00000000E+30          7.65406199E+01          7.65406199E+01
         13.0000          1.00000000E+30          8.19532945E+01          8.19532945E+01
         14.0000          1.00000000E+30          8.79021055E+01          8.79021055E+01
         15.0000          1.00000000E+30          9.41563006E+01          9.41563006E+01
         16.0000          1.00000000E+30          1.00861269E+02          1.00861269E+02
         17.0000          1.00000000E+30          9.82219543E+01          9.82219543E+01
         18.0000          1.00000000E+30          1.03128150E+02          1.03128150E+02
         19.0000          1.00000000E+30          1.07767399E+02          1.07767399E+02
         20.0000          1.00000000E+30          1.13148917E+02          1.13148917E+02
         21.0000          1.00000000E+30          1.18276751E+02          1.18276751E+02
         22.0000          1.00000000E+30          1.23564476E+02          1.23564476E+02
         23.0000          1.00000000E+30          1.29738873E+02          1.29738873E+02
         24.0000          1.00000000E+30          1.35796393E+02          1.35796393E+02
         25.0000          1.00000000E+30          1.42265889E+02          1.42265889E+02
         26.0000          1.00000000E+30          1.48938525E+02          1.48938525E+02
         27.0000          1.00000000E+30          1.56326781E+02          1.56326781E+02
         28.0000          1.00000000E+30          1.63635060E+02          1.63635060E+02
         29.0000          1.00000000E+30          1.71351980E+02          1.71351980E+02
         30.0000          1.00000000E+30          1.79275964E+02          1.79275964E+02
         31.0000          1.00000000E+30          1.87946410E+02          1.87946410E+02
         32.0000          1.00000000E+30          1.96209474E+02          1.96209474E+02
         33.0000          1.00000000E+30          2.05479228E+02          2.05479228E+02
         34.0000          1.00000000E+30          2.14404401E+02          2.14404401E+02
         35.0000          1.00000000E+30          2.24367922E+02          2.24367922E+02
         36.0000          1.00000000E+30          2.34802007E+02          2.34802007E+02
         37.0000          1.00000000E+30          2.44406910E+02          2.44406910E+02
         38.0000          1.00000000E+30          2.55450915E+02          2.55450915E+02
         39.0000          1.00000000E+30          2.66109168E+02          2.66109168E+02
         40.0000          1.00000000E+30          2.77308689E+02          2.77308689E+02
         41.0000          1.00000000E+30          2.89261964E+02          2.89261964E+02
         42.0000          1.00000000E+30          3.01691443E+02          3.01691443E+02
         43.0000          1.00000000E+30          3.13190345E+02          3.13190345E+02
         44.0000          1.00000000E+30          3.26631977E+02          3.26631977E+02
         45.0000          1.00000000E+30          3.39492314E+02          3.39492314E+02
         46.0000          1.00000000E+30          3.52374188E+02          3.52374188E+02
         47.0000          1.00000000E+30          3.65995727E+02          3.65995727E+02
         48.0000          1.00000000E+30          3.79984457E+02          3.79984457E+02
         49.0000          1.00000000E+30          3.93993731E+02          3.93993731E+02
         50.0000          1.00000000E+30          4.08567298E+02          4.08567298E+02
         51.0000          1.00000000E+30          4.23078897E+02          4.23078897E+02
         52.0000          1.00000000E+30          4.38269071E+02          4.38269071E+02
         53.0000          1.00000000E+30          4.54674232E+02          4.54674232E+02
         54.0000          1.00000000E+30          4.70416574E+02          4.70416574E+02
         55.0000          1.00000000E+30          4.86014780E+02          4.86014780E+02
         56.0000          1.00000000E+30          5.02588165E+02          5.02588165E+02
         57.0000          1.00000000E+30          5.19780586E+02          5.19780586E+02
         58.0000          1.00000000E+30          5.37898771E+02          5.37898771E+02
         59.0000          1.00000000E+30          5.53863995E+02          5.53863995E+02
         60.0000          1.00000000E+30          5.71746167E+02          5.71746167E+02
         61.0000          1.00000000E+30          5.90422073E+02          5.90422073E+02
         62.0000          1.00000000E+30          6.09120428E+02          6.09120428E+02
         63.0000          1.00000000E+30          6.28967822E+02          6.28967822E+02
         64.0000          1.00000000E+30          6.47253822E+02          6.47253822E+02
         65.0000          1.00000000E+30          6.66255843E+02          6.66255843E+02
         66.0000          1.00000000E+30          6.87154558E+02          6.87154558E+02
         67.0000          1.00000000E+30          7.07819661E+02          7.07819661E+02
         68.0000          1.00000000E+30          7.28620167E+02          7.28620167E+02
         69.0000          1.00000000E+30          7.50089951E+02          7.50089951E+02
         70.0000          1.00000000E+30          7.69795413E+02          7.69795413E+02
         71.0000          1.00000000E+30          7.92190162E+02          7.92190162E+02
         72.0000          1.00000000E+30          8.14471460E+02          8.14471460E+02
         73.0000          1.00000000E+30          8.37454744E+02          8.37454744E+02
         74.0000          1.00000000E+30          8.60858611E+02          8.60858611E+02
         75.0000          1.00000000E+30          8.81732648E+02          8.81732648E+02
         76.0000          1.00000000E+30          9.05610146E+02          9.05610146E+02
         77.0000          1.00000000E+30          9.30208047E+02          9.30208047E+02
         78.0000          1.00000000E+30          9.56433665E+02          9.56433665E+02
         79.0000          1.00000000E+30          9.79861997E+02          9.79861997E+02
         80.0000          1.00000000E+30          1.00666380E+03          1.00666380E+03
         81.0000          1.00000000E+30          1.03358926E+03          1.03358926E+03
         82.0000          1.00000000E+30          1.05538336E+03          1.05538336E+03
         83.0000          1.00000000E+30          1.08339633E+03          1.08339633E+03
         84.0000          1.00000000E+30          1.11132336E+03          1.11132336E+03
         85.0000          1.00000000E+30          1.13740706E+03          1.13740706E+03
         86.0000          1.00000000E+30          1.16515618E+03          1.16515618E+03
         87.0000          1.00000000E+30          1.19453929E+03          1.19453929E+03
         88.0000          1.00000000E+30          1.22611989E+03          1.22611989E+03
         89.0000          1.00000000E+30          1.24913128E+03          1.24913128E+03
         90.0000          1.00000000E+30          1.27960477E+03          1.27960477E+03
         91.0000          1.00000000E+30          1.30956167E+03          1.30956167E+03
         92.0000          1.00000000E+30          1.34009592E+03          1.34009592E+03
         93.0000          1.00000000E+30          1.37357538E+03          1.37357538E+03
         94.0000          1.00000000E+30          1.40032280E+03          1.40032280E+03
         95.0000          1.00000000E+30          1.43309899E+03          1.43309899E+03
         96.0000          1.00000000E+30          1.46681898E+03          1.46681898E+03
         97.0000          1.00000000E+30          1.49448172E+03          1.49448172E+03
         98.0000          1.00000000E+30          1.52848535E+03          1.52848535E+03
         99.0000          1.00000000E+30          1.56045983E+03          1.56045983E+03
        100.0000          1.00000000E+30          1.59613911E+03          1.59613911E+03
        110.0000          1.00000000E+30          1.95858586E+03          1.95858586E+03
        120.0000          1.00000000E+30          2.36468005E+03          2.36468005E+03
        130.0000          1.00000000E+30          2.82122118E+03          2.82122118E+03
        140.0000          1.00000000E+30          3.32319158E+03          3.32319158E+03
        150.0000          1.00000000E+30          3.87747554E+03          3.87747554E+03
        160.0000          1.00000000E+30          4.49845166E+03          4.49845166E+03
        170.0000          1.00000000E+30          5.15843685E+03          5.15843685E+03
        180.0000          1.00000000E+30          5.89449917E+03          5.89449917E+03
        190.0000          1.00000000E+30          6.65915517E+03          6.65915517E+03
        200.0000          1.00000000E+30          7.51458438E+03          7.51458438E+03
