#Energy      C  Total
          0.1000          2.88918342E+01          2.88918342E+01
          0.2000          1.59606490E+01          1.59606490E+01
          0.3000          1.14570208E+01          1.14570208E+01
          0.4000          9.13157312E+00          9.13157312E+00
          0.5000          7.69941402E+00          7.69941402E+00
          0.6000          6.72327798E+00          6.72327798E+00
          0.7000          6.01248672E+00          6.01248672E+00
          0.8000          5.47024110E+00          5.47024110E+00
          0.9000          5.04202413E+00          5.04202413E+00
          1.0000          4.69471472E+00          4.69471472E+00
          2.0000          3.06076607E+00          3.06076607E+00
          3.0000          2.48182090E+00          2.48182090E+00
          4.0000          2.18777197E+00          2.18777197E+00
          5.0000          2.01399687E+00          2.01399687E+00
          6.0000          1.90296078E+00          1.90296078E+00
          7.0000          1.82905195E+00          1.82905195E+00
          8.0000          1.77904792E+00          1.77904792E+00
          9.0000          1.74539591E+00          1.74539591E+00
         10.0000          1.72345156E+00          1.72345156E+00
         11.0000          1.71019361E+00          1.71019361E+00
         12.0000          1.70356742E+00          1.70356742E+00
         13.0000          1.70212448E+00          1.70212448E+00
         14.0000          1.70481280E+00          1.70481280E+00
         15.0000          1.71084902E+00          1.71084902E+00
         16.0000          1.71963721E+00          1.71963721E+00
         17.0000          1.73071564E+00          1.73071564E+00
         18.0000          1.74372075E+00          1.74372075E+00
         19.0000          1.75836223E+00          1.75836223E+00
         20.0000          1.77440535E+00          1.77440535E+00
         21.0000          1.79165816E+00          1.79165816E+00
         22.0000          1.80996216E+00          1.80996216E+00
         23.0000          1.82918523E+00          1.82918523E+00
         24.0000          1.84921638E+00          1.84921638E+00
         25.0000          1.86996164E+00          1.86996164E+00
         26.0000          1.89134092E+00          1.89134092E+00
         27.0000          1.91328554E+00          1.91328554E+00
         28.0000          1.93573623E+00          1.93573623E+00
         29.0000          1.95864159E+00          1.95864159E+00
         30.0000          1.98195682E+00          1.98195682E+00
         31.0000          2.00564270E+00          2.00564270E+00
         32.0000          2.02966472E+00          2.02966472E+00
         33.0000          2.05399244E+00          2.05399244E+00
         34.0000          2.07859886E+00          2.07859886E+00
         35.0000          2.10345996E+00          2.10345996E+00
         36.0000          2.12855433E+00          2.12855433E+00
         37.0000          2.15386278E+00          2.15386278E+00
         38.0000          2.17936811E+00          2.17936811E+00
         39.0000          2.20505482E+00          2.20505482E+00
         40.0000          2.23090891E+00          2.23090891E+00
         41.0000          2.25691773E+00          2.25691773E+00
         42.0000          2.28306981E+00          2.28306981E+00
         43.0000          2.30935469E+00          2.30935469E+00
         44.0000          2.33576289E+00          2.33576289E+00
         45.0000          2.36228572E+00          2.36228572E+00
         46.0000          2.38891524E+00          2.38891524E+00
         47.0000          2.41564420E+00          2.41564420E+00
         48.0000          2.44246590E+00          2.44246590E+00
         49.0000          2.46937422E+00          2.46937422E+00
         50.0000          2.49636350E+00          2.49636350E+00
         51.0000          2.52342854E+00          2.52342854E+00
         52.0000          2.55056452E+00          2.55056452E+00
         53.0000          2.57776700E+00          2.57776700E+00
         54.0000          2.60503183E+00          2.60503183E+00
         55.0000          2.63235521E+00          2.63235521E+00
         56.0000          2.65973358E+00          2.65973358E+00
         57.0000          2.68716364E+00          2.68716364E+00
         58.0000          2.71464232E+00          2.71464232E+00
         59.0000          2.74216675E+00          2.74216675E+00
