#Energy      Hf   Nb   Ta   Ti   Zr  Total
          0.1000          1.00000000E+20          9.84419821E+04          6.77801408E+05          1.22880998E+04          9.06371137E+04          9.61111677E+03
          0.2000          1.00000000E+20          4.93422835E+04          3.39164248E+05          6.19643198E+03          4.54358797E+04          4.84010116E+03
          0.3000          1.00000000E+20          3.29571314E+04          2.26244600E+05          4.15795676E+03          3.03508300E+04          3.24450726E+03
          0.4000          1.00000000E+20          2.47573597E+04          1.69769045E+05          3.13565810E+03          2.28013476E+04          2.44467839E+03
          0.5000          1.00000000E+20          1.98338279E+04          1.35875684E+05          2.52072075E+03          1.82681109E+04          1.96374645E+03
          0.6000          1.00000000E+20          1.65493075E+04          1.13275366E+05          2.10984419E+03          1.52438592E+04          1.64251521E+03
          0.7000          1.00000000E+20          1.42018185E+04          9.71292068E+04          1.81576710E+03          1.30823230E+04          1.41266975E+03
          0.8000          1.00000000E+20          1.24402326E+04          8.50174606E+04          1.59479973E+03          1.14602339E+04          1.24001344E+03
          0.9000          1.00000000E+20          1.10694080E+04          7.55956715E+04          1.42264005E+03          1.01979303E+04          1.10552826E+03
          1.0000          1.00000000E+20          9.97222072E+03          6.80570805E+04          1.28469015E+03          9.18757737E+03          9.97792338E+02
          2.0000          1.00000000E+20          5.02607877E+03          3.41140168E+04          6.60234467E+02          4.63248532E+03          5.10528106E+02
          3.0000          1.00000000E+20          3.37175173E+03          2.27872075E+04          4.49764592E+02          3.10869847E+03          3.46556859E+02
          4.0000          1.00000000E+20          2.54247442E+03          1.71190609E+04          3.43677748E+02          2.34476418E+03          2.63997361E+02
          5.0000          1.00000000E+20          2.04386031E+03          1.37157954E+04          2.79614837E+02          1.88539270E+03          2.14182273E+02
          6.0000          1.00000000E+20          1.71085020E+03          1.14455718E+04          2.36677955E+02          1.57856588E+03          1.80815095E+02
          7.0000          1.00000000E+20          1.47260837E+03          9.82310516E+03          2.05870346E+02          1.35904025E+03          1.56884709E+02
          8.0000          1.00000000E+20          1.29367437E+03          8.60565896E+03          1.82675714E+02          1.19415285E+03          1.38873655E+02
          9.0000          1.00000000E+20          1.15432641E+03          7.65833224E+03          1.64575982E+02          1.06573683E+03          1.24821792E+02
         10.0000          1.00000000E+20          1.04271951E+03          6.90015807E+03          1.50055327E+02          9.62880540E+02          1.13549731E+02
         11.0000          1.00000000E+20          9.51308891E+02          6.27959639E+03          1.38146189E+02          8.78633400E+02          1.04304992E+02
         12.0000          1.00000000E+20          8.75060277E+02          5.76227735E+03          1.28201690E+02          8.08357398E+02          9.65847003E+01
         13.0000          1.00000000E+20          8.10485497E+02          5.32439998E+03          1.19772787E+02          7.48838807E+02          9.00399128E+01
         14.0000          1.00000000E+20          7.55091033E+02          4.94895923E+03          1.12537927E+02          6.97780207E+02          8.44208458E+01
         15.0000          1.00000000E+20          7.07046933E+02          4.62348166E+03          1.06260736E+02          6.53495494E+02          7.95439476E+01
         16.0000          1.00000000E+20          6.64979742E+02          4.33860996E+03          1.00763529E+02          6.14719139E+02          7.52712855E+01
         17.0000          1.00000000E+20          6.27838450E+02          4.08718695E+03          9.59101326E+01          5.80482682E+02          7.14971843E+01
         18.0000          1.00000000E+20          5.94805059E+02          3.86364469E+03          9.15944138E+01          5.50032354E+02          6.81393055E+01
         19.0000          1.00000000E+20          5.65233371E+02          3.66358653E+03          8.77324151E+01          5.22772677E+02          6.51325339E+01
         19.9990          1.00000000E+20          5.38631410E+02          3.48366554E+03          8.42601432E+01          4.98250283E+02          6.24272647E+01
         20.0000          1.00000000E+20          5.38606107E+02          3.48349443E+03          8.42568416E+01          4.98226958E+02          6.24246914E+01
         20.0010          1.00000000E+20          5.38580807E+02          3.48332333E+03          8.42535403E+01          4.98203635E+02          6.24221184E+01
         20.9990          1.00000000E+20          5.14527231E+02          3.32067512E+03          8.11161095E+01          4.76030229E+02          5.99758070E+01
         21.0000          1.00000000E+20          5.14504271E+02          3.32051988E+03          8.11131160E+01          4.76009064E+02          5.99734719E+01
         21.0010          1.00000000E+20          5.14481313E+02          3.32036466E+03          8.11101227E+01          4.75987901E+02          5.99711370E+01
         22.0000          1.00000000E+20          4.92584846E+02          3.17233184E+03          7.82565042E+01          4.55802876E+02          5.77442084E+01
         23.0000          1.00000000E+20          4.72564314E+02          3.03700432E+03          7.56499887E+01          4.37347101E+02          5.57082210E+01
         24.0000          1.00000000E+20          4.54206282E+02          2.91293201E+03          7.32626703E+01          4.20423869E+02          5.38415760E+01
         25.0000          1.00000000E+20          4.37312075E+02          2.79876624E+03          7.10685520E+01          4.04850068E+02          5.21241413E+01
         26.0000          1.00000000E+20          4.21713495E+02          2.69336561E+03          6.90456021E+01          3.90470676E+02          5.05388597E+01
