#Energy      Au   H  Total
         84.0000          1.77735628E+02          1.52031553E+01          1.40051798E+01
         85.0000          1.75756264E+02          1.53733868E+01          1.41368387E+01
         86.0000          1.73823063E+02          1.55436151E+01          1.42677625E+01
         86.9990          1.71936301E+02          1.57136700E+01          1.43978189E+01
         87.0000          1.71934434E+02          1.57138402E+01          1.43979487E+01
         87.0010          1.71932567E+02          1.57140104E+01          1.43980785E+01
         88.0000          1.70088861E+02          1.58840621E+01          1.45273946E+01
         89.0000          1.68284894E+02          1.60542809E+01          1.46560977E+01
         90.0000          1.66521148E+02          1.62244965E+01          1.47840557E+01
         90.9990          1.64798006E+02          1.63945388E+01          1.49111395E+01
         91.0000          1.64796300E+02          1.63947090E+01          1.49112663E+01
         91.0010          1.64794594E+02          1.63948793E+01          1.49113932E+01
         92.0000          1.63109083E+02          1.65649185E+01          1.50377274E+01
         93.0000          1.61458284E+02          1.67351249E+01          1.51634371E+01
         94.0000          1.59842744E+02          1.69053282E+01          1.52883933E+01
         95.0000          1.58261349E+02          1.70755285E+01          1.54125944E+01
         96.0000          1.56713036E+02          1.72457259E+01          1.55360387E+01
         97.0000          1.55196781E+02          1.74159202E+01          1.56587246E+01
         98.0000          1.53711606E+02          1.75861117E+01          1.57806508E+01
         99.0000          1.52256569E+02          1.77563001E+01          1.59018158E+01
        100.0000          1.50830767E+02          1.79264857E+01          1.60222186E+01
        110.0000          1.38005523E+02          1.96281860E+01          1.71841295E+01
        113.9990          1.33510062E+02          2.03086194E+01          1.76272804E+01
        114.0010          1.33507894E+02          2.03089596E+01          1.76274990E+01
        120.0000          1.27329965E+02          2.13296162E+01          1.82692515E+01
        130.0000          1.18308542E+02          2.30307926E+01          1.92779986E+01
        140.0000          1.10587137E+02          2.47317293E+01          2.02116025E+01
        150.0000          1.03905960E+02          2.64324382E+01          2.10719781E+01
        160.0000          9.80700996E+01          2.81329300E+01          2.18615928E+01
        170.0000          9.29304578E+01          2.98332138E+01          2.25833439E+01
        180.0000          8.83710356E+01          3.15332979E+01          2.32404460E+01
        190.0000          8.43002307E+01          3.32331892E+01          2.38363311E+01
        200.0000          8.06447440E+01          3.49328943E+01          2.43745621E+01
        210.0000          7.73452258E+01          3.66324187E+01          2.48587581E+01
        220.0000          7.43531081E+01          3.83317677E+01          2.52925341E+01
        230.0000          7.16282628E+01          4.00309457E+01          2.56794503E+01
        240.0000          6.91372453E+01          4.17299570E+01          2.60229736E+01
        250.0000          6.68519585E+01          4.34288054E+01          2.63264471E+01
        260.0000          6.47486257E+01          4.51274942E+01          2.65930689E+01
        270.0000          6.28069906E+01          4.68260266E+01          2.68258768E+01
        280.0000          6.10096899E+01          4.85244056E+01          2.70277389E+01
        290.0000          5.93417542E+01          5.02226337E+01          2.72013493E+01
        300.0000          5.77902097E+01          5.19207133E+01          2.73492268E+01
        310.0000          5.63437565E+01          5.36186469E+01          2.74737173E+01
        320.0000          5.49925071E+01          5.53164364E+01          2.75769981E+01
        330.0000          5.37277726E+01          5.70140838E+01          2.76610834E+01
        338.9990          5.26572423E+01          5.85416766E+01          2.77218815E+01
        339.0010          5.26570110E+01          5.85420161E+01          2.77218935E+01
        340.0000          5.25418864E+01          5.87115908E+01          2.77278321E+01
        350.0000          5.14280586E+01          6.04089593E+01          2.77789551E+01
        356.9990          5.06880984E+01          6.15968658E+01          2.78062875E+01
        357.0010          5.06878914E+01          6.15972052E+01          2.78062944E+01
        360.0000          5.03802540E+01          6.21061906E+01          2.78160241E+01
        370.0000          4.93930900E+01          6.38032864E+01          2.78404801E+01
        380.0000          4.84617512E+01          6.55002481E+01          2.78536420E+01
        390.0000          4.75819164E+01          6.71970768E+01          2.78567149E+01
        400.0000          4.67496970E+01          6.88937738E+01          2.78507989E+01
        410.0000          4.59615840E+01          7.05903402E+01          2.78368965E+01
        420.0000          4.52144033E+01          7.22867772E+01          2.78159205E+01
        430.0000          4.45052760E+01          7.39830858E+01          2.77887010E+01
        440.0000          4.38315858E+01          7.56792669E+01          2.77559921E+01
        450.0000          4.31909491E+01          7.73753215E+01          2.77184785E+01
        460.0000          4.25811900E+01          7.90712503E+01          2.76767809E+01
        470.0000          4.20003179E+01          8.07670543E+01          2.76314618E+01
        480.0000          4.14465089E+01          8.24627342E+01          2.75830306E+01
        490.0000          4.09180880E+01          8.41582908E+01          2.75319479E+01
        500.0000          4.04135145E+01          8.58537247E+01          2.74786300E+01
        510.0000          3.99313690E+01          8.75490367E+01          2.74234528E+01
        520.0000          3.94703416E+01          8.92442274E+01          2.73667555E+01
        530.0000          3.90292215E+01          9.09392973E+01          2.73088438E+01
        540.0000          3.86068877E+01          9.26342471E+01          2.72499928E+01
        547.9990          3.82818860E+01          9.39899514E+01          2.72024089E+01
        548.0010          3.82818062E+01          9.39902904E+01          2.72023970E+01
        550.0000          3.82023013E+01          9.43290774E+01          2.71904501E+01
        560.0000          3.78144976E+01          9.60237887E+01          2.71304380E+01
        570.0000          3.74425800E+01          9.77183815E+01          2.70701560E+01
        580.0000          3.70857140E+01          9.94128562E+01          2.70097829E+01
        590.0000          3.67431217E+01          1.01107213E+02          2.69494785E+01
        600.0000          3.64140775E+01          1.02801454E+02          2.68893856E+01
        610.0000          3.60979034E+01          1.04495577E+02          2.68296313E+01
        620.0000          3.57939655E+01          1.06189584E+02          2.67703289E+01
        630.0000          3.55016703E+01          1.07883476E+02          2.67115785E+01
        640.0000          3.52204616E+01          1.09577252E+02          2.66534692E+01
        644.9990          3.50838774E+01          1.10423927E+02          2.66246854E+01
        645.0010          3.50838232E+01          1.10424266E+02          2.66246739E+01
        650.0000          3.49498175E+01          1.11270913E+02          2.65960790E+01
        660.0000          3.46892479E+01          1.12964459E+02          2.65394767E+01
        670.0000          3.44382922E+01          1.14657891E+02          2.64837226E+01
        680.0000          3.41965172E+01          1.16351209E+02          2.64288689E+01
        690.0000          3.39635147E+01          1.18044413E+02          2.63749609E+01
        700.0000          3.37389000E+01          1.19737504E+02          2.63220376E+01
        710.0000          3.35223104E+01          1.21430482E+02          2.62701319E+01
        720.0000          3.33134033E+01          1.23123347E+02          2.62192720E+01
        730.0000          3.31118551E+01          1.24816099E+02          2.61694809E+01
        740.0000          3.29173597E+01          1.26508739E+02          2.61207776E+01
        750.0000          3.27296278E+01          1.28201267E+02          2.60731773E+01
        760.0000          3.25483849E+01          1.29893684E+02          2.60266915E+01
        763.9990          3.24776636E+01          1.30570450E+02          2.60084159E+01
        764.0010          3.24776284E+01          1.30570789E+02          2.60084068E+01
        770.0000          3.23733712E+01          1.31585989E+02          2.59813289E+01
        780.0000          3.22043404E+01          1.33278183E+02          2.59370953E+01
        790.0000          3.20410586E+01          1.34970266E+02          2.58939938E+01
        800.0000          3.18833037E+01          1.36662238E+02          2.58520255E+01
        810.0000          3.17308647E+01          1.38354100E+02          2.58111893E+01
        820.0000          3.15835410E+01          1.40045851E+02          2.57714825E+01
        830.0000          3.14411418E+01          1.41737492E+02          2.57329007E+01
        840.0000          3.13034855E+01          1.43429023E+02          2.56954380E+01
        850.0000          3.11703989E+01          1.45120445E+02          2.56590873E+01
        860.0000          3.10417171E+01          1.46811757E+02          2.56238404E+01
        870.0000          3.09172829E+01          1.48502960E+02          2.55896880E+01
        880.0000          3.07969463E+01          1.50194053E+02          2.55566200E+01
        890.0000          3.06805641E+01          1.51885038E+02          2.55246256E+01
        900.0000          3.05679994E+01          1.53575913E+02          2.54936933E+01
        910.0000          3.04591216E+01          1.55266681E+02          2.54638109E+01
        920.0000          3.03538057E+01          1.56957339E+02          2.54349659E+01
        930.0000          3.02519322E+01          1.58647889E+02          2.54071452E+01
        940.0000          3.01533867E+01          1.60338332E+02          2.53803355E+01
        950.0000          3.00580598E+01          1.62028666E+02          2.53545231E+01
        960.0000          2.99658465E+01          1.63718892E+02          2.53296942E+01
        970.0000          2.98766465E+01          1.65409010E+02          2.53058346E+01
        980.0000          2.97903632E+01          1.67099021E+02          2.52829301E+01
        990.0000          2.97069045E+01          1.68788925E+02          2.52609664E+01
       1000.0000          2.96261815E+01          1.70478721E+02          2.52399290E+01
       1100.0000          2.89522552E+01          1.87370807E+02          2.50773421E+01
       1200.0000          2.84762338E+01          2.04252289E+02          2.49919342E+01
       1300.0000          2.81499741E+01          2.21123261E+02          2.49710486E+01
       1400.0000          2.79393267E+01          2.37983801E+02          2.50038694E+01
       1500.0000          2.78194348E+01          2.54833976E+02          2.50813785E+01
       1600.0000          2.77718046E+01          2.71673842E+02          2.51961348E+01
       1700.0000          2.77824131E+01          2.88503449E+02          2.53420180E+01
       1800.0000          2.78404512E+01          3.05322839E+02          2.55139923E+01
       1900.0000          2.79374660E+01          3.22132051E+02          2.57079031E+01
       2000.0000          2.80667622E+01          3.38931120E+02          2.59203107E+01
       2100.0000          2.82229761E+01          3.55720077E+02          2.61483550E+01
       2200.0000          2.84017673E+01          3.72498949E+02          2.63896472E+01
       2209.9990          2.84207439E+01          3.74176115E+02          2.64144225E+01
       2210.0010          2.84207477E+01          3.74176451E+02          2.64144275E+01
       2294.9990          2.85892927E+01          3.88429395E+02          2.66293143E+01
       2295.0010          2.85892969E+01          3.88429730E+02          2.66293194E+01
       2300.0000          2.85995907E+01          3.89267765E+02          2.66421835E+01
       2400.0000          2.88135275E+01          4.06026546E+02          2.69042753E+01
       2500.0000          2.90411558E+01          4.22775317E+02          2.71744936E+01
       2600.0000          2.92804532E+01          4.39514097E+02          2.74516245E+01
       2700.0000          2.95297196E+01          4.56242907E+02          2.77346321E+01
       2747.9990          2.96524753E+01          4.64269033E+02          2.78722951E+01
       2748.0010          2.96524804E+01          4.64269367E+02          2.78723008E+01
       2800.0000          2.97875182E+01          4.72961765E+02          2.80226301E+01
       2900.0000          3.00526284E+01          4.89670689E+02          2.83148567E+01
       3000.0000          3.03240080E+01          5.06369695E+02          2.86106555E+01
       3100.0000          3.06007636E+01          5.23058800E+02          2.89094594E+01
       3152.9990          3.07493535E+01          5.31899850E+02          2.90688699E+01
       3153.0010          3.07493591E+01          5.31900184E+02          2.90688760E+01
       3200.0000          3.08821260E+01          5.39738019E+02          2.92107765E+01
       3300.0000          3.11674306E+01          5.56407367E+02          2.95141794E+01
       3400.0000          3.14561013E+01          5.73066857E+02          2.98192961E+01
       3429.9990          3.15432793E+01          5.78062617E+02          2.99111125E+01
       3430.0010          3.15432851E+01          5.78062950E+02          2.99111187E+01
       3500.0000          3.17476368E+01          5.89716504E+02          3.01258016E+01
       3600.0000          3.20416000E+01          6.06356320E+02          3.04334116E+01
       3700.0000          3.23376086E+01          6.22986319E+02          3.07418772E+01
       3800.0000          3.26353273E+01          6.39606514E+02          3.10509799E+01
       3900.0000          3.29344615E+01          6.56216915E+02          3.13605276E+01
       4000.0000          3.32347520E+01          6.72817536E+02          3.16703512E+01
       4100.0000          3.35359698E+01          6.89408387E+02          3.19803020E+01
       4200.0000          3.38379128E+01          7.05989481E+02          3.22902487E+01
       4300.0000          3.41404021E+01          7.22560827E+02          3.26000755E+01
       4400.0000          3.44432791E+01          7.39122438E+02          3.29096802E+01
       4500.0000          3.47464030E+01          7.55674323E+02          3.32189727E+01
       4600.0000          3.50496489E+01          7.72216494E+02          3.35278733E+01
       4700.0000          3.53529057E+01          7.88748960E+02          3.38363117E+01
       4800.0000          3.56560746E+01          8.05271732E+02          3.41442258E+01
       4900.0000          3.59590677E+01          8.21784820E+02          3.44515611E+01
       5000.0000          3.62618066E+01          8.38288233E+02          3.47582693E+01
       5100.0000          3.65642217E+01          8.54781982E+02          3.50643081E+01
       5200.0000          3.68662508E+01          8.71266076E+02          3.53696403E+01
       5300.0000          3.71678387E+01          8.87740525E+02          3.56742332E+01
       5400.0000          3.74689362E+01          9.04205338E+02          3.59780585E+01
       5500.0000          3.77694995E+01          9.20660524E+02          3.62810913E+01
       5600.0000          3.80694898E+01          9.37106093E+02          3.65833102E+01
       5700.0000          3.83688725E+01          9.53542053E+02          3.68846965E+01
       5800.0000          3.86676171E+01          9.69968414E+02          3.71852344E+01
       5900.0000          3.89656965E+01          9.86385185E+02          3.74849103E+01
       6000.0000          3.92630869E+01          1.00279238E+03          3.77837127E+01
       6100.0000          3.95597673E+01          1.01918999E+03          3.80816322E+01
       6200.0000          3.98557192E+01          1.03557805E+03          3.83786609E+01
       6300.0000          4.01509266E+01          1.05195655E+03          3.86747926E+01
       6400.0000          4.04453754E+01          1.06832550E+03          3.89700224E+01
       6500.0000          4.07390535E+01          1.08468491E+03          3.92643466E+01
       6600.0000          4.10319506E+01          1.10103480E+03          3.95577627E+01
       6700.0000          4.13240579E+01          1.11737516E+03          3.98502692E+01
       6800.0000          4.16153678E+01          1.13370601E+03          4.01418654E+01
       6900.0000          4.19058743E+01          1.15002736E+03          4.04325516E+01
       7000.0000          4.21955723E+01          1.16633922E+03          4.07223286E+01
       7100.0000          4.24844580E+01          1.18264158E+03          4.10111980E+01
       7200.0000          4.27725282E+01          1.19893447E+03          4.12991620E+01
       7300.0000          4.30597808E+01          1.21521789E+03          4.15862231E+01
       7400.0000          4.33462145E+01          1.23149184E+03          4.18723847E+01
       7500.0000          4.36318285E+01          1.24775634E+03          4.21576501E+01
       7600.0000          4.39166228E+01          1.26401139E+03          4.24420235E+01
       7700.0000          4.42005979E+01          1.28025700E+03          4.27255089E+01
       7800.0000          4.44837549E+01          1.29649319E+03          4.30081110E+01
       7900.0000          4.47660952E+01          1.31271995E+03          4.32898346E+01
       8000.0000          4.50476209E+01          1.32893730E+03          4.35706847E+01
       8100.0000          4.53283343E+01          1.34514524E+03          4.38506666E+01
       8200.0000          4.56082380E+01          1.36134378E+03          4.41297857E+01
       8300.0000          4.58873350E+01          1.37753293E+03          4.44080477E+01
       8400.0000          4.61656286E+01          1.39371270E+03          4.46854582E+01
       8500.0000          4.64431222E+01          1.40988310E+03          4.49620230E+01
       8600.0000          4.67198197E+01          1.42604412E+03          4.52377482E+01
       8700.0000          4.69957250E+01          1.44219579E+03          4.55126396E+01
       8800.0000          4.72708422E+01          1.45833811E+03          4.57867035E+01
       8900.0000          4.75451756E+01          1.47447108E+03          4.60599459E+01
       9000.0000          4.78187295E+01          1.49059472E+03          4.63323730E+01
       9100.0000          4.80915086E+01          1.50670902E+03          4.66039910E+01
       9200.0000          4.83635176E+01          1.52281401E+03          4.68748062E+01
       9300.0000          4.86347611E+01          1.53890969E+03          4.71448248E+01
       9400.0000          4.89052440E+01          1.55499605E+03          4.74140531E+01
