#Energy      C   H   N   O  Total
         54.0000          7.56658825E+00          2.32205373E+01          1.44362695E+01          2.84335931E+01          3.57570760E+00
         55.0000          7.64595187E+00          2.36123724E+01          1.45655420E+01          2.86435761E+01          3.61394574E+00
         56.0000          7.72547522E+00          2.40041982E+01          1.46953121E+01          2.88550151E+01          3.65221842E+00
         57.0000          7.80514870E+00          2.43960149E+01          1.48255514E+01          2.90678293E+01          3.69052349E+00
         58.0000          7.88496340E+00          2.47878224E+01          1.49562333E+01          2.92819435E+01          3.72885895E+00
         59.0000          7.96491099E+00          2.51796207E+01          1.50873331E+01          2.94972873E+01          3.76722289E+00
         60.0000          8.04498372E+00          2.55714101E+01          1.52188278E+01          2.97137953E+01          3.80561356E+00
         61.0000          8.12517434E+00          2.59631904E+01          1.53506958E+01          2.99314061E+01          3.84402928E+00
         62.0000          8.20547609E+00          2.63549618E+01          1.54829170E+01          3.01500622E+01          3.88246848E+00
         63.0000          8.28588262E+00          2.67467243E+01          1.56154723E+01          3.03697100E+01          3.92092969E+00
         64.0000          8.36638800E+00          2.71384780E+01          1.57483443E+01          3.05902991E+01          3.95941152E+00
         65.0000          8.44698668E+00          2.75302229E+01          1.58815161E+01          3.08117820E+01          3.99791267E+00
         66.0000          8.52767343E+00          2.79219591E+01          1.60149724E+01          3.10341143E+01          4.03643190E+00
         67.0000          8.60844337E+00          2.83136867E+01          1.61486983E+01          3.12572542E+01          4.07496804E+00
         68.0000          8.68929188E+00          2.87054058E+01          1.62826801E+01          3.14811624E+01          4.11352000E+00
         69.0000          8.77021464E+00          2.90971163E+01          1.64169049E+01          3.17058018E+01          4.15208674E+00
         70.0000          8.85120757E+00          2.94888184E+01          1.65513603E+01          3.19311374E+01          4.19066729E+00
         71.0000          8.93226684E+00          2.98805122E+01          1.66860350E+01          3.21571363E+01          4.22926072E+00
         72.0000          9.01338884E+00          3.02721977E+01          1.68209179E+01          3.23837674E+01          4.26786614E+00
         73.0000          9.09457015E+00          3.06638749E+01          1.69559989E+01          3.26110012E+01          4.30648274E+00
         74.0000          9.17580756E+00          3.10555439E+01          1.70912683E+01          3.28388100E+01          4.34510973E+00
         75.0000          9.25709803E+00          3.14472049E+01          1.72267168E+01          3.30671675E+01          4.38374637E+00
         76.0000          9.33843868E+00          3.18388578E+01          1.73623358E+01          3.32960487E+01          4.42239195E+00
         77.0000          9.41982681E+00          3.22305027E+01          1.74981171E+01          3.35254301E+01          4.46104581E+00
         78.0000          9.50125983E+00          3.26221397E+01          1.76340529E+01          3.37552893E+01          4.49970732E+00
         79.0000          9.58273534E+00          3.30137689E+01          1.77701358E+01          3.39856051E+01          4.53837587E+00
         80.0000          9.66425101E+00          3.34053902E+01          1.79063589E+01          3.42163574E+01          4.57705091E+00
         81.0000          9.74580467E+00          3.37970039E+01          1.80427154E+01          3.44475270E+01          4.61573188E+00
         82.0000          9.82739424E+00          3.41886099E+01          1.81791992E+01          3.46790957E+01          4.65441828E+00
         83.0000          9.90901778E+00          3.45802083E+01          1.83158041E+01          3.49110464E+01          4.69310963E+00
         84.0000          9.99067341E+00          3.49717991E+01          1.84525246E+01          3.51433625E+01          4.73180545E+00
         85.0000          1.00723594E+01          3.53633825E+01          1.85893552E+01          3.53760284E+01          4.77050531E+00
         86.0000          1.01540740E+01          3.57549584E+01          1.87262907E+01          3.56090293E+01          4.80920880E+00
         87.0000          1.02358156E+01          3.61465270E+01          1.88633264E+01          3.58423509E+01          4.84791551E+00
         88.0000          1.03175828E+01          3.65380882E+01          1.90004574E+01          3.60759797E+01          4.88662507E+00
         89.0000          1.03993741E+01          3.69296422E+01          1.91376794E+01          3.63099028E+01          4.92533712E+00
         90.0000          1.04811881E+01          3.73211890E+01          1.92749881E+01          3.65441080E+01          4.96405132E+00
         91.0000          1.05630235E+01          3.77127287E+01          1.94123795E+01          3.67785834E+01          5.00276735E+00
         92.0000          1.06448790E+01          3.81042612E+01          1.95498497E+01          3.70133179E+01          5.04148488E+00
         93.0000          1.07267536E+01          3.84957868E+01          1.96873951E+01          3.72483008E+01          5.08020364E+00
         94.0000          1.08086460E+01          3.88873053E+01          1.98250121E+01          3.74835217E+01          5.11892333E+00
         95.0000          1.08905551E+01          3.92788169E+01          1.99626975E+01          3.77189710E+01          5.15764370E+00
         96.0000          1.09724801E+01          3.96703216E+01          2.01004479E+01          3.79546392E+01          5.19636449E+00
         97.0000          1.10544197E+01          4.00618195E+01          2.02382603E+01          3.81905174E+01          5.23508545E+00
         98.0000          1.11363732E+01          4.04533106E+01          2.03761319E+01          3.84265971E+01          5.27380635E+00
         99.0000          1.12183396E+01          4.08447950E+01          2.05140598E+01          3.86628700E+01          5.31252698E+00
        100.0000          1.13003182E+01          4.12362726E+01          2.06520413E+01          3.88993282E+01          5.35124713E+00
        110.0000          1.21206054E+01          4.51506916E+01          2.20342925E+01          4.12725900E+01          5.73838220E+00
        120.0000          1.29413969E+01          4.90644894E+01          2.34196652E+01          4.36577495E+01          6.12529851E+00
        130.0000          1.37622714E+01          5.29777034E+01          2.48067835E+01          4.60506742E+01          6.51189827E+00
        140.0000          1.45829522E+01          5.68903658E+01          2.61947152E+01          4.84485146E+01          6.89812181E+00
        150.0000          1.54032566E+01          6.08025045E+01          2.75828185E+01          5.08492659E+01          7.28393407E+00
        160.0000          1.62230640E+01          6.47141436E+01          2.89706463E+01          5.32514959E+01          7.66931614E+00
        170.0000          1.70422956E+01          6.86253044E+01          3.03578857E+01          5.56541689E+01          8.05425982E+00
        180.0000          1.78609012E+01          7.25360056E+01          3.17443170E+01          5.80565299E+01          8.43876402E+00
        190.0000          1.86788508E+01          7.64462635E+01          3.31297872E+01          6.04580253E+01          8.82283241E+00
        200.0000          1.94961282E+01          8.03560929E+01          3.45141910E+01          6.28582485E+01          9.20647182E+00
        210.0000          2.03127272E+01          8.42655069E+01          3.58974577E+01          6.52569017E+01          9.58969107E+00
        220.0000          2.11286484E+01          8.81745171E+01          3.72795422E+01          6.76537679E+01          9.97250026E+00
        230.0000          2.19438974E+01          9.20831343E+01          3.86604179E+01          7.00486909E+01          1.03549102E+01
        240.0000          2.27584829E+01          9.59913678E+01          4.00400724E+01          7.24415612E+01          1.07369322E+01
        250.0000          2.35724164E+01          9.98992266E+01          4.14185031E+01          7.48323041E+01          1.11185774E+01
        260.0000          2.43857106E+01          1.03806718E+02          4.27957153E+01          7.72208721E+01          1.14998572E+01
        270.0000          2.51983793E+01          1.07713850E+02          4.41717198E+01          7.96072386E+01          1.18807825E+01
        280.0000          2.60104370E+01          1.11620629E+02          4.55465316E+01          8.19913926E+01          1.22613642E+01
        287.9990          2.66595719E+01          1.14745412E+02          4.66453968E+01          8.38968854E+01          1.25655511E+01
        288.0010          2.66597342E+01          1.14746193E+02          4.66456715E+01          8.38973617E+01          1.25656272E+01
        290.0000          2.68218983E+01          1.15527061E+02          4.69201685E+01          8.43733357E+01          1.26416127E+01
        300.0000          2.76327781E+01          1.19433152E+02          4.82926503E+01          8.67530790E+01          1.30215381E+01
        310.0000          2.84430909E+01          1.23338906E+02          4.96639985E+01          8.91306405E+01          1.34011501E+01
        320.0000          2.92528513E+01          1.27244329E+02          5.10342352E+01          9.15060441E+01          1.37804582E+01
        330.0000          3.00620734E+01          1.31149425E+02          5.24033834E+01          9.38793175E+01          1.41594712E+01
        340.0000          3.08707710E+01          1.35054199E+02          5.37714659E+01          9.62504916E+01          1.45381977E+01
        350.0000          3.16789575E+01          1.38958653E+02          5.51385059E+01          9.86195994E+01          1.49166460E+01
        360.0000          3.24866459E+01          1.42862793E+02          5.65045262E+01          1.00986676E+02          1.52948240E+01
        370.0000          3.32938489E+01          1.46766620E+02          5.78695493E+01          1.03351756E+02          1.56727392E+01
        380.0000          3.41005786E+01          1.50670139E+02          5.92335975E+01          1.05714877E+02          1.60503987E+01
        390.0000          3.49068467E+01          1.54573351E+02          6.05966924E+01          1.08076074E+02          1.64278096E+01
        400.0000          3.57126645E+01          1.58476261E+02          6.19588554E+01          1.10435385E+02          1.68049784E+01
        402.9990          3.59542432E+01          1.59646686E+02          6.23671896E+01          1.11142580E+02          1.69180450E+01
        403.0010          3.59544043E+01          1.59647466E+02          6.23674618E+01          1.11143052E+02          1.69181204E+01
        410.0000          3.65180430E+01          1.62378871E+02          6.33201071E+01          1.12792846E+02          1.71819113E+01
        420.0000          3.73229927E+01          1.66281183E+02          6.46804677E+01          1.15148491E+02          1.75586145E+01
        430.0000          3.81275236E+01          1.70183200E+02          6.60399566E+01          1.17502358E+02          1.79350938E+01
        440.0000          3.89316454E+01          1.74084923E+02          6.73985930E+01          1.19854480E+02          1.83113547E+01
        450.0000          3.97353676E+01          1.77986355E+02          6.87563952E+01          1.22204892E+02          1.86874024E+01
        460.0000          4.05386991E+01          1.81887498E+02          7.01133810E+01          1.24553628E+02          1.90632422E+01
        470.0000          4.13416487E+01          1.85788354E+02          7.14695678E+01          1.26900719E+02          1.94388788E+01
        480.0000          4.21442246E+01          1.89688924E+02          7.28249723E+01          1.29246198E+02          1.98143170E+01
        490.0000          4.29464350E+01          1.93589211E+02          7.41796106E+01          1.31590097E+02          2.01895613E+01
        500.0000          4.37482875E+01          1.97489215E+02          7.55334985E+01          1.33932445E+02          2.05646159E+01
        510.0000          4.45497896E+01          2.01388939E+02          7.68866512E+01          1.36273271E+02          2.09394851E+01
        520.0000          4.53509486E+01          2.05288384E+02          7.82390832E+01          1.38612605E+02          2.13141728E+01
        530.0000          4.61517713E+01          2.09187552E+02          7.95908089E+01          1.40950475E+02          2.16886829E+01
        537.9990          4.67921118E+01          2.12306297E+02          8.06715550E+01          1.42819502E+02          2.19881281E+01
        538.0010          4.67922718E+01          2.12307076E+02          8.06718251E+01          1.42819969E+02          2.19882030E+01
        540.0000          4.69522644E+01          2.13086443E+02          8.09418419E+01          1.43286908E+02          2.20630191E+01
        550.0000          4.77524344E+01          2.16985059E+02          8.22921956E+01          1.45621931E+02          2.24371848E+01
        560.0000          4.85522875E+01          2.20883401E+02          8.36418828E+01          1.47955568E+02          2.28111836E+01
        570.0000          4.93518297E+01          2.24781470E+02          8.49909161E+01          1.50287845E+02          2.31850188E+01
        580.0000          5.01510668E+01          2.28679269E+02          8.63393074E+01          1.52618786E+02          2.35586935E+01
        590.0000          5.09500043E+01          2.32576796E+02          8.76870684E+01          1.54948416E+02          2.39322108E+01
        600.0000          5.17486478E+01          2.36474055E+02          8.90342106E+01          1.57276756E+02          2.43055736E+01
        610.0000          5.25470025E+01          2.40371045E+02          9.03807448E+01          1.59603829E+02          2.46787849E+01
        620.0000          5.33450733E+01          2.44267768E+02          9.17266816E+01          1.61929657E+02          2.50518473E+01
        630.0000          5.41428652E+01          2.48164224E+02          9.30720314E+01          1.64254260E+02          2.54247636E+01
        640.0000          5.49403829E+01          2.52060415E+02          9.44168042E+01          1.66577660E+02          2.57975363E+01
        650.0000          5.57376310E+01          2.55956341E+02          9.57610096E+01          1.68899876E+02          2.61701680E+01
        660.0000          5.65346139E+01          2.59852003E+02          9.71046571E+01          1.71220927E+02          2.65426609E+01
        670.0000          5.73313360E+01          2.63747403E+02          9.84477557E+01          1.73540832E+02          2.69150175E+01
        680.0000          5.81278014E+01          2.67642540E+02          9.97903143E+01          1.75859610E+02          2.72872400E+01
        690.0000          5.89240140E+01          2.71537415E+02          1.01132341E+02          1.78177278E+02          2.76593307E+01
        700.0000          5.97199779E+01          2.75432030E+02          1.02473845E+02          1.80493853E+02          2.80312915E+01
        710.0000          6.05156969E+01          2.79326385E+02          1.03814835E+02          1.82809353E+02          2.84031247E+01
        720.0000          6.13111745E+01          2.83220480E+02          1.05155316E+02          1.85123793E+02          2.87748321E+01
        730.0000          6.21064144E+01          2.87114316E+02          1.06495299E+02          1.87437190E+02          2.91464157E+01
        740.0000          6.29014201E+01          2.91007894E+02          1.07834789E+02          1.89749559E+02          2.95178773E+01
        750.0000          6.36961949E+01          2.94901215E+02          1.09173795E+02          1.92060915E+02          2.98892189E+01
        760.0000          6.44907420E+01          2.98794279E+02          1.10512322E+02          1.94371272E+02          3.02604421E+01
        770.0000          6.52850648E+01          3.02687086E+02          1.11850379E+02          1.96680646E+02          3.06315487E+01
        780.0000          6.60791661E+01          3.06579637E+02          1.13187971E+02          1.98989050E+02          3.10025403E+01
        790.0000          6.68730492E+01          3.10471934E+02          1.14525106E+02          2.01296498E+02          3.13734186E+01
        800.0000          6.76667168E+01          3.14363975E+02          1.15861789E+02          2.03603003E+02          3.17441851E+01
        810.0000          6.84601718E+01          3.18255762E+02          1.17198026E+02          2.05908577E+02          3.21148414E+01
        820.0000          6.92534170E+01          3.22147296E+02          1.18533824E+02          2.08213234E+02          3.24853889E+01
