#Energy      C-K-shell   N-K-shell   O-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.31535821E+02          7.31535821E+02
          0.2000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.60795151E+02          4.60795151E+02
          0.3000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.34990261E+02          3.34990261E+02
          0.4000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.65032392E+02          2.65032392E+02
          0.5000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.19604726E+02          2.19604726E+02
          0.6000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.87867634E+02          1.87867634E+02
          0.7000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.64485874E+02          1.64485874E+02
          0.8000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.46558446E+02          1.46558446E+02
          0.9000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.32414873E+02          1.32414873E+02
          1.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.20938780E+02          1.20938780E+02
          2.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.76116192E+01          6.76116192E+01
          3.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.89756905E+01          4.89756905E+01
          4.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.93352484E+01          3.93352484E+01
          5.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33661171E+01          3.33661171E+01
          6.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.92638270E+01          2.92638270E+01
          7.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.62472032E+01          2.62472032E+01
          8.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.39201583E+01          2.39201583E+01
          9.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.20600619E+01          2.20600619E+01
         10.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.05315380E+01          2.05315380E+01
         11.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.92476451E+01          1.92476451E+01
         12.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.81497534E+01          1.81497534E+01
         13.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.71969257E+01          1.71969257E+01
         14.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.63594524E+01          1.63594524E+01
         15.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.56153799E+01          1.56153799E+01
         16.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.49481418E+01          1.49481418E+01
         17.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.43448949E+01          1.43448949E+01
         18.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.37956102E+01          1.37956102E+01
         19.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.32923042E+01          1.32923042E+01
         20.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.28285435E+01          1.28285435E+01
         21.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.23990899E+01          1.23990899E+01
         22.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.19996565E+01          1.19996565E+01
         23.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.16266874E+01          1.16266874E+01
         24.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.12772083E+01          1.12772083E+01
         25.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.09487274E+01          1.09487274E+01
         26.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.06391405E+01          1.06391405E+01
         27.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.03466637E+01          1.03466637E+01
         28.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00697794E+01          1.00697794E+01
         29.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.80718973E+00          9.80718973E+00
         30.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.55778475E+00          9.55778475E+00
         31.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.32061037E+00          9.32061037E+00
         32.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.09484821E+00          9.09484821E+00
         33.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.87979125E+00          8.87979125E+00
         34.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.67482977E+00          8.67482977E+00
         35.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.47943574E+00          8.47943574E+00
         36.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.29315044E+00          8.29315044E+00
         37.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.11557329E+00          8.11557329E+00
         38.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.94635212E+00          7.94635212E+00
         39.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.78517438E+00          7.78517438E+00
         40.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.63175976E+00          7.63175976E+00
         41.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.48585290E+00          7.48585290E+00
         42.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.34721767E+00          7.34721767E+00
         43.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.21563194E+00          7.21563194E+00
         44.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.09088332E+00          7.09088332E+00
         45.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.97276514E+00          6.97276514E+00
         46.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.86107386E+00          6.86107386E+00
         47.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.75560682E+00          6.75560682E+00
         48.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.65616077E+00          6.65616077E+00
         49.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.56253091E+00          6.56253091E+00
         50.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.47451059E+00          6.47451059E+00
         51.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.39189132E+00          6.39189132E+00
         52.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.31446327E+00          6.31446327E+00
         53.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.24201590E+00          6.24201590E+00
         54.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.17433888E+00          6.17433888E+00
         55.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.11122301E+00          6.11122301E+00
         56.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.05246124E+00          6.05246124E+00
         57.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.99784985E+00          5.99784985E+00
         58.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.94718890E+00          5.94718890E+00
         59.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.90028329E+00          5.90028329E+00
