#Energy      Pb   W   O  Total
          0.1000          1.44706079E+06          1.02674206E+06          1.61520124E+02          1.61476698E+02
          0.2000          7.23976298E+05          5.13759531E+05          8.57297558E+01          8.57053055E+01
          0.3000          4.82879403E+05          3.42705508E+05          5.97826413E+01          5.97648166E+01
          0.4000          3.62304317E+05          2.57155304E+05          4.65468735E+01          4.65324726E+01
          0.5000          2.89945670E+05          2.05813345E+05          3.84730608E+01          3.84607679E+01
          0.6000          2.41698538E+05          1.71578380E+05          3.30132235E+01          3.30023658E+01
          0.7000          2.07231090E+05          1.47120299E+05          2.90638437E+01          2.90540292E+01
          0.8000          1.81376902E+05          1.28773602E+05          2.60680284E+01          2.60590079E+01
          0.9000          1.61265475E+05          1.14501676E+05          2.37137903E+01          2.37053950E+01
          1.0000          1.45174369E+05          1.03082425E+05          2.18124913E+01          2.18046012E+01
          2.0000          7.27314888E+04          5.16671831E+04          1.29731431E+01          1.29675740E+01
          3.0000          4.85627252E+04          3.45104023E+04          9.86655402E+00          9.86173092E+00
          4.0000          3.64702833E+04          2.59250177E+04          8.26832717E+00          8.26381804E+00
          5.0000          2.92107702E+04          2.07702794E+04          7.29605238E+00          7.29166974E+00
          6.0000          2.43687415E+04          1.73317510E+04          6.64613465E+00          6.64177633E+00
          7.0000          2.09086489E+04          1.48743629E+04          6.18505699E+00          6.18065863E+00
          8.0000          1.83125590E+04          1.30304417E+04          5.84456796E+00          5.84008460E+00
          9.0000          1.62926507E+04          1.15956545E+04          5.58600533E+00          5.58140298E+00
         10.0000          1.46761866E+04          1.04473627E+04          5.38576447E+00          5.38101579E+00
         11.0000          1.33532164E+04          9.50750068E+03          5.22858555E+00          5.22366745E+00
         12.0000          1.22504231E+04          8.72400992E+03          5.10414769E+00          5.09903988E+00
         13.0000          1.13170380E+04          8.06084059E+03          5.00521022E+00          4.99989433E+00
         14.0000          1.05167903E+04          7.49223631E+03          4.92653735E+00          4.92099632E+00
         15.0000          9.82307615E+03          6.99930453E+03          4.86424536E+00          4.85846307E+00
         16.0000          9.21593886E+03          6.56787262E+03          4.81539026E+00          4.80935125E+00
         17.0000          8.68011476E+03          6.18710025E+03          4.77769816E+00          4.77138742E+00
         18.0000          8.20373003E+03          5.84855429E+03          4.74938384E+00          4.74278667E+00
         19.0000          7.77740899E+03          5.54557562E+03          4.72902539E+00          4.72212730E+00
         20.0000          7.39364990E+03          5.27283590E+03          4.71547581E+00          4.70826242E+00
         21.0000          7.04637897E+03          5.02602088E+03          4.70779922E+00          4.70025624E+00
         22.0000          6.73062595E+03          4.80160004E+03          4.70522420E+00          4.69733735E+00
         23.0000          6.44228438E+03          4.59665636E+03          4.70710899E+00          4.69886395E+00
         24.0000          6.17793173E+03          4.40875854E+03          4.71291519E+00          4.70429761E+00
         24.9990          5.93492619E+03          4.23602995E+03          4.72217682E+00          4.71317266E+00
         25.0000          5.93469266E+03          4.23586395E+03          4.72218769E+00          4.71318314E+00
         25.0010          5.93445914E+03          4.23569796E+03          4.72219856E+00          4.71319362E+00
         26.0000          5.71013384E+03          4.07624391E+03          4.73453905E+00          4.72513300E+00
         26.9990          5.50238244E+03          3.92856798E+03          4.74962098E+00          4.73979922E+00
         27.0000          5.50218217E+03          3.92842562E+03          4.74963736E+00          4.73981517E+00
         27.0010          5.50198191E+03          3.92828327E+03          4.74965373E+00          4.73983112E+00
         28.0000          5.30906047E+03          3.79114644E+03          4.76719654E+00          4.75694347E+00
         29.0000          5.12923649E+03          3.66331777E+03          4.78696874E+00          4.77626988E+00
         30.0000          4.96138213E+03          3.54399596E+03          4.80873804E+00          4.79757838E+00
         31.0000          4.80434048E+03          3.43235903E+03          4.83231554E+00          4.82067990E+00
         32.0000          4.65709916E+03          3.32768764E+03          4.85753520E+00          4.84540825E+00
         33.0000          4.51876838E+03          3.22934954E+03          4.88425048E+00          4.87161674E+00
         34.0000          4.38856294E+03          3.13678679E+03          4.91233157E+00          4.89917538E+00
         35.0000          4.26578730E+03          3.04950516E+03          4.94166304E+00          4.92796860E+00
         35.9990          4.14993588E+03          2.96714540E+03          4.97211089E+00          4.95786279E+00
         36.0000          4.14982313E+03          2.96706524E+03          4.97214191E+00          4.95789325E+00
         36.0010          4.14971038E+03          2.96698509E+03          4.97217293E+00          4.95792371E+00
         37.0000          4.04011889E+03          2.88907512E+03          5.00367603E+00          4.98885699E+00
         37.9990          3.93628226E+03          2.81525600E+03          5.03614969E+00          5.02074456E+00
         38.0000          3.93618105E+03          2.81518405E+03          5.03618266E+00          5.02077693E+00
         38.0010          3.93607985E+03          2.81511210E+03          5.03621563E+00          5.02080931E+00
         39.0000          3.83756664E+03          2.74507724E+03          5.06958732E+00          5.05357842E+00
         40.0000          3.74387696E+03          2.67847135E+03          5.10382277E+00          5.08719404E+00
         40.9990          3.65483911E+03          2.61517246E+03          5.13879281E+00          5.12152805E+00
         41.0000          3.65475215E+03          2.61511064E+03          5.13882818E+00          5.12156278E+00
         41.0010          3.65466520E+03          2.61504882E+03          5.13886355E+00          5.12159750E+00
         42.0000          3.56986661E+03          2.55476369E+03          5.17454834E+00          5.15662927E+00
         43.0000          3.48892499E+03          2.49722059E+03          5.21093306E+00          5.19234314E+00
         44.0000          3.41165876E+03          2.44229050E+03          5.24793662E+00          5.22865849E+00
         45.0000          3.33782325E+03          2.38979951E+03          5.28551723E+00          5.26553337E+00
         46.0000          3.26719503E+03          2.33958882E+03          5.32363670E+00          5.30292940E+00
         47.0000          3.19956967E+03          2.29151313E+03          5.36225998E+00          5.34081137E+00
         48.0000          3.13475977E+03          2.24543923E+03          5.40135491E+00          5.37914693E+00
         49.0000          3.07259319E+03          2.20124477E+03          5.44089187E+00          5.41790632E+00
         50.0000          3.01291157E+03          2.15881719E+03          5.48084361E+00          5.45706208E+00
         50.9990          2.95562517E+03          2.11809268E+03          5.52114441E+00          5.49654916E+00
         51.0000          2.95556895E+03          2.11805272E+03          5.52118494E+00          5.49658887E+00
         51.0010          2.95551273E+03          2.11801275E+03          5.52122547E+00          5.49662857E+00
         52.0000          2.90043057E+03          2.07885558E+03          5.56189259E+00          5.53646324E+00
         53.0000          2.84737186E+03          2.04113722E+03          5.60294502E+00          5.57666347E+00
         54.0000          2.79627745E+03          2.00481562E+03          5.64432225E+00          5.61716944E+00
         55.0000          2.74704034E+03          1.96981473E+03          5.68600575E+00          5.65796242E+00
         56.0000          2.69956119E+03          1.93606391E+03          5.72797828E+00          5.69902502E+00
         57.0000          2.65374762E+03          1.90349750E+03          5.77022380E+00          5.74034103E+00
         58.0000          2.60951358E+03          1.87205434E+03          5.81272737E+00          5.78189534E+00
         59.0000          2.56677890E+03          1.84167740E+03          5.85547505E+00          5.82367384E+00
         60.0000          2.52546871E+03          1.81231348E+03          5.89845382E+00          5.86566334E+00
         61.0000          2.48551306E+03          1.78391284E+03          5.94165150E+00          5.90785152E+00
         62.0000          2.44684651E+03          1.75642895E+03          5.98505671E+00          5.95022680E+00
         63.0000          2.40940775E+03          1.72981823E+03          6.02865876E+00          5.99277836E+00
         64.0000          2.37313933E+03          1.70403983E+03          6.07244765E+00          6.03549602E+00
         65.0000          2.33798730E+03          1.67905540E+03          6.11641399E+00          6.07837024E+00
         66.0000          2.30390100E+03          1.65482891E+03          6.16054894E+00          6.12139201E+00
         67.0000          2.27083278E+03          1.63132648E+03          6.20484421E+00          6.16455289E+00
         68.0000          2.23873779E+03          1.60851623E+03          6.24929198E+00          6.20784491E+00
