#Energy      Ti  Total
         68.0000          9.27259639E+00          9.27259639E+00
         69.0000          9.21789914E+00          9.21789914E+00
         70.0000          9.16518453E+00          9.16518453E+00
         71.0000          9.11436902E+00          9.11436902E+00
         72.0000          9.06537366E+00          9.06537366E+00
         73.0000          9.01812383E+00          9.01812383E+00
         74.0000          8.97254887E+00          8.97254887E+00
         75.0000          8.92858189E+00          8.92858189E+00
         76.0000          8.88615946E+00          8.88615946E+00
         77.0000          8.84522146E+00          8.84522146E+00
         78.0000          8.80571080E+00          8.80571080E+00
         79.0000          8.76757326E+00          8.76757326E+00
         80.0000          8.73075732E+00          8.73075732E+00
         81.0000          8.69521398E+00          8.69521398E+00
         82.0000          8.66089662E+00          8.66089662E+00
         83.0000          8.62776084E+00          8.62776084E+00
         84.0000          8.59576434E+00          8.59576434E+00
         85.0000          8.56486681E+00          8.56486681E+00
         86.0000          8.53502979E+00          8.53502979E+00
         87.0000          8.50621658E+00          8.50621658E+00
         88.0000          8.47839214E+00          8.47839214E+00
         89.0000          8.45152298E+00          8.45152298E+00
         90.0000          8.42557711E+00          8.42557711E+00
         91.0000          8.40052392E+00          8.40052392E+00
         92.0000          8.37633413E+00          8.37633413E+00
         93.0000          8.35297971E+00          8.35297971E+00
         94.0000          8.33043383E+00          8.33043383E+00
         95.0000          8.30867076E+00          8.30867076E+00
         96.0000          8.28766584E+00          8.28766584E+00
         97.0000          8.26739544E+00          8.26739544E+00
         98.0000          8.24783687E+00          8.24783687E+00
         99.0000          8.22896836E+00          8.22896836E+00
        100.0000          8.21076901E+00          8.21076901E+00
        110.0000          8.06152113E+00          8.06152113E+00
        120.0000          7.96125780E+00          7.96125780E+00
        130.0000          7.89848865E+00          7.89848865E+00
        140.0000          7.86500132E+00          7.86500132E+00
        150.0000          7.85477369E+00          7.85477369E+00
        160.0000          7.86329198E+00          7.86329198E+00
        170.0000          7.88710856E+00          7.88710856E+00
        180.0000          7.92354646E+00          7.92354646E+00
        190.0000          7.97049687E+00          7.97049687E+00
        200.0000          8.02627722E+00          8.02627722E+00
        210.0000          8.08952961E+00          8.08952961E+00
        220.0000          8.15914694E+00          8.15914694E+00
        230.0000          8.23421821E+00          8.23421821E+00
        240.0000          8.31398755E+00          8.31398755E+00
        250.0000          8.39782302E+00          8.39782302E+00
        260.0000          8.48519260E+00          8.48519260E+00
        270.0000          8.57564560E+00          8.57564560E+00
        280.0000          8.66879792E+00          8.66879792E+00
        290.0000          8.76432054E+00          8.76432054E+00
        300.0000          8.86193012E+00          8.86193012E+00
        310.0000          8.96138165E+00          8.96138165E+00
        320.0000          9.06246224E+00          9.06246224E+00
        330.0000          9.16498628E+00          9.16498628E+00
        340.0000          9.26879127E+00          9.26879127E+00
        350.0000          9.37373450E+00          9.37373450E+00
        360.0000          9.47969020E+00          9.47969020E+00
        370.0000          9.58654724E+00          9.58654724E+00
        380.0000          9.69420709E+00          9.69420709E+00
        390.0000          9.80258220E+00          9.80258220E+00
        400.0000          9.91159460E+00          9.91159460E+00
        410.0000          1.00211746E+01          1.00211746E+01
        420.0000          1.01312600E+01          1.01312600E+01
        430.0000          1.02417947E+01          1.02417947E+01
        440.0000          1.03527287E+01          1.03527287E+01
        450.0000          1.04640166E+01          1.04640166E+01
        458.9990          1.05644335E+01          1.05644335E+01
        459.0010          1.05644559E+01          1.05644559E+01
        460.0000          1.05756178E+01          1.05756178E+01
