#Energy      Fe   O  Total
         38.0000          2.45330402E+01          2.81274871E+00          2.52343340E+00
         39.0000          2.40738283E+01          2.83140548E+00          2.53343903E+00
         40.0000          2.36382575E+01          2.85052626E+00          2.54377378E+00
         41.0000          2.32246133E+01          2.87007706E+00          2.55440585E+00
         42.0000          2.28313429E+01          2.89002706E+00          2.56530655E+00
         43.0000          2.24570372E+01          2.91034822E+00          2.57644992E+00
         44.0000          2.21004141E+01          2.93101500E+00          2.58781251E+00
         45.0000          2.17603046E+01          2.95200408E+00          2.59937300E+00
         46.0000          2.14356408E+01          2.97329411E+00          2.61111207E+00
         47.0000          2.11254448E+01          2.99486553E+00          2.62301212E+00
         48.0000          2.08288197E+01          3.01670036E+00          2.63505714E+00
         49.0000          2.05449413E+01          3.03878207E+00          2.64723251E+00
         50.0000          2.02730506E+01          3.06109544E+00          2.65952492E+00
         51.0000          2.00124481E+01          3.08362640E+00          2.67192216E+00
         52.0000          1.97624874E+01          3.10636195E+00          2.68441311E+00
         53.0000          1.95225705E+01          3.12929006E+00          2.69698755E+00
         54.0000          1.92921437E+01          3.15239958E+00          2.70963614E+00
         55.0000          1.90706929E+01          3.17568015E+00          2.72235033E+00
         56.0000          1.88577406E+01          3.19912215E+00          2.73512223E+00
         57.0000          1.86528427E+01          3.22271662E+00          2.74794465E+00
         58.0000          1.84555852E+01          3.24645520E+00          2.76081094E+00
         58.9990          1.82657688E+01          3.27030619E+00          2.77370211E+00
         59.0000          1.82655823E+01          3.27033013E+00          2.77371504E+00
         59.0010          1.82653958E+01          3.27035407E+00          2.77372796E+00
         60.0000          1.80824734E+01          3.29433412E+00          2.78665133E+00
         60.9990          1.79060950E+01          3.31843619E+00          2.79960170E+00
         61.0000          1.79059216E+01          3.31846037E+00          2.79961468E+00
         61.0010          1.79057482E+01          3.31848456E+00          2.79962765E+00
         62.0000          1.77356116E+01          3.34270253E+00          2.81260035E+00
         63.0000          1.75712477E+01          3.36705463E+00          2.82560400E+00
         64.0000          1.74125529E+01          3.39151108E+00          2.83862163E+00
         65.0000          1.72592669E+01          3.41606663E+00          2.85164956E+00
         66.0000          1.71111452E+01          3.44071636E+00          2.86468440E+00
         67.0000          1.69679576E+01          3.46545562E+00          2.87772304E+00
         68.0000          1.68294875E+01          3.49028007E+00          2.89076263E+00
         69.0000          1.66955308E+01          3.51518557E+00          2.90380053E+00
         70.0000          1.65658948E+01          3.54016827E+00          2.91683434E+00
         71.0000          1.64403977E+01          3.56522451E+00          2.92986183E+00
         72.0000          1.63188679E+01          3.59035084E+00          2.94288097E+00
         73.0000          1.62011427E+01          3.61554399E+00          2.95588991E+00
         74.0000          1.60870686E+01          3.64080089E+00          2.96888692E+00
         75.0000          1.59765000E+01          3.66611862E+00          2.98187045E+00
         76.0000          1.58692989E+01          3.69149441E+00          2.99483908E+00
         77.0000          1.57653344E+01          3.71692566E+00          3.00779149E+00
         78.0000          1.56644824E+01          3.74240989E+00          3.02072650E+00
         79.0000          1.55666250E+01          3.76794473E+00          3.03364303E+00
         80.0000          1.54716500E+01          3.79352797E+00          3.04654009E+00
         81.0000          1.53794510E+01          3.81915748E+00          3.05941680E+00
         82.0000          1.52899265E+01          3.84483124E+00          3.07227234E+00
         83.0000          1.52029800E+01          3.87054734E+00          3.08510601E+00
         84.0000          1.51185194E+01          3.89630395E+00          3.09791713E+00
         85.0000          1.50364572E+01          3.92209936E+00          3.11070513E+00
         86.0000          1.49567096E+01          3.94793189E+00          3.12346949E+00
         87.0000          1.48791969E+01          3.97379999E+00          3.13620974E+00
         88.0000          1.48038429E+01          3.99970215E+00          3.14892549E+00
         89.0000          1.47305748E+01          4.02563693E+00          3.16161637E+00
         90.0000          1.46593230E+01          4.05160299E+00          3.17428207E+00
         91.0000          1.45900209E+01          4.07759901E+00          3.18692233E+00
         92.0000          1.45226050E+01          4.10362375E+00          3.19953693E+00
         93.0000          1.44570142E+01          4.12967603E+00          3.21212568E+00
         94.0000          1.43931903E+01          4.15575470E+00          3.22468842E+00
         95.0000          1.43310772E+01          4.18185869E+00          3.23722505E+00
         96.0000          1.42706215E+01          4.20798695E+00          3.24973545E+00
         97.0000          1.42117716E+01          4.23413850E+00          3.26221959E+00
         97.9990          1.41545348E+01          4.26028619E+00          3.27466497E+00
         98.0000          1.41544783E+01          4.26031238E+00          3.27467741E+00
         98.0010          1.41544218E+01          4.26033856E+00          3.27468986E+00
         99.0000          1.40986943E+01          4.28650768E+00          3.28710892E+00
        100.0000          1.40443741E+01          4.31272353E+00          3.29951411E+00
        110.0000          1.35728596E+01          4.57584432E+00          3.42213377E+00
        120.0000          1.32087421E+01          4.84028419E+00          3.54224458E+00
        130.0000          1.29270345E+01          5.10558499E+00          3.66003804E+00
        140.0000          1.27098703E+01          5.37143078E+00          3.77573429E+00
        150.0000          1.25441398E+01          5.63759930E+00          3.88955277E+00
        160.0000          1.24200090E+01          5.90393176E+00          4.00169846E+00
        170.0000          1.23299594E+01          6.17031334E+00          4.11235629E+00
        180.0000          1.22681467E+01          6.43666032E+00          4.22168981E+00
        190.0000          1.22299610E+01          6.70291134E+00          4.32984192E+00
        200.0000          1.22117190E+01          6.96902132E+00          4.43693666E+00
        210.0000          1.22104434E+01          7.23495722E+00          4.54308128E+00
        220.0000          1.22237028E+01          7.50069500E+00          4.64836834E+00
        230.0000          1.22494927E+01          7.76621735E+00          4.75287774E+00
        240.0000          1.22861467E+01          8.03151211E+00          4.85667847E+00
        250.0000          1.23322688E+01          8.29657101E+00          4.95983026E+00
        260.0000          1.23866810E+01          8.56138878E+00          5.06238488E+00
        270.0000          1.24483829E+01          8.82596247E+00          5.16438736E+00
        280.0000          1.25165201E+01          9.09029087E+00          5.26587697E+00
        290.0000          1.25903584E+01          9.35437415E+00          5.36688806E+00
        300.0000          1.26692641E+01          9.61821353E+00          5.46745081E+00
        310.0000          1.27526876E+01          9.88181103E+00          5.56759180E+00
        320.0000          1.28401498E+01          1.01451693E+01          5.66733456E+00
        330.0000          1.29312316E+01          1.04082914E+01          5.76669996E+00
        340.0000          1.30255652E+01          1.06711807E+01          5.86570663E+00
        350.0000          1.31228260E+01          1.09338409E+01          5.96437123E+00
        360.0000          1.32227274E+01          1.11962759E+01          6.06270872E+00
        370.0000          1.33250147E+01          1.14584897E+01          6.16073260E+00
        380.0000          1.34294617E+01          1.17204861E+01          6.25845511E+00
        390.0000          1.35358662E+01          1.19822694E+01          6.35588735E+00
        400.0000          1.36440476E+01          1.22438434E+01          6.45303946E+00
        410.0000          1.37538436E+01          1.25052123E+01          6.54992073E+00
        420.0000          1.38651087E+01          1.27663801E+01          6.64653969E+00
        430.0000          1.39777114E+01          1.30273505E+01          6.74290422E+00
        440.0000          1.40915332E+01          1.32881276E+01          6.83902160E+00
        450.0000          1.42064669E+01          1.35487151E+01          6.93489859E+00
        460.0000          1.43224152E+01          1.38091167E+01          7.03054150E+00
        470.0000          1.44392898E+01          1.40693360E+01          7.12595622E+00
        480.0000          1.45570104E+01          1.43293765E+01          7.22114827E+00
        490.0000          1.46755038E+01          1.45892418E+01          7.31612283E+00
        500.0000          1.47947032E+01          1.48489352E+01          7.41088479E+00
        510.0000          1.49145476E+01          1.51084600E+01          7.50543877E+00
        520.0000          1.50349811E+01          1.53678193E+01          7.59978914E+00
        530.0000          1.51559525E+01          1.56270162E+01          7.69394004E+00
        537.9990          1.52530731E+01          1.58342330E+01          7.76911041E+00
        538.0010          1.52530974E+01          1.58342848E+01          7.76912919E+00
        540.0000          1.52774149E+01          1.58860538E+01          7.78789542E+00
        550.0000          1.53993251E+01          1.61449350E+01          7.88165905E+00
        560.0000          1.55216434E+01          1.64036627E+01          7.97523450E+00
        570.0000          1.56443332E+01          1.66622395E+01          8.06862522E+00
        580.0000          1.57673609E+01          1.69206683E+01          8.16183449E+00
        590.0000          1.58906954E+01          1.71789516E+01          8.25486547E+00
        600.0000          1.60143079E+01          1.74370920E+01          8.34772120E+00
        610.0000          1.61381719E+01          1.76950919E+01          8.44040458E+00
        620.0000          1.62622628E+01          1.79529538E+01          8.53291844E+00
        630.0000          1.63865580E+01          1.82106799E+01          8.62526549E+00
        640.0000          1.65110363E+01          1.84682725E+01          8.71744835E+00
        650.0000          1.66356782E+01          1.87257339E+01          8.80946954E+00
        660.0000          1.67604655E+01          1.89830661E+01          8.90133154E+00
        670.0000          1.68853815E+01          1.92402714E+01          8.99303670E+00
        680.0000          1.70104104E+01          1.94973516E+01          9.08458733E+00
        690.0000          1.71355377E+01          1.97543087E+01          9.17598567E+00
        700.0000          1.72607499E+01          2.00111447E+01          9.26723389E+00
        710.0000          1.73860344E+01          2.02678615E+01          9.35833409E+00
        712.9990          1.74236196E+01          2.03448279E+01          9.38562649E+00
        713.0010          1.74236446E+01          2.03448792E+01          9.38564469E+00
        720.0000          1.75113794E+01          2.05244608E+01          9.44928832E+00
        725.9990          1.75865984E+01          2.06783391E+01          9.50378256E+00
        726.0010          1.75866235E+01          2.06783904E+01          9.50380071E+00
        730.0000          1.76367741E+01          2.07809444E+01          9.54009859E+00
        740.0000          1.77622082E+01          2.10373141E+01          9.63076683E+00
        750.0000          1.78876721E+01          2.12935715E+01          9.72129494E+00
        760.0000          1.80131572E+01          2.15497182E+01          9.81168475E+00
        770.0000          1.81386551E+01          2.18057558E+01          9.90193808E+00
        780.0000          1.82641580E+01          2.20616859E+01          9.99205667E+00
        790.0000          1.83896589E+01          2.23175099E+01          1.00820422E+01
        800.0000          1.85151509E+01          2.25732295E+01          1.01718964E+01
        810.0000          1.86406278E+01          2.28288458E+01          1.02616209E+01
        820.0000          1.87660838E+01          2.30843605E+01          1.03512173E+01
        830.0000          1.88915133E+01          2.33397748E+01          1.04406871E+01
        840.0000          1.90169112E+01          2.35950900E+01          1.05300319E+01
        850.0000          1.91422728E+01          2.38503075E+01          1.06192531E+01
        850.9990          1.91547943E+01          2.38757984E+01          1.06281596E+01
        851.0010          1.91548193E+01          2.38758495E+01          1.06281774E+01
        860.0000          1.92675936E+01          2.41054286E+01          1.07083523E+01
        870.0000          1.93928694E+01          2.43604543E+01          1.07973308E+01
        880.0000          1.95180964E+01          2.46153861E+01          1.08861900E+01
        890.0000          1.96432708E+01          2.48702249E+01          1.09749314E+01
        900.0000          1.97683893E+01          2.51249721E+01          1.10635563E+01
        910.0000          1.98934488E+01          2.53796286E+01          1.11520659E+01
        920.0000          2.00184462E+01          2.56341956E+01          1.12404616E+01
        930.0000          2.01433788E+01          2.58886742E+01          1.13287446E+01
        940.0000          2.02682440E+01          2.61430654E+01          1.14169162E+01
        950.0000          2.03930395E+01          2.63973703E+01          1.15049776E+01
        960.0000          2.05177630E+01          2.66515897E+01          1.15929299E+01
        970.0000          2.06424123E+01          2.69057248E+01          1.16807745E+01
        980.0000          2.07669857E+01          2.71597765E+01          1.17685123E+01
        990.0000          2.08914812E+01          2.74137456E+01          1.18561445E+01
       1000.0000          2.10158972E+01          2.76676332E+01          1.19436723E+01
       1100.0000          2.22553931E+01          3.02022092E+01          1.28134343E+01
       1200.0000          2.34858043E+01          3.27295022E+01          1.36738325E+01
       1300.0000          2.47067180E+01          3.52501677E+01          1.45257036E+01
       1400.0000          2.59180888E+01          3.77647496E+01          1.53697630E+01
       1500.0000          2.71200759E+01          4.02737046E+01          1.62066279E+01
       1600.0000          2.83129497E+01          4.27774204E+01          1.70368356E+01
       1700.0000          2.94970373E+01          4.52762295E+01          1.78608570E+01
       1800.0000          3.06726907E+01          4.77704195E+01          1.86791077E+01
       1900.0000          3.18402675E+01          5.02602413E+01          1.94919563E+01
       2000.0000          3.30001198E+01          5.27459151E+01          2.02997319E+01
       2100.0000          3.41525879E+01          5.52276354E+01          2.11027295E+01
       2200.0000          3.52979966E+01          5.77055753E+01          2.19012147E+01
       2300.0000          3.64366538E+01          6.01798893E+01          2.26954279E+01
       2400.0000          3.75688498E+01          6.26507164E+01          2.34855871E+01
       2500.0000          3.86948578E+01          6.51181818E+01          2.42718910E+01
       2600.0000          3.98149341E+01          6.75823989E+01          2.50545212E+01
       2700.0000          4.09293192E+01          7.00434710E+01          2.58336442E+01
       2800.0000          4.20382384E+01          7.25014923E+01          2.66094132E+01
       2900.0000          4.31419031E+01          7.49565491E+01          2.73819692E+01
       3000.0000          4.42405115E+01          7.74087204E+01          2.81514427E+01
       3100.0000          4.53342495E+01          7.98580793E+01          2.89179547E+01
       3200.0000          4.64232919E+01          8.23046933E+01          2.96816174E+01
       3300.0000          4.75078028E+01          8.47486248E+01          3.04425352E+01
       3400.0000          4.85879368E+01          8.71899317E+01          3.12008057E+01
       3500.0000          4.96638391E+01          8.96286679E+01          3.19565197E+01
       3600.0000          5.07356470E+01          9.20648838E+01          3.27097625E+01
       3700.0000          5.18034898E+01          9.44986263E+01          3.34606139E+01
       3800.0000          5.28674897E+01          9.69299394E+01          3.42091490E+01
       3900.0000          5.39277623E+01          9.93588644E+01          3.49554383E+01
       4000.0000          5.49844167E+01          1.01785440E+02          3.56995482E+01
       4100.0000          5.60375567E+01          1.04209703E+02          3.64415413E+01
       4200.0000          5.70872803E+01          1.06631687E+02          3.71814770E+01
       4300.0000          5.81336809E+01          1.09051425E+02          3.79194111E+01
       4400.0000          5.91768470E+01          1.11468948E+02          3.86553966E+01
       4500.0000          6.02168628E+01          1.13884285E+02          3.93894839E+01
       4600.0000          6.12538085E+01          1.16297463E+02          4.01217207E+01
       4700.0000          6.22877603E+01          1.18708508E+02          4.08521522E+01
       4800.0000          6.33187912E+01          1.21117445E+02          4.15808215E+01
       4900.0000          6.43469705E+01          1.23524299E+02          4.23077698E+01
       5000.0000          6.53723646E+01          1.25929090E+02          4.30330360E+01
       5100.0000          6.63950368E+01          1.28331842E+02          4.37566576E+01
       5200.0000          6.74150478E+01          1.30732573E+02          4.44786702E+01
       5300.0000          6.84324556E+01          1.33131305E+02          4.51991077E+01
       5400.0000          6.94473158E+01          1.35528055E+02          4.59180027E+01
       5500.0000          7.04596816E+01          1.37922842E+02          4.66353865E+01
       5600.0000          7.14696041E+01          1.40315682E+02          4.73512888E+01
       5700.0000          7.24771324E+01          1.42706592E+02          4.80657383E+01
       5800.0000          7.34823135E+01          1.45095589E+02          4.87787623E+01
       5900.0000          7.44851927E+01          1.47482686E+02          4.94903874E+01
       6000.0000          7.54858136E+01          1.49867899E+02          5.02006387E+01
       6100.0000          7.64842178E+01          1.52251242E+02          5.09095405E+01
       6200.0000          7.74804458E+01          1.54632729E+02          5.16171164E+01
       6300.0000          7.84745364E+01          1.57012371E+02          5.23233889E+01
       6400.0000          7.94665270E+01          1.59390182E+02          5.30283795E+01
       6500.0000          8.04564537E+01          1.61766175E+02          5.37321093E+01
       6600.0000          8.14443511E+01          1.64140359E+02          5.44345983E+01
       6700.0000          8.24302531E+01          1.66512748E+02          5.51358661E+01
       6800.0000          8.34141919E+01          1.68883352E+02          5.58359313E+01
       6900.0000          8.43961990E+01          1.71252181E+02          5.65348122E+01
       7000.0000          8.53763046E+01          1.73619246E+02          5.72325262E+01
       7100.0000          8.63545381E+01          1.75984556E+02          5.79290902E+01
       7116.9990          8.65206439E+01          1.76386462E+02          5.80473860E+01
       7117.0010          8.65206634E+01          1.76386509E+02          5.80473999E+01
       7200.0000          8.73309277E+01          1.78348122E+02          5.86245207E+01
       7300.0000          8.83055010E+01          1.80709952E+02          5.93188334E+01
       7400.0000          8.92782844E+01          1.83070056E+02          6.00120437E+01
       7500.0000          9.02493038E+01          1.85428441E+02          6.07041665E+01
       7600.0000          9.12185841E+01          1.87785118E+02          6.13952161E+01
       7700.0000          9.21861495E+01          1.90140094E+02          6.20852065E+01
       7800.0000          9.31520234E+01          1.92493376E+02          6.27741511E+01
       7900.0000          9.41162286E+01          1.94844974E+02          6.34620632E+01
       8000.0000          9.50787872E+01          1.97194894E+02          6.41489554E+01
       8100.0000          9.60397206E+01          1.99543143E+02          6.48348402E+01
       8200.0000          9.69990498E+01          2.01889730E+02          6.55197294E+01
       8300.0000          9.79567949E+01          2.04234661E+02          6.62036348E+01
       8400.0000          9.89129755E+01          2.06577943E+02          6.68865678E+01
       8500.0000          9.98676110E+01          2.08919582E+02          6.75685392E+01
       8600.0000          1.00820720E+02          2.11259586E+02          6.82495599E+01
       8700.0000          1.01772320E+02          2.13597960E+02          6.89296402E+01
       8800.0000          1.02722429E+02          2.15934710E+02          6.96087904E+01
       8900.0000          1.03671065E+02          2.18269843E+02          7.02870202E+01
       9000.0000          1.04618244E+02          2.20603365E+02          7.09643394E+01
       9100.0000          1.05563982E+02          2.22935281E+02          7.16407572E+01
       9200.0000          1.06508295E+02          2.25265597E+02          7.23162828E+01
       9300.0000          1.07451198E+02          2.27594318E+02          7.29909251E+01
       9400.0000          1.08392707E+02          2.29921451E+02          7.36646928E+01
       9500.0000          1.09332837E+02          2.32246999E+02          7.43375943E+01
       9600.0000          1.10271601E+02          2.34570969E+02          7.50096379E+01
       9700.0000          1.11209014E+02          2.36893365E+02          7.56808316E+01
       9800.0000          1.12145089E+02          2.39214192E+02          7.63511834E+01
       9900.0000          1.13079840E+02          2.41533456E+02          7.70207008E+01
      10000.0000          1.14013280E+02          2.43851161E+02          7.76893914E+01
      11000.0000          1.23278211E+02          2.66943445E+02          8.43323527E+01
      12000.0000          1.32424350E+02          2.89884456E+02          9.08997401E+01
      13000.0000          1.41460838E+02          3.12677766E+02          9.73968265E+01
      14000.0000          1.50395198E+02          3.35326455E+02          1.03827960E+02
