#Energy      K   Ta   O  Total
          0.1000          7.85801058E+03          7.06495970E+05          1.55084139E+02          1.52049935E+02
          0.2000          3.97381808E+03          3.53522687E+05          8.23137392E+01          8.06249009E+01
          0.3000          2.67235058E+03          2.35822612E+05          5.74005222E+01          5.61801313E+01
          0.4000          2.01901433E+03          1.76956177E+05          4.46921512E+01          4.37134854E+01
          0.5000          1.62568860E+03          1.41627949E+05          3.69400504E+01          3.61101124E+01
          0.6000          1.36269160E+03          1.18070852E+05          3.16977675E+01          3.09690772E+01
          0.7000          1.17433261E+03          1.01241149E+05          2.79057560E+01          2.72506846E+01
          0.8000          1.03271602E+03          8.86166547E+04          2.50293130E+01          2.44303101E+01
          0.9000          9.22318739E+02          7.87959964E+04          2.27688827E+01          2.22140745E+01
          1.0000          8.33812745E+02          7.09382608E+04          2.09433434E+01          2.04243048E+01
          2.0000          4.32425355E+02          3.55582256E+04          1.24562109E+01          1.21033291E+01
          3.0000          2.96681024E+02          2.37518985E+04          9.47340800E+00          9.17672326E+00
          4.0000          2.28100013E+02          1.78437923E+04          7.93886463E+00          7.66855405E+00
          5.0000          1.86613762E+02          1.42964504E+04          7.00533143E+00          6.74868433E+00
          6.0000          1.58771409E+02          1.19301174E+04          6.38131054E+00          6.13159106E+00
          7.0000          1.38773944E+02          1.02389640E+04          5.93860514E+00          5.69173538E+00
          8.0000          1.23706677E+02          8.96997749E+03          5.61168335E+00          5.36495741E+00
          9.0000          1.11942701E+02          7.98254592E+03          5.36342349E+00          5.11491964E+00
         10.0000          1.02501659E+02          7.19227463E+03          5.17116149E+00          4.91944094E+00
         11.0000          9.47572023E+01          6.54544162E+03          5.02024558E+00          4.76418458E+00
         12.0000          8.82902096E+01          6.00622199E+03          4.90076611E+00          4.63945609E+00
         13.0000          8.28095089E+01          5.54980719E+03          4.80577094E+00          4.53845597E+00
         14.0000          7.81064357E+01          5.15847225E+03          4.73023289E+00          4.45626881E+00
         15.0000          7.40274928E+01          4.81921566E+03          4.67042301E+00          4.38924981E+00
         16.0000          7.04572169E+01          4.52228399E+03          4.62351460E+00          4.33463715E+00
         17.0000          6.73070632E+01          4.26021704E+03          4.58732440E+00          4.29029865E+00
         18.0000          6.45079784E+01          4.02721117E+03          4.56013830E+00          4.25456122E+00
         18.6990          6.27302193E+01          3.87910895E+03          4.54574119E+00          4.23396557E+00
         18.7010          6.27253249E+01          3.87870105E+03          4.54570496E+00          4.23391136E+00
         18.9990          6.20076762E+01          3.81888118E+03          4.54060718E+00          4.22611837E+00
         19.0000          6.20053062E+01          3.81868360E+03          4.54059106E+00          4.22609316E+00
         19.0010          6.20029365E+01          3.81848603E+03          4.54057495E+00          4.22606796E+00
         20.0000          5.97552135E+01          3.63096734E+03          4.52758138E+00          4.20382098E+00
         21.0000          5.77221319E+01          3.46109330E+03          4.52021068E+00          4.18686953E+00
         22.0000          5.58768939E+01          3.30663176E+03          4.51773826E+00          4.17451814E+00
         23.0000          5.41953513E+01          3.16557518E+03          4.51954795E+00          4.16616790E+00
         24.0000          5.26573380E+01          3.03625030E+03          4.52512279E+00          4.16131699E+00
