#Energy      Cr  Total
         45.0000          9.46792240E+00          9.46792240E+00
         46.0000          9.33703116E+00          9.33703116E+00
         47.0000          9.21208004E+00          9.21208004E+00
         47.9990          9.09281774E+00          9.09281774E+00
         48.0000          9.09270103E+00          9.09270103E+00
         48.0010          9.09258432E+00          9.09258432E+00
         48.9990          8.97866753E+00          8.97866753E+00
         49.0000          8.97855590E+00          8.97855590E+00
         49.0010          8.97844426E+00          8.97844426E+00
         50.0000          8.86933326E+00          8.86933326E+00
         51.0000          8.76474596E+00          8.76474596E+00
         52.0000          8.66452873E+00          8.66452873E+00
         53.0000          8.56843616E+00          8.56843616E+00
         54.0000          8.47624087E+00          8.47624087E+00
         55.0000          8.38773188E+00          8.38773188E+00
         56.0000          8.30271315E+00          8.30271315E+00
         57.0000          8.22100230E+00          8.22100230E+00
         58.0000          8.14242940E+00          8.14242940E+00
         59.0000          8.06683598E+00          8.06683598E+00
         60.0000          7.99407401E+00          7.99407401E+00
         61.0000          7.92400511E+00          7.92400511E+00
         62.0000          7.85649976E+00          7.85649976E+00
         63.0000          7.79143659E+00          7.79143659E+00
         64.0000          7.72870175E+00          7.72870175E+00
         65.0000          7.66818835E+00          7.66818835E+00
         66.0000          7.60979593E+00          7.60979593E+00
         67.0000          7.55342996E+00          7.55342996E+00
         68.0000          7.49900144E+00          7.49900144E+00
         69.0000          7.44642651E+00          7.44642651E+00
         70.0000          7.39562602E+00          7.39562602E+00
         71.0000          7.34652529E+00          7.34652529E+00
         72.0000          7.29905374E+00          7.29905374E+00
         73.0000          7.25314461E+00          7.25314461E+00
         74.0000          7.20873475E+00          7.20873475E+00
         75.0000          7.16576435E+00          7.16576435E+00
         76.0000          7.12417669E+00          7.12417669E+00
         77.0000          7.08391803E+00          7.08391803E+00
         78.0000          7.04493732E+00          7.04493732E+00
         79.0000          7.00718610E+00          7.00718610E+00
         79.9990          6.97065431E+00          6.97065431E+00
         80.0000          6.97061832E+00          6.97061832E+00
         80.0010          6.97058233E+00          6.97058233E+00
         81.0000          6.93519016E+00          6.93519016E+00
         82.0000          6.90085996E+00          6.90085996E+00
         83.0000          6.86758802E+00          6.86758802E+00
         84.0000          6.83533654E+00          6.83533654E+00
         85.0000          6.80406948E+00          6.80406948E+00
         86.0000          6.77375247E+00          6.77375247E+00
         87.0000          6.74435271E+00          6.74435271E+00
         88.0000          6.71583886E+00          6.71583886E+00
         89.0000          6.68818101E+00          6.68818101E+00
         90.0000          6.66135056E+00          6.66135056E+00
         91.0000          6.63532015E+00          6.63532015E+00
         92.0000          6.61006362E+00          6.61006362E+00
         93.0000          6.58555591E+00          6.58555591E+00
         94.0000          6.56177303E+00          6.56177303E+00
         95.0000          6.53869200E+00          6.53869200E+00
         96.0000          6.51629077E+00          6.51629077E+00
         97.0000          6.49454823E+00          6.49454823E+00
         98.0000          6.47344409E+00          6.47344409E+00
         99.0000          6.45295891E+00          6.45295891E+00
        100.0000          6.43307399E+00          6.43307399E+00
        110.0000          6.26361258E+00          6.26361258E+00
        120.0000          6.13815102E+00          6.13815102E+00
        130.0000          6.04641756E+00          6.04641756E+00
        140.0000          5.98106878E+00          5.98106878E+00
        150.0000          5.93671766E+00          5.93671766E+00
        160.0000          5.90932450E+00          5.90932450E+00
        170.0000          5.89580198E+00          5.89580198E+00
        180.0000          5.89375131E+00          5.89375131E+00
        190.0000          5.90128139E+00          5.90128139E+00
        200.0000          5.91688210E+00          5.91688210E+00
        210.0000          5.93933359E+00          5.93933359E+00
        220.0000          5.96764031E+00          5.96764031E+00
        230.0000          6.00098221E+00          6.00098221E+00
        240.0000          6.03867807E+00          6.03867807E+00
        250.0000          6.08015765E+00          6.08015765E+00
        260.0000          6.12494030E+00          6.12494030E+00
        270.0000          6.17261821E+00          6.17261821E+00
        280.0000          6.22284340E+00          6.22284340E+00
        290.0000          6.27531725E+00          6.27531725E+00
        300.0000          6.32978228E+00          6.32978228E+00
        310.0000          6.38601536E+00          6.38601536E+00
        320.0000          6.44382236E+00          6.44382236E+00
        330.0000          6.50303365E+00          6.50303365E+00
        340.0000          6.56350047E+00          6.56350047E+00
        350.0000          6.62509188E+00          6.62509188E+00
        360.0000          6.68769228E+00          6.68769228E+00
        370.0000          6.75119925E+00          6.75119925E+00
        380.0000          6.81552182E+00          6.81552182E+00
        390.0000          6.88057894E+00          6.88057894E+00
        400.0000          6.94629824E+00          6.94629824E+00
        410.0000          7.01261492E+00          7.01261492E+00
        420.0000          7.07947084E+00          7.07947084E+00
        430.0000          7.14681370E+00          7.14681370E+00
        440.0000          7.21459640E+00          7.21459640E+00
        450.0000          7.28277638E+00          7.28277638E+00
        460.0000          7.35131518E+00          7.35131518E+00
        470.0000          7.42017792E+00          7.42017792E+00
        480.0000          7.48933296E+00          7.48933296E+00
        490.0000          7.55875155E+00          7.55875155E+00
        500.0000          7.62840750E+00          7.62840750E+00
        510.0000          7.69827693E+00          7.69827693E+00
        520.0000          7.76833808E+00          7.76833808E+00
        530.0000          7.83857102E+00          7.83857102E+00
        540.0000          7.90895754E+00          7.90895754E+00
        550.0000          7.97948094E+00          7.97948094E+00
        560.0000          8.05012593E+00          8.05012593E+00
        570.0000          8.12087847E+00          8.12087847E+00
        579.9990          8.19171855E+00          8.19171855E+00
        580.0000          8.19172564E+00          8.19172564E+00
        580.0010          8.19173273E+00          8.19173273E+00
        588.9990          8.25555208E+00          8.25555208E+00
        589.0010          8.25556627E+00          8.25556627E+00
        590.0000          8.26265558E+00          8.26265558E+00
        600.0000          8.33365737E+00          8.33365737E+00
        610.0000          8.40472094E+00          8.40472094E+00
        620.0000          8.47583704E+00          8.47583704E+00
        630.0000          8.54699711E+00          8.54699711E+00
        640.0000          8.61819325E+00          8.61819325E+00
        650.0000          8.68941818E+00          8.68941818E+00
        660.0000          8.76066518E+00          8.76066518E+00
        670.0000          8.83192801E+00          8.83192801E+00
        680.0000          8.90320092E+00          8.90320092E+00
        690.0000          8.97447859E+00          8.97447859E+00
        700.0000          9.04575610E+00          9.04575610E+00
        701.9990          9.06000405E+00          9.06000405E+00
        702.0010          9.06001830E+00          9.06001830E+00
        710.0000          9.11702888E+00          9.11702888E+00
        720.0000          9.18829272E+00          9.18829272E+00
        730.0000          9.25954369E+00          9.25954369E+00
        740.0000          9.33077820E+00          9.33077820E+00
        750.0000          9.40199287E+00          9.40199287E+00
        760.0000          9.47318460E+00          9.47318460E+00
        770.0000          9.54435052E+00          9.54435052E+00
        780.0000          9.61548796E+00          9.61548796E+00
        790.0000          9.68659446E+00          9.68659446E+00
        800.0000          9.75766772E+00          9.75766772E+00
        810.0000          9.82870564E+00          9.82870564E+00
