#Energy      Al   As  Total
         38.0000          1.27465944E+01          9.97718152E+01          1.13026026E+01
         39.0000          1.26863540E+01          9.76409389E+01          1.12275710E+01
         40.0000          1.26319142E+01          9.56175860E+01          1.11578635E+01
         41.0000          1.25828569E+01          9.36939384E+01          1.10930840E+01
         42.0000          1.25388028E+01          9.18629193E+01          1.10328738E+01
         43.0000          1.24994072E+01          9.01181065E+01          1.09769071E+01
         44.0000          1.24643564E+01          8.84536589E+01          1.09248872E+01
         44.9990          1.24333929E+01          8.68658057E+01          1.08765902E+01
         45.0000          1.24333638E+01          8.68642521E+01          1.08765436E+01
         45.0010          1.24333348E+01          8.68626986E+01          1.08764970E+01
         45.9990          1.24061929E+01          8.53465079E+01          1.08316725E+01
         46.0000          1.24061675E+01          8.53450222E+01          1.08316292E+01
         46.0010          1.24061421E+01          8.53435366E+01          1.08315859E+01
         47.0000          1.23825274E+01          8.38915173E+01          1.07899176E+01
         48.0000          1.23622229E+01          8.24996544E+01          1.07512011E+01
         49.0000          1.23450514E+01          8.11656825E+01          1.07152888E+01
         50.0000          1.23308260E+01          7.98861487E+01          1.06820052E+01
         51.0000          1.23193744E+01          7.86578698E+01          1.06511882E+01
         52.0000          1.23105371E+01          7.74779062E+01          1.06226882E+01
         53.0000          1.23041666E+01          7.63435389E+01          1.05963670E+01
         54.0000          1.23001262E+01          7.52522495E+01          1.05720965E+01
         55.0000          1.22982888E+01          7.42017015E+01          1.05497579E+01
         56.0000          1.22985364E+01          7.31897246E+01          1.05292409E+01
         57.0000          1.23007590E+01          7.22143001E+01          1.05104429E+01
         58.0000          1.23048543E+01          7.12735477E+01          1.04932686E+01
         59.0000          1.23107266E+01          7.03657139E+01          1.04776290E+01
         60.0000          1.23182867E+01          6.94891616E+01          1.04634411E+01
         61.0000          1.23274509E+01          6.86423603E+01          1.04506274E+01
         62.0000          1.23381411E+01          6.78238780E+01          1.04391155E+01
         63.0000          1.23502840E+01          6.70323730E+01          1.04288377E+01
         64.0000          1.23638107E+01          6.62665871E+01          1.04197303E+01
         65.0000          1.23786566E+01          6.55253389E+01          1.04117339E+01
         66.0000          1.23947610E+01          6.48075185E+01          1.04047926E+01
         67.0000          1.24120668E+01          6.41120820E+01          1.03988539E+01
         68.0000          1.24305200E+01          6.34380462E+01          1.03938685E+01
         69.0000          1.24500699E+01          6.27844849E+01          1.03897900E+01
         70.0000          1.24706686E+01          6.21505245E+01          1.03865747E+01
         71.0000          1.24922710E+01          6.15353404E+01          1.03841814E+01
         72.0000          1.25148343E+01          6.09381535E+01          1.03825714E+01
         73.0000          1.25383180E+01          6.03582272E+01          1.03817080E+01
         74.0000          1.25626840E+01          5.97948646E+01          1.03815566E+01
         75.0000          1.25878960E+01          5.92474057E+01          1.03820846E+01
         76.0000          1.26139197E+01          5.87152250E+01          1.03832611E+01
         76.9990          1.26406953E+01          5.81982398E+01          1.03850547E+01
         77.0000          1.26407225E+01          5.81977294E+01          1.03850568E+01
         77.0010          1.26407497E+01          5.81972191E+01          1.03850589E+01
         78.0000          1.26682736E+01          5.76943562E+01          1.03874442E+01
         79.0000          1.26965435E+01          5.72045709E+01          1.03903969E+01
         80.0000          1.27255043E+01          5.67278655E+01          1.03938902E+01
         81.0000          1.27551297E+01          5.62637571E+01          1.03979005E+01
         82.0000          1.27853942E+01          5.58117864E+01          1.04024056E+01
         83.0000          1.28162740E+01          5.53715158E+01          1.04073841E+01
         84.0000          1.28477461E+01          5.49425286E+01          1.04128160E+01
