#Energy      Al   Si  Total
          0.1000          1.08312490E+03          1.21627976E+03          5.72923468E+02
          0.2000          5.54619317E+02          6.20817322E+02          2.92927128E+02
          0.3000          3.76533372E+02          4.20457185E+02          1.98642456E+02
          0.4000          2.86751160E+02          3.19554786E+02          1.51132784E+02
          0.5000          2.32506551E+02          2.58646461E+02          1.22440451E+02
          0.6000          1.96122926E+02          2.17825174E+02          1.03202577E+02
          0.7000          1.69992426E+02          1.88527941E+02          8.93905201E+01
          0.8000          1.50296788E+02          1.66459272E+02          7.89828423E+01
          0.9000          1.34907486E+02          1.49225691E+02          7.08529114E+01
          1.0000          1.22543363E+02          1.35387166E+02          6.43227412E+01
          2.0000          6.60427227E+01          7.22662364E+01          3.45072296E+01
          3.0000          4.66809613E+01          5.07035981E+01          2.43045994E+01
          4.0000          3.68167416E+01          3.97386661E+01          1.91109713E+01
          5.0000          3.08161026E+01          3.30760263E+01          1.59530483E+01
          6.0000          2.67742819E+01          2.85910219E+01          1.38264225E+01
          7.0000          2.38652646E+01          2.53636052E+01          1.22958165E+01
          8.0000          2.16717738E+01          2.29295717E+01          1.11414686E+01
          9.0000          1.99598479E+01          2.10289321E+01          1.02402240E+01
         10.0000          1.85879332E+01          1.95045391E+01          9.51760408E+00
         11.0000          1.74652561E+01          1.82557092E+01          8.92586841E+00
         12.0000          1.65308695E+01          1.72148964E+01          8.43297518E+00
         13.0000          1.57422991E+01          1.63350628E+01          8.01660202E+00
         14.0000          1.50690167E+01          1.55824240E+01          7.66071030E+00
         15.0000          1.44885042E+01          1.49320757E+01          7.35347305E+00
         16.0000          1.39837793E+01          1.43652478E+01          7.08597351E+00
         17.0000          1.35417876E+01          1.38675196E+01          6.85135906E+00
         18.0000          1.31523252E+01          1.34276251E+01          6.64427472E+00
         19.0000          1.28072980E+01          1.30366326E+01          6.46047388E+00
         20.0000          1.25002018E+01          1.26873676E+01          6.29654466E+00
         21.0000          1.22257484E+01          1.23740001E+01          6.14971376E+00
         22.0000          1.19795933E+01          1.20917420E+01          6.01770321E+00
         23.0000          1.17581334E+01          1.18366243E+01          5.89862415E+00
         24.0000          1.15583546E+01          1.16053280E+01          5.79089685E+00
         25.0000          1.13777161E+01          1.13950561E+01          5.69318976E+00
         26.0000          1.12140604E+01          1.12034343E+01          5.60437242E+00
         27.0000          1.10655433E+01          1.10284342E+01          5.52347878E+00
         28.0000          1.09305791E+01          1.08683117E+01          5.44967824E+00
