#Energy      Ni  Total
         36.0000          1.46687202E+01          1.46687202E+01
         37.0000          1.43604263E+01          1.43604263E+01
         38.0000          1.40686438E+01          1.40686438E+01
         39.0000          1.37921129E+01          1.37921129E+01
         40.0000          1.35296987E+01          1.35296987E+01
         41.0000          1.32803766E+01          1.32803766E+01
         42.0000          1.30432188E+01          1.30432188E+01
         43.0000          1.28173832E+01          1.28173832E+01
         44.0000          1.26021039E+01          1.26021039E+01
         45.0000          1.23966826E+01          1.23966826E+01
         46.0000          1.22004812E+01          1.22004812E+01
         47.0000          1.20129157E+01          1.20129157E+01
         48.0000          1.18334503E+01          1.18334503E+01
         49.0000          1.16615928E+01          1.16615928E+01
         50.0000          1.14968899E+01          1.14968899E+01
         51.0000          1.13389240E+01          1.13389240E+01
         52.0000          1.11873089E+01          1.11873089E+01
         53.0000          1.10416878E+01          1.10416878E+01
         54.0000          1.09017299E+01          1.09017299E+01
         55.0000          1.07671284E+01          1.07671284E+01
         56.0000          1.06375983E+01          1.06375983E+01
         57.0000          1.05128743E+01          1.05128743E+01
         58.0000          1.03927094E+01          1.03927094E+01
         59.0000          1.02768734E+01          1.02768734E+01
         60.0000          1.01651509E+01          1.01651509E+01
         61.0000          1.00573410E+01          1.00573410E+01
         62.0000          9.95325546E+00          9.95325546E+00
         63.0000          9.85271785E+00          9.85271785E+00
         64.0000          9.75556281E+00          9.75556281E+00
         65.0000          9.66163507E+00          9.66163507E+00
         66.0000          9.57078869E+00          9.57078869E+00
         67.0000          9.48288638E+00          9.48288638E+00
         68.0000          9.39779890E+00          9.39779890E+00
         69.0000          9.31540445E+00          9.31540445E+00
         70.0000          9.23558811E+00          9.23558811E+00
         71.0000          9.15824144E+00          9.15824144E+00
         72.0000          9.08326196E+00          9.08326196E+00
         72.9990          9.01062439E+00          9.01062439E+00
         73.0000          9.01055278E+00          9.01055278E+00
         73.0010          9.01048118E+00          9.01048118E+00
         74.0000          8.94002221E+00          8.94002221E+00
         74.9990          8.87165084E+00          8.87165084E+00
         75.0000          8.87158342E+00          8.87158342E+00
         75.0010          8.87151600E+00          8.87151600E+00
         76.0000          8.80515412E+00          8.80515412E+00
         77.0000          8.74065628E+00          8.74065628E+00
         78.0000          8.67801583E+00          8.67801583E+00
         79.0000          8.61716245E+00          8.61716245E+00
         80.0000          8.55802928E+00          8.55802928E+00
         81.0000          8.50055279E+00          8.50055279E+00
         82.0000          8.44467248E+00          8.44467248E+00
         83.0000          8.39033079E+00          8.39033079E+00
         84.0000          8.33747286E+00          8.33747286E+00
         85.0000          8.28604640E+00          8.28604640E+00
         86.0000          8.23600156E+00          8.23600156E+00
         87.0000          8.18729074E+00          8.18729074E+00
         88.0000          8.13986850E+00          8.13986850E+00
         89.0000          8.09369144E+00          8.09369144E+00
         90.0000          8.04871808E+00          8.04871808E+00
         91.0000          8.00490874E+00          8.00490874E+00
         92.0000          7.96222545E+00          7.96222545E+00
         93.0000          7.92063190E+00          7.92063190E+00
         94.0000          7.88009327E+00          7.88009327E+00
         95.0000          7.84057624E+00          7.84057624E+00
         96.0000          7.80204885E+00          7.80204885E+00
         97.0000          7.76448045E+00          7.76448045E+00
         98.0000          7.72784163E+00          7.72784163E+00
         99.0000          7.69210419E+00          7.69210419E+00
        100.0000          7.65724103E+00          7.65724103E+00
        110.0000          7.35143496E+00          7.35143496E+00
        116.9990          7.17656876E+00          7.17656876E+00
        117.0010          7.17652273E+00          7.17652273E+00
        120.0000          7.10981462E+00          7.10981462E+00
        130.0000          6.91748269E+00          6.91748269E+00
        140.0000          6.76378638E+00          6.76378638E+00
        150.0000          6.64090796E+00          6.64090796E+00
        160.0000          6.54298189E+00          6.54298189E+00
        170.0000          6.46552256E+00          6.46552256E+00
        180.0000          6.40504204E+00          6.40504204E+00
        190.0000          6.35878816E+00          6.35878816E+00
        200.0000          6.32456100E+00          6.32456100E+00
        210.0000          6.30058155E+00          6.30058155E+00
        220.0000          6.28539615E+00          6.28539615E+00
        230.0000          6.27780583E+00          6.27780583E+00
        240.0000          6.27681319E+00          6.27681319E+00
        250.0000          6.28158208E+00          6.28158208E+00
        260.0000          6.29140655E+00          6.29140655E+00
        270.0000          6.30568666E+00          6.30568666E+00
        280.0000          6.32390953E+00          6.32390953E+00
        290.0000          6.34563422E+00          6.34563422E+00
        300.0000          6.37047976E+00          6.37047976E+00
        310.0000          6.39811535E+00          6.39811535E+00
        320.0000          6.42825253E+00          6.42825253E+00
        330.0000          6.46063869E+00          6.46063869E+00
        340.0000          6.49505175E+00          6.49505175E+00
        350.0000          6.53129580E+00          6.53129580E+00
        360.0000          6.56919736E+00          6.56919736E+00
        370.0000          6.60860240E+00          6.60860240E+00
        380.0000          6.64937367E+00          6.64937367E+00
        390.0000          6.69138859E+00          6.69138859E+00
        400.0000          6.73453732E+00          6.73453732E+00
        410.0000          6.77872125E+00          6.77872125E+00
        420.0000          6.82385160E+00          6.82385160E+00
        430.0000          6.86984827E+00          6.86984827E+00
        440.0000          6.91663883E+00          6.91663883E+00
        450.0000          6.96415765E+00          6.96415765E+00
        460.0000          7.01234515E+00          7.01234515E+00
        470.0000          7.06114714E+00          7.06114714E+00
        480.0000          7.11051427E+00          7.11051427E+00
        490.0000          7.16040145E+00          7.16040145E+00
        500.0000          7.21076750E+00          7.21076750E+00
        510.0000          7.26157471E+00          7.26157471E+00
        520.0000          7.31278849E+00          7.31278849E+00
        530.0000          7.36437709E+00          7.36437709E+00
        540.0000          7.41631133E+00          7.41631133E+00
        550.0000          7.46856432E+00          7.46856432E+00
        560.0000          7.52111130E+00          7.52111130E+00
        570.0000          7.57392942E+00          7.57392942E+00
        580.0000          7.62699754E+00          7.62699754E+00
        590.0000          7.68029615E+00          7.68029615E+00
        600.0000          7.73380717E+00          7.73380717E+00
        610.0000          7.78751384E+00          7.78751384E+00
        620.0000          7.84140062E+00          7.84140062E+00
        630.0000          7.89545308E+00          7.89545308E+00
        640.0000          7.94965783E+00          7.94965783E+00
        650.0000          8.00400239E+00          8.00400239E+00
        660.0000          8.05847516E+00          8.05847516E+00
        670.0000          8.11306533E+00          8.11306533E+00
        680.0000          8.16776283E+00          8.16776283E+00
        690.0000          8.22255828E+00          8.22255828E+00
        700.0000          8.27744289E+00          8.27744289E+00
        710.0000          8.33240848E+00          8.33240848E+00
        720.0000          8.38744740E+00          8.38744740E+00
        730.0000          8.44255248E+00          8.44255248E+00
        740.0000          8.49771705E+00          8.49771705E+00
        750.0000          8.55293483E+00          8.55293483E+00
        760.0000          8.60819996E+00          8.60819996E+00
        770.0000          8.66350693E+00          8.66350693E+00
        780.0000          8.71885059E+00          8.71885059E+00
        790.0000          8.77422612E+00          8.77422612E+00
        800.0000          8.82962898E+00          8.82962898E+00
        810.0000          8.88505492E+00          8.88505492E+00
        820.0000          8.94049993E+00          8.94049993E+00
        830.0000          8.99596029E+00          8.99596029E+00
        840.0000          9.05143245E+00          9.05143245E+00
        850.0000          9.10691312E+00          9.10691312E+00
        859.9990          9.16239363E+00          9.16239363E+00
        860.0000          9.16239918E+00          9.16239918E+00
        860.0010          9.16240473E+00          9.16240473E+00
        870.0000          9.21788771E+00          9.21788771E+00
        876.9990          9.25672412E+00          9.25672412E+00
        877.0010          9.25673522E+00          9.25673522E+00
        880.0000          9.27337596E+00          9.27337596E+00
        890.0000          9.32886134E+00          9.32886134E+00
        900.0000          9.38434143E+00          9.38434143E+00
        910.0000          9.43981394E+00          9.43981394E+00
        920.0000          9.49527672E+00          9.49527672E+00
        930.0000          9.55072774E+00          9.55072774E+00
        940.0000          9.60616510E+00          9.60616510E+00
        950.0000          9.66158700E+00          9.66158700E+00
        960.0000          9.71699178E+00          9.71699178E+00
        970.0000          9.77237783E+00          9.77237783E+00
        980.0000          9.82774366E+00          9.82774366E+00
        990.0000          9.88308788E+00          9.88308788E+00
       1000.0000          9.93840917E+00          9.93840917E+00
       1014.9990          1.00213399E+01          1.00213399E+01
       1015.0010          1.00213509E+01          1.00213509E+01
       1100.0000          1.04901212E+01          1.04901212E+01
       1200.0000          1.10385569E+01          1.10385569E+01
       1300.0000          1.15832413E+01          1.15832413E+01
       1400.0000          1.21239577E+01          1.21239577E+01
       1500.0000          1.26606422E+01          1.26606422E+01
       1600.0000          1.31933210E+01          1.31933210E+01
       1700.0000          1.37220736E+01          1.37220736E+01
       1800.0000          1.42470099E+01          1.42470099E+01
       1900.0000          1.47682560E+01          1.47682560E+01
       2000.0000          1.52859453E+01          1.52859453E+01
       2100.0000          1.58002130E+01          1.58002130E+01
       2200.0000          1.63111928E+01          1.63111928E+01
       2300.0000          1.68190145E+01          1.68190145E+01
       2400.0000          1.73238030E+01          1.73238030E+01
       2500.0000          1.78256776E+01          1.78256776E+01
       2600.0000          1.83247519E+01          1.83247519E+01
       2700.0000          1.88211334E+01          1.88211334E+01
       2800.0000          1.93149237E+01          1.93149237E+01
       2900.0000          1.98062189E+01          1.98062189E+01
       3000.0000          2.02951099E+01          2.02951099E+01
       3100.0000          2.07816821E+01          2.07816821E+01
       3200.0000          2.12660165E+01          2.12660165E+01
       3300.0000          2.17481892E+01          2.17481892E+01
