#Energy      Ti   O  Total
          0.1000          5.55612117E+03          1.00910974E+02          9.91109095E+01
          0.2000          2.80174539E+03          5.35603426E+01          5.25556480E+01
          0.3000          1.88003939E+03          3.73496778E+01          3.66221267E+01
          0.4000          1.41780232E+03          2.90805272E+01          2.84960451E+01
          0.5000          1.13975555E+03          2.40363489E+01          2.35399147E+01
          0.6000          9.53975811E+02          2.06252723E+01          2.01887842E+01
          0.7000          8.21007494E+02          1.81578661E+01          1.77649661E+01
          0.8000          7.21096078E+02          1.62862068E+01          1.59265012E+01
          0.9000          6.43253280E+02          1.48153780E+01          1.44818331E+01
          1.0000          5.80878595E+02          1.36275264E+01          1.33151503E+01
          2.0000          2.98528069E+02          8.10507371E+00          7.89083653E+00
          3.0000          2.03363141E+02          6.16420762E+00          5.98285919E+00
          4.0000          1.55395484E+02          5.16570276E+00          4.99950765E+00
          5.0000          1.26429143E+02          4.55826640E+00          4.39964205E+00
          6.0000          1.07015032E+02          4.15222516E+00          3.99713477E+00
          7.0000          9.30852296E+01          3.86416325E+00          3.71014725E+00
          8.0000          8.25976691E+01          3.65144004E+00          3.49685277E+00
          9.0000          7.44137916E+01          3.48990099E+00          3.33356169E+00
         10.0000          6.78482104E+01          3.36479893E+00          3.20581292E+00
         11.0000          6.24634388E+01          3.26660016E+00          3.10425921E+00
         12.0000          5.79669871E+01          3.18885662E+00          3.02257968E+00
         13.0000          5.41558198E+01          3.12704466E+00          2.95634076E+00
         14.0000          5.08845444E+01          3.07789315E+00          2.90233722E+00
         15.0000          4.80462834E+01          3.03897574E+00          2.85819221E+00
         16.0000          4.55606958E+01          3.00845313E+00          2.82210459E+00
         17.0000          4.33662102E+01          2.98490470E+00          2.79268373E+00
         18.0000          4.14148380E+01          2.96721510E+00          2.76883839E+00
         19.0000          3.96686174E+01          2.95449600E+00          2.74969992E+00
         20.0000          3.80971208E+01          2.94603079E+00          2.73456805E+00
         21.0000          3.66756707E+01          2.94123478E+00          2.72287189E+00
         22.0000          3.53840404E+01          2.93962602E+00          2.71414130E+00
         23.0000          3.42054924E+01          2.94080355E+00          2.70798557E+00
         24.0000          3.31260554E+01          2.94443102E+00          2.70407735E+00
         25.0000          3.21339746E+01          2.95022409E+00          2.70214026E+00
         26.0000          3.12192885E+01          2.95794070E+00          2.70193946E+00
         27.0000          3.03734982E+01          2.96737349E+00          2.70327405E+00
         28.0000          2.95893087E+01          2.97834373E+00          2.70597128E+00
         29.0000          2.88604221E+01          2.99069656E+00          2.70988175E+00
         30.0000          2.81813726E+01          3.00429711E+00          2.71487568E+00
         31.0000          2.75473936E+01          3.01902734E+00          2.72083979E+00
         32.0000          2.69543087E+01          3.03478352E+00          2.72767482E+00
         33.0000          2.63984431E+01          3.05147410E+00          2.73529344E+00
         34.0000          2.58765505E+01          3.06901798E+00          2.74361856E+00
         35.0000          2.53857520E+01          3.08734305E+00          2.75258186E+00
         36.0000          2.49234858E+01          3.10638497E+00          2.76212267E+00
         37.0000          2.44874643E+01          3.12608616E+00          2.77218691E+00
         37.9990          2.40760388E+01          3.14637433E+00          2.78271548E+00
         38.0000          2.40756384E+01          3.14639493E+00          2.78272624E+00
         38.0010          2.40752381E+01          3.14641553E+00          2.78273701E+00
         38.9990          2.36865463E+01          3.16724362E+00          2.79368621E+00
         39.0000          2.36861675E+01          3.16726475E+00          2.79369738E+00
         39.0010          2.36857886E+01          3.16728589E+00          2.79370856E+00
         40.0000          2.33173928E+01          3.18865362E+00          2.80506145E+00
         41.0000          2.29678164E+01          3.21052353E+00          2.81678346E+00
         42.0000          2.26360813E+01          3.23283998E+00          2.82883186E+00
         43.0000          2.23209556E+01          3.25557163E+00          2.84117813E+00
         44.0000          2.20213184E+01          3.27868989E+00          2.85379645E+00
         45.0000          2.17361475E+01          3.30216868E+00          2.86666343E+00
         46.0000          2.14645086E+01          3.32598411E+00          2.87975779E+00
         47.0000          2.12055465E+01          3.35011431E+00          2.89306019E+00
         48.0000          2.09584761E+01          3.37453918E+00          2.90655301E+00
         49.0000          2.07225763E+01          3.39924021E+00          2.92022015E+00
         50.0000          2.04971827E+01          3.42420037E+00          2.93404693E+00
         51.0000          2.02816827E+01          3.44940394E+00          2.94801992E+00
         52.0000          2.00755106E+01          3.47483636E+00          2.96212681E+00
         53.0000          1.98781425E+01          3.50048419E+00          2.97635633E+00
         54.0000          1.96890934E+01          3.52633494E+00          2.99069813E+00
         55.0000          1.95079131E+01          3.55237704E+00          3.00514270E+00
         56.0000          1.93341831E+01          3.57859971E+00          3.01968131E+00
         57.0000          1.91675142E+01          3.60499293E+00          3.03430592E+00
         58.0000          1.90075437E+01          3.63154738E+00          3.04900913E+00
         59.0000          1.88539333E+01          3.65825433E+00          3.06378413E+00
         60.0000          1.87063670E+01          3.68510565E+00          3.07862461E+00
         61.0000          1.85645494E+01          3.71209375E+00          3.09352479E+00
         62.0000          1.84282040E+01          3.73921149E+00          3.10847930E+00
         63.0000          1.82970716E+01          3.76645222E+00          3.12348320E+00
         63.9990          1.81710329E+01          3.79378226E+00          3.13851684E+00
         64.0000          1.81709091E+01          3.79380967E+00          3.13853191E+00
         64.0010          1.81707854E+01          3.79383709E+00          3.13854698E+00
         65.0000          1.80494883E+01          3.82127799E+00          3.15362121E+00
         66.0000          1.79325946E+01          3.84885165E+00          3.16874718E+00
         67.0000          1.78200262E+01          3.87652547E+00          3.18390620E+00
         68.0000          1.77115929E+01          3.90429457E+00          3.19909493E+00
         69.0000          1.76071157E+01          3.93215435E+00          3.21431025E+00
         70.0000          1.75064254E+01          3.96010048E+00          3.22954930E+00
         71.0000          1.74093627E+01          3.98812887E+00          3.24480941E+00
         72.0000          1.73157766E+01          4.01623566E+00          3.26008811E+00
         73.0000          1.72255247E+01          4.04441721E+00          3.27538311E+00
         74.0000          1.71384719E+01          4.07267006E+00          3.29069230E+00
         75.0000          1.70544906E+01          4.10099096E+00          3.30601369E+00
         76.0000          1.69734595E+01          4.12937682E+00          3.32134549E+00
         77.0000          1.68952638E+01          4.15782470E+00          3.33668598E+00
         78.0000          1.68197944E+01          4.18633185E+00          3.35203360E+00
         79.0000          1.67469479E+01          4.21489562E+00          3.36738690E+00
         80.0000          1.66766257E+01          4.24351352E+00          3.38274454E+00
         81.0000          1.66087344E+01          4.27218318E+00          3.39810525E+00
         82.0000          1.65431847E+01          4.30090234E+00          3.41346789E+00
         83.0000          1.64798921E+01          4.32966887E+00          3.42883138E+00
         84.0000          1.64187755E+01          4.35848072E+00          3.44419473E+00
         85.0000          1.63597581E+01          4.38733595E+00          3.45955702E+00
         86.0000          1.63027664E+01          4.41623272E+00          3.47491740E+00
         87.0000          1.62477303E+01          4.44516927E+00          3.49027507E+00
         88.0000          1.61945828E+01          4.47414393E+00          3.50562931E+00
         89.0000          1.61432600E+01          4.50315508E+00          3.52097945E+00
         90.0000          1.60937008E+01          4.53220121E+00          3.53632487E+00
         91.0000          1.60458467E+01          4.56128086E+00          3.55166498E+00
         92.0000          1.59996417E+01          4.59039264E+00          3.56699927E+00
         93.0000          1.59550324E+01          4.61953521E+00          3.58232724E+00
         94.0000          1.59119675E+01          4.64870732E+00          3.59764845E+00
         95.0000          1.58703979E+01          4.67790775E+00          3.61296248E+00
         96.0000          1.58302764E+01          4.70713533E+00          3.62826895E+00
         97.0000          1.57915579E+01          4.73638895E+00          3.64356752E+00
         98.0000          1.57541990E+01          4.76566756E+00          3.65885786E+00
         99.0000          1.57181583E+01          4.79497013E+00          3.67413970E+00
        100.0000          1.56833957E+01          4.82429568E+00          3.68941275E+00
        110.0000          1.53983172E+01          5.11862767E+00          3.84161741E+00
        120.0000          1.52068042E+01          5.41443521E+00          3.99278891E+00
        130.0000          1.50869087E+01          5.71120580E+00          4.14289673E+00
        140.0000          1.50229446E+01          6.00858602E+00          4.29196793E+00
        150.0000          1.50034088E+01          6.30632726E+00          4.44005527E+00
        160.0000          1.50196796E+01          6.60425188E+00          4.58722075E+00
        170.0000          1.50651716E+01          6.90223145E+00          4.73352727E+00
        180.0000          1.51347717E+01          7.20017233E+00          4.87903458E+00
        190.0000          1.52244517E+01          7.49800584E+00          5.02379761E+00
        200.0000          1.53309978E+01          7.79568159E+00          5.16786588E+00
        210.0000          1.54518162E+01          8.09316262E+00          5.31128366E+00
        220.0000          1.55847923E+01          8.39042202E+00          5.45409033E+00
        230.0000          1.57281860E+01          8.68744045E+00          5.59632084E+00
        240.0000          1.58805535E+01          8.98420428E+00          5.73800629E+00
        250.0000          1.60406877E+01          9.28070427E+00          5.87917437E+00
        260.0000          1.62075724E+01          9.57693454E+00          6.01984984E+00
        270.0000          1.63803467E+01          9.87289177E+00          6.16005489E+00
        280.0000          1.65582770E+01          1.01685746E+01          6.29980956E+00
        290.0000          1.67407348E+01          1.04639833E+01          6.43913194E+00
        300.0000          1.69271790E+01          1.07591191E+01          6.57803849E+00
        310.0000          1.71171414E+01          1.10539843E+01          6.71654426E+00
        320.0000          1.73102155E+01          1.13485819E+01          6.85466302E+00
        330.0000          1.75060468E+01          1.16429154E+01          6.99240748E+00
        340.0000          1.77043247E+01          1.19369884E+01          7.12978937E+00
        350.0000          1.79047769E+01          1.22308052E+01          7.26681961E+00
        360.0000          1.81071629E+01          1.25243701E+01          7.40350834E+00
        370.0000          1.83112706E+01          1.28176874E+01          7.53986507E+00
        380.0000          1.85169118E+01          1.31107617E+01          7.67589872E+00
        390.0000          1.87239192E+01          1.34035975E+01          7.81161766E+00
        400.0000          1.89321438E+01          1.36961993E+01          7.94702980E+00
        410.0000          1.91414527E+01          1.39885716E+01          8.08214263E+00
        420.0000          1.93517268E+01          1.42807188E+01          8.21696324E+00
        430.0000          1.95628593E+01          1.45726454E+01          8.35149838E+00
        440.0000          1.97747543E+01          1.48643557E+01          8.48575446E+00
        450.0000          1.99873256E+01          1.51558539E+01          8.61973761E+00
        458.9990          2.01791319E+01          1.54179952E+01          8.74008058E+00
        459.0010          2.01791746E+01          1.54180534E+01          8.74010730E+00
        460.0000          2.02004951E+01          1.54471441E+01          8.75345369E+00
        464.9990          2.03072606E+01          1.55926834E+01          8.82019999E+00
        465.0010          2.03073034E+01          1.55927416E+01          8.82022668E+00
