#Energy      C  Total
          0.1000          4.31683968E+01          4.31683968E+01
          0.2000          2.38474174E+01          2.38474174E+01
          0.3000          1.71183739E+01          1.71183739E+01
          0.4000          1.36438334E+01          1.36438334E+01
          0.5000          1.15039896E+01          1.15039896E+01
          0.6000          1.00455073E+01          1.00455073E+01
          0.7000          8.98348685E+00          8.98348685E+00
          0.8000          8.17329688E+00          8.17329688E+00
          0.9000          7.53348149E+00          7.53348149E+00
          1.0000          7.01455320E+00          7.01455320E+00
          2.0000          4.57320790E+00          4.57320790E+00
          3.0000          3.70818373E+00          3.70818373E+00
          4.0000          3.26883395E+00          3.26883395E+00
          5.0000          3.00918991E+00          3.00918991E+00
          6.0000          2.84328663E+00          2.84328663E+00
          7.0000          2.73285663E+00          2.73285663E+00
          8.0000          2.65814369E+00          2.65814369E+00
          9.0000          2.60786292E+00          2.60786292E+00
         10.0000          2.57507502E+00          2.57507502E+00
         11.0000          2.55526582E+00          2.55526582E+00
         12.0000          2.54536537E+00          2.54536537E+00
         13.0000          2.54320942E+00          2.54320942E+00
         14.0000          2.54722615E+00          2.54722615E+00
         15.0000          2.55624509E+00          2.55624509E+00
         16.0000          2.56937586E+00          2.56937586E+00
         17.0000          2.58592857E+00          2.58592857E+00
         18.0000          2.60536000E+00          2.60536000E+00
         19.0000          2.62723640E+00          2.62723640E+00
         20.0000          2.65120704E+00          2.65120704E+00
         21.0000          2.67698513E+00          2.67698513E+00
         22.0000          2.70433383E+00          2.70433383E+00
         23.0000          2.73305576E+00          2.73305576E+00
         24.0000          2.76298506E+00          2.76298506E+00
         25.0000          2.79398135E+00          2.79398135E+00
         26.0000          2.82592496E+00          2.82592496E+00
         27.0000          2.85871326E+00          2.85871326E+00
         28.0000          2.89225769E+00          2.89225769E+00
         29.0000          2.92648146E+00          2.92648146E+00
         30.0000          2.96131764E+00          2.96131764E+00
         31.0000          2.99670762E+00          2.99670762E+00
         32.0000          3.03259986E+00          3.03259986E+00
         33.0000          3.06894883E+00          3.06894883E+00
         34.0000          3.10571422E+00          3.10571422E+00
         35.0000          3.14286015E+00          3.14286015E+00
         36.0000          3.18035460E+00          3.18035460E+00
         37.0000          3.21816894E+00          3.21816894E+00
         38.0000          3.25627743E+00          3.25627743E+00
         39.0000          3.29465692E+00          3.29465692E+00
