#Energy      Au   C  Total
         84.0000          3.16302961E+02          4.63757060E+00          4.57055800E+00
         85.0000          3.12780434E+02          4.67548840E+00          4.60662785E+00
         86.0000          3.09340058E+02          4.71341950E+00          4.64267893E+00
         86.9990          3.05982327E+02          4.75132521E+00          4.67867427E+00
         87.0000          3.05979005E+02          4.75136316E+00          4.67871030E+00
         87.0010          3.05975683E+02          4.75140111E+00          4.67874632E+00
         88.0000          3.02694575E+02          4.78931867E+00          4.71472103E+00
         89.0000          2.99484188E+02          4.82728536E+00          4.75071026E+00
         90.0000          2.96345380E+02          4.86526260E+00          4.78667713E+00
         90.9990          2.93278831E+02          4.90321178E+00          4.82258491E+00
         91.0000          2.93275795E+02          4.90324978E+00          4.82262084E+00
         91.0010          2.93272760E+02          4.90328777E+00          4.82265677E+00
         92.0000          2.90273179E+02          4.94124631E+00          4.85854061E+00
         93.0000          2.87335375E+02          4.97925165E+00          4.89443569E+00
         94.0000          2.84460317E+02          5.01726528E+00          4.93030535E+00
         95.0000          2.81646026E+02          5.05528670E+00          4.96614890E+00
         96.0000          2.78890607E+02          5.09331542E+00          5.00196566E+00
         97.0000          2.76192241E+02          5.13135099E+00          5.03775499E+00
         98.0000          2.73549184E+02          5.16939298E+00          5.07351626E+00
         99.0000          2.70959762E+02          5.20744098E+00          5.10924886E+00
        100.0000          2.68422369E+02          5.24549458E+00          5.14495222E+00
        110.0000          2.45598230E+02          5.62626370E+00          5.50026148E+00
        113.9990          2.37597991E+02          5.77861163E+00          5.64140718E+00
        114.0010          2.37594131E+02          5.77868783E+00          5.64147763E+00
        120.0000          2.26599727E+02          6.00726693E+00          5.85212432E+00
        130.0000          2.10544968E+02          6.38830862E+00          6.20018401E+00
        140.0000          1.96803754E+02          6.76926043E+00          6.54416730E+00
        150.0000          1.84913757E+02          7.15003755E+00          6.88386017E+00
        160.0000          1.74528108E+02          7.53058394E+00          7.21909266E+00
        170.0000          1.65381467E+02          7.91086302E+00          7.54972901E+00
        180.0000          1.57267401E+02          8.29085156E+00          7.87566102E+00
        190.0000          1.50022890E+02          8.67053558E+00          8.19680337E+00
        200.0000          1.43517491E+02          9.04990759E+00          8.51309024E+00
        210.0000          1.37645582E+02          9.42896468E+00          8.82447276E+00
        220.0000          1.32320731E+02          9.80770713E+00          9.13091704E+00
        230.0000          1.27471525E+02          1.01861375E+01          9.43240253E+00
        240.0000          1.23038446E+02          1.05642600E+01          9.72892070E+00
        250.0000          1.18971490E+02          1.09420797E+01          1.00204739E+01
        260.0000          1.15228344E+02          1.13196028E+01          1.03070742E+01
