#Energy      Si  Total
          0.1000          6.54086982E+02          6.54086982E+02
          0.2000          3.33861124E+02          3.33861124E+02
          0.3000          2.26112100E+02          2.26112100E+02
          0.4000          1.71849136E+02          1.71849136E+02
          0.5000          1.39094054E+02          1.39094054E+02
          0.6000          1.17141315E+02          1.17141315E+02
          0.7000          1.01385944E+02          1.01385944E+02
          0.8000          8.95179271E+01          8.95179271E+01
          0.9000          8.02501079E+01          8.02501079E+01
          1.0000          7.28080707E+01          7.28080707E+01
          2.0000          3.88631021E+01          3.88631021E+01
          3.0000          2.72672164E+01          2.72672164E+01
          4.0000          2.13705309E+01          2.13705309E+01
          5.0000          1.77875181E+01          1.77875181E+01
          6.0000          1.53755870E+01          1.53755870E+01
          7.0000          1.36399573E+01          1.36399573E+01
          8.0000          1.23309906E+01          1.23309906E+01
          9.0000          1.13088709E+01          1.13088709E+01
         10.0000          1.04890877E+01          1.04890877E+01
         11.0000          9.81749604E+00          9.81749604E+00
         12.0000          9.25777113E+00          9.25777113E+00
         13.0000          8.78461705E+00          8.78461705E+00
         14.0000          8.37986539E+00          8.37986539E+00
         15.0000          8.03012321E+00          8.03012321E+00
         16.0000          7.72529636E+00          7.72529636E+00
         17.0000          7.45762970E+00          7.45762970E+00
         18.0000          7.22106467E+00          7.22106467E+00
         19.0000          7.01079796E+00          7.01079796E+00
         20.0000          6.82297139E+00          6.82297139E+00
         21.0000          6.65444959E+00          6.65444959E+00
         22.0000          6.50265778E+00          6.50265778E+00
         23.0000          6.36546142E+00          6.36546142E+00
         24.0000          6.24107565E+00          6.24107565E+00
         25.0000          6.12799629E+00          6.12799629E+00
         26.0000          6.02494656E+00          6.02494656E+00
         27.0000          5.93083554E+00          5.93083554E+00
         28.0000          5.84472542E+00          5.84472542E+00
         29.0000          5.76580546E+00          5.76580546E+00
         30.0000          5.69337112E+00          5.69337112E+00
         31.0000          5.62680714E+00          5.62680714E+00
         32.0000          5.56557384E+00          5.56557384E+00
         33.0000          5.50919576E+00          5.50919576E+00
         34.0000          5.45725239E+00          5.45725239E+00
         35.0000          5.40937045E+00          5.40937045E+00
         36.0000          5.36521739E+00          5.36521739E+00
         37.0000          5.32449596E+00          5.32449596E+00
         38.0000          5.28693966E+00          5.28693966E+00
         39.0000          5.25230887E+00          5.25230887E+00
         40.0000          5.22038748E+00          5.22038748E+00
         41.0000          5.19098011E+00          5.19098011E+00
         42.0000          5.16390967E+00          5.16390967E+00
         43.0000          5.13901526E+00          5.13901526E+00
         44.0000          5.11615036E+00          5.11615036E+00
         45.0000          5.09518124E+00          5.09518124E+00
         46.0000          5.07598564E+00          5.07598564E+00
         47.0000          5.05845149E+00          5.05845149E+00
         48.0000          5.04247593E+00          5.04247593E+00
         49.0000          5.02796436E+00          5.02796436E+00
         50.0000          5.01482962E+00          5.01482962E+00
         51.0000          5.00299128E+00          5.00299128E+00
         52.0000          4.99237500E+00          4.99237500E+00
         53.0000          4.98291195E+00          4.98291195E+00
         54.0000          4.97453835E+00          4.97453835E+00
         55.0000          4.96719497E+00          4.96719497E+00
         56.0000          4.96082675E+00          4.96082675E+00
         57.0000          4.95538244E+00          4.95538244E+00
         58.0000          4.95081426E+00          4.95081426E+00
         59.0000          4.94707765E+00          4.94707765E+00
         60.0000          4.94413095E+00          4.94413095E+00
         61.0000          4.94193523E+00          4.94193523E+00
         62.0000          4.94045400E+00          4.94045400E+00
         63.0000          4.93965309E+00          4.93965309E+00
         64.0000          4.93950041E+00          4.93950041E+00
         65.0000          4.93996584E+00          4.93996584E+00
         66.0000          4.94102105E+00          4.94102105E+00
         67.0000          4.94263940E+00          4.94263940E+00
         68.0000          4.94479578E+00          4.94479578E+00
         69.0000          4.94746652E+00          4.94746652E+00
         70.0000          4.95062930E+00          4.95062930E+00
         71.0000          4.95426304E+00          4.95426304E+00
         72.0000          4.95834782E+00          4.95834782E+00
         73.0000          4.96286479E+00          4.96286479E+00
         74.0000          4.96779613E+00          4.96779613E+00
         75.0000          4.97312493E+00          4.97312493E+00
         76.0000          4.97883519E+00          4.97883519E+00
         77.0000          4.98491173E+00          4.98491173E+00
         78.0000          4.99134013E+00          4.99134013E+00
         79.0000          4.99810671E+00          4.99810671E+00
         80.0000          5.00519845E+00          5.00519845E+00
         81.0000          5.01260299E+00          5.01260299E+00
         82.0000          5.02030855E+00          5.02030855E+00
         83.0000          5.02830393E+00          5.02830393E+00
         84.0000          5.03657844E+00          5.03657844E+00
         85.0000          5.04512192E+00          5.04512192E+00
         86.0000          5.05392465E+00          5.05392465E+00
         87.0000          5.06297737E+00          5.06297737E+00
         88.0000          5.07227124E+00          5.07227124E+00
         89.0000          5.08179782E+00          5.08179782E+00
         90.0000          5.09154902E+00          5.09154902E+00
         91.0000          5.10151714E+00          5.10151714E+00
         92.0000          5.11169479E+00          5.11169479E+00
         93.0000          5.12207489E+00          5.12207489E+00
         94.0000          5.13265069E+00          5.13265069E+00
         95.0000          5.14341570E+00          5.14341570E+00
         96.0000          5.15436371E+00          5.15436371E+00
         97.0000          5.16548877E+00          5.16548877E+00
         98.0000          5.17678515E+00          5.17678515E+00
         99.0000          5.18824739E+00          5.18824739E+00
        100.0000          5.19987021E+00          5.19987021E+00
        103.9990          5.24785695E+00          5.24785695E+00
        104.0010          5.24788152E+00          5.24788152E+00
        110.0000          5.32391025E+00          5.32391025E+00
        120.0000          5.45950451E+00          5.45950451E+00
        130.0000          5.60377752E+00          5.60377752E+00
        140.0000          5.75468450E+00          5.75468450E+00
        150.0000          5.91073503E+00          5.91073503E+00
        153.9990          5.97432101E+00          5.97432101E+00
        154.0010          5.97435296E+00          5.97435296E+00
        160.0000          6.07081983E+00          6.07081983E+00
        170.0000          6.23409833E+00          6.23409833E+00
        180.0000          6.39992365E+00          6.39992365E+00
        190.0000          6.56779117E+00          6.56779117E+00
        200.0000          6.73730257E+00          6.73730257E+00
        210.0000          6.90814014E+00          6.90814014E+00
        220.0000          7.08004811E+00          7.08004811E+00
        230.0000          7.25281886E+00          7.25281886E+00
        240.0000          7.42628268E+00          7.42628268E+00
        250.0000          7.60029986E+00          7.60029986E+00
        260.0000          7.77475480E+00          7.77475480E+00
        270.0000          7.94955130E+00          7.94955130E+00
        280.0000          8.12460899E+00          8.12460899E+00
        290.0000          8.29986041E+00          8.29986041E+00
        300.0000          8.47524876E+00          8.47524876E+00
        310.0000          8.65072607E+00          8.65072607E+00
        320.0000          8.82625173E+00          8.82625173E+00
        330.0000          9.00179128E+00          9.00179128E+00
        340.0000          9.17731542E+00          9.17731542E+00
        350.0000          9.35279923E+00          9.35279923E+00
        360.0000          9.52822147E+00          9.52822147E+00
        370.0000          9.70356408E+00          9.70356408E+00
        380.0000          9.87881165E+00          9.87881165E+00
        390.0000          1.00539511E+01          1.00539511E+01
        400.0000          1.02289712E+01          1.02289712E+01
        410.0000          1.04038627E+01          1.04038627E+01
        420.0000          1.05786174E+01          1.05786174E+01
        430.0000          1.07532288E+01          1.07532288E+01
        440.0000          1.09276911E+01          1.09276911E+01
        450.0000          1.11019997E+01          1.11019997E+01
        460.0000          1.12761507E+01          1.12761507E+01
        470.0000          1.14501411E+01          1.14501411E+01
        480.0000          1.16239682E+01          1.16239682E+01
        490.0000          1.17976301E+01          1.17976301E+01
        500.0000          1.19711253E+01          1.19711253E+01
        510.0000          1.21444528E+01          1.21444528E+01
        520.0000          1.23176117E+01          1.23176117E+01
        530.0000          1.24906017E+01          1.24906017E+01
        540.0000          1.26634225E+01          1.26634225E+01
        550.0000          1.28360744E+01          1.28360744E+01
        560.0000          1.30085577E+01          1.30085577E+01
        570.0000          1.31808727E+01          1.31808727E+01
        580.0000          1.33530201E+01          1.33530201E+01
        590.0000          1.35250008E+01          1.35250008E+01
        600.0000          1.36968157E+01          1.36968157E+01
        610.0000          1.38684656E+01          1.38684656E+01
        620.0000          1.40399517E+01          1.40399517E+01
        630.0000          1.42112752E+01          1.42112752E+01
        640.0000          1.43824374E+01          1.43824374E+01
        650.0000          1.45534394E+01          1.45534394E+01
        660.0000          1.47242826E+01          1.47242826E+01
        670.0000          1.48949683E+01          1.48949683E+01
        680.0000          1.50654981E+01          1.50654981E+01
        690.0000          1.52358732E+01          1.52358732E+01
        700.0000          1.54060952E+01          1.54060952E+01
        710.0000          1.55761655E+01          1.55761655E+01
        720.0000          1.57460855E+01          1.57460855E+01
        730.0000          1.59158567E+01          1.59158567E+01
        740.0000          1.60854807E+01          1.60854807E+01
        750.0000          1.62549588E+01          1.62549588E+01
        760.0000          1.64242926E+01          1.64242926E+01
        770.0000          1.65934836E+01          1.65934836E+01
        780.0000          1.67625331E+01          1.67625331E+01
        790.0000          1.69314427E+01          1.69314427E+01
        800.0000          1.71002138E+01          1.71002138E+01
        810.0000          1.72688479E+01          1.72688479E+01
        820.0000          1.74373463E+01          1.74373463E+01
        830.0000          1.76057106E+01          1.76057106E+01
        840.0000          1.77739421E+01          1.77739421E+01
        850.0000          1.79420421E+01          1.79420421E+01
        860.0000          1.81100121E+01          1.81100121E+01
        870.0000          1.82778535E+01          1.82778535E+01
        880.0000          1.84455675E+01          1.84455675E+01
        890.0000          1.86131555E+01          1.86131555E+01
        900.0000          1.87806189E+01          1.87806189E+01
        910.0000          1.89479588E+01          1.89479588E+01
        920.0000          1.91151766E+01          1.91151766E+01
        930.0000          1.92822736E+01          1.92822736E+01
        940.0000          1.94492510E+01          1.94492510E+01
        950.0000          1.96161100E+01          1.96161100E+01
        960.0000          1.97828518E+01          1.97828518E+01
        970.0000          1.99494776E+01          1.99494776E+01
        980.0000          2.01159887E+01          2.01159887E+01
        990.0000          2.02823861E+01          2.02823861E+01
       1000.0000          2.04486710E+01          2.04486710E+01
       1100.0000          2.21055731E+01          2.21055731E+01
       1200.0000          2.37523666E+01          2.37523666E+01
       1300.0000          2.53899482E+01          2.53899482E+01
       1400.0000          2.70190903E+01          2.70190903E+01
       1500.0000          2.86404609E+01          2.86404609E+01
       1600.0000          3.02546403E+01          3.02546403E+01
       1700.0000          3.18621355E+01          3.18621355E+01
       1800.0000          3.34633920E+01          3.34633920E+01
       1843.9990          3.41660554E+01          3.41660554E+01
       1844.0010          3.41660873E+01          3.41660873E+01
       1900.0000          3.50588029E+01          3.50588029E+01
       2000.0000          3.66487173E+01          3.66487173E+01
       2100.0000          3.82334465E+01          3.82334465E+01
       2200.0000          3.98132695E+01          3.98132695E+01
       2300.0000          4.13884371E+01          4.13884371E+01
       2400.0000          4.29591761E+01          4.29591761E+01
       2500.0000          4.45256921E+01          4.45256921E+01
       2600.0000          4.60881720E+01          4.60881720E+01
       2700.0000          4.76467869E+01          4.76467869E+01
       2800.0000          4.92016929E+01          4.92016929E+01
       2900.0000          5.07530339E+01          5.07530339E+01
       3000.0000          5.23009421E+01          5.23009421E+01
       3100.0000          5.38455397E+01          5.38455397E+01
       3200.0000          5.53869398E+01          5.53869398E+01
       3300.0000          5.69252473E+01          5.69252473E+01
       3400.0000          5.84605599E+01          5.84605599E+01
       3500.0000          5.99929683E+01          5.99929683E+01
       3600.0000          6.15225575E+01          6.15225575E+01
       3700.0000          6.30494067E+01          6.30494067E+01
       3800.0000          6.45735905E+01          6.45735905E+01
       3900.0000          6.60951784E+01          6.60951784E+01
       4000.0000          6.76142362E+01          6.76142362E+01
       4100.0000          6.91308256E+01          6.91308256E+01
       4200.0000          7.06450048E+01          7.06450048E+01
       4300.0000          7.21568287E+01          7.21568287E+01
       4400.0000          7.36663492E+01          7.36663492E+01
       4500.0000          7.51736157E+01          7.51736157E+01
       4600.0000          7.66786746E+01          7.66786746E+01
       4700.0000          7.81815703E+01          7.81815703E+01
       4800.0000          7.96823446E+01          7.96823446E+01
       4900.0000          8.11810376E+01          8.11810376E+01
       5000.0000          8.26776872E+01          8.26776872E+01
       5100.0000          8.41723297E+01          8.41723297E+01
       5200.0000          8.56649997E+01          8.56649997E+01
       5300.0000          8.71557301E+01          8.71557301E+01
       5400.0000          8.86445524E+01          8.86445524E+01
       5500.0000          9.01314968E+01          9.01314968E+01
       5600.0000          9.16165922E+01          9.16165922E+01
       5700.0000          9.30998661E+01          9.30998661E+01
       5800.0000          9.45813450E+01          9.45813450E+01
       5900.0000          9.60610545E+01          9.60610545E+01
       6000.0000          9.75390188E+01          9.75390188E+01
       6100.0000          9.90152614E+01          9.90152614E+01
       6200.0000          1.00489805E+02          1.00489805E+02
       6300.0000          1.01962671E+02          1.01962671E+02
       6400.0000          1.03433880E+02          1.03433880E+02
       6500.0000          1.04903453E+02          1.04903453E+02
       6600.0000          1.06371409E+02          1.06371409E+02
       6700.0000          1.07837767E+02          1.07837767E+02
       6800.0000          1.09302544E+02          1.09302544E+02
       6900.0000          1.10765758E+02          1.10765758E+02
       7000.0000          1.12227426E+02          1.12227426E+02
       7100.0000          1.13687564E+02          1.13687564E+02
       7200.0000          1.15146188E+02          1.15146188E+02
       7300.0000          1.16603313E+02          1.16603313E+02
       7400.0000          1.18058953E+02          1.18058953E+02
       7500.0000          1.19513124E+02          1.19513124E+02
       7600.0000          1.20965839E+02          1.20965839E+02
       7700.0000          1.22417111E+02          1.22417111E+02
       7800.0000          1.23866953E+02          1.23866953E+02
       7900.0000          1.25315378E+02          1.25315378E+02
       8000.0000          1.26762398E+02          1.26762398E+02
       8100.0000          1.28208026E+02          1.28208026E+02
       8200.0000          1.29652271E+02          1.29652271E+02
       8300.0000          1.31095147E+02          1.31095147E+02
       8400.0000          1.32536663E+02          1.32536663E+02
       8500.0000          1.33976830E+02          1.33976830E+02
       8600.0000          1.35415659E+02          1.35415659E+02
       8700.0000          1.36853160E+02          1.36853160E+02
       8800.0000          1.38289342E+02          1.38289342E+02
       8900.0000          1.39724214E+02          1.39724214E+02
       9000.0000          1.41157787E+02          1.41157787E+02
       9100.0000          1.42590069E+02          1.42590069E+02
       9200.0000          1.44021070E+02          1.44021070E+02
       9300.0000          1.45450796E+02          1.45450796E+02
       9400.0000          1.46879258E+02          1.46879258E+02
       9500.0000          1.48306463E+02          1.48306463E+02
       9600.0000          1.49732419E+02          1.49732419E+02
       9700.0000          1.51157134E+02          1.51157134E+02
       9800.0000          1.52580616E+02          1.52580616E+02
       9900.0000          1.54002871E+02          1.54002871E+02
      10000.0000          1.55423908E+02          1.55423908E+02
      11000.0000          1.69568736E+02          1.69568736E+02
      12000.0000          1.83598620E+02          1.83598620E+02
      13000.0000          1.97518746E+02          1.97518746E+02
      14000.0000          2.11333436E+02          2.11333436E+02
      15000.0000          2.25046359E+02          2.25046359E+02
      16000.0000          2.38660676E+02          2.38660676E+02
      17000.0000          2.52179151E+02          2.52179151E+02
      18000.0000          2.65604227E+02          2.65604227E+02
      19000.0000          2.78938084E+02          2.78938084E+02
      20000.0000          2.92182691E+02          2.92182691E+02
      21000.0000          3.05339838E+02          3.05339838E+02
      22000.0000          3.18411165E+02          3.18411165E+02
      23000.0000          3.31398183E+02          3.31398183E+02
      24000.0000          3.44302296E+02          3.44302296E+02
      25000.0000          3.57124812E+02          3.57124812E+02
      26000.0000          3.69866960E+02          3.69866960E+02
      27000.0000          3.82529894E+02          3.82529894E+02
      28000.0000          3.95114708E+02          3.95114708E+02
      29000.0000          4.07622438E+02          4.07622438E+02
      30000.0000          4.20054071E+02          4.20054071E+02
      31000.0000          4.32410550E+02          4.32410550E+02
      32000.0000          4.44692779E+02          4.44692779E+02
      33000.0000          4.56901622E+02          4.56901622E+02
      34000.0000          4.69037915E+02          4.69037915E+02
      35000.0000          4.81102461E+02          4.81102461E+02
      36000.0000          4.93096037E+02          4.93096037E+02
      37000.0000          5.05019394E+02          5.05019394E+02
      38000.0000          5.16873261E+02          5.16873261E+02
      39000.0000          5.28658345E+02          5.28658345E+02
      40000.0000          5.40375334E+02          5.40375334E+02
      41000.0000          5.52024896E+02          5.52024896E+02
      42000.0000          5.63607683E+02          5.63607683E+02
      43000.0000          5.75124332E+02          5.75124332E+02
      44000.0000          5.86575462E+02          5.86575462E+02
      45000.0000          5.97961681E+02          5.97961681E+02
      46000.0000          6.09283582E+02          6.09283582E+02
      47000.0000          6.20541747E+02          6.20541747E+02
      48000.0000          6.31736743E+02          6.31736743E+02
      49000.0000          6.42869129E+02          6.42869129E+02
      50000.0000          6.53939453E+02          6.53939453E+02
