#Energy      Na-K-shell   Na-L1-shell   Na-L2-shell   Na-L3-shell   F-K-shell   Valence  Total
         14.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.48609410E+01          1.48609410E+01
         15.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.41798424E+01          1.41798424E+01
         16.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.35671503E+01          1.35671503E+01
         17.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.30115469E+01          1.30115469E+01
         18.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.25041950E+01          1.25041950E+01
         19.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.20380755E+01          1.20380755E+01
         20.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.16075488E+01          1.16075488E+01
         21.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.12080408E+01          1.12080408E+01
         22.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.08358210E+01          1.08358210E+01
         23.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.04878148E+01          1.04878148E+01
         24.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.01614709E+01          1.01614709E+01
         25.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.85466938E+00          9.85466938E+00
         26.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.56563863E+00          9.56563863E+00
         27.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.29289400E+00          9.29289400E+00
         28.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.03518862E+00          9.03518862E+00
         29.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.79147088E+00          8.79147088E+00
         30.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.56085305E+00          8.56085305E+00
         31.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.34258122E+00          8.34258122E+00
         32.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.13601341E+00          8.13601341E+00
         33.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.94059643E+00          7.94059643E+00
         33.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.75602894E+00          7.75602894E+00
         34.0000          1.00000000E+30          1.00000000E+30          6.97054744E+08          3.48527372E+08          1.00000000E+30          7.75584938E+00          7.75584912E+00
         34.0010          1.00000000E+30          1.00000000E+30          6.97128139E+08          3.48564069E+08          1.00000000E+30          7.75566983E+00          7.75566957E+00
         35.0000          1.00000000E+30          1.00000000E+30          3.97405162E+04          1.98702581E+04          1.00000000E+30          7.58134740E+00          7.57701097E+00
         36.0000          1.00000000E+30          1.00000000E+30          1.40825312E+04          7.04126561E+03          1.00000000E+30          7.41670806E+00          7.40500829E+00
         37.0000          1.00000000E+30          1.00000000E+30          7.67824590E+03          3.83912295E+03          1.00000000E+30          7.26157956E+00          7.24103527E+00
         38.0000          1.00000000E+30          1.00000000E+30          4.99702421E+03          2.49851210E+03          1.00000000E+30          7.11563086E+00          7.08536275E+00
         39.0000          1.00000000E+30          1.00000000E+30          3.58563741E+03          1.79281871E+03          1.00000000E+30          6.97854355E+00          6.93803413E+00
         40.0000          1.00000000E+30          1.00000000E+30          2.73740904E+03          1.36870452E+03          1.00000000E+30          6.85000573E+00          6.79896519E+00
         41.0000          1.00000000E+30          1.00000000E+30          2.18121185E+03          1.09060592E+03          1.00000000E+30          6.72970714E+00          6.66798877E+00
         42.0000          1.00000000E+30          1.00000000E+30          1.79386006E+03          8.96930030E+02          1.00000000E+30          6.61733630E+00          6.54490616E+00
         43.0000          1.00000000E+30          1.00000000E+30          1.51120759E+03          7.55603797E+02          1.00000000E+30          6.51257885E+00          6.42945525E+00
         44.0000          1.00000000E+30          1.00000000E+30          1.29760659E+03          6.48803294E+02          1.00000000E+30          6.41511720E+00          6.32136241E+00
         45.0000          1.00000000E+30          1.00000000E+30          1.13157248E+03          5.65786240E+02          1.00000000E+30          6.32463086E+00          6.22033010E+00
         46.0000          1.00000000E+30          1.00000000E+30          9.99459937E+02          4.99729969E+02          1.00000000E+30          6.24079777E+00          6.12604164E+00
         47.0000          1.00000000E+30          1.00000000E+30          8.92315001E+02          4.46157500E+02          1.00000000E+30          6.16329602E+00          6.03817739E+00
         48.0000          1.00000000E+30          1.00000000E+30          8.03965990E+02          4.01982995E+02          1.00000000E+30          6.09180574E+00          5.95640720E+00
         49.0000          1.00000000E+30          1.00000000E+30          7.30102493E+02          3.65051247E+02          1.00000000E+30          6.02601119E+00          5.88040672E+00
         50.0000          1.00000000E+30          1.00000000E+30          6.67592759E+02          3.33796380E+02          1.00000000E+30          5.96560266E+00          5.80985230E+00
         51.0000          1.00000000E+30          1.00000000E+30          6.14129428E+02          3.07064714E+02          1.00000000E+30          5.91027824E+00          5.74442802E+00
         52.0000          1.00000000E+30          1.00000000E+30          5.67970692E+02          2.83985346E+02          1.00000000E+30          5.85974541E+00          5.68382557E+00
         53.0000          1.00000000E+30          1.00000000E+30          5.27785466E+02          2.63892733E+02          1.00000000E+30          5.81372227E+00          5.62774804E+00
         54.0000          1.00000000E+30          1.00000000E+30          4.92541231E+02          2.46270615E+02          1.00000000E+30          5.77193848E+00          5.57591134E+00
         55.0000          1.00000000E+30          1.00000000E+30          4.61421520E+02          2.30710760E+02          1.00000000E+30          5.73413601E+00          5.52804321E+00
         56.0000          1.00000000E+30          1.00000000E+30          4.33779259E+02          2.16889629E+02          1.00000000E+30          5.70006950E+00          5.48388672E+00
         57.0000          1.00000000E+30          1.00000000E+30          4.09087947E+02          2.04543974E+02          1.00000000E+30          5.66950665E+00          5.44319659E+00
         58.0000          1.00000000E+30          1.00000000E+30          3.86924261E+02          1.93462131E+02          1.00000000E+30          5.64222789E+00          5.40574409E+00
         59.0000          1.00000000E+30          1.00000000E+30          3.66937293E+02          1.83468646E+02          1.00000000E+30          5.61802640E+00          5.37131251E+00
         60.0000          1.00000000E+30          1.00000000E+30          3.48837393E+02          1.74418697E+02          1.00000000E+30          5.59670801E+00          5.33969939E+00
         61.0000          1.00000000E+30          1.00000000E+30          3.32383828E+02          1.66191914E+02          1.00000000E+30          5.57809041E+00          5.31071591E+00
         62.0000          1.00000000E+30          1.00000000E+30          3.17372953E+02          1.58686477E+02          1.00000000E+30          5.56200297E+00          5.28418485E+00
         63.0000          1.00000000E+30          1.00000000E+30          3.03634114E+02          1.51817057E+02          1.00000000E+30          5.54828610E+00          5.25994236E+00
         64.0000          1.00000000E+30          1.00000000E+30          2.91020258E+02          1.45510129E+02          1.00000000E+30          5.53679073E+00          5.23783430E+00
         65.0000          1.00000000E+30          1.00000000E+30          2.79407358E+02          1.39703679E+02          1.00000000E+30          5.52737775E+00          5.21771907E+00
         65.9990          1.00000000E+30          1.00000000E+30          2.68698245E+02          1.34349123E+02          1.00000000E+30          5.51992392E+00          5.19948182E+00
