#Energy      Ca  Total
          0.1000          4.83810418E+03          4.83810418E+03
          0.2000          2.44397395E+03          2.44397395E+03
          0.3000          1.64217603E+03          1.64217603E+03
          0.4000          1.23982633E+03          1.23982633E+03
          0.5000          9.97678315E+02          9.97678315E+02
          0.6000          8.35811399E+02          8.35811399E+02
          0.7000          7.19911050E+02          7.19911050E+02
          0.8000          6.32791985E+02          6.32791985E+02
          0.9000          5.64892612E+02          5.64892612E+02
          1.0000          5.10468075E+02          5.10468075E+02
          2.0000          2.63819781E+02          2.63819781E+02
          3.0000          1.80512859E+02          1.80512859E+02
          4.0000          1.38461024E+02          1.38461024E+02
          5.0000          1.13039265E+02          1.13039265E+02
          6.0000          9.59864382E+01          9.59864382E+01
          7.0000          8.37428860E+01          8.37428860E+01
          8.0000          7.45203043E+01          7.45203043E+01
          9.0000          6.73209279E+01          6.73209279E+01
         10.0000          6.15437459E+01          6.15437459E+01
         11.0000          5.68049069E+01          5.68049069E+01
         12.0000          5.28476417E+01          5.28476417E+01
         13.0000          4.94936213E+01          4.94936213E+01
         14.0000          4.66150853E+01          4.66150853E+01
         15.0000          4.41180757E+01          4.41180757E+01
         16.0000          4.19319338E+01          4.19319338E+01
         17.0000          4.00024869E+01          4.00024869E+01
         18.0000          3.82874967E+01          3.82874967E+01
         19.0000          3.67535387E+01          3.67535387E+01
         20.0000          3.53738125E+01          3.53738125E+01
         21.0000          3.41265755E+01          3.41265755E+01
         22.0000          3.29940009E+01          3.29940009E+01
         23.0000          3.19613324E+01          3.19613324E+01
         24.0000          3.10162493E+01          3.10162493E+01
         25.0000          3.01483825E+01          3.01483825E+01
         26.0000          2.93489425E+01          2.93489425E+01
         27.0000          2.86104284E+01          2.86104284E+01
         27.9990          2.79270589E+01          2.79270589E+01
         28.0000          2.79264001E+01          2.79264001E+01
         28.0010          2.79257414E+01          2.79257414E+01
         29.0000          2.72912966E+01          2.72912966E+01
         30.0000          2.67002906E+01          2.67002906E+01
         31.0000          2.61491712E+01          2.61491712E+01
         32.0000          2.56342481E+01          2.56342481E+01
         33.0000          2.51522739E+01          2.51522739E+01
         34.0000          2.47003788E+01          2.47003788E+01
         35.0000          2.42760177E+01          2.42760177E+01
         36.0000          2.38769252E+01          2.38769252E+01
         37.0000          2.35010780E+01          2.35010780E+01
         38.0000          2.31466637E+01          2.31466637E+01
         39.0000          2.28120537E+01          2.28120537E+01
         40.0000          2.24957803E+01          2.24957803E+01
         41.0000          2.21965177E+01          2.21965177E+01
         42.0000          2.19130649E+01          2.19130649E+01
         43.0000          2.16443312E+01          2.16443312E+01
         44.0000          2.13893244E+01          2.13893244E+01
         45.0000          2.11471391E+01          2.11471391E+01
         45.9990          2.09171725E+01          2.09171725E+01
         46.0000          2.09169480E+01          2.09169480E+01
         46.0010          2.09167236E+01          2.09167236E+01
         47.0000          2.06979935E+01          2.06979935E+01
         48.0000          2.04895802E+01          2.04895802E+01
         49.0000          2.02910692E+01          2.02910692E+01
         50.0000          2.01018718E+01          2.01018718E+01
         51.0000          1.99214453E+01          1.99214453E+01
         52.0000          1.97492881E+01          1.97492881E+01
         53.0000          1.95849360E+01          1.95849360E+01
         54.0000          1.94279591E+01          1.94279591E+01
         55.0000          1.92779583E+01          1.92779583E+01
         56.0000          1.91345625E+01          1.91345625E+01
         57.0000          1.89974266E+01          1.89974266E+01
         58.0000          1.88662291E+01          1.88662291E+01
         59.0000          1.87406699E+01          1.87406699E+01
         60.0000          1.86204688E+01          1.86204688E+01
         61.0000          1.85053638E+01          1.85053638E+01
         62.0000          1.83951095E+01          1.83951095E+01
         63.0000          1.82894762E+01          1.82894762E+01
         64.0000          1.81882481E+01          1.81882481E+01
         65.0000          1.80912227E+01          1.80912227E+01
         66.0000          1.79982097E+01          1.79982097E+01
         67.0000          1.79090301E+01          1.79090301E+01
         68.0000          1.78235150E+01          1.78235150E+01
         69.0000          1.77415056E+01          1.77415056E+01
         70.0000          1.76628519E+01          1.76628519E+01
         71.0000          1.75874122E+01          1.75874122E+01
         72.0000          1.75150528E+01          1.75150528E+01
         73.0000          1.74456472E+01          1.74456472E+01
         74.0000          1.73790755E+01          1.73790755E+01
         75.0000          1.73152243E+01          1.73152243E+01
         76.0000          1.72539862E+01          1.72539862E+01
         77.0000          1.71952591E+01          1.71952591E+01
         78.0000          1.71389462E+01          1.71389462E+01
         79.0000          1.70849558E+01          1.70849558E+01
         80.0000          1.70332003E+01          1.70332003E+01
         81.0000          1.69835966E+01          1.69835966E+01
         82.0000          1.69360659E+01          1.69360659E+01
         83.0000          1.68905326E+01          1.68905326E+01
         84.0000          1.68469252E+01          1.68469252E+01
         85.0000          1.68051752E+01          1.68051752E+01
         86.0000          1.67652175E+01          1.67652175E+01
         87.0000          1.67269897E+01          1.67269897E+01
         88.0000          1.66904325E+01          1.66904325E+01
         89.0000          1.66554891E+01          1.66554891E+01
         90.0000          1.66221052E+01          1.66221052E+01
         91.0000          1.65902290E+01          1.65902290E+01
         92.0000          1.65598107E+01          1.65598107E+01
         93.0000          1.65308028E+01          1.65308028E+01
         94.0000          1.65031599E+01          1.65031599E+01
         95.0000          1.64768382E+01          1.64768382E+01
         96.0000          1.64517960E+01          1.64517960E+01
         97.0000          1.64279932E+01          1.64279932E+01
         98.0000          1.64053914E+01          1.64053914E+01
         99.0000          1.63839535E+01          1.63839535E+01
        100.0000          1.63636442E+01          1.63636442E+01
        110.0000          1.62157410E+01          1.62157410E+01
        120.0000          1.61502911E+01          1.61502911E+01
        130.0000          1.61478183E+01          1.61478183E+01
        140.0000          1.61944095E+01          1.61944095E+01
        150.0000          1.62798686E+01          1.62798686E+01
        160.0000          1.63965588E+01          1.63965588E+01
        170.0000          1.65386523E+01          1.65386523E+01
        180.0000          1.67016286E+01          1.67016286E+01
        190.0000          1.68819304E+01          1.68819304E+01
        200.0000          1.70767230E+01          1.70767230E+01
        210.0000          1.72837218E+01          1.72837218E+01
        220.0000          1.75010667E+01          1.75010667E+01
        230.0000          1.77272295E+01          1.77272295E+01
        240.0000          1.79609445E+01          1.79609445E+01
        250.0000          1.82011551E+01          1.82011551E+01
        260.0000          1.84469738E+01          1.84469738E+01
        270.0000          1.86976499E+01          1.86976499E+01
        280.0000          1.89525452E+01          1.89525452E+01
        290.0000          1.92111143E+01          1.92111143E+01
        300.0000          1.94728883E+01          1.94728883E+01
        310.0000          1.97374631E+01          1.97374631E+01
        320.0000          2.00044883E+01          2.00044883E+01
        330.0000          2.02736591E+01          2.02736591E+01
        340.0000          2.05447098E+01          2.05447098E+01
        348.9990          2.07900422E+01          2.07900422E+01
        349.0010          2.07900968E+01          2.07900968E+01
        350.0000          2.08174073E+01          2.08174073E+01
        352.9990          2.08994791E+01          2.08994791E+01
        353.0010          2.08995339E+01          2.08995339E+01
        360.0000          2.10915472E+01          2.10915472E+01
        370.0000          2.13669492E+01          2.13669492E+01
        380.0000          2.16434541E+01          2.16434541E+01
        390.0000          2.19209211E+01          2.19209211E+01
        400.0000          2.21992250E+01          2.21992250E+01
        410.0000          2.24782545E+01          2.24782545E+01
        420.0000          2.27579106E+01          2.27579106E+01
        430.0000          2.30381047E+01          2.30381047E+01
        440.0000          2.33187576E+01          2.33187576E+01
        440.9990          2.33468173E+01          2.33468173E+01
        441.0010          2.33468734E+01          2.33468734E+01
        450.0000          2.35997984E+01          2.35997984E+01
        460.0000          2.38811635E+01          2.38811635E+01
        470.0000          2.41627956E+01          2.41627956E+01
        480.0000          2.44446434E+01          2.44446434E+01
        490.0000          2.47266606E+01          2.47266606E+01
        500.0000          2.50088054E+01          2.50088054E+01
        510.0000          2.52910401E+01          2.52910401E+01
        520.0000          2.55733308E+01          2.55733308E+01
        530.0000          2.58556468E+01          2.58556468E+01
        540.0000          2.61379602E+01          2.61379602E+01
        550.0000          2.64202460E+01          2.64202460E+01
        560.0000          2.67024813E+01          2.67024813E+01
        570.0000          2.69846457E+01          2.69846457E+01
        580.0000          2.72667204E+01          2.72667204E+01
        590.0000          2.75486887E+01          2.75486887E+01
        600.0000          2.78305351E+01          2.78305351E+01
        610.0000          2.81122460E+01          2.81122460E+01
        620.0000          2.83938087E+01          2.83938087E+01
        630.0000          2.86752121E+01          2.86752121E+01
        640.0000          2.89564458E+01          2.89564458E+01
        650.0000          2.92375006E+01          2.92375006E+01
        660.0000          2.95183683E+01          2.95183683E+01
        670.0000          2.97990412E+01          2.97990412E+01
        680.0000          3.00795127E+01          3.00795127E+01
