#Energy      Zn   S  Total
         88.0000          3.79375587E+01          1.34430552E+01          9.92585837E+00
         89.0000          3.76985017E+01          1.34489760E+01          9.91263434E+00
         90.0000          3.74654491E+01          1.34557099E+01          9.90009310E+00
         90.9990          3.72384278E+01          1.34632217E+01          9.88822283E+00
         91.0000          3.72382034E+01          1.34632296E+01          9.88821127E+00
         91.0010          3.72379790E+01          1.34632375E+01          9.88819971E+00
         92.0000          3.70165752E+01          1.34715086E+01          9.87696648E+00
         93.0000          3.68003835E+01          1.34805219E+01          9.86633735E+00
         93.9990          3.65896632E+01          1.34902352E+01          9.85631316E+00
         94.0000          3.65894548E+01          1.34902452E+01          9.85630342E+00
         94.0010          3.65892465E+01          1.34902553E+01          9.85629367E+00
         95.0000          3.63836231E+01          1.35006556E+01          9.84684510E+00
         96.0000          3.61827290E+01          1.35117308E+01          9.83794363E+00
         97.0000          3.59866197E+01          1.35234497E+01          9.82958106E+00
         98.0000          3.57951489E+01          1.35357918E+01          9.82174017E+00
         99.0000          3.56081757E+01          1.35487376E+01          9.81440444E+00
        100.0000          3.54255652E+01          1.35622683E+01          9.80755804E+00
        110.0000          3.38131954E+01          1.37261060E+01          9.76294333E+00
        120.0000          3.25212645E+01          1.39323558E+01          9.75376787E+00
        130.0000          3.14755314E+01          1.41707323E+01          9.77147510E+00
        140.0000          3.06229058E+01          1.44339039E+01          9.81001721E+00
        140.9990          3.05467439E+01          1.44613375E+01          9.81483236E+00
        141.0010          3.05465929E+01          1.44613926E+01          9.81484216E+00
        150.0000          2.99244232E+01          1.47165118E+01          9.86500678E+00
        160.0000          2.93508455E+01          1.50145548E+01          9.93318838E+00
        167.9990          2.89667518E+01          1.52620016E+01          9.99554763E+00
        168.0010          2.89666631E+01          1.52620643E+01          9.99556400E+00
        169.9990          2.88798514E+01          1.53249587E+01          1.00120898E+01
        170.0000          2.88798088E+01          1.53249903E+01          1.00120982E+01
        170.0010          2.88797662E+01          1.53250219E+01          1.00121066E+01
        180.0000          2.84939198E+01          1.56454671E+01          1.00998386E+01
        190.0000          2.81794505E+01          1.59741433E+01          1.01949251E+01
        200.0000          2.79254243E+01          1.63095580E+01          1.02961797E+01
        210.0000          2.77229617E+01          1.66505398E+01          1.04026561E+01
        220.0000          2.75648047E+01          1.69961403E+01          1.05135851E+01
        230.0000          2.74449641E+01          1.73455850E+01          1.06283349E+01
        231.9990          2.74251497E+01          1.74158419E+01          1.06516840E+01
        232.0010          2.74251306E+01          1.74159122E+01          1.06517074E+01
        240.0000          2.73584558E+01          1.76982365E+01          1.07463819E+01
        250.0000          2.73010993E+01          1.80535664E+01          1.08672879E+01
        260.0000          2.72693633E+01          1.84111340E+01          1.09906838E+01
        270.0000          2.72602452E+01          1.87705697E+01          1.11162562E+01
        280.0000          2.72711767E+01          1.91315615E+01          1.12437372E+01
        290.0000          2.72999484E+01          1.94938455E+01          1.13728965E+01
        300.0000          2.73446502E+01          1.98571967E+01          1.15035350E+01
        310.0000          2.74036225E+01          2.02214232E+01          1.16354796E+01
        320.0000          2.74754171E+01          2.05863603E+01          1.17685792E+01
        330.0000          2.75587647E+01          2.09518665E+01          1.19027014E+01
        340.0000          2.76525489E+01          2.13178196E+01          1.20377295E+01
        350.0000          2.77557839E+01          2.16841143E+01          1.21735605E+01
        360.0000          2.78675960E+01          2.20506589E+01          1.23101029E+01
        370.0000          2.79872090E+01          2.24173740E+01          1.24472755E+01
        380.0000          2.81139305E+01          2.27841906E+01          1.25850058E+01
        390.0000          2.82471416E+01          2.31510484E+01          1.27232290E+01
        400.0000          2.83862873E+01          2.35178950E+01          1.28618869E+01
        410.0000          2.85308687E+01          2.38846846E+01          1.30009273E+01
        420.0000          2.86804363E+01          2.42513771E+01          1.31403032E+01
        430.0000          2.88345841E+01          2.46179377E+01          1.32799720E+01
        440.0000          2.89929446E+01          2.49843356E+01          1.34198955E+01
        450.0000          2.91551845E+01          2.53505443E+01          1.35600388E+01
        460.0000          2.93210007E+01          2.57165404E+01          1.37003704E+01
        470.0000          2.94901175E+01          2.60823036E+01          1.38408618E+01
        480.0000          2.96622832E+01          2.64478161E+01          1.39814868E+01
        490.0000          2.98372678E+01          2.68130626E+01          1.41222218E+01
        500.0000          3.00148609E+01          2.71780296E+01          1.42630451E+01
        510.0000          3.01948694E+01          2.75427057E+01          1.44039371E+01
        520.0000          3.03771162E+01          2.79070808E+01          1.45448797E+01
        530.0000          3.05614385E+01          2.82711464E+01          1.46858565E+01
        540.0000          3.07476862E+01          2.86348952E+01          1.48268525E+01
        550.0000          3.09357212E+01          2.89983211E+01          1.49678537E+01
        560.0000          3.11254157E+01          2.93614189E+01          1.51088476E+01
        570.0000          3.13166519E+01          2.97241842E+01          1.52498227E+01
        580.0000          3.15093206E+01          3.00866135E+01          1.53907683E+01
        590.0000          3.17033206E+01          3.04487042E+01          1.55316747E+01
        600.0000          3.18985583E+01          3.08104539E+01          1.56725330E+01
        610.0000          3.20949466E+01          3.11718611E+01          1.58133349E+01
