#Energy      V  Total
          0.1000          2.53423326E+03          2.53423326E+03
          0.2000          1.27700586E+03          1.27700586E+03
          0.3000          8.56432788E+02          8.56432788E+02
          0.4000          6.45567424E+02          6.45567424E+02
          0.5000          5.18753521E+02          5.18753521E+02
          0.6000          4.34037214E+02          4.34037214E+02
          0.7000          3.73413222E+02          3.73413222E+02
          0.8000          3.27867734E+02          3.27867734E+02
          0.9000          2.92387415E+02          2.92387415E+02
          1.0000          2.63961110E+02          2.63961110E+02
          2.0000          1.35345510E+02          1.35345510E+02
          3.0000          9.20340197E+01          9.20340197E+01
          4.0000          7.02162828E+01          7.02162828E+01
          5.0000          5.70472858E+01          5.70472858E+01
          6.0000          4.82242566E+01          4.82242566E+01
          7.0000          4.18954841E+01          4.18954841E+01
          8.0000          3.71317207E+01          3.71317207E+01
          9.0000          3.34150099E+01          3.34150099E+01
         10.0000          3.04336350E+01          3.04336350E+01
         11.0000          2.79886729E+01          2.79886729E+01
         12.0000          2.59471597E+01          2.59471597E+01
         13.0000          2.42168158E+01          2.42168158E+01
         14.0000          2.27315734E+01          2.27315734E+01
         15.0000          2.14428753E+01          2.14428753E+01
         16.0000          2.03142269E+01          2.03142269E+01
         17.0000          1.93176641E+01          1.93176641E+01
         18.0000          1.84313953E+01          1.84313953E+01
         19.0000          1.76381847E+01          1.76381847E+01
         20.0000          1.69242191E+01          1.69242191E+01
         21.0000          1.62782974E+01          1.62782974E+01
         22.0000          1.56912398E+01          1.56912398E+01
         23.0000          1.51554509E+01          1.51554509E+01
         24.0000          1.46645916E+01          1.46645916E+01
         25.0000          1.42133290E+01          1.42133290E+01
         26.0000          1.37971443E+01          1.37971443E+01
         27.0000          1.34121825E+01          1.34121825E+01
         28.0000          1.30551351E+01          1.30551351E+01
         29.0000          1.27231461E+01          1.27231461E+01
         30.0000          1.24137371E+01          1.24137371E+01
         31.0000          1.21247469E+01          1.21247469E+01
         32.0000          1.18542822E+01          1.18542822E+01
         33.0000          1.16006770E+01          1.16006770E+01
         34.0000          1.13624598E+01          1.13624598E+01
         35.0000          1.11383259E+01          1.11383259E+01
         36.0000          1.09271142E+01          1.09271142E+01
         37.0000          1.07277880E+01          1.07277880E+01
         38.0000          1.05394188E+01          1.05394188E+01
         39.0000          1.03611725E+01          1.03611725E+01
         40.0000          1.01922977E+01          1.01922977E+01
         41.0000          1.00321157E+01          1.00321157E+01
         42.0000          9.88001181E+00          9.88001181E+00
         42.9990          9.73556894E+00          9.73556894E+00
         43.0000          9.73542794E+00          9.73542794E+00
         43.0010          9.73528695E+00          9.73528695E+00
         43.9990          9.59799061E+00          9.59799061E+00
         44.0000          9.59785639E+00          9.59785639E+00
         44.0010          9.59772217E+00          9.59772217E+00
         45.0000          9.46683415E+00          9.46683415E+00
         46.0000          9.34193813E+00          9.34193813E+00
         47.0000          9.22278091E+00          9.22278091E+00
         48.0000          9.10900707E+00          9.10900707E+00
         49.0000          9.00028996E+00          9.00028996E+00
         50.0000          8.89632882E+00          8.89632882E+00
         51.0000          8.79684627E+00          8.79684627E+00
         52.0000          8.70158608E+00          8.70158608E+00
         53.0000          8.61031118E+00          8.61031118E+00
         54.0000          8.52280192E+00          8.52280192E+00
         55.0000          8.43885447E+00          8.43885447E+00
         56.0000          8.35827945E+00          8.35827945E+00
         57.0000          8.28090064E+00          8.28090064E+00
         58.0000          8.20655386E+00          8.20655386E+00
         59.0000          8.13508599E+00          8.13508599E+00
         60.0000          8.06635402E+00          8.06635402E+00
         61.0000          8.00022421E+00          8.00022421E+00
         62.0000          7.93657142E+00          7.93657142E+00
         63.0000          7.87527836E+00          7.87527836E+00
         64.0000          7.81623502E+00          7.81623502E+00
         65.0000          7.75933809E+00          7.75933809E+00
         66.0000          7.70449048E+00          7.70449048E+00
         67.0000          7.65160085E+00          7.65160085E+00
         68.0000          7.60058319E+00          7.60058319E+00
         69.0000          7.55135642E+00          7.55135642E+00
         70.0000          7.50384407E+00          7.50384407E+00
         71.0000          7.45797395E+00          7.45797395E+00
         71.9990          7.41372137E+00          7.41372137E+00
         72.0000          7.41367784E+00          7.41367784E+00
         72.0010          7.41363431E+00          7.41363431E+00
         73.0000          7.37089121E+00          7.37089121E+00
         74.0000          7.32955303E+00          7.32955303E+00
         75.0000          7.28960547E+00          7.28960547E+00
         76.0000          7.25099373E+00          7.25099373E+00
         77.0000          7.21366584E+00          7.21366584E+00
         78.0000          7.17757246E+00          7.17757246E+00
         79.0000          7.14266675E+00          7.14266675E+00
         80.0000          7.10890418E+00          7.10890418E+00
         81.0000          7.07624242E+00          7.07624242E+00
         82.0000          7.04464116E+00          7.04464116E+00
         83.0000          7.01406205E+00          7.01406205E+00
         84.0000          6.98446854E+00          6.98446854E+00
         85.0000          6.95582579E+00          6.95582579E+00
         86.0000          6.92810057E+00          6.92810057E+00
         87.0000          6.90126116E+00          6.90126116E+00
         88.0000          6.87527728E+00          6.87527728E+00
         89.0000          6.85012000E+00          6.85012000E+00
         90.0000          6.82576169E+00          6.82576169E+00
         91.0000          6.80217588E+00          6.80217588E+00
         92.0000          6.77933728E+00          6.77933728E+00
         93.0000          6.75722167E+00          6.75722167E+00
         94.0000          6.73580586E+00          6.73580586E+00
         95.0000          6.71506762E+00          6.71506762E+00
         96.0000          6.69498565E+00          6.69498565E+00
         97.0000          6.67553952E+00          6.67553952E+00
         98.0000          6.65670964E+00          6.65670964E+00
         99.0000          6.63847719E+00          6.63847719E+00
        100.0000          6.62082410E+00          6.62082410E+00
        110.0000          6.47265205E+00          6.47265205E+00
        120.0000          6.36692245E+00          6.36692245E+00
        130.0000          6.29370546E+00          6.29370546E+00
        140.0000          6.24590299E+00          6.24590299E+00
        150.0000          6.21830882E+00          6.21830882E+00
        160.0000          6.20701974E+00          6.20701974E+00
        170.0000          6.20905345E+00          6.20905345E+00
        180.0000          6.22209350E+00          6.22209350E+00
        190.0000          6.24431433E+00          6.24431433E+00
        200.0000          6.27425867E+00          6.27425867E+00
        210.0000          6.31074988E+00          6.31074988E+00
        220.0000          6.35282812E+00          6.35282812E+00
        230.0000          6.39970311E+00          6.39970311E+00
        240.0000          6.45071873E+00          6.45071873E+00
        250.0000          6.50532604E+00          6.50532604E+00
        260.0000          6.56306263E+00          6.56306263E+00
        270.0000          6.62353642E+00          6.62353642E+00
        280.0000          6.68641304E+00          6.68641304E+00
        290.0000          6.75140580E+00          6.75140580E+00
        300.0000          6.81826763E+00          6.81826763E+00
        310.0000          6.88678464E+00          6.88678464E+00
        320.0000          6.95677086E+00          6.95677086E+00
        330.0000          7.02806394E+00          7.02806394E+00
        340.0000          7.10052160E+00          7.10052160E+00
        350.0000          7.17401877E+00          7.17401877E+00
        360.0000          7.24844509E+00          7.24844509E+00
        370.0000          7.32370291E+00          7.32370291E+00
        380.0000          7.39970557E+00          7.39970557E+00
        390.0000          7.47637595E+00          7.47637595E+00
        400.0000          7.55364527E+00          7.55364527E+00
        410.0000          7.63145202E+00          7.63145202E+00
        420.0000          7.70974106E+00          7.70974106E+00
        430.0000          7.78846287E+00          7.78846287E+00
        440.0000          7.86757290E+00          7.86757290E+00
        450.0000          7.94703098E+00          7.94703098E+00
        460.0000          8.02680080E+00          8.02680080E+00
        470.0000          8.10684953E+00          8.10684953E+00
        480.0000          8.18714744E+00          8.18714744E+00
        490.0000          8.26766751E+00          8.26766751E+00
        500.0000          8.34838521E+00          8.34838521E+00
        510.0000          8.42927821E+00          8.42927821E+00
        517.9990          8.49409698E+00          8.49409698E+00
        518.0010          8.49411320E+00          8.49411320E+00
        520.0000          8.51032616E+00          8.51032616E+00
        524.9990          8.55089426E+00          8.55089426E+00
        525.0010          8.55091050E+00          8.55091050E+00
        530.0000          8.59151050E+00          8.59151050E+00
        540.0000          8.67281429E+00          8.67281429E+00
        550.0000          8.75422203E+00          8.75422203E+00
        560.0000          8.83571953E+00          8.83571953E+00
        570.0000          8.91729383E+00          8.91729383E+00
        580.0000          8.99893301E+00          8.99893301E+00
        590.0000          9.08062616E+00          9.08062616E+00
        600.0000          9.16236324E+00          9.16236324E+00
        610.0000          9.24413507E+00          9.24413507E+00
        620.0000          9.32593316E+00          9.32593316E+00
        630.0000          9.40774974E+00          9.40774974E+00
        632.9990          9.43228905E+00          9.43228905E+00
        633.0010          9.43230541E+00          9.43230541E+00
        640.0000          9.48957764E+00          9.48957764E+00
        650.0000          9.57141028E+00          9.57141028E+00
        660.0000          9.65324157E+00          9.65324157E+00
        670.0000          9.73506594E+00          9.73506594E+00
        680.0000          9.81687822E+00          9.81687822E+00
        690.0000          9.89867367E+00          9.89867367E+00
        700.0000          9.98044791E+00          9.98044791E+00
        710.0000          1.00621969E+01          1.00621969E+01
        720.0000          1.01439169E+01          1.01439169E+01
        730.0000          1.02256046E+01          1.02256046E+01
        740.0000          1.03072567E+01          1.03072567E+01
        750.0000          1.03888703E+01          1.03888703E+01
        760.0000          1.04704428E+01          1.04704428E+01
        770.0000          1.05519717E+01          1.05519717E+01
        780.0000          1.06334547E+01          1.06334547E+01
        790.0000          1.07148898E+01          1.07148898E+01
        800.0000          1.07962750E+01          1.07962750E+01
        810.0000          1.08776085E+01          1.08776085E+01
        820.0000          1.09588887E+01          1.09588887E+01
        830.0000          1.10401142E+01          1.10401142E+01
        840.0000          1.11212836E+01          1.11212836E+01
        850.0000          1.12023956E+01          1.12023956E+01
        860.0000          1.12834491E+01          1.12834491E+01
        870.0000          1.13644432E+01          1.13644432E+01
        880.0000          1.14453767E+01          1.14453767E+01
        890.0000          1.15262490E+01          1.15262490E+01
        900.0000          1.16070591E+01          1.16070591E+01
        910.0000          1.16878065E+01          1.16878065E+01
        920.0000          1.17684905E+01          1.17684905E+01
        930.0000          1.18491105E+01          1.18491105E+01
        940.0000          1.19296660E+01          1.19296660E+01
        950.0000          1.20101567E+01          1.20101567E+01
        960.0000          1.20905820E+01          1.20905820E+01
        970.0000          1.21709418E+01          1.21709418E+01
        980.0000          1.22512356E+01          1.22512356E+01
        990.0000          1.23314632E+01          1.23314632E+01
       1000.0000          1.24116245E+01          1.24116245E+01
       1100.0000          1.32095645E+01          1.32095645E+01
       1200.0000          1.40008520E+01          1.40008520E+01
       1300.0000          1.47856483E+01          1.47856483E+01
       1400.0000          1.55642039E+01          1.55642039E+01
       1500.0000          1.63368071E+01          1.63368071E+01
       1600.0000          1.71037562E+01          1.71037562E+01
       1700.0000          1.78653446E+01          1.78653446E+01
       1800.0000          1.86218532E+01          1.86218532E+01
       1900.0000          1.93735473E+01          1.93735473E+01
       2000.0000          2.01206746E+01          2.01206746E+01
       2100.0000          2.08634656E+01          2.08634656E+01
       2200.0000          2.16021341E+01          2.16021341E+01
       2300.0000          2.23368781E+01          2.23368781E+01
       2400.0000          2.30678809E+01          2.30678809E+01
       2500.0000          2.37953123E+01          2.37953123E+01
       2600.0000          2.45193294E+01          2.45193294E+01
       2700.0000          2.52400783E+01          2.52400783E+01
       2800.0000          2.59576945E+01          2.59576945E+01
       2900.0000          2.66723040E+01          2.66723040E+01
       3000.0000          2.73840241E+01          2.73840241E+01
       3100.0000          2.80929643E+01          2.80929643E+01
       3200.0000          2.87992268E+01          2.87992268E+01
       3300.0000          2.95029073E+01          2.95029073E+01
       3400.0000          3.02040952E+01          3.02040952E+01
       3500.0000          3.09028745E+01          3.09028745E+01
       3600.0000          3.15993241E+01          3.15993241E+01
       3700.0000          3.22935182E+01          3.22935182E+01
       3800.0000          3.29855266E+01          3.29855266E+01
       3900.0000          3.36754151E+01          3.36754151E+01
       4000.0000          3.43632459E+01          3.43632459E+01
       4100.0000          3.50490779E+01          3.50490779E+01
       4200.0000          3.57329664E+01          3.57329664E+01
       4300.0000          3.64149643E+01          3.64149643E+01
       4400.0000          3.70951214E+01          3.70951214E+01
       4500.0000          3.77734852E+01          3.77734852E+01
       4600.0000          3.84501006E+01          3.84501006E+01
       4700.0000          3.91250106E+01          3.91250106E+01
       4800.0000          3.97982559E+01          3.97982559E+01
       4900.0000          4.04698755E+01          4.04698755E+01
       5000.0000          4.11399062E+01          4.11399062E+01
       5100.0000          4.18083836E+01          4.18083836E+01
       5200.0000          4.24753415E+01          4.24753415E+01
       5300.0000          4.31408122E+01          4.31408122E+01
       5400.0000          4.38048265E+01          4.38048265E+01
       5469.9990          4.42687794E+01          4.42687794E+01
       5470.0010          4.42687926E+01          4.42687926E+01
       5500.0000          4.44674142E+01          4.44674142E+01
       5600.0000          4.51286036E+01          4.51286036E+01
       5700.0000          4.57884220E+01          4.57884220E+01
       5800.0000          4.64468954E+01          4.64468954E+01
       5900.0000          4.71040490E+01          4.71040490E+01
       6000.0000          4.77599068E+01          4.77599068E+01
