#Energy      Cd  Total
          0.1000          4.94345140E+04          4.94345140E+04
          0.2000          2.47617080E+04          2.47617080E+04
          0.3000          1.65306155E+04          1.65306155E+04
          0.4000          1.24124265E+04          1.24124265E+04
          0.5000          9.94016538E+03          9.94016538E+03
          0.6000          8.29119538E+03          8.29119538E+03
          0.7000          7.11284398E+03          7.11284398E+03
          0.8000          6.22872405E+03          6.22872405E+03
          0.9000          5.54081696E+03          5.54081696E+03
          1.0000          4.99029717E+03          4.99029717E+03
          2.0000          2.50971749E+03          2.50971749E+03
          3.0000          1.68078616E+03          1.68078616E+03
          4.0000          1.26553758E+03          1.26553758E+03
          5.0000          1.01599885E+03          1.01599885E+03
          6.0000          8.49415413E+02          8.49415413E+02
          7.0000          7.30285667E+02          7.30285667E+02
          8.0000          6.40843136E+02          6.40843136E+02
          9.0000          5.71209628E+02          5.71209628E+02
         10.0000          5.15453840E+02          5.15453840E+02
         11.0000          4.69798701E+02          4.69798701E+02
         12.0000          4.31724528E+02          4.31724528E+02
         13.0000          3.99485857E+02          3.99485857E+02
         14.0000          3.71835202E+02          3.71835202E+02
         15.0000          3.47857230E+02          3.47857230E+02
         16.0000          3.26865078E+02          3.26865078E+02
         17.0000          3.08333228E+02          3.08333228E+02
         18.0000          2.91852744E+02          2.91852744E+02
         19.0000          2.77100628E+02          2.77100628E+02
         20.0000          2.63818365E+02          2.63818365E+02
         21.0000          2.51796587E+02          2.51796587E+02
         22.0000          2.40863920E+02          2.40863920E+02
         23.0000          2.30878735E+02          2.30878735E+02
         24.0000          2.21722962E+02          2.21722962E+02
         25.0000          2.13297379E+02          2.13297379E+02
         26.0000          2.05518002E+02          2.05518002E+02
         27.0000          1.98313259E+02          1.98313259E+02
         28.0000          1.91621781E+02          1.91621781E+02
         29.0000          1.85390646E+02          1.85390646E+02
         30.0000          1.79573971E+02          1.79573971E+02
         31.0000          1.74131781E+02          1.74131781E+02
         32.0000          1.69029085E+02          1.69029085E+02
         33.0000          1.64235126E+02          1.64235126E+02
         34.0000          1.59722753E+02          1.59722753E+02
         35.0000          1.55467915E+02          1.55467915E+02
         36.0000          1.51449222E+02          1.51449222E+02
         37.0000          1.47647596E+02          1.47647596E+02
         38.0000          1.44045958E+02          1.44045958E+02
         39.0000          1.40628978E+02          1.40628978E+02
         40.0000          1.37382855E+02          1.37382855E+02
         41.0000          1.34295132E+02          1.34295132E+02
         42.0000          1.31354533E+02          1.31354533E+02
         43.0000          1.28550831E+02          1.28550831E+02
         44.0000          1.25874725E+02          1.25874725E+02
         45.0000          1.23317737E+02          1.23317737E+02
         46.0000          1.20872127E+02          1.20872127E+02
         47.0000          1.18530810E+02          1.18530810E+02
         48.0000          1.16287292E+02          1.16287292E+02
         49.0000          1.14135605E+02          1.14135605E+02
         50.0000          1.12070259E+02          1.12070259E+02
         51.0000          1.10086193E+02          1.10086193E+02
         52.0000          1.08178734E+02          1.08178734E+02
         53.0000          1.06343560E+02          1.06343560E+02
         54.0000          1.04576671E+02          1.04576671E+02
         55.0000          1.02874355E+02          1.02874355E+02
         56.0000          1.01233163E+02          1.01233163E+02
         57.0000          9.96498905E+01          9.96498905E+01
         58.0000          9.81215514E+01          9.81215514E+01
         59.0000          9.66453621E+01          9.66453621E+01
         60.0000          9.52187238E+01          9.52187238E+01
         61.0000          9.38392080E+01          9.38392080E+01
         62.0000          9.25045421E+01          9.25045421E+01
         63.0000          9.12125975E+01          9.12125975E+01
         64.0000          8.99613784E+01          8.99613784E+01
         65.0000          8.87490112E+01          8.87490112E+01
         66.0000          8.75737357E+01          8.75737357E+01
         67.0000          8.64338965E+01          8.64338965E+01
         68.0000          8.53279352E+01          8.53279352E+01
         69.0000          8.42543837E+01          8.42543837E+01
         70.0000          8.32118572E+01          8.32118572E+01
         70.9990          8.22000473E+01          8.22000473E+01
         71.0000          8.21990490E+01          8.21990490E+01
         71.0010          8.21980506E+01          8.21980506E+01
         72.0000          8.12147246E+01          8.12147246E+01
         73.0000          8.02577171E+01          8.02577171E+01
         74.0000          7.93269225E+01          7.93269225E+01
         75.0000          7.84212952E+01          7.84212952E+01
         76.0000          7.75398450E+01          7.75398450E+01
         77.0000          7.66816325E+01          7.66816325E+01
         77.9990          7.58465916E+01          7.58465916E+01
         78.0000          7.58457666E+01          7.58457666E+01
         78.0010          7.58449416E+01          7.58449416E+01
         79.0000          7.50314011E+01          7.50314011E+01
         80.0000          7.42377321E+01          7.42377321E+01
         81.0000          7.34639951E+01          7.34639951E+01
         82.0000          7.27094630E+01          7.27094630E+01
         83.0000          7.19734435E+01          7.19734435E+01
         84.0000          7.12552771E+01          7.12552771E+01
         85.0000          7.05543355E+01          7.05543355E+01
         86.0000          6.98700193E+01          6.98700193E+01
         87.0000          6.92017568E+01          6.92017568E+01
         88.0000          6.85490019E+01          6.85490019E+01
         89.0000          6.79112333E+01          6.79112333E+01
         90.0000          6.72879527E+01          6.72879527E+01
         91.0000          6.66786835E+01          6.66786835E+01
         92.0000          6.60829699E+01          6.60829699E+01
         93.0000          6.55003756E+01          6.55003756E+01
         94.0000          6.49304829E+01          6.49304829E+01
         95.0000          6.43728915E+01          6.43728915E+01
         96.0000          6.38272179E+01          6.38272179E+01
         97.0000          6.32930942E+01          6.32930942E+01
         98.0000          6.27701675E+01          6.27701675E+01
         99.0000          6.22580994E+01          6.22580994E+01
        100.0000          6.17565645E+01          6.17565645E+01
        110.0000          5.72574536E+01          5.72574536E+01
        111.9990          5.64576037E+01          5.64576037E+01
        112.0010          5.64568183E+01          5.64568183E+01
        120.0000          5.35329166E+01          5.35329166E+01
        130.0000          5.04043673E+01          5.04043673E+01
        140.0000          4.77441344E+01          4.77441344E+01
        150.0000          4.54585238E+01          4.54585238E+01
        160.0000          4.34772208E+01          4.34772208E+01
        170.0000          4.17464274E+01          4.17464274E+01
        180.0000          4.02242823E+01          4.02242823E+01
        190.0000          3.88777261E+01          3.88777261E+01
        200.0000          3.76803042E+01          3.76803042E+01
        210.0000          3.66105970E+01          3.66105970E+01
        220.0000          3.56510775E+01          3.56510775E+01
        230.0000          3.47872662E+01          3.47872662E+01
        240.0000          3.40070971E+01          3.40070971E+01
        250.0000          3.33004355E+01          3.33004355E+01
        260.0000          3.26587073E+01          3.26587073E+01
        270.0000          3.20746101E+01          3.20746101E+01
        280.0000          3.15418863E+01          3.15418863E+01
        290.0000          3.10551429E+01          3.10551429E+01
        300.0000          3.06097079E+01          3.06097079E+01
        310.0000          3.02015137E+01          3.02015137E+01
        320.0000          2.98270029E+01          2.98270029E+01
        330.0000          2.94830507E+01          2.94830507E+01
        340.0000          2.91669016E+01          2.91669016E+01
        350.0000          2.88761165E+01          2.88761165E+01
        360.0000          2.86085286E+01          2.86085286E+01
        370.0000          2.83622066E+01          2.83622066E+01
        380.0000          2.81354240E+01          2.81354240E+01
        390.0000          2.79266324E+01          2.79266324E+01
        400.0000          2.77344392E+01          2.77344392E+01
        407.9990          2.75918051E+01          2.75918051E+01
        408.0010          2.75917706E+01          2.75917706E+01
        410.0000          2.75575891E+01          2.75575891E+01
        414.9990          2.74745750E+01          2.74745750E+01
        415.0010          2.74745425E+01          2.74745425E+01
        420.0000          2.73949471E+01          2.73949471E+01
        430.0000          2.72454848E+01          2.72454848E+01
        440.0000          2.71082681E+01          2.71082681E+01
        450.0000          2.69824469E+01          2.69824469E+01
        460.0000          2.68672458E+01          2.68672458E+01
        470.0000          2.67619560E+01          2.67619560E+01
        480.0000          2.66659287E+01          2.66659287E+01
        490.0000          2.65785686E+01          2.65785686E+01
        500.0000          2.64993286E+01          2.64993286E+01
        510.0000          2.64277054E+01          2.64277054E+01
        520.0000          2.63632346E+01          2.63632346E+01
        530.0000          2.63054877E+01          2.63054877E+01
        540.0000          2.62540683E+01          2.62540683E+01
        550.0000          2.62086094E+01          2.62086094E+01
        560.0000          2.61687706E+01          2.61687706E+01
        570.0000          2.61342358E+01          2.61342358E+01
        580.0000          2.61047113E+01          2.61047113E+01
        590.0000          2.60799235E+01          2.60799235E+01
        600.0000          2.60596176E+01          2.60596176E+01
        610.0000          2.60435557E+01          2.60435557E+01
        620.0000          2.60315157E+01          2.60315157E+01
        620.9990          2.60305258E+01          2.60305258E+01
        621.0010          2.60305238E+01          2.60305238E+01
        630.0000          2.60232899E+01          2.60232899E+01
        640.0000          2.60186839E+01          2.60186839E+01
        650.0000          2.60175155E+01          2.60175155E+01
        654.9990          2.60181664E+01          2.60181664E+01
        655.0010          2.60181668E+01          2.60181668E+01
        660.0000          2.60196139E+01          2.60196139E+01
        670.0000          2.60248188E+01          2.60248188E+01
        680.0000          2.60329795E+01          2.60329795E+01
        690.0000          2.60439543E+01          2.60439543E+01
        700.0000          2.60576099E+01          2.60576099E+01
        710.0000          2.60738206E+01          2.60738206E+01
        720.0000          2.60924680E+01          2.60924680E+01
        730.0000          2.61134405E+01          2.61134405E+01
        740.0000          2.61366326E+01          2.61366326E+01
        750.0000          2.61619445E+01          2.61619445E+01
        760.0000          2.61892820E+01          2.61892820E+01
        770.0000          2.62185561E+01          2.62185561E+01
        774.9990          2.62338896E+01          2.62338896E+01
        775.0010          2.62338958E+01          2.62338958E+01
        780.0000          2.62496822E+01          2.62496822E+01
        790.0000          2.62825804E+01          2.62825804E+01
        800.0000          2.63171748E+01          2.63171748E+01
        810.0000          2.63533936E+01          2.63533936E+01
        820.0000          2.63911684E+01          2.63911684E+01
        830.0000          2.64304343E+01          2.64304343E+01
        840.0000          2.64711299E+01          2.64711299E+01
        850.0000          2.65131963E+01          2.65131963E+01
        860.0000          2.65565780E+01          2.65565780E+01
        870.0000          2.66012218E+01          2.66012218E+01
        880.0000          2.66470772E+01          2.66470772E+01
        890.0000          2.66940960E+01          2.66940960E+01
        900.0000          2.67422324E+01          2.67422324E+01
        910.0000          2.67914424E+01          2.67914424E+01
        920.0000          2.68416844E+01          2.68416844E+01
        930.0000          2.68929184E+01          2.68929184E+01
        940.0000          2.69451064E+01          2.69451064E+01
        950.0000          2.69982119E+01          2.69982119E+01
        960.0000          2.70522001E+01          2.70522001E+01
        970.0000          2.71070378E+01          2.71070378E+01
        980.0000          2.71626931E+01          2.71626931E+01
        990.0000          2.72191354E+01          2.72191354E+01
       1000.0000          2.72763357E+01          2.72763357E+01
       1100.0000          2.78844091E+01          2.78844091E+01
       1200.0000          2.85436815E+01          2.85436815E+01
       1300.0000          2.92388444E+01          2.92388444E+01
       1400.0000          2.99593106E+01          2.99593106E+01
       1500.0000          3.06975857E+01          3.06975857E+01
       1600.0000          3.14482617E+01          3.14482617E+01
       1700.0000          3.22073737E+01          3.22073737E+01
       1800.0000          3.29719764E+01          3.29719764E+01
       1900.0000          3.37398582E+01          3.37398582E+01
       2000.0000          3.45093443E+01          3.45093443E+01
       2100.0000          3.52791578E+01          3.52791578E+01
       2200.0000          3.60483210E+01          3.60483210E+01
       2300.0000          3.68160829E+01          3.68160829E+01
       2400.0000          3.75818667E+01          3.75818667E+01
       2500.0000          3.83452299E+01          3.83452299E+01
       2600.0000          3.91058345E+01          3.91058345E+01
       2700.0000          3.98634247E+01          3.98634247E+01
       2800.0000          4.06178092E+01          4.06178092E+01
       2900.0000          4.13688476E+01          4.13688476E+01
