#Energy      Li-K-shell   Cl-K-shell   Cl-L1-shell   Cl-L2-shell   Cl-L3-shell   Valence  Total
         55.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.87567916E+00          5.87567916E+00
         56.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.83096391E+00          5.83096391E+00
         57.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.79008177E+00          5.79008177E+00
         57.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.75284986E+00          5.75284986E+00
         58.0000          3.04169143E+09          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.75281432E+00          5.75281431E+00
         58.0010          3.04187491E+09          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.75277880E+00          5.75277879E+00
         59.0000          1.81664380E+05          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.71895296E+00          5.71877293E+00
         60.0000          6.41422851E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.68829933E+00          5.68779492E+00
         61.0000          3.47897987E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.66066488E+00          5.65974398E+00
         62.0000          2.25188397E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.63587120E+00          5.63446104E+00
         63.0000          1.60613184E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.61374976E+00          5.61178832E+00
         64.0000          1.21845371E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.59414164E+00          5.59157445E+00
         65.0000          9.64709606E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.57689729E+00          5.57367520E+00
         66.0000          7.88239619E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.56187612E+00          5.55795439E+00
         67.0000          6.59640275E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.54894614E+00          5.54428224E+00
         68.0000          5.62684075E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.53798354E+00          5.53253837E+00
         69.0000          4.87460799E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52887230E+00          5.52260846E+00
         70.0000          4.27716758E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52150374E+00          5.51438508E+00
         71.0000          3.79387221E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51577610E+00          5.50776855E+00
         72.0000          3.39622477E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51159414E+00          5.50266409E+00
         73.0000          3.06459883E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50886873E+00          5.49898385E+00
         74.0000          2.78463726E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50751648E+00          5.49664509E+00
         75.0000          2.54584569E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50745934E+00          5.49557070E+00
         76.0000          2.34014178E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50862433E+00          5.49568765E+00
         77.0000          2.16154262E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51094309E+00          5.49692844E+00
         78.0000          2.00534141E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51435164E+00          5.49922968E+00
         79.0000          1.86776381E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51879008E+00          5.50253143E+00
         80.0000          1.74584252E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52420229E+00          5.50677772E+00
         81.0000          1.63725440E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.53053569E+00          5.51191681E+00
