#Energy      Li   Cl  Total
         23.0000          6.61043353E+00          1.84755712E+01          4.86851281E+00
         24.0000          6.78234125E+00          1.80044263E+01          4.92650616E+00
         25.0000          6.95465395E+00          1.75729190E+01          4.98270134E+00
         26.0000          7.12732288E+00          1.71765527E+01          5.03717346E+00
         27.0000          7.30030623E+00          1.68114882E+01          5.08999911E+00
         28.0000          7.47356802E+00          1.64744277E+01          5.14125513E+00
         29.0000          7.64707707E+00          1.61625219E+01          5.19101774E+00
         30.0000          7.82080628E+00          1.58732966E+01          5.23936181E+00
         31.0000          7.99473198E+00          1.56045925E+01          5.28636041E+00
         32.0000          8.16883341E+00          1.53545163E+01          5.33208439E+00
         33.0000          8.34309228E+00          1.51214015E+01          5.37660216E+00
         34.0000          8.51749245E+00          1.49037746E+01          5.41997952E+00
         35.0000          8.69201961E+00          1.47003285E+01          5.46227950E+00
         36.0000          8.86666105E+00          1.45098991E+01          5.50356239E+00
         37.0000          9.04140542E+00          1.43314466E+01          5.54388566E+00
         38.0000          9.21624259E+00          1.41640392E+01          5.58330402E+00
         39.0000          9.39116347E+00          1.40068391E+01          5.62186944E+00
         40.0000          9.56615991E+00          1.38590914E+01          5.65963125E+00
         41.0000          9.74122457E+00          1.37201137E+01          5.69663618E+00
         42.0000          9.91635082E+00          1.35892877E+01          5.73292846E+00
         43.0000          1.00915327E+01          1.34660519E+01          5.76854993E+00
         44.0000          1.02667647E+01          1.33498953E+01          5.80354011E+00
         45.0000          1.04420420E+01          1.32403513E+01          5.83793632E+00
         46.0000          1.06173600E+01          1.31369937E+01          5.87177380E+00
         47.0000          1.07927148E+01          1.30394319E+01          5.90508575E+00
         48.0000          1.09681026E+01          1.29473076E+01          5.93790351E+00
         49.0000          1.11435200E+01          1.28602911E+01          5.97025658E+00
         50.0000          1.13189639E+01          1.27780789E+01          6.00217277E+00
         51.0000          1.14944315E+01          1.27003911E+01          6.03367828E+00
         52.0000          1.16699202E+01          1.26269687E+01          6.06479776E+00
         53.0000          1.18454277E+01          1.25575723E+01          6.09555442E+00
         54.0000          1.20209516E+01          1.24919800E+01          6.12597013E+00
         55.0000          1.21964901E+01          1.24299856E+01          6.15606544E+00
         56.0000          1.23720412E+01          1.23713977E+01          6.18585971E+00
         57.0000          1.25476032E+01          1.23160380E+01          6.21537115E+00
         57.9990          1.27229991E+01          1.22637913E+01          6.24458778E+00
         58.0000          1.27231747E+01          1.22637405E+01          6.24461690E+00
         58.0010          1.27233503E+01          1.22636897E+01          6.24464601E+00
         59.0000          1.28987541E+01          1.22143501E+01          6.27361306E+00
         60.0000          1.30743401E+01          1.21677221E+01          6.30237482E+00
         61.0000          1.32499315E+01          1.21237212E+01          6.33091644E+00
         62.0000          1.34255271E+01          1.20822204E+01          6.35925134E+00
         63.0000          1.36011258E+01          1.20431012E+01          6.38739216E+00
         64.0000          1.37767268E+01          1.20062519E+01          6.41535078E+00
         65.0000          1.39523290E+01          1.19715680E+01          6.44313837E+00
         66.0000          1.41279317E+01          1.19389509E+01          6.47076545E+00
         67.0000          1.43035341E+01          1.19083083E+01          6.49824193E+00
         68.0000          1.44791354E+01          1.18795527E+01          6.52557712E+00
         69.0000          1.46547350E+01          1.18526020E+01          6.55277977E+00
         70.0000          1.48303323E+01          1.18273787E+01          6.57985813E+00
         71.0000          1.50059266E+01          1.18038096E+01          6.60681997E+00
         72.0000          1.51815176E+01          1.17818254E+01          6.63367259E+00
         73.0000          1.53571045E+01          1.17613607E+01          6.66042285E+00
         74.0000          1.55326871E+01          1.17423535E+01          6.68707722E+00
         75.0000          1.57082649E+01          1.17247452E+01          6.71364180E+00
         76.0000          1.58838375E+01          1.17084801E+01          6.74012231E+00
         77.0000          1.60594044E+01          1.16935056E+01          6.76652414E+00
         78.0000          1.62349655E+01          1.16797715E+01          6.79285238E+00
         79.0000          1.64105203E+01          1.16672303E+01          6.81911179E+00
         80.0000          1.65860686E+01          1.16558368E+01          6.84530688E+00
         81.0000          1.67616101E+01          1.16455481E+01          6.87144188E+00
         82.0000          1.69371446E+01          1.16363231E+01          6.89752077E+00
         83.0000          1.71126718E+01          1.16281230E+01          6.92354731E+00
         84.0000          1.72881915E+01          1.16209107E+01          6.94952503E+00
         85.0000          1.74637034E+01          1.16146507E+01          6.97545724E+00
         86.0000          1.76392076E+01          1.16093095E+01          7.00134708E+00
         87.0000          1.78147036E+01          1.16048546E+01          7.02719749E+00
         88.0000          1.79901915E+01          1.16012555E+01          7.05301123E+00
         89.0000          1.81656710E+01          1.15984827E+01          7.07879093E+00
         90.0000          1.83411420E+01          1.15965082E+01          7.10453903E+00
         91.0000          1.85166045E+01          1.15953052E+01          7.13025783E+00
         92.0000          1.86920582E+01          1.15948478E+01          7.15594951E+00
         93.0000          1.88675031E+01          1.15951117E+01          7.18161612E+00
         94.0000          1.90429391E+01          1.15960731E+01          7.20725957E+00
         95.0000          1.92183661E+01          1.15977096E+01          7.23288167E+00
         96.0000          1.93937841E+01          1.15999995E+01          7.25848412E+00
         97.0000          1.95691929E+01          1.16029221E+01          7.28406851E+00
         98.0000          1.97445925E+01          1.16064576E+01          7.30963635E+00
         99.0000          1.99199829E+01          1.16105867E+01          7.33518905E+00
