#Energy      Valence  Total
          0.1000          2.72058957E+03          2.72058957E+03
          0.2000          1.70365471E+03          1.70365471E+03
          0.3000          1.23140209E+03          1.23140209E+03
          0.4000          9.68853117E+02          9.68853117E+02
          0.5000          7.98519737E+02          7.98519737E+02
          0.6000          6.79627520E+02          6.79627520E+02
          0.7000          5.92116349E+02          5.92116349E+02
          0.8000          5.25080572E+02          5.25080572E+02
          0.9000          4.72263087E+02          4.72263087E+02
          1.0000          4.29443592E+02          4.29443592E+02
          2.0000          2.31583391E+02          2.31583391E+02
          3.0000          1.63451336E+02          1.63451336E+02
          4.0000          1.28748450E+02          1.28748450E+02
          5.0000          1.07576454E+02          1.07576454E+02
          6.0000          9.32194820E+01          9.32194820E+01
          7.0000          8.27935690E+01          8.27935690E+01
          8.0000          7.48438488E+01          7.48438488E+01
          9.0000          6.85582784E+01          6.85582784E+01
         10.0000          6.34449206E+01          6.34449206E+01
         11.0000          5.91909905E+01          5.91909905E+01
         12.0000          5.55865550E+01          5.55865550E+01
         13.0000          5.24867952E+01          5.24867952E+01
         14.0000          4.97858245E+01          4.97858245E+01
         15.0000          4.74061109E+01          4.74061109E+01
         16.0000          4.52898171E+01          4.52898171E+01
         17.0000          4.33916615E+01          4.33916615E+01
         18.0000          4.16767354E+01          4.16767354E+01
         19.0000          4.01171930E+01          4.01171930E+01
         20.0000          3.86905428E+01          3.86905428E+01
         21.0000          3.73784161E+01          3.73784161E+01
         22.0000          3.61659290E+01          3.61659290E+01
         23.0000          3.50406388E+01          3.50406388E+01
         24.0000          3.39920147E+01          3.39920147E+01
         25.0000          3.30112319E+01          3.30112319E+01
         26.0000          3.20907717E+01          3.20907717E+01
         27.0000          3.12241955E+01          3.12241955E+01
         28.0000          3.04059763E+01          3.04059763E+01
         29.0000          2.96312912E+01          2.96312912E+01
         30.0000          2.88959645E+01          2.88959645E+01
         31.0000          2.81963145E+01          2.81963145E+01
         32.0000          2.75291411E+01          2.75291411E+01
         33.0000          2.68915847E+01          2.68915847E+01
         34.0000          2.62811235E+01          2.62811235E+01
         35.0000          2.56955106E+01          2.56955106E+01
         36.0000          2.51327406E+01          2.51327406E+01
         37.0000          2.45910168E+01          2.45910168E+01
         38.0000          2.40687248E+01          2.40687248E+01
         39.0000          2.35644079E+01          2.35644079E+01
         40.0000          2.30767541E+01          2.30767541E+01
         41.0000          2.26045708E+01          2.26045708E+01
         42.0000          2.21467756E+01          2.21467756E+01
         43.0000          2.17023836E+01          2.17023836E+01
         44.0000          2.12705004E+01          2.12705004E+01
         45.0000          2.08503038E+01          2.08503038E+01
         46.0000          2.04410434E+01          2.04410434E+01
         47.0000          2.00420311E+01          2.00420311E+01
         48.0000          1.96526357E+01          1.96526357E+01
         49.0000          1.92722769E+01          1.92722769E+01
         50.0000          1.89004214E+01          1.89004214E+01
         51.0000          1.85365777E+01          1.85365777E+01
         52.0000          1.81802933E+01          1.81802933E+01
         53.0000          1.78311514E+01          1.78311514E+01
         54.0000          1.74887682E+01          1.74887682E+01
         55.0000          1.71527898E+01          1.71527898E+01
         56.0000          1.68228907E+01          1.68228907E+01
         57.0000          1.64987758E+01          1.64987758E+01
         58.0000          1.61801698E+01          1.61801698E+01
         59.0000          1.58668212E+01          1.58668212E+01
         60.0000          1.55585067E+01          1.55585067E+01
         61.0000          1.52550189E+01          1.52550189E+01
         62.0000          1.49561731E+01          1.49561731E+01
         63.0000          1.46618052E+01          1.46618052E+01
         64.0000          1.43717707E+01          1.43717707E+01
         65.0000          1.40859445E+01          1.40859445E+01
         66.0000          1.38042211E+01          1.38042211E+01
         67.0000          1.35265141E+01          1.35265141E+01
         68.0000          1.32527566E+01          1.32527566E+01
         69.0000          1.29829007E+01          1.29829007E+01
         70.0000          1.27169183E+01          1.27169183E+01
         71.0000          1.24548006E+01          1.24548006E+01
         72.0000          1.21965588E+01          1.21965588E+01
         73.0000          1.19422236E+01          1.19422236E+01
         74.0000          1.16918451E+01          1.16918451E+01
         75.0000          1.14454928E+01          1.14454928E+01
         76.0000          1.12032555E+01          1.12032555E+01
         77.0000          1.09652392E+01          1.09652392E+01
         78.0000          1.07315669E+01          1.07315669E+01
         79.0000          1.05023765E+01          1.05023765E+01
         80.0000          1.02778191E+01          1.02778191E+01
         81.0000          1.00580559E+01          1.00580559E+01
         82.0000          9.84325546E+00          9.84325546E+00
         83.0000          9.63358998E+00          9.63358998E+00
         84.0000          9.42923132E+00          9.42923132E+00
         85.0000          9.23034680E+00          9.23034680E+00
         86.0000          9.03709481E+00          9.03709481E+00
         87.0000          8.84962042E+00          8.84962042E+00
         88.0000          8.66805138E+00          8.66805138E+00
         89.0000          8.49249428E+00          8.49249428E+00
         90.0000          8.32303152E+00          8.32303152E+00
         91.0000          8.15971894E+00          8.15971894E+00
         92.0000          8.00258427E+00          8.00258427E+00
         93.0000          7.85162645E+00          7.85162645E+00
         94.0000          7.70681585E+00          7.70681585E+00
         95.0000          7.56809522E+00          7.56809522E+00
         96.0000          7.43538138E+00          7.43538138E+00
         97.0000          7.30856744E+00          7.30856744E+00
         98.0000          7.18752545E+00          7.18752545E+00
         99.0000          7.07210928E+00          7.07210928E+00
        100.0000          6.96215765E+00          6.96215765E+00
        110.0000          6.12239257E+00          6.12239257E+00
        120.0000          5.62870887E+00          5.62870887E+00
        130.0000          5.34331103E+00          5.34331103E+00
        140.0000          5.18389986E+00          5.18389986E+00
        150.0000          5.10367443E+00          5.10367443E+00
        160.0000          5.07541498E+00          5.07541498E+00
        170.0000          5.08262879E+00          5.08262879E+00
        180.0000          5.11489021E+00          5.11489021E+00
        190.0000          5.16534813E+00          5.16534813E+00
        200.0000          5.22934412E+00          5.22934412E+00
        210.0000          5.30361536E+00          5.30361536E+00
        220.0000          5.38581715E+00          5.38581715E+00
        230.0000          5.47422653E+00          5.47422653E+00
        240.0000          5.56755254E+00          5.56755254E+00
        250.0000          5.66481133E+00          5.66481133E+00
        260.0000          5.75634985E+00          5.75634985E+00
        270.0000          5.86670035E+00          5.86670035E+00
        280.0000          5.96900892E+00          5.96900892E+00
        290.0000          6.07229504E+00          6.07229504E+00
        300.0000          6.18393970E+00          6.18393970E+00
        310.0000          6.29567615E+00          6.29567615E+00
        320.0000          6.40746422E+00          6.40746422E+00
        330.0000          6.51927134E+00          6.51927134E+00
        340.0000          6.63107095E+00          6.63107095E+00
        350.0000          6.74284135E+00          6.74284135E+00
        360.0000          6.85456481E+00          6.85456481E+00
        370.0000          6.96622675E+00          6.96622675E+00
        380.0000          7.07781524E+00          7.07781524E+00
        390.0000          7.19496426E+00          7.19496426E+00
        400.0000          7.30620144E+00          7.30620144E+00
        410.0000          7.42272225E+00          7.42272225E+00
        420.0000          7.53360600E+00          7.53360600E+00
        430.0000          7.64951574E+00          7.64951574E+00
        440.0000          7.76508420E+00          7.76508420E+00
        450.0000          7.87536810E+00          7.87536810E+00
        460.0000          7.99035846E+00          7.99035846E+00
        470.0000          8.10502771E+00          8.10502771E+00
        480.0000          8.21938303E+00          8.21938303E+00
        490.0000          8.33343151E+00          8.33343151E+00
        500.0000          8.44718015E+00          8.44718015E+00
        510.0000          8.56063579E+00          8.56063579E+00
        520.0000          8.67380513E+00          8.67380513E+00
        530.0000          8.78669471E+00          8.78669471E+00
        540.0000          8.89931091E+00          8.89931091E+00
        550.0000          9.01165992E+00          9.01165992E+00
        560.0000          9.12374779E+00          9.12374779E+00
        570.0000          9.23962633E+00          9.23962633E+00
        580.0000          9.35114215E+00          9.35114215E+00
        590.0000          9.46241503E+00          9.46241503E+00
        600.0000          9.57345029E+00          9.57345029E+00
        610.0000          9.68808620E+00          9.68808620E+00
        620.0000          9.79859784E+00          9.79859784E+00
        630.0000          9.91264224E+00          9.91264224E+00
        640.0000          1.00226529E+01          1.00226529E+01
        650.0000          1.01324523E+01          1.01324523E+01
        660.0000          1.02456600E+01          1.02456600E+01
        670.0000          1.03549893E+01          1.03549893E+01
        680.0000          1.04676609E+01          1.04676609E+01
        690.0000          1.05765397E+01          1.05765397E+01
        700.0000          1.06886951E+01          1.06886951E+01
        710.0000          1.08005916E+01          1.08005916E+01
        720.0000          1.09087997E+01          1.09087997E+01
        730.0000          1.10202080E+01          1.10202080E+01
        740.0000          1.11280100E+01          1.11280100E+01
        750.0000          1.12389473E+01          1.12389473E+01
        760.0000          1.13496477E+01          1.13496477E+01
        770.0000          1.14568419E+01          1.14568419E+01
        780.0000          1.15670956E+01          1.15670956E+01
        790.0000          1.16771244E+01          1.16771244E+01
        800.0000          1.17869315E+01          1.17869315E+01
        810.0000          1.18933488E+01          1.18933488E+01
        820.0000          1.20027390E+01          1.20027390E+01
        830.0000          1.21119181E+01          1.21119181E+01
        840.0000          1.22208890E+01          1.22208890E+01
        850.0000          1.23265847E+01          1.23265847E+01
        860.0000          1.24351658E+01          1.24351658E+01
        870.0000          1.25435484E+01          1.25435484E+01
        880.0000          1.26517354E+01          1.26517354E+01
        890.0000          1.27597297E+01          1.27597297E+01
        900.0000          1.28675344E+01          1.28675344E+01
        910.0000          1.29751526E+01          1.29751526E+01
        920.0000          1.30796645E+01          1.30796645E+01
        930.0000          1.31869333E+01          1.31869333E+01
        940.0000          1.32940231E+01          1.32940231E+01
        950.0000          1.34009367E+01          1.34009367E+01
        960.0000          1.35076765E+01          1.35076765E+01
        970.0000          1.36142451E+01          1.36142451E+01
        980.0000          1.37206449E+01          1.37206449E+01
        990.0000          1.38268782E+01          1.38268782E+01
       1000.0000          1.39329474E+01          1.39329474E+01
       1100.0000          1.49877051E+01          1.49877051E+01
       1200.0000          1.60279173E+01          1.60279173E+01
       1300.0000          1.70576211E+01          1.70576211E+01
       1400.0000          1.80755158E+01          1.80755158E+01
       1500.0000          1.90849696E+01          1.90849696E+01
       1600.0000          2.00866990E+01          2.00866990E+01
       1700.0000          2.10791981E+01          2.10791981E+01
       1800.0000          2.20632118E+01          2.20632118E+01
       1900.0000          2.30413680E+01          2.30413680E+01
       2000.0000          2.40101099E+01          2.40101099E+01
       2100.0000          2.49758680E+01          2.49758680E+01
       2200.0000          2.59331125E+01          2.59331125E+01
       2300.0000          2.68842072E+01          2.68842072E+01
       2400.0000          2.78313902E+01          2.78313902E+01
       2500.0000          2.87730200E+01          2.87730200E+01
       2600.0000          2.97093897E+01          2.97093897E+01
       2700.0000          3.06407691E+01          3.06407691E+01
       2800.0000          3.15690329E+01          3.15690329E+01
       2900.0000          3.24912133E+01          3.24912133E+01
       3000.0000          3.34105151E+01          3.34105151E+01
       3100.0000          3.43241485E+01          3.43241485E+01
       3200.0000          3.52354304E+01          3.52354304E+01
       3300.0000          3.61426911E+01          3.61426911E+01
       3400.0000          3.70463018E+01          3.70463018E+01
       3500.0000          3.79464192E+01          3.79464192E+01
       3600.0000          3.88432154E+01          3.88432154E+01
       3700.0000          3.97379882E+01          3.97379882E+01
       3800.0000          4.06281170E+01          4.06281170E+01
       3900.0000          4.15150317E+01          4.15150317E+01
       4000.0000          4.24006280E+01          4.24006280E+01
       4100.0000          4.32816801E+01          4.32816801E+01
       4200.0000          4.41615047E+01          4.41615047E+01
       4300.0000          4.50385547E+01          4.50385547E+01
       4400.0000          4.59116107E+01          4.59116107E+01
       4500.0000          4.67832898E+01          4.67832898E+01
       4600.0000          4.76527372E+01          4.76527372E+01
       4700.0000          4.85193284E+01          4.85193284E+01
