#Energy      H  Total
          0.1000          1.08362827E-01          1.08362827E-01
          0.2000          9.98344433E-02          9.98344433E-02
          0.3000          9.70987784E-02          9.70987784E-02
          0.4000          9.61478140E-02          9.61478140E-02
          0.5000          9.60138214E-02          9.60138214E-02
          0.6000          9.63318887E-02          9.63318887E-02
          0.7000          9.69302198E-02          9.69302198E-02
          0.8000          9.77160890E-02          9.77160890E-02
          0.9000          9.86345384E-02          9.86345384E-02
          1.0000          9.96506894E-02          9.96506894E-02
          2.0000          1.12222647E-01          1.12222647E-01
          3.0000          1.26329740E-01          1.26329740E-01
          4.0000          1.40904812E-01          1.40904812E-01
          5.0000          1.55689381E-01          1.55689381E-01
          6.0000          1.70586672E-01          1.70586672E-01
          7.0000          1.85551655E-01          1.85551655E-01
          8.0000          2.00560366E-01          2.00560366E-01
          9.0000          2.15598833E-01          2.15598833E-01
         10.0000          2.30658341E-01          2.30658341E-01
         11.0000          2.45733175E-01          2.45733175E-01
         12.0000          2.60819426E-01          2.60819426E-01
         13.0000          2.75914340E-01          2.75914340E-01
         14.0000          2.91015919E-01          2.91015919E-01
         15.0000          3.06122680E-01          3.06122680E-01
         16.0000          3.21233506E-01          3.21233506E-01
         17.0000          3.36347538E-01          3.36347538E-01
         18.0000          3.51464106E-01          3.51464106E-01
         19.0000          3.66582684E-01          3.66582684E-01
         20.0000          3.81702850E-01          3.81702850E-01
         21.0000          3.96824267E-01          3.96824267E-01
         22.0000          4.11946662E-01          4.11946662E-01
         23.0000          4.27069810E-01          4.27069810E-01
         24.0000          4.42193527E-01          4.42193527E-01
         25.0000          4.57317662E-01          4.57317662E-01
         26.0000          4.72442087E-01          4.72442087E-01
         27.0000          4.87566698E-01          4.87566698E-01
         28.0000          5.02691406E-01          5.02691406E-01
         29.0000          5.17816136E-01          5.17816136E-01
         30.0000          5.32940827E-01          5.32940827E-01
         31.0000          5.48065425E-01          5.48065425E-01
         32.0000          5.63189886E-01          5.63189886E-01
         33.0000          5.78314171E-01          5.78314171E-01
         34.0000          5.93438250E-01          5.93438250E-01
