#Energy      Valence  Total
         35.0000          2.87276911E+01          2.87276911E+01
         36.0000          2.98009599E+01          2.98009599E+01
         37.0000          3.08584720E+01          3.08584720E+01
         38.0000          3.19337024E+01          3.19337024E+01
         39.0000          3.29831334E+01          3.29831334E+01
         40.0000          3.40513650E+01          3.40513650E+01
         41.0000          3.51173318E+01          3.51173318E+01
         42.0000          3.61796723E+01          3.61796723E+01
         43.0000          3.72432522E+01          3.72432522E+01
         44.0000          3.82862428E+01          3.82862428E+01
         45.0000          3.93468302E+01          3.93468302E+01
         46.0000          4.04083026E+01          4.04083026E+01
         47.0000          4.14624634E+01          4.14624634E+01
         48.0000          4.25162123E+01          4.25162123E+01
         49.0000          4.35729954E+01          4.35729954E+01
         50.0000          4.46251469E+01          4.46251469E+01
         51.0000          4.56727200E+01          4.56727200E+01
         52.0000          4.67206221E+01          4.67206221E+01
         53.0000          4.77666029E+01          4.77666029E+01
         54.0000          4.88135605E+01          4.88135605E+01
         55.0000          4.98608076E+01          4.98608076E+01
         56.0000          5.09083051E+01          5.09083051E+01
         57.0000          5.19486411E+01          5.19486411E+01
         58.0000          5.29896298E+01          5.29896298E+01
         59.0000          5.40324206E+01          5.40324206E+01
         60.0000          5.50715496E+01          5.50715496E+01
         61.0000          5.61090711E+01          5.61090711E+01
         62.0000          5.71503419E+01          5.71503419E+01
         63.0000          5.81999897E+01          5.81999897E+01
         64.0000          5.92338071E+01          5.92338071E+01
         65.0000          6.02667074E+01          6.02667074E+01
         66.0000          6.13013995E+01          6.13013995E+01
         67.0000          6.23364623E+01          6.23364623E+01
         68.0000          6.33712756E+01          6.33712756E+01
         69.0000          6.44127390E+01          6.44127390E+01
         70.0000          6.54405730E+01          6.54405730E+01
         71.0000          6.64704618E+01          6.64704618E+01
         72.0000          6.75018962E+01          6.75018962E+01
         73.0000          6.85391071E+01          6.85391071E+01
         74.0000          6.95657964E+01          6.95657964E+01
         75.0000          7.05919552E+01          7.05919552E+01
         76.0000          7.16218039E+01          7.16218039E+01
         77.0000          7.26560775E+01          7.26560775E+01
         78.0000          7.36800812E+01          7.36800812E+01
