#Energy      Cr  Total
          0.1000          2.56351286E+03          2.56351286E+03
          0.2000          1.29094781E+03          1.29094781E+03
          0.3000          8.65366039E+02          8.65366039E+02
          0.4000          6.52036394E+02          6.52036394E+02
          0.5000          5.23764283E+02          5.23764283E+02
          0.6000          4.38087816E+02          4.38087816E+02
          0.7000          3.76785728E+02          3.76785728E+02
          0.8000          3.30736991E+02          3.30736991E+02
          0.9000          2.94869096E+02          2.94869096E+02
          1.0000          2.66135606E+02          2.66135606E+02
          2.0000          1.36184979E+02          1.36184979E+02
          3.0000          9.24578156E+01          9.24578156E+01
          4.0000          7.04427018E+01          7.04427018E+01
          5.0000          5.71601400E+01          5.71601400E+01
          6.0000          4.82639822E+01          4.82639822E+01
          7.0000          4.18844536E+01          4.18844536E+01
          8.0000          3.70835066E+01          3.70835066E+01
          9.0000          3.33384121E+01          3.33384121E+01
         10.0000          3.03346540E+01          3.03346540E+01
         11.0000          2.78715655E+01          2.78715655E+01
         12.0000          2.58150436E+01          2.58150436E+01
         13.0000          2.40720358E+01          2.40720358E+01
         14.0000          2.25759320E+01          2.25759320E+01
         15.0000          2.12777850E+01          2.12777850E+01
         16.0000          2.01408123E+01          2.01408123E+01
         17.0000          1.91368338E+01          1.91368338E+01
         18.0000          1.82438925E+01          1.82438925E+01
         19.0000          1.74446240E+01          1.74446240E+01
         20.0000          1.67251140E+01          1.67251140E+01
         21.0000          1.60740807E+01          1.60740807E+01
         22.0000          1.54822794E+01          1.54822794E+01
         23.0000          1.49420617E+01          1.49420617E+01
         24.0000          1.44470449E+01          1.44470449E+01
         25.0000          1.39918603E+01          1.39918603E+01
         26.0000          1.35719589E+01          1.35719589E+01
         27.0000          1.31834605E+01          1.31834605E+01
         28.0000          1.28230353E+01          1.28230353E+01
         29.0000          1.24878090E+01          1.24878090E+01
         30.0000          1.21752876E+01          1.21752876E+01
         31.0000          1.18832967E+01          1.18832967E+01
         32.0000          1.16099311E+01          1.16099311E+01
         33.0000          1.13535151E+01          1.13535151E+01
         34.0000          1.11125683E+01          1.11125683E+01
         35.0000          1.08857783E+01          1.08857783E+01
         36.0000          1.06719772E+01          1.06719772E+01
         37.0000          1.04701224E+01          1.04701224E+01
         38.0000          1.02792802E+01          1.02792802E+01
         39.0000          1.00986118E+01          1.00986118E+01
         40.0000          9.92736159E+00          9.92736159E+00
         41.0000          9.76484714E+00          9.76484714E+00
         42.0000          9.61045040E+00          9.61045040E+00
         43.0000          9.46361037E+00          9.46361037E+00
         44.0000          9.32381662E+00          9.32381662E+00
         45.0000          9.19060370E+00          9.19060370E+00
         46.0000          9.06354632E+00          9.06354632E+00
         47.0000          8.94225506E+00          8.94225506E+00
         47.9990          8.82648599E+00          8.82648599E+00
         48.0000          8.82637269E+00          8.82637269E+00
         48.0010          8.82625941E+00          8.82625941E+00
         48.9990          8.71567928E+00          8.71567928E+00
         49.0000          8.71557091E+00          8.71557091E+00
         49.0010          8.71546255E+00          8.71546255E+00
         50.0000          8.60954745E+00          8.60954745E+00
         51.0000          8.50802354E+00          8.50802354E+00
         52.0000          8.41074171E+00          8.41074171E+00
         53.0000          8.31746372E+00          8.31746372E+00
         54.0000          8.22796886E+00          8.22796886E+00
         55.0000          8.14205233E+00          8.14205233E+00
         56.0000          8.05952383E+00          8.05952383E+00
         57.0000          7.98020632E+00          7.98020632E+00
         58.0000          7.90393485E+00          7.90393485E+00
         59.0000          7.83055558E+00          7.83055558E+00
         60.0000          7.75992484E+00          7.75992484E+00
         61.0000          7.69190828E+00          7.69190828E+00
         62.0000          7.62638019E+00          7.62638019E+00
         63.0000          7.56322274E+00          7.56322274E+00
         64.0000          7.50232543E+00          7.50232543E+00
         65.0000          7.44358448E+00          7.44358448E+00
         66.0000          7.38690239E+00          7.38690239E+00
         67.0000          7.33218740E+00          7.33218740E+00
         68.0000          7.27935312E+00          7.27935312E+00
         69.0000          7.22831812E+00          7.22831812E+00
         70.0000          7.17900560E+00          7.17900560E+00
         71.0000          7.13134305E+00          7.13134305E+00
         72.0000          7.08526195E+00          7.08526195E+00
         73.0000          7.04069752E+00          7.04069752E+00
         74.0000          6.99758844E+00          6.99758844E+00
         75.0000          6.95587665E+00          6.95587665E+00
         76.0000          6.91550711E+00          6.91550711E+00
         77.0000          6.87642764E+00          6.87642764E+00
         78.0000          6.83858869E+00          6.83858869E+00
         79.0000          6.80194322E+00          6.80194322E+00
         79.9990          6.76648145E+00          6.76648145E+00
         80.0000          6.76644651E+00          6.76644651E+00
         80.0010          6.76641158E+00          6.76641158E+00
         81.0000          6.73205606E+00          6.73205606E+00
         82.0000          6.69873140E+00          6.69873140E+00
         83.0000          6.66643401E+00          6.66643401E+00
         84.0000          6.63512719E+00          6.63512719E+00
         85.0000          6.60477595E+00          6.60477595E+00
         86.0000          6.57534694E+00          6.57534694E+00
         87.0000          6.54680830E+00          6.54680830E+00
         88.0000          6.51912964E+00          6.51912964E+00
         89.0000          6.49228190E+00          6.49228190E+00
         90.0000          6.46623732E+00          6.46623732E+00
         91.0000          6.44096935E+00          6.44096935E+00
         92.0000          6.41645259E+00          6.41645259E+00
         93.0000          6.39266272E+00          6.39266272E+00
         94.0000          6.36957645E+00          6.36957645E+00
         95.0000          6.34717146E+00          6.34717146E+00
         96.0000          6.32542638E+00          6.32542638E+00
         97.0000          6.30432068E+00          6.30432068E+00
         98.0000          6.28383470E+00          6.28383470E+00
         99.0000          6.26394953E+00          6.26394953E+00
        100.0000          6.24464704E+00          6.24464704E+00
        110.0000          6.08014921E+00          6.08014921E+00
        120.0000          5.95836247E+00          5.95836247E+00
        130.0000          5.86931591E+00          5.86931591E+00
        140.0000          5.80588122E+00          5.80588122E+00
        150.0000          5.76282916E+00          5.76282916E+00
        160.0000          5.73623836E+00          5.73623836E+00
        170.0000          5.72311192E+00          5.72311192E+00
        180.0000          5.72112131E+00          5.72112131E+00
        190.0000          5.72843084E+00          5.72843084E+00
        200.0000          5.74357459E+00          5.74357459E+00
        210.0000          5.76536847E+00          5.76536847E+00
        220.0000          5.79284608E+00          5.79284608E+00
        230.0000          5.82521138E+00          5.82521138E+00
        240.0000          5.86180312E+00          5.86180312E+00
        250.0000          5.90206775E+00          5.90206775E+00
        260.0000          5.94553869E+00          5.94553869E+00
        270.0000          5.99182010E+00          5.99182010E+00
        280.0000          6.04057418E+00          6.04057418E+00
        290.0000          6.09151106E+00          6.09151106E+00
        300.0000          6.14438078E+00          6.14438078E+00
        310.0000          6.19896678E+00          6.19896678E+00
        320.0000          6.25508059E+00          6.25508059E+00
        330.0000          6.31255756E+00          6.31255756E+00
        340.0000          6.37125329E+00          6.37125329E+00
        350.0000          6.43104067E+00          6.43104067E+00
        360.0000          6.49180748E+00          6.49180748E+00
        370.0000          6.55345431E+00          6.55345431E+00
        380.0000          6.61589284E+00          6.61589284E+00
        390.0000          6.67904442E+00          6.67904442E+00
        400.0000          6.74283878E+00          6.74283878E+00
        410.0000          6.80721302E+00          6.80721302E+00
        420.0000          6.87211071E+00          6.87211071E+00
        430.0000          6.93748108E+00          6.93748108E+00
        440.0000          7.00327839E+00          7.00327839E+00
        450.0000          7.06946136E+00          7.06946136E+00
        460.0000          7.13599263E+00          7.13599263E+00
        470.0000          7.20283836E+00          7.20283836E+00
