#Energy      Ag  Total
         54.0000          7.55469516E+01          7.55469516E+01
         55.0000          7.43239853E+01          7.43239853E+01
         56.0000          7.31449574E+01          7.31449574E+01
         57.0000          7.20075636E+01          7.20075636E+01
         58.0000          7.09096580E+01          7.09096580E+01
         59.0000          6.98492398E+01          6.98492398E+01
         60.0000          6.88244412E+01          6.88244412E+01
         61.0000          6.78335164E+01          6.78335164E+01
         62.0000          6.68748320E+01          6.68748320E+01
         62.9990          6.59477713E+01          6.59477713E+01
         63.0000          6.59468582E+01          6.59468582E+01
         63.0010          6.59459451E+01          6.59459451E+01
         64.0000          6.50481601E+01          6.50481601E+01
         65.0000          6.41773912E+01          6.41773912E+01
         66.0000          6.33332862E+01          6.33332862E+01
         67.0000          6.25146552E+01          6.25146552E+01
         68.0000          6.17203781E+01          6.17203781E+01
         68.9990          6.09501591E+01          6.09501591E+01
         69.0000          6.09493994E+01          6.09493994E+01
         69.0010          6.09486397E+01          6.09486397E+01
         70.0000          6.02007239E+01          6.02007239E+01
         71.0000          5.94734122E+01          5.94734122E+01
         72.0000          5.87665769E+01          5.87665769E+01
         73.0000          5.80793793E+01          5.80793793E+01
         74.0000          5.74110257E+01          5.74110257E+01
         75.0000          5.67607647E+01          5.67607647E+01
         76.0000          5.61278841E+01          5.61278841E+01
         77.0000          5.55117090E+01          5.55117090E+01
         78.0000          5.49115986E+01          5.49115986E+01
         79.0000          5.43269448E+01          5.43269448E+01
         80.0000          5.37571696E+01          5.37571696E+01
         81.0000          5.32017234E+01          5.32017234E+01
         82.0000          5.26600836E+01          5.26600836E+01
         83.0000          5.21317524E+01          5.21317524E+01
         84.0000          5.16162559E+01          5.16162559E+01
         85.0000          5.11131423E+01          5.11131423E+01
         86.0000          5.06219808E+01          5.06219808E+01
         87.0000          5.01423603E+01          5.01423603E+01
         88.0000          4.96738882E+01          4.96738882E+01
         89.0000          4.92161899E+01          4.92161899E+01
         90.0000          4.87689071E+01          4.87689071E+01
         91.0000          4.83316971E+01          4.83316971E+01
         92.0000          4.79042323E+01          4.79042323E+01
         93.0000          4.74861992E+01          4.74861992E+01
         94.0000          4.70772972E+01          4.70772972E+01
         95.0000          4.66772388E+01          4.66772388E+01
         96.0000          4.62857481E+01          4.62857481E+01
         97.0000          4.59025607E+01          4.59025607E+01
         98.0000          4.55274230E+01          4.55274230E+01
         99.0000          4.51600915E+01          4.51600915E+01
