#Energy      Te  Total
        240.0000          7.23638675E+01          7.23638675E+01
        250.0000          7.06707078E+01          7.06707078E+01
        260.0000          6.91265058E+01          6.91265058E+01
        270.0000          6.77145574E+01          6.77145574E+01
        280.0000          6.64205467E+01          6.64205467E+01
        290.0000          6.52321350E+01          6.52321350E+01
        300.0000          6.41386311E+01          6.41386311E+01
        310.0000          6.31307262E+01          6.31307262E+01
        320.0000          6.22002775E+01          6.22002775E+01
        330.0000          6.13401320E+01          6.13401320E+01
        340.0000          6.05439804E+01          6.05439804E+01
        350.0000          5.98062372E+01          5.98062372E+01
        360.0000          5.91219398E+01          5.91219398E+01
        370.0000          5.84866642E+01          5.84866642E+01
        380.0000          5.78964543E+01          5.78964543E+01
        390.0000          5.73477617E+01          5.73477617E+01
        400.0000          5.68373950E+01          5.68373950E+01
        410.0000          5.63624757E+01          5.63624757E+01
        420.0000          5.59204014E+01          5.59204014E+01
        430.0000          5.55088134E+01          5.55088134E+01
        440.0000          5.51255688E+01          5.51255688E+01
        450.0000          5.47687170E+01          5.47687170E+01
        460.0000          5.44364781E+01          5.44364781E+01
        470.0000          5.41272251E+01          5.41272251E+01
        480.0000          5.38394681E+01          5.38394681E+01
        490.0000          5.35718396E+01          5.35718396E+01
        500.0000          5.33230829E+01          5.33230829E+01
        510.0000          5.30920409E+01          5.30920409E+01
        520.0000          5.28776465E+01          5.28776465E+01
        530.0000          5.26789141E+01          5.26789141E+01
        540.0000          5.24949320E+01          5.24949320E+01
        550.0000          5.23248557E+01          5.23248557E+01
        560.0000          5.21679019E+01          5.21679019E+01
        570.0000          5.20233430E+01          5.20233430E+01
        577.9990          5.19161768E+01          5.19161768E+01
        578.0010          5.19161509E+01          5.19161509E+01
        580.0000          5.18905023E+01          5.18905023E+01
        588.9990          5.17804549E+01          5.17804549E+01
        589.0010          5.17804314E+01          5.17804314E+01
        590.0000          5.17687498E+01          5.17687498E+01
        600.0000          5.16574981E+01          5.16574981E+01
        610.0000          5.15561990E+01          5.15561990E+01
        620.0000          5.14643402E+01          5.14643402E+01
        630.0000          5.13814426E+01          5.13814426E+01
        640.0000          5.13070575E+01          5.13070575E+01
        650.0000          5.12407647E+01          5.12407647E+01
        660.0000          5.11821694E+01          5.11821694E+01
        670.0000          5.11309014E+01          5.11309014E+01
        680.0000          5.10866124E+01          5.10866124E+01
        690.0000          5.10489749E+01          5.10489749E+01
        700.0000          5.10176804E+01          5.10176804E+01
        710.0000          5.09924385E+01          5.09924385E+01
        720.0000          5.09729749E+01          5.09729749E+01
        730.0000          5.09590311E+01          5.09590311E+01
        740.0000          5.09503626E+01          5.09503626E+01
        750.0000          5.09467385E+01          5.09467385E+01
        760.0000          5.09479404E+01          5.09479404E+01
        770.0000          5.09537615E+01          5.09537615E+01
        780.0000          5.09640058E+01          5.09640058E+01
        790.0000          5.09784877E+01          5.09784877E+01
        800.0000          5.09970310E+01          5.09970310E+01
        810.0000          5.10194687E+01          5.10194687E+01
        820.0000          5.10456420E+01          5.10456420E+01
        824.9990          5.10600791E+01          5.10600791E+01
        825.0010          5.10600850E+01          5.10600850E+01
        830.0000          5.10754000E+01          5.10754000E+01
        840.0000          5.11085995E+01          5.11085995E+01
        850.0000          5.11451039E+01          5.11451039E+01
        860.0000          5.11847834E+01          5.11847834E+01
        870.0000          5.12275144E+01          5.12275144E+01
        875.9990          5.12545639E+01          5.12545639E+01
        876.0010          5.12545731E+01          5.12545731E+01
        880.0000          5.12731791E+01          5.12731791E+01
        890.0000          5.13216650E+01          5.13216650E+01
        900.0000          5.13728651E+01          5.13728651E+01
        910.0000          5.14266771E+01          5.14266771E+01
        920.0000          5.14830035E+01          5.14830035E+01
        930.0000          5.15417509E+01          5.15417509E+01
        940.0000          5.16028302E+01          5.16028302E+01
        950.0000          5.16661563E+01          5.16661563E+01
        960.0000          5.17316477E+01          5.17316477E+01
        970.0000          5.17992264E+01          5.17992264E+01
        980.0000          5.18688178E+01          5.18688178E+01
        990.0000          5.19403504E+01          5.19403504E+01
       1000.0000          5.20137557E+01          5.20137557E+01
       1011.9990          5.21042142E+01          5.21042142E+01
       1012.0010          5.21042295E+01          5.21042295E+01
       1100.0000          5.28376085E+01          5.28376085E+01
       1200.0000          5.37908141E+01          5.37908141E+01
       1300.0000          5.48370938E+01          5.48370938E+01
       1400.0000          5.59511712E+01          5.59511712E+01
       1500.0000          5.71150055E+01          5.71150055E+01
       1600.0000          5.83154571E+01          5.83154571E+01
