#Energy      Cu   O  Total
          0.1000          1.08863268E+04          3.14331261E+02          3.05509981E+02
          0.2000          5.46993738E+03          1.66837058E+02          1.61899020E+02
          0.3000          3.66039565E+03          1.16341868E+02          1.12757974E+02
          0.4000          2.75404697E+03          9.05839909E+01          8.76994482E+01
          0.5000          2.20943393E+03          7.48716966E+01          7.24176595E+01
          0.6000          1.84588441E+03          6.42464103E+01          6.20855106E+01
          0.7000          1.58589929E+03          5.65605970E+01          5.46128470E+01
          0.8000          1.39069860E+03          5.07304973E+01          4.89450586E+01
          0.9000          1.23872249E+03          4.61489592E+01          4.44914187E+01
          1.0000          1.11702648E+03          4.24488771E+01          4.08948060E+01
          2.0000          5.67480107E+02          2.52467886E+01          2.41714193E+01
          3.0000          3.83084031E+02          1.92011143E+01          1.82846430E+01
          4.0000          2.90433780E+02          1.60908352E+01          1.52461560E+01
          5.0000          2.34622145E+02          1.41987096E+01          1.33884747E+01
          6.0000          1.97289073E+02          1.29339170E+01          1.21381610E+01
          7.0000          1.70544999E+02          1.20366225E+01          1.12431129E+01
          8.0000          1.50435852E+02          1.13740033E+01          1.05744973E+01
          9.0000          1.34760241E+02          1.08708194E+01          1.00593530E+01
         10.0000          1.22194746E+02          1.04811345E+01          9.65314538E+00
         11.0000          1.11895653E+02          1.01752515E+01          9.32709084E+00
         12.0000          1.03299530E+02          9.93308536E+00          9.06172701E+00
         13.0000          9.60156789E+01          9.74054503E+00          8.84340428E+00
         14.0000          8.97646073E+01          9.58744123E+00          8.66225618E+00
         15.0000          8.43410558E+01          9.46621596E+00          8.51096758E+00
         16.0000          7.95908679E+01          9.37113998E+00          8.38399651E+00
         17.0000          7.53960031E+01          9.29778811E+00          8.27706554E+00
         18.0000          7.16645360E+01          9.24268614E+00          8.18681937E+00
         19.0000          6.83238053E+01          9.20306695E+00          8.11058845E+00
         20.0000          6.53156140E+01          9.17669836E+00          8.04622207E+00
         21.0000          6.25927966E+01          9.16175909E+00          7.99196815E+00
         22.0000          6.01167214E+01          9.15674790E+00          7.94638507E+00
         23.0000          5.78554411E+01          9.16041585E+00          7.90827610E+00
         24.0000          5.57823059E+01          9.17171519E+00          7.87663972E+00
         25.0000          5.38749078E+01          9.18976022E+00          7.85063174E+00
         26.0000          5.21142677E+01          9.21379697E+00          7.82953587E+00
         27.0000          5.04842034E+01          9.24317950E+00          7.81274068E+00
         28.0000          4.89708317E+01          9.27735110E+00          7.79972143E+00
         29.0000          4.75621737E+01          9.31582939E+00          7.79002552E+00
         30.0000          4.62478387E+01          9.35819422E+00          7.78326081E+00
         31.0000          4.50187694E+01          9.40407796E+00          7.77908613E+00
         32.0000          4.38670339E+01          9.45315746E+00          7.77720350E+00
         33.0000          4.27856565E+01          9.50514756E+00          7.77735179E+00
         34.0000          4.17684771E+01          9.55979563E+00          7.77930142E+00
         35.0000          4.08100357E+01          9.61687705E+00          7.78284996E+00
         36.0000          3.99054752E+01          9.67619141E+00          7.78781842E+00
         37.0000          3.90504606E+01          9.73755936E+00          7.79404818E+00
         38.0000          3.82411104E+01          9.80081990E+00          7.80139835E+00
         39.0000          3.74739389E+01          9.86582807E+00          7.80974352E+00
         40.0000          3.67458068E+01          9.93245304E+00          7.81897187E+00
         41.0000          3.60538790E+01          1.00005764E+01          7.82898350E+00
         42.0000          3.53955892E+01          1.00700907E+01          7.83968908E+00
         43.0000          3.47686079E+01          1.01408984E+01          7.85100858E+00
         44.0000          3.41708164E+01          1.02129103E+01          7.86287020E+00
         45.0000          3.36002830E+01          1.02860452E+01          7.87520952E+00
         46.0000          3.30552429E+01          1.03602288E+01          7.88796863E+00
         47.0000          3.25340807E+01          1.04353928E+01          7.90109545E+00
         48.0000          3.20353146E+01          1.05114747E+01          7.91454313E+00
         49.0000          3.15575833E+01          1.05884169E+01          7.92826948E+00
         50.0000          3.10996333E+01          1.06661662E+01          7.94223649E+00
         51.0000          3.06603091E+01          1.07446737E+01          7.95640993E+00
         52.0000          3.02385436E+01          1.08238941E+01          7.97075894E+00
         53.0000          2.98333493E+01          1.09037854E+01          7.98525574E+00
         54.0000          2.94438120E+01          1.09843089E+01          7.99987528E+00
         55.0000          2.90690829E+01          1.10654283E+01          8.01459501E+00
         56.0000          2.87083740E+01          1.11471103E+01          8.02939462E+00
         57.0000          2.83609521E+01          1.12293235E+01          8.04425584E+00
