#Energy      Li   Mn   O  Total
         61.0000          2.56696303E+01          2.41644984E+01          3.67525472E+00          2.83744653E+00
         62.0000          2.60098188E+01          2.39461423E+01          3.70210335E+00          2.85449947E+00
         63.0000          2.63500134E+01          2.37355324E+01          3.72907374E+00          2.87154423E+00
         64.0000          2.66902122E+01          2.35323077E+01          3.75615970E+00          2.88857843E+00
         65.0000          2.70304136E+01          2.33361290E+01          3.78335541E+00          2.90559987E+00
         66.0000          2.73706158E+01          2.31466778E+01          3.81065543E+00          2.92260655E+00
         67.0000          2.77108174E+01          2.29636543E+01          3.83805462E+00          2.93959661E+00
         68.0000          2.80510170E+01          2.27867763E+01          3.86554813E+00          2.95656839E+00
         69.0000          2.83912132E+01          2.26157778E+01          3.89313143E+00          2.97352033E+00
         70.0000          2.87314049E+01          2.24504078E+01          3.92080022E+00          2.99045105E+00
         71.0000          2.90715910E+01          2.22904295E+01          3.94855046E+00          3.00735924E+00
         72.0000          2.94117704E+01          2.21356191E+01          3.97637832E+00          3.02424376E+00
         73.0000          2.97519422E+01          2.19857648E+01          4.00428019E+00          3.04110354E+00
         74.0000          3.00921055E+01          2.18406665E+01          4.03225266E+00          3.05793763E+00
         75.0000          3.04322594E+01          2.17001344E+01          4.06029250E+00          3.07474515E+00
         76.0000          3.07724033E+01          2.15639888E+01          4.08839665E+00          3.09152533E+00
         77.0000          3.11125363E+01          2.14320591E+01          4.11656222E+00          3.10827747E+00
         78.0000          3.14526579E+01          2.13041837E+01          4.14478646E+00          3.12500092E+00
         79.0000          3.17927674E+01          2.11802088E+01          4.17306676E+00          3.14169514E+00
         80.0000          3.21328643E+01          2.10599883E+01          4.20140066E+00          3.15835962E+00
         81.0000          3.24729479E+01          2.09433834E+01          4.22978580E+00          3.17499393E+00
         82.0000          3.28130180E+01          2.08302620E+01          4.25821995E+00          3.19159768E+00
         83.0000          3.31530739E+01          2.07204982E+01          4.28670099E+00          3.20817053E+00
         84.0000          3.34931153E+01          2.06139721E+01          4.31522691E+00          3.22471221E+00
         85.0000          3.38331418E+01          2.05105696E+01          4.34379579E+00          3.24122245E+00
         86.0000          3.41731530E+01          2.04101816E+01          4.37240579E+00          3.25770108E+00
         87.0000          3.45131487E+01          2.03127040E+01          4.40105517E+00          3.27414790E+00
         88.0000          3.48531285E+01          2.02180377E+01          4.42974227E+00          3.29056281E+00
         88.9990          3.51927521E+01          2.01261784E+01          4.45843678E+00          3.30692933E+00
         89.0000          3.51930920E+01          2.01260878E+01          4.45846552E+00          3.30694569E+00
         89.0010          3.51934320E+01          2.01259972E+01          4.45849426E+00          3.30696206E+00
         90.0000          3.55330392E+01          2.00367635E+01          4.48722339E+00          3.32329649E+00
         91.0000          3.58729697E+01          1.99499782E+01          4.51601445E+00          3.33961515E+00
         92.0000          3.62128833E+01          1.98656488E+01          4.54483733E+00          3.35590168E+00
         93.0000          3.65527799E+01          1.97836960E+01          4.57369069E+00          3.37215606E+00
         94.0000          3.68926592E+01          1.97040437E+01          4.60257329E+00          3.38837835E+00
         95.0000          3.72325211E+01          1.96266191E+01          4.63148393E+00          3.40456858E+00
         96.0000          3.75723654E+01          1.95513522E+01          4.66042146E+00          3.42072684E+00
         97.0000          3.79121920E+01          1.94781762E+01          4.68938477E+00          3.43685321E+00
         98.0000          3.82520008E+01          1.94070266E+01          4.71837281E+00          3.45294778E+00
         99.0000          3.85917917E+01          1.93378419E+01          4.74738458E+00          3.46901070E+00
        100.0000          3.89315645E+01          1.92705628E+01          4.77641910E+00          3.48504208E+00
        110.0000          4.23282869E+01          1.86910822E+01          5.06783013E+00          3.64365859E+00
        120.0000          4.57231633E+01          1.82513536E+01          5.36070205E+00          3.79933522E+00
        130.0000          4.91162090E+01          1.79188117E+01          5.65452747E+00          3.95231006E+00
        140.0000          5.25074696E+01          1.76701731E+01          5.94895648E+00          4.10283074E+00
        150.0000          5.58970061E+01          1.74883550E+01          6.24374292E+00          4.25113504E+00
        160.0000          5.92848860E+01          1.73605450E+01          6.53871092E+00          4.39744210E+00
        170.0000          6.26711788E+01          1.72769492E+01          6.83373333E+00          4.54194930E+00
        180.0000          6.60559527E+01          1.72299559E+01          7.12871742E+00          4.68483207E+00
        190.0000          6.94392739E+01          1.72135629E+01          7.42359522E+00          4.82624508E+00
        200.0000          7.28212051E+01          1.72229754E+01          7.71831682E+00          4.96632416E+00
        210.0000          7.62018054E+01          1.72543190E+01          8.01284563E+00          5.10518830E+00
        220.0000          7.95811306E+01          1.73044306E+01          8.30715501E+00          5.24294175E+00
        230.0000          8.29592326E+01          1.73707036E+01          8.60122580E+00          5.37967591E+00
        240.0000          8.63361600E+01          1.74509715E+01          8.89504453E+00          5.51547099E+00
        250.0000          8.97119583E+01          1.75434203E+01          9.18860205E+00          5.65039759E+00
        260.0000          9.30866697E+01          1.76465198E+01          9.48189251E+00          5.78451795E+00
        270.0000          9.64603338E+01          1.77589714E+01          9.77491264E+00          5.91788715E+00
        280.0000          9.98329876E+01          1.78796661E+01          1.00676611E+01          6.05055402E+00
