#Energy      Al   O  Total
          0.1000          6.46097873E+02          8.96335003E+01          7.87135305E+01
          0.2000          3.30837526E+02          4.75746173E+01          4.15934556E+01
          0.3000          2.24606979E+02          3.31756023E+01          2.89060330E+01
          0.4000          1.71050739E+02          2.58305844E+01          2.24416439E+01
          0.5000          1.38693135E+02          2.13501267E+01          1.85019724E+01
          0.6000          1.16989837E+02          1.83202607E+01          1.58397958E+01
          0.7000          1.01402659E+02          1.61286035E+01          1.39153043E+01
          0.8000          8.96539590E+01          1.44661146E+01          1.24562383E+01
          0.9000          8.04740431E+01          1.31596607E+01          1.13101486E+01
          1.0000          7.30986857E+01          1.21045595E+01          1.03849024E+01
          2.0000          3.93953299E+01          7.19927770E+00          6.08692582E+00
          3.0000          2.78457913E+01          5.47531633E+00          4.57561368E+00
          4.0000          2.19616579E+01          4.58840104E+00          3.79543014E+00
          5.0000          1.83821999E+01          4.04884974E+00          3.31802419E+00
          6.0000          1.59712020E+01          3.68818632E+00          2.99626661E+00
          7.0000          1.42359360E+01          3.43231725E+00          2.76553930E+00
          8.0000          1.29274906E+01          3.24336727E+00          2.59284945E+00
          9.0000          1.19063049E+01          3.09988129E+00          2.45952778E+00
         10.0000          1.10879402E+01          2.98876022E+00          2.35418767E+00
         11.0000          1.04182489E+01          2.90153582E+00          2.26947529E+00
         12.0000          9.86087540E+00          2.83248064E+00          2.20042190E+00
         13.0000          9.39048301E+00          2.77757657E+00          2.14354519E+00
         14.0000          8.98886146E+00          2.73391808E+00          2.09632969E+00
         15.0000          8.64257830E+00          2.69934994E+00          2.05691155E+00
         16.0000          8.34150344E+00          2.67223844E+00          2.02387948E+00
         17.0000          8.07784974E+00          2.65132170E+00          1.99614466E+00
         18.0000          7.84553040E+00          2.63560903E+00          1.97285333E+00
         19.0000          7.63971729E+00          2.62431138E+00          1.95332629E+00
         20.0000          7.45653048E+00          2.61679221E+00          1.93701636E+00
         21.0000          7.29281551E+00          2.61253219E+00          1.92347768E+00
         22.0000          7.14598084E+00          2.61110321E+00          1.91234322E+00
         23.0000          7.01387714E+00          2.61214915E+00          1.90330804E+00
         24.0000          6.89470657E+00          2.61537123E+00          1.89611669E+00
         25.0000          6.78695339E+00          2.62051688E+00          1.89055351E+00
         26.0000          6.68933063E+00          2.62737111E+00          1.88643519E+00
         27.0000          6.60073828E+00          2.63574972E+00          1.88360490E+00
         28.0000          6.52023041E+00          2.64549396E+00          1.88192766E+00
         29.0000          6.44698905E+00          2.65646628E+00          1.88128666E+00
         30.0000          6.38030316E+00          2.66854688E+00          1.88158031E+00
         31.0000          6.31955166E+00          2.68163091E+00          1.88271985E+00
         32.0000          6.26418960E+00          2.69562623E+00          1.88462733E+00
         33.0000          6.21373678E+00          2.71045153E+00          1.88723409E+00
         34.0000          6.16776841E+00          2.72603477E+00          1.89047933E+00
         35.0000          6.12590730E+00          2.74231188E+00          1.89430911E+00
         36.0000          6.08781736E+00          2.75922574E+00          1.89867532E+00
         37.0000          6.05319814E+00          2.77672519E+00          1.90353496E+00
         38.0000          6.02178021E+00          2.79476432E+00          1.90884948E+00
         39.0000          5.99332124E+00          2.81330180E+00          1.91458421E+00
         40.0000          5.96760268E+00          2.83230033E+00          1.92070788E+00
         41.0000          5.94442689E+00          2.85172612E+00          1.92719220E+00
         42.0000          5.92361472E+00          2.87154856E+00          1.93401155E+00
         43.0000          5.90500337E+00          2.89173980E+00          1.94114264E+00
         44.0000          5.88844457E+00          2.91227444E+00          1.94856427E+00
         45.0000          5.87380297E+00          2.93312931E+00          1.95625709E+00
         46.0000          5.86095482E+00          2.95428322E+00          1.96420339E+00
