#Energy      Li   Mn   O  Total
          0.1000          2.62761947E+01          8.27730083E+03          9.81143185E+01          2.06738579E+01
          0.2000          1.73971131E+01          4.16601234E+03          5.20759664E+01          1.29999192E+01
          0.3000          1.40836579E+01          2.79142990E+03          3.63145654E+01          1.01112562E+01
          0.4000          1.22997756E+01          2.10253277E+03          2.82745868E+01          8.53640286E+00
          0.5000          1.11703050E+01          1.68837669E+03          2.33702034E+01          7.52417796E+00
          0.6000          1.03861447E+01          1.41179045E+03          2.00536617E+01          6.80936172E+00
          0.7000          9.80847547E+00          1.21391689E+03          1.76546374E+01          6.27278730E+00
          0.8000          9.36506500E+00          1.06529649E+03          1.58348494E+01          5.85238944E+00
          0.9000          9.01435554E+00          9.49547110E+02          1.44047832E+01          5.51241531E+00
          1.0000          8.73061983E+00          8.56830741E+02          1.32498519E+01          5.23069897E+00
          2.0000          7.47948122E+00          4.37667202E+02          7.88044897E+00          3.80401304E+00
          3.0000          7.19149495E+00          2.96720077E+02          5.99337221E+00          3.23337566E+00
          4.0000          7.18366632E+00          2.25792798E+02          5.02254001E+00          2.91769785E+00
          5.0000          7.29936752E+00          1.83015848E+02          4.43193819E+00          2.71667453E+00
          6.0000          7.48143445E+00          1.54374130E+02          4.03715002E+00          2.57837309E+00
          7.0000          7.70361712E+00          1.33839879E+02          3.75707148E+00          2.47864942E+00
          8.0000          7.95203711E+00          1.18389782E+02          3.55024370E+00          2.40458938E+00
          9.0000          8.21861571E+00          1.06339473E+02          3.39318156E+00          2.34858938E+00
         10.0000          8.49830831E+00          9.66757113E+01          3.27154659E+00          2.30584674E+00
         11.0000          8.78779151E+00          8.87521518E+01          3.17606931E+00          2.27316043E+00
         12.0000          9.08478128E+00          8.21369286E+01          3.10048036E+00          2.24830427E+00
         13.0000          9.38765322E+00          7.65304236E+01          3.04038146E+00          2.22967582E+00
         14.0000          9.69521889E+00          7.17181948E+01          2.99259214E+00          2.21608833E+00
         15.0000          1.00065878E+01          6.75426850E+01          2.95475329E+00          2.20664162E+00
         16.0000          1.03210793E+01          6.38855122E+01          2.92507659E+00          2.20063892E+00
         17.0000          1.06381634E+01          6.06559918E+01          2.90218078E+00          2.19753135E+00
         18.0000          1.09574218E+01          5.77834743E+01          2.88498143E+00          2.19687993E+00
         19.0000          1.12785193E+01          5.52120949E+01          2.87261483E+00          2.19832890E+00
         20.0000          1.16011844E+01          5.28970929E+01          2.86438423E+00          2.20158650E+00
         21.0000          1.19251948E+01          5.08021803E+01          2.85972113E+00          2.20641102E+00
         22.0000          1.22503666E+01          4.88976244E+01          2.85815696E+00          2.21260027E+00
         23.0000          1.25765467E+01          4.71588296E+01          2.85930186E+00          2.21998378E+00
         24.0000          1.29036062E+01          4.55652724E+01          2.86282880E+00          2.22841668E+00
         25.0000          1.32314363E+01          4.40996906E+01          2.86846131E+00          2.23777505E+00
         26.0000          1.35599441E+01          4.27474597E+01          2.87596406E+00          2.24795223E+00
         27.0000          1.38890500E+01          4.14961066E+01          2.88513543E+00          2.25885589E+00
         28.0000          1.42186857E+01          4.03349275E+01          2.89580164E+00          2.27040569E+00
         29.0000          1.45487919E+01          3.92546844E+01          2.90781213E+00          2.28253143E+00
         30.0000          1.48793169E+01          3.82473623E+01          2.92103574E+00          2.29517143E+00
         31.0000          1.52102157E+01          3.73059727E+01          2.93535774E+00          2.30827137E+00
         32.0000          1.55414489E+01          3.64243943E+01          2.95067725E+00          2.32178318E+00
         33.0000          1.58729816E+01          3.55972422E+01          2.96690527E+00          2.33566417E+00
         34.0000          1.62047831E+01          3.48197604E+01          2.98396294E+00          2.34987636E+00
         35.0000          1.65368262E+01          3.40877323E+01          3.00178014E+00          2.36438581E+00
         36.0000          1.68690867E+01          3.33974062E+01          3.02029433E+00          2.37916214E+00
         37.0000          1.72015431E+01          3.27454329E+01          3.03944952E+00          2.39417808E+00
         38.0000          1.75341760E+01          3.21288133E+01          3.05919545E+00          2.40940911E+00
         39.0000          1.78669682E+01          3.15448531E+01          3.07948689E+00          2.42483309E+00
         40.0000          1.81999041E+01          3.09911257E+01          3.10028299E+00          2.44043004E+00
         41.0000          1.85329699E+01          3.04654393E+01          3.12154679E+00          2.45618189E+00
         42.0000          1.88661528E+01          2.99658092E+01          3.14324476E+00          2.47207223E+00
         43.0000          1.91994415E+01          2.94904338E+01          3.16534642E+00          2.48808619E+00
         44.0000          1.95328256E+01          2.90376741E+01          3.18782398E+00          2.50421023E+00
         45.0000          1.98662959E+01          2.86060357E+01          3.21065207E+00          2.52043203E+00
         46.0000          2.01998437E+01          2.81941530E+01          3.23380749E+00          2.53674035E+00
         47.0000          2.05334614E+01          2.78007758E+01          3.25726894E+00          2.55312495E+00
         48.0000          2.08671419E+01          2.74247572E+01          3.28101689E+00          2.56957647E+00
         49.0000          2.12008787E+01          2.70650434E+01          3.30503336E+00          2.58608634E+00
         50.0000          2.15346660E+01          2.67206638E+01          3.32930177E+00          2.60264673E+00
         51.0000          2.18684984E+01          2.63907237E+01          3.35380684E+00          2.61925047E+00
         52.0000          2.22023708E+01          2.60743967E+01          3.37853443E+00          2.63589098E+00
         52.9990          2.25359450E+01          2.57712153E+01          3.40344642E+00          2.65254555E+00
         53.0000          2.25362789E+01          2.57709180E+01          3.40347146E+00          2.65256224E+00
         53.0010          2.25366129E+01          2.57706207E+01          3.40349649E+00          2.65257892E+00
         54.0000          2.28702185E+01          2.54795792E+01          3.42860578E+00          2.66925871E+00
         54.9990          2.32038516E+01          2.51999973E+01          3.45390073E+00          2.68595861E+00
         55.0000          2.32041856E+01          2.51997230E+01          3.45392614E+00          2.68597533E+00
         55.0010          2.32045196E+01          2.51994487E+01          3.45395155E+00          2.68599206E+00
         56.0000          2.35381768E+01          2.49307387E+01          3.47942207E+00          2.70270744E+00
         57.0000          2.38721889E+01          2.46720580E+01          3.50508383E+00          2.71945076E+00
         57.9990          2.42058848E+01          2.44233959E+01          3.53087645E+00          2.73618461E+00
         58.0000          2.42062188E+01          2.44231517E+01          3.53090234E+00          2.73620137E+00
         58.0010          2.42065529E+01          2.44229075E+01          3.53092824E+00          2.73621812E+00
         59.0000          2.45402639E+01          2.41835260E+01          3.55686914E+00          2.75295565E+00
         60.0000          2.48743215E+01          2.39527198E+01          3.58297630E+00          2.76971031E+00
         61.0000          2.52083893E+01          2.37303022E+01          3.60921645E+00          2.78646229E+00
         62.0000          2.55424651E+01          2.35158696E+01          3.63558265E+00          2.80320881E+00
         63.0000          2.58765470E+01          2.33090440E+01          3.66206842E+00          2.81994731E+00
         64.0000          2.62106331E+01          2.31094708E+01          3.68866769E+00          2.83667543E+00
         65.0000          2.65447215E+01          2.29168172E+01          3.71537475E+00          2.85339102E+00
         66.0000          2.68788109E+01          2.27307701E+01          3.74218423E+00          2.87009212E+00
         67.0000          2.72128996E+01          2.25510353E+01          3.76909109E+00          2.88677690E+00
         68.0000          2.75469864E+01          2.23773355E+01          3.79609059E+00          2.90344372E+00
         69.0000          2.78810698E+01          2.22094095E+01          3.82317827E+00          2.92009107E+00
         70.0000          2.82151489E+01          2.20470110E+01          3.85034990E+00          2.93671756E+00
         71.0000          2.85492224E+01          2.18899072E+01          3.87760150E+00          2.95332195E+00
         72.0000          2.88832893E+01          2.17378784E+01          3.90492934E+00          2.96990308E+00
         73.0000          2.92173488E+01          2.15907168E+01          3.93232986E+00          2.98645992E+00
         74.0000          2.95513999E+01          2.14482257E+01          3.95979972E+00          3.00299152E+00
         75.0000          2.98854418E+01          2.13102187E+01          3.98733573E+00          3.01949704E+00
         76.0000          3.02194739E+01          2.11765194E+01          4.01493489E+00          3.03597571E+00
         77.0000          3.05534953E+01          2.10469603E+01          4.04259437E+00          3.05242684E+00
         78.0000          3.08875054E+01          2.09213826E+01          4.07031147E+00          3.06884980E+00
         79.0000          3.12215037E+01          2.07996353E+01          4.09808362E+00          3.08524405E+00
         80.0000          3.15554896E+01          2.06815750E+01          4.12590840E+00          3.10160910E+00
         81.0000          3.18894625E+01          2.05670653E+01          4.15378351E+00          3.11794452E+00
         82.0000          3.22234221E+01          2.04559765E+01          4.18170674E+00          3.13424992E+00
         83.0000          3.25573677E+01          2.03481849E+01          4.20967603E+00          3.15052499E+00
         84.0000          3.28912992E+01          2.02435730E+01          4.23768939E+00          3.16676944E+00
         85.0000          3.32252159E+01          2.01420284E+01          4.26574493E+00          3.18298302E+00
         86.0000          3.35591177E+01          2.00434442E+01          4.29384085E+00          3.19916555E+00
         87.0000          3.38930042E+01          1.99477182E+01          4.32197545E+00          3.21531686E+00
         88.0000          3.42268751E+01          1.98547529E+01          4.35014710E+00          3.23143681E+00
         88.9990          3.45603963E+01          1.97645441E+01          4.37832601E+00          3.24750925E+00
         89.0000          3.45607301E+01          1.97644551E+01          4.37835423E+00          3.24752532E+00
         89.0010          3.45610640E+01          1.97643661E+01          4.37838246E+00          3.24754140E+00
         90.0000          3.48945690E+01          1.96767358E+01          4.40659538E+00          3.26358232E+00
         91.0000          3.52283915E+01          1.95915099E+01          4.43486911E+00          3.27960777E+00
         92.0000          3.55621974E+01          1.95086958E+01          4.46317408E+00          3.29560165E+00
         93.0000          3.58959866E+01          1.94282156E+01          4.49150900E+00          3.31156397E+00
         94.0000          3.62297588E+01          1.93499945E+01          4.51987263E+00          3.32749477E+00
         95.0000          3.65635140E+01          1.92739611E+01          4.54826379E+00          3.34339409E+00
         96.0000          3.68972518E+01          1.92000466E+01          4.57668135E+00          3.35926201E+00
         97.0000          3.72309723E+01          1.91281854E+01          4.60512424E+00          3.37509861E+00
         98.0000          3.75646753E+01          1.90583143E+01          4.63359142E+00          3.39090400E+00
         99.0000          3.78983607E+01          1.89903727E+01          4.66208189E+00          3.40667829E+00
        100.0000          3.82320284E+01          1.89243025E+01          4.69059471E+00          3.42242161E+00
        110.0000          4.15677172E+01          1.83552342E+01          4.97676956E+00          3.57818805E+00
        120.0000          4.49015933E+01          1.79234068E+01          5.26437906E+00          3.73106742E+00
        130.0000          4.82336716E+01          1.75968401E+01          5.55292492E+00          3.88129355E+00
        140.0000          5.15639968E+01          1.73526691E+01          5.84206352E+00          4.02910963E+00
        150.0000          5.48926289E+01          1.71741180E+01          6.13155313E+00          4.17474914E+00
        160.0000          5.82196342E+01          1.70486046E+01          6.42122105E+00          4.31842730E+00
        170.0000          6.15450809E+01          1.69665109E+01          6.71094239E+00          4.46033795E+00
        180.0000          6.48690360E+01          1.69203620E+01          7.00062610E+00          4.60065335E+00
        190.0000          6.81915645E+01          1.69042635E+01          7.29020543E+00          4.73952540E+00
        200.0000          7.15127279E+01          1.69135069E+01          7.57963137E+00          4.87708748E+00
        210.0000          7.48325844E+01          1.69442873E+01          7.86886798E+00          5.01345647E+00
        220.0000          7.81511887E+01          1.69934985E+01          8.15788911E+00          5.14873472E+00
        230.0000          8.14685918E+01          1.70585806E+01          8.44667594E+00          5.28301199E+00
        240.0000          8.47848414E+01          1.71374063E+01          8.73521523E+00          5.41636706E+00
        250.0000          8.80999821E+01          1.72281939E+01          9.02349799E+00          5.54886924E+00
        260.0000          9.14140555E+01          1.73294409E+01          9.31151851E+00          5.68057969E+00
        270.0000          9.47271004E+01          1.74398719E+01          9.59927355E+00          5.81155246E+00
        280.0000          9.80391531E+01          1.75583979E+01          9.88676181E+00          5.94183552E+00
        290.0000          1.01350248E+02          1.76840839E+01          1.01739835E+01          6.07147157E+00
        300.0000          1.04660415E+02          1.78161231E+01          1.04609399E+01          6.20049871E+00
        310.0000          1.07969686E+02          1.79538160E+01          1.07476332E+01          6.32895109E+00
        320.0000          1.11278088E+02          1.80965536E+01          1.10340663E+01          6.45685937E+00
        330.0000          1.14585648E+02          1.82438033E+01          1.13202425E+01          6.58425122E+00
        340.0000          1.17892389E+02          1.83950976E+01          1.16061657E+01          6.71115168E+00
        350.0000          1.21198335E+02          1.85500250E+01          1.18918396E+01          6.83758345E+00
        360.0000          1.24503507E+02          1.87082216E+01          1.21772686E+01          6.96356721E+00
