#Energy      Ga   O  Total
          0.1000          1.31760516E+04          1.01468421E+02          1.00692987E+02
          0.2000          6.61639546E+03          5.38562176E+01          5.34213776E+01
          0.3000          4.42551577E+03          3.75560027E+01          3.72399752E+01
          0.4000          3.32840148E+03          2.92411722E+01          2.89865155E+01
          0.5000          2.66927969E+03          2.41691291E+01          2.39522522E+01
          0.6000          2.22936179E+03          2.07392093E+01          2.05480557E+01
          0.7000          1.91480886E+03          1.82581728E+01          1.80857210E+01
          0.8000          1.67866918E+03          1.63761741E+01          1.62179606E+01
          0.9000          1.49484210E+03          1.48972202E+01          1.47502232E+01
          1.0000          1.34765813E+03          1.37028068E+01          1.35648809E+01
          2.0000          6.83295149E+02          8.14984730E+00          8.05378758E+00
          3.0000          4.60548551E+02          6.19825959E+00          6.11594853E+00
          4.0000          3.48692662E+02          5.19423884E+00          5.11799946E+00
          5.0000          2.81342106E+02          4.58344691E+00          4.50997329E+00
          6.0000          2.36307207E+02          4.17516265E+00          4.10267507E+00
          7.0000          2.04055828E+02          3.88550944E+00          3.81290635E+00
          8.0000          1.79812031E+02          3.67161112E+00          3.59814011E+00
          9.0000          1.60917537E+02          3.50917970E+00          3.43428712E+00
         10.0000          1.45774630E+02          3.38338656E+00          3.30664040E+00
         11.0000          1.33364947E+02          3.28464532E+00          3.20569233E+00
         12.0000          1.23008560E+02          3.20647232E+00          3.12501241E+00
         13.0000          1.14234083E+02          3.14431890E+00          3.06008925E+00
         14.0000          1.06704358E+02          3.09489587E+00          3.00766049E+00
         15.0000          1.00171821E+02          3.05576348E+00          2.96530616E+00
         16.0000          9.44505725E+01          3.02507226E+00          2.93119176E+00
         17.0000          8.93982872E+01          3.00139374E+00          2.90390028E+00
         18.0000          8.49041442E+01          2.98360642E+00          2.88231918E+00
         19.0000          8.08805587E+01          2.97081706E+00          2.86556233E+00
         19.9990          7.72608334E+01          2.96231167E+00          2.85292565E+00
         20.0000          7.72573904E+01          2.96230509E+00          2.85291485E+00
         20.0010          7.72539477E+01          2.96229851E+00          2.85290405E+00
         20.9990          7.39809262E+01          2.95748573E+00          2.84380101E+00
         21.0000          7.39778020E+01          2.95748258E+00          2.84379348E+00
