#Energy      In   O  Total
          0.1000          9.39214093E+04          1.56392070E+02          1.56132088E+02
          0.2000          4.70417478E+04          8.30079474E+01          8.28617329E+01
          0.3000          3.14027501E+04          5.78846201E+01          5.77781178E+01
          0.4000          2.35784318E+04          4.50690707E+01          4.49830877E+01
          0.5000          1.88813829E+04          3.72515911E+01          3.71782412E+01
          0.6000          1.57485654E+04          3.19650965E+01          3.19003479E+01
          0.7000          1.35098981E+04          2.81411044E+01          2.80826084E+01
          0.8000          1.18302476E+04          2.52404023E+01          2.51866654E+01
          0.9000          1.05233817E+04          2.29609083E+01          2.29109191E+01
          1.0000          9.47753495E+03          2.11199730E+01          2.10730134E+01
          2.0000          4.76531267E+03          1.25612627E+01          1.25282385E+01
          3.0000          3.19079214E+03          9.55330374E+00          9.52478632E+00
          4.0000          2.40210265E+03          8.00581852E+00          7.97922506E+00
          5.0000          1.92817747E+03          7.06441219E+00          7.03862424E+00
          6.0000          1.61181751E+03          6.43512850E+00          6.40953863E+00
          7.0000          1.38558728E+03          5.98868947E+00          5.96291696E+00
          8.0000          1.21574044E+03          5.65901052E+00          5.63279109E+00
          9.0000          1.08351453E+03          5.40865692E+00          5.38179224E+00
         10.0000          9.77644090E+02          5.21477344E+00          5.18710532E+00
         11.0000          8.90955435E+02          5.06258475E+00          5.03398068E+00
         12.0000          8.18663122E+02          4.94209763E+00          4.91244225E+00
         13.0000          7.57452203E+02          4.84630130E+00          4.81549101E+00
         14.0000          7.04953532E+02          4.77012618E+00          4.73806567E+00
         15.0000          6.59428807E+02          4.70981188E+00          4.67641174E+00
         16.0000          6.19573635E+02          4.66250787E+00          4.62768294E+00
         17.0000          5.84390051E+02          4.62601245E+00          4.58968069E+00
         18.0000          5.53101490E+02          4.59859707E+00          4.56067867E+00
         19.0000          5.25094600E+02          4.57888498E+00          4.53930175E+00
         19.9990          4.99902442E+02          4.56577572E+00          4.52445239E+00
         20.0000          4.99878481E+02          4.56576558E+00          4.52444047E+00
         20.0010          4.99854522E+02          4.56575544E+00          4.52442855E+00
         20.9990          4.77077310E+02          4.55833756E+00          4.51519615E+00
         21.0000          4.77055569E+02          4.55833271E+00          4.51518944E+00
         21.0010          4.77033830E+02          4.55832786E+00          4.51518274E+00
         22.0000          4.56300450E+02          4.55583945E+00          4.51080225E+00
         23.0000          4.37344197E+02          4.55766439E+00          4.51065779E+00
