#Energy      C   H   N   O   P  Total
          0.1000          7.31073403E+02          1.39027739E+01          3.03675462E+03          2.83243646E+03          1.33137935E+05          1.35161060E+01
          0.2000          4.03865187E+02          1.28085962E+01          1.63838302E+03          1.50336738E+03          6.77805032E+04          1.22191241E+01
          0.3000          2.89906246E+02          1.24576148E+01          1.15624368E+03          1.04835564E+03          4.58148661E+04          1.16874108E+01
          0.4000          2.31063566E+02          1.23356077E+01          9.09046847E+02          8.16251612E+02          3.47626559E+04          1.13962870E+01
          0.5000          1.94824488E+02          1.23184166E+01          7.57644876E+02          6.74668255E+02          2.80960694E+04          1.12170787E+01
          0.6000          1.70124530E+02          1.23592241E+01          6.54914974E+02          5.78923885E+02          2.36309351E+04          1.11005223E+01
          0.7000          1.52138805E+02          1.24359890E+01          5.80390976E+02          5.09667083E+02          2.04281655E+04          1.10230835E+01
          0.8000          1.38417926E+02          1.25368148E+01          5.23719242E+02          4.57132103E+02          1.80168734E+04          1.09718840E+01
          0.9000          1.27582407E+02          1.26546503E+01          4.79086660E+02          4.15847899E+02          1.61347737E+04          1.09391940E+01
          1.0000          1.18794156E+02          1.27850209E+01          4.42971422E+02          3.82506489E+02          1.46241164E+04          1.09200524E+01
          2.0000          7.74490347E+01          1.43979826E+01          2.74098651E+02          2.27498609E+02          7.74432628E+03          1.10449675E+01
          3.0000          6.27995177E+01          1.62078995E+01          2.14401732E+02          1.73021086E+02          5.40039878E+03          1.13313223E+01
          4.0000          5.53589603E+01          1.80778575E+01          1.83755483E+02          1.44994387E+02          4.21044779E+03          1.16337847E+01
          5.0000          5.09617885E+01          1.99746935E+01          1.65256215E+02          1.27944458E+02          3.48817044E+03          1.19275270E+01
          6.0000          4.81521527E+01          2.18859917E+01          1.53048331E+02          1.16547422E+02          3.00228153E+03          1.22091189E+01
          7.0000          4.62819781E+01          2.38059745E+01          1.44542857E+02          1.08461909E+02          2.65274684E+03          1.24800161E+01
          8.0000          4.50166857E+01          2.57315677E+01          1.38410541E+02          1.02491052E+02          2.38914686E+03          1.27425630E+01
          9.0000          4.41651616E+01          2.76609784E+01          1.33895596E+02          9.79568661E+01          2.18326875E+03          1.29989313E+01
         10.0000          4.36098859E+01          2.95930888E+01          1.30535100E+02          9.44454181E+01          2.01807359E+03          1.32508816E+01
         11.0000          4.32744095E+01          3.15271653E+01          1.28028940E+02          9.16891095E+01          1.88265283E+03          1.34997687E+01
         12.0000          4.31067415E+01          3.34627068E+01          1.26173627E+02          8.95069521E+01          1.76969325E+03          1.37466087E+01
         13.0000          4.30702297E+01          3.53993596E+01          1.24826083E+02          8.77719727E+01          1.67410523E+03          1.39921528E+01
         14.0000          4.31382546E+01          3.73368675E+01          1.23882639E+02          8.63923556E+01          1.59223542E+03          1.42369503E+01
         15.0000          4.32909938E+01          3.92750404E+01          1.23266257E+02          8.52999957E+01          1.52139219E+03          1.44813996E+01
         16.0000          4.35133685E+01          4.12137347E+01          1.22918446E+02          8.44432668E+01          1.45954796E+03          1.47257863E+01
         17.0000          4.37936948E+01          4.31528403E+01          1.22793958E+02          8.37822937E+01          1.40514569E+03          1.49703126E+01
         18.0000          4.41227737E+01          4.50922713E+01          1.22857223E+02          8.32857703E+01          1.35696957E+03          1.52151187E+01
         19.0000          4.44932590E+01          4.70319601E+01          1.23079874E+02          8.29287621E+01          1.31405608E+03          1.54602989E+01
         20.0000          4.48992109E+01          4.89718528E+01          1.23439002E+02          8.26911549E+01          1.27563160E+03          1.57059139E+01
         21.0000          4.53357728E+01          5.09119060E+01          1.23915895E+02          8.25565373E+01          1.24106770E+03          1.59519995E+01
         22.0000          4.57989335E+01          5.28520846E+01          1.24495118E+02          8.25113815E+01          1.20984848E+03          1.61985731E+01
         23.0000          4.62853504E+01          5.47923598E+01          1.25163814E+02          8.25444334E+01          1.18154643E+03          1.64456391E+01
         24.0000          4.67922147E+01          5.67327080E+01          1.25911192E+02          8.26462516E+01          1.15580415E+03          1.66931924E+01
         25.0000          4.73171488E+01          5.86731098E+01          1.26728123E+02          8.28088553E+01          1.13232058E+03          1.69412208E+01
         26.0000          4.78581262E+01          6.06135489E+01          1.27606830E+02          8.30254503E+01          1.11084021E+03          1.71897080E+01
         27.0000          4.84134085E+01          6.25540118E+01          1.28540647E+02          8.32902160E+01          1.09114482E+03          1.74386341E+01
         28.0000          4.89814964E+01          6.44944871E+01          1.29523825E+02          8.35981360E+01          1.07304684E+03          1.76879775E+01
         29.0000          4.95610891E+01          6.64349653E+01          1.30551380E+02          8.39448636E+01          1.05638419E+03          1.79377153E+01
         30.0000          5.01510533E+01          6.83754385E+01          1.31618971E+02          8.43266127E+01          1.04101602E+03          1.81878245E+01
         31.0000          5.07503962E+01          7.03158997E+01          1.32722796E+02          8.47400706E+01          1.02681938E+03          1.84382817E+01
