#Energy      Rh  Total
          0.1000          2.61200222E+04          2.61200222E+04
          0.2000          1.30867316E+04          1.30867316E+04
          0.3000          8.73820233E+03          8.73820233E+03
          0.4000          6.56235040E+03          6.56235040E+03
          0.5000          5.25602982E+03          5.25602982E+03
          0.6000          4.38467150E+03          4.38467150E+03
          0.7000          3.76196307E+03          3.76196307E+03
          0.8000          3.29471780E+03          3.29471780E+03
          0.9000          2.93114978E+03          2.93114978E+03
          1.0000          2.64017885E+03          2.64017885E+03
          2.0000          1.32886540E+03          1.32886540E+03
          3.0000          8.90519099E+02          8.90519099E+02
          4.0000          6.70877261E+02          6.70877261E+02
          5.0000          5.38859292E+02          5.38859292E+02
          6.0000          4.50713458E+02          4.50713458E+02
          7.0000          3.87667806E+02          3.87667806E+02
          8.0000          3.40326944E+02          3.40326944E+02
          9.0000          3.03466457E+02          3.03466457E+02
         10.0000          2.73949062E+02          2.73949062E+02
         11.0000          2.49776746E+02          2.49776746E+02
         12.0000          2.29616518E+02          2.29616518E+02
         13.0000          2.12544899E+02          2.12544899E+02
         14.0000          1.97901825E+02          1.97901825E+02
         15.0000          1.85202944E+02          1.85202944E+02
         16.0000          1.74084775E+02          1.74084775E+02
         17.0000          1.64269199E+02          1.64269199E+02
         18.0000          1.55539782E+02          1.55539782E+02
         19.0000          1.47725565E+02          1.47725565E+02
         20.0000          1.40689709E+02          1.40689709E+02
         21.0000          1.34321383E+02          1.34321383E+02
         22.0000          1.28529865E+02          1.28529865E+02
         23.0000          1.23240174E+02          1.23240174E+02
         24.0000          1.18389799E+02          1.18389799E+02
         25.0000          1.13926207E+02          1.13926207E+02
         26.0000          1.09804926E+02          1.09804926E+02
         27.0000          1.05988059E+02          1.05988059E+02
         28.0000          1.02443109E+02          1.02443109E+02
         29.0000          9.91420481E+01          9.91420481E+01
         30.0000          9.60605789E+01          9.60605789E+01
         31.0000          9.31775294E+01          9.31775294E+01
         32.0000          9.04743677E+01          9.04743677E+01
         33.0000          8.79348021E+01          8.79348021E+01
         34.0000          8.55444526E+01          8.55444526E+01
         35.0000          8.32905780E+01          8.32905780E+01
         36.0000          8.11618492E+01          8.11618492E+01
         37.0000          7.91481582E+01          7.91481582E+01
         38.0000          7.72404584E+01          7.72404584E+01
         39.0000          7.54306281E+01          7.54306281E+01
         40.0000          7.37113556E+01          7.37113556E+01
         41.0000          7.20760407E+01          7.20760407E+01
         42.0000          7.05187096E+01          7.05187096E+01
         43.0000          6.90339429E+01          6.90339429E+01
         44.0000          6.76168124E+01          6.76168124E+01
         45.0000          6.62628266E+01          6.62628266E+01
         46.0000          6.49678833E+01          6.49678833E+01
         47.0000          6.37282286E+01          6.37282286E+01
         48.0000          6.25404205E+01          6.25404205E+01
         49.0000          6.14012969E+01          6.14012969E+01
         50.0000          6.03079481E+01          6.03079481E+01
         51.0000          5.92576918E+01          5.92576918E+01
         52.0000          5.82480516E+01          5.82480516E+01
         52.9990          5.72776901E+01          5.72776901E+01
         53.0000          5.72767373E+01          5.72767373E+01
         53.0010          5.72757844E+01          5.72757844E+01
         54.0000          5.63416277E+01          5.63416277E+01
         55.0000          5.54407555E+01          5.54407555E+01
         56.0000          5.45722937E+01          5.45722937E+01
