#Energy      C   O   H  Total
        360.0000          2.93040523E+01          5.69333710E+01          1.00677395E+02          1.62279493E+01
        370.0000          3.00321766E+01          5.82667350E+01          1.03428477E+02          1.66310241E+01
        380.0000          3.07598740E+01          5.95989942E+01          1.06179340E+02          1.70338249E+01
        390.0000          3.14871551E+01          6.09301692E+01          1.08929989E+02          1.74363595E+01
        400.0000          3.22140300E+01          6.22602805E+01          1.11680424E+02          1.78386352E+01
        410.0000          3.29405087E+01          6.35893485E+01          1.14430647E+02          1.82406592E+01
        420.0000          3.36666004E+01          6.49173935E+01          1.17180660E+02          1.86424382E+01
        430.0000          3.43923145E+01          6.62444356E+01          1.19930466E+02          1.90439786E+01
        440.0000          3.51176595E+01          6.75704942E+01          1.22680064E+02          1.94452865E+01
        450.0000          3.58426441E+01          6.88955887E+01          1.25429458E+02          1.98463678E+01
        460.0000          3.65672763E+01          7.02197378E+01          1.28178647E+02          2.02472282E+01
        470.0000          3.72915639E+01          7.15429602E+01          1.30927635E+02          2.06478729E+01
        480.0000          3.80155145E+01          7.28652737E+01          1.33676421E+02          2.10483071E+01
        490.0000          3.87391354E+01          7.41866959E+01          1.36425007E+02          2.14485357E+01
        500.0000          3.94624334E+01          7.55072438E+01          1.39173394E+02          2.18485634E+01
        510.0000          4.01854154E+01          7.68269343E+01          1.41921584E+02          2.22483947E+01
        520.0000          4.09080879E+01          7.81457834E+01          1.44669577E+02          2.26480340E+01
        530.0000          4.16304570E+01          7.94638070E+01          1.47417375E+02          2.30474854E+01
        537.9990          4.22080658E+01          8.05175101E+01          1.49615197E+02          2.33668741E+01
        538.0010          4.22082102E+01          8.05177735E+01          1.49615747E+02          2.33669539E+01
        540.0000          4.23525288E+01          8.07810204E+01          1.50164977E+02          2.34467530E+01
        550.0000          4.30743092E+01          8.20974384E+01          1.52912386E+02          2.38458404E+01
        560.0000          4.37958037E+01          8.34130756E+01          1.55659602E+02          2.42447516E+01
        570.0000          4.45170178E+01          8.47279462E+01          1.58406626E+02          2.46434899E+01
        580.0000          4.52379567E+01          8.60420636E+01          1.61153458E+02          2.50420589E+01
        590.0000          4.59586254E+01          8.73554413E+01          1.63900100E+02          2.54404618E+01
        600.0000          4.66790288E+01          8.86680922E+01          1.66646553E+02          2.58387018E+01
        610.0000          4.73991716E+01          8.99800288E+01          1.69392816E+02          2.62367819E+01
        620.0000          4.81190585E+01          9.12912634E+01          1.72138890E+02          2.66347052E+01
        630.0000          4.88386937E+01          9.26018077E+01          1.74884777E+02          2.70324745E+01
        640.0000          4.95580816E+01          9.39116734E+01          1.77630477E+02          2.74300925E+01
        650.0000          5.02772264E+01          9.52208716E+01          1.80375990E+02          2.78275619E+01
        660.0000          5.09961319E+01          9.65294132E+01          1.83121318E+02          2.82248852E+01
        670.0000          5.17148021E+01          9.78373088E+01          1.85866460E+02          2.86220650E+01
        680.0000          5.24332408E+01          9.91445687E+01          1.88611417E+02          2.90191037E+01
        690.0000          5.31514515E+01          1.00451203E+02          1.91356190E+02          2.94160036E+01
        700.0000          5.38694379E+01          1.01757221E+02          1.94100779E+02          2.98127669E+01
        710.0000          5.45872032E+01          1.03062633E+02          1.96845185E+02          3.02093958E+01
        720.0000          5.53047509E+01          1.04367447E+02          1.99589408E+02          3.06058925E+01
        730.0000          5.60220842E+01          1.05671674E+02          2.02333448E+02          3.10022590E+01
        740.0000          5.67392062E+01          1.06975321E+02          2.05077307E+02          3.13984973E+01
        750.0000          5.74561199E+01          1.08278396E+02          2.07820984E+02          3.17946093E+01
        760.0000          5.81728283E+01          1.09580909E+02          2.10564480E+02          3.21905968E+01
        770.0000          5.88893342E+01          1.10882868E+02          2.13307796E+02          3.25864618E+01
        780.0000          5.96056405E+01          1.12184279E+02          2.16050931E+02          3.29822059E+01
